,loại sản phẩm,nhà xuất bản,phiên bản,nội dung tóm tắt,ngày xuất bản,tác giả,loại bìa,dịch giả,giá bìa,ảnh bìa,dịch giả.1,tên sách,công ty phát hành,nhà xuất bản.1,thể loại,kích thước,nhà phát hành,số trang
0,,,,"Mọi sinh vật đều sở hữu động cơ sinh tồn được kế thừa qua các thế hệ. Chúng ta xem thực vật là bạn vì chúng nuôi sống chúng ta, nhưng thực vật lại xem mọi giống loài săn mồi, bao gồm cả chúng ta, là k...",2018-12-01 10:58:00,Steven R. Gundry,Bìa mềm,Nguyễn Tư Thắng,107500.0,https://salt.tikicdn.com/cache/280x280/ts/product/21/8f/5c/ca71fceb97eb7504192f3afb8479e381.jpg,Nguyễn Tư Thắng,"Nghịch Lý Rau Củ Quả: Sự ""Trả Thù"" Của Thực Vật!",Saigon Books,,Chăm sóc sức khỏe ,16 x 24 cm,,380.0
1,,nxb thanh nien,,"       GIỚI THIỆU SÁCH   Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội   Hy vọng cuốn sách sẽ giúp bạn có cái nhìn sâu sắc, rõ ràng hơn về bộ môn tâm lý học tội phạm và có thể rèn luyện thêm sự tư...",,,,,113100.0,https://salt.tikicdn.com/cache/280x280/ts/product/b4/5f/e5/7f9ff060faa6f36f6878b886b69b11d1.jpg,,Sách - Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,AZ Việt Nam,nxb thanh nien,Chăm sóc sức khỏe ,,,
2,,Nhà Xuất Bản Thế Giới,,"Tiếp nối thành công của cuốn sách đầu tay Green Smoothies – cuốn sách từng đứng đầu các bảng xếp hạng sách bán chạy, top 1 sách làm đẹp được yêu thích nhất và được tái bản chỉ sau 1 tuần phát hành, cu...",2021-04-15 00:00:00,Emma Phạm,Bìa mềm,,134700.0,https://salt.tikicdn.com/cache/280x280/ts/product/11/e7/d6/a29375a0484cb1ed578b51d1b46cf36c.jpg,,Eat Clean - Ăn Sạch Sống Khỏe ,I Love Cookbooks,Nhà Xuất Bản Thế Giới,Chăm sóc sức khỏe ,17 x 24 cm,,224.0
3,,Nhà Xuất Bản Thế Giới,,"Sau nhiều năm vật lộn để nhận ra rằng bản thân sẽ không thể tuân thủ theo một chế độ ăn kiêng truyền thống hoặc theo kịp một lịch trình thực phẩm bổ sung khó khăn nào, tôi cuô...",2020-05-05 00:00:00,Gin Stephens,Bìa mềm,Nguyên Phạm,72300.0,https://salt.tikicdn.com/cache/280x280/ts/product/37/9a/64/8b24b2206efd8b1a279d7cae82845f8a.jpg,Nguyên Phạm,Nhịn Ăn Gián Đoạn - Intermittent Fasting (Phương Pháp Giảm Cân An Toàn Và Khoa Học Được Yêu Thích Nhất),I Love Cookbooks,Nhà Xuất Bản Thế Giới,Chăm sóc sức khỏe ,14 x 20.5 cm,,248.0
4,,Nhà Xuất Bản Thế Giới,,"Nếu cocktail quyến rũ bởi hơi men cay nồng cùng sự hòa quyện tinh tế của các loại rượu, mocktail lại khiến người thưởng thức nó mê đắm bởi hương vị nhẹ nhàng, dịu ngọt, với sự kết hợp của các loại t...",2020-03-01 00:00:00,Sharmila Chand,Bìa mềm,,120300.0,https://salt.tikicdn.com/cache/280x280/ts/product/63/1e/f8/a8e864c6f3b7a65d12db1311c9ca24b4.jpg,,MOCKTAIL - 210 Công Thức Pha Chế Mocktail Tuyệt Đỉnh,I Love Cookbooks,Nhà Xuất Bản Thế Giới,Chăm sóc sức khỏe ,17 x 21 cm,,180.0
5,,NXB Trẻ,,"Dinh dưỡng là một đề tài rối rắm. Không chỉ là chuyện ăn, nó còn gắn liền với khoa học, văn hóa, truyền thống, sức khỏe, cảm giác được chăm sóc, sự no ấm, sự hạnh phúc... Chính vì phức tạp nên nó dễ bị ...",2020-09-15 00:00:00,Pha Lê,Bìa mềm,,80000.0,https://salt.tikicdn.com/cache/280x280/ts/product/f6/d7/04/57e6b175939f00326eaa05908a6e9a43.jpg,,Ăn Gì Cho Không Độc Hại - Tạp Bút (Tái Bản Lần 6-2020),NXB Trẻ,NXB Trẻ,Chăm sóc sức khỏe ,15.5 x 23 cm,,320.0
6,,,,Có bao giờ bạn bị quyến rũ bởi những khuôn mặt trắng sáng không tì vết của những diễn viên trong phim truyền hình Hàn Quốc? Hay có bao giờ bạn tự hỏi các cô gái  hay  diễn viên Hàn Quốc chăm sóc da nh...,2019-01-05 18:42:56,Charlotte Cho,Bìa mềm,,101100.0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/09/d3/e7bcf34d57e3aa5a1e79f99daccf5daa.jpg,,Bí Quyết Dưỡng Da Kiểu Hàn Quốc (Tái Bản),Saigon Books,,Chăm sóc sức khỏe ,18 x 21 cm,,218.0
7,,,,Có lẽ chúng ta không ai sinh ra trên đời mà lại không mong muốn mình khỏe mạnh cả. Phải khỏe mạnh thì chúng ta mới tận hưởng cuộc sống một cách trọn vẹn nhất. Sự khỏe mạnh là nền tảng cơ bản của một c...,,Trần Bích Hà,Bìa mềm,,155000.0,https://salt.tikicdn.com/cache/280x280/ts/product/3f/a0/b5/9786b75a904a8a08e56b7a3ece055f17.jpg,,Combo 2 Cuốn Sách Chăm Sóc Sức Khỏe - Sức Khỏe Trong Tay Bạn (Trọn Bộ 2 Tập) - (Tặng Kèm Bookmark Thiết Kế),Thái Hà,,Chăm sóc sức khỏe ,16*24cm,,
8,,Nhà Xuất Bản Thanh Niên,,Bạn có biết: 95% những người giảm cân sẽ quay trở lại cân nặng ban đầu sau 3 - 5 năm?Hiệu quả giảm cân sẽ không được duy trì vĩnh viễn nếu các hệ thống trong cơ thể hoạt động chậm chạp hoặc bị ảnh hư...,,Jj Smith,Bìa mềm,Lê Dung,84300.0,https://salt.tikicdn.com/cache/280x280/ts/product/f2/89/64/88f66f3f17a92355492bc77092867c74.jpg,Lê Dung,Uống Tươi Xanh Sống Khỏe Mạnh,Booklife,Nhà Xuất Bản Thanh Niên,Chăm sóc sức khỏe ,13 x 19 cm,,264.0
9,,NXB Trẻ,,"Sau Chào con! Ba mẹ đã sẵn sàng & Bước đệm vững chắc vào đời, cuốn sách thứ ba trong bộ BÁC SĨ RIÊNG CỦA BÉ YÊU được bác sĩ Huyên Thảo chọn đề tài “ăn uống”, vì theo bác sĩ, “thật sự mình thấy đây là ...",,Trần Thị Huyên Thảo,Bìa mềm,,83000.0,https://salt.tikicdn.com/cache/280x280/ts/product/e8/70/10/37032a38c28a032c6a97d6281bb4ffcb.jpg,,BSRCBY. Ăn Uống Là Hạnh Phúc,NXB Trẻ,NXB Trẻ,Chăm sóc sức khỏe ,15.5 x 23 cm,,180.0
