,Tác giả,Nhà Xuất Bản,Nhà xuất bản,Kích thước,Ảnh bìa,Số trang,Phiên bản,Nội dung tóm tắt,Loại bìa,Loại sản phẩm,Dịch giả,Giá bìa,Ngày xuất bản,Thể loại,Tên Sách,Nhà Phát Hành,Dịch Giả,Công ty phát hành
0,,,,,,,,,,,,,,,,,,
1,Emma Phạm,,Nhà Xuất Bản Thế Giới,17 x 24 cm,https://salt.tikicdn.com/cache/280x280/ts/product/11/e7/d6/a29375a0484cb1ed578b51d1b46cf36c.jpg,224.0,,"Tiếp nối thành công của cuốn sách đầu tay Green Smoothies – cuốn sách từng đứng đầu các bảng xếp hạng sách bán chạy, top 1 sách làm đẹp được yêu thích nhất và được tái bản chỉ sau 1 tuần phát hành, cu...",Bìa mềm,,,134700.0,2021-04-15 00:00:00,Chăm sóc sức khỏe ,Eat Clean - Ăn Sạch Sống Khỏe ,,,I Love Cookbooks
2,Jj Smith,,Nhà Xuất Bản Thanh Niên,13 x 19 cm,https://salt.tikicdn.com/cache/280x280/ts/product/f2/89/64/88f66f3f17a92355492bc77092867c74.jpg,264.0,,Bạn có biết: 95% những người giảm cân sẽ quay trở lại cân nặng ban đầu sau 3 - 5 năm?Hiệu quả giảm cân sẽ không được duy trì vĩnh viễn nếu các hệ thống trong cơ thể hoạt động chậm chạp hoặc bị ảnh hư...,Bìa mềm,,,84300.0,,Chăm sóc sức khỏe ,Uống Tươi Xanh Sống Khỏe Mạnh,,Lê Dung,Booklife
3,Pha Lê,,NXB Trẻ,15.5 x 23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/f6/d7/04/57e6b175939f00326eaa05908a6e9a43.jpg,320.0,,"Dinh dưỡng là một đề tài rối rắm. Không chỉ là chuyện ăn, nó còn gắn liền với khoa học, văn hóa, truyền thống, sức khỏe, cảm giác được chăm sóc, sự no ấm, sự hạnh phúc... Chính vì phức tạp nên nó dễ bị ...",Bìa mềm,,,85000.0,2020-09-15 00:00:00,Chăm sóc sức khỏe ,Ăn Gì Cho Không Độc Hại - Tạp Bút (Tái Bản Lần 6-2020),,,NXB Trẻ
4,Gin Stephens,,Nhà Xuất Bản Thế Giới,14 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/37/9a/64/8b24b2206efd8b1a279d7cae82845f8a.jpg,248.0,,"Sau nhiều năm vật lộn để nhận ra rằng bản thân sẽ không thể tuân thủ theo một chế độ ăn kiêng truyền thống hoặc theo kịp một lịch trình thực phẩm bổ sung khó khăn nào, tôi cuô...",Bìa mềm,,,72800.0,2020-05-05 00:00:00,Chăm sóc sức khỏe ,Nhịn Ăn Gián Đoạn - Intermittent Fasting (Phương Pháp Giảm Cân An Toàn Và Khoa Học Được Yêu Thích Nhất),,Nguyên Phạm,I Love Cookbooks
5,Charlotte Cho,,,<p>18 x 21 cm</p>,https://salt.tikicdn.com/cache/280x280/ts/product/9a/09/d3/e7bcf34d57e3aa5a1e79f99daccf5daa.jpg,218.0,,Có bao giờ bạn bị quyến rũ bởi những khuôn mặt trắng sáng không tì vết của những diễn viên trong phim truyền hình Hàn Quốc? Hay có bao giờ bạn tự hỏi các cô gái  hay  diễn viên Hàn Quốc chăm sóc da nh...,Bìa mềm,,,101200.0,2019-01-05 18:42:56,Chăm sóc sức khỏe ,Bí Quyết Dưỡng Da Kiểu Hàn Quốc (Tái Bản),,,Saigon Books
6,Trần Thị Huyên Thảo,,NXB Trẻ,15.5 x 23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/e8/70/10/37032a38c28a032c6a97d6281bb4ffcb.jpg,180.0,,"Sau Chào con! Ba mẹ đã sẵn sàng & Bước đệm vững chắc vào đời, cuốn sách thứ ba trong bộ BÁC SĨ RIÊNG CỦA BÉ YÊU được bác sĩ Huyên Thảo chọn đề tài “ăn uống”, vì theo bác sĩ, “thật sự mình thấy đây là ...",Bìa mềm,,,83500.0,,Chăm sóc sức khỏe ,BSRCBY. Ăn Uống Là Hạnh Phúc,,,NXB Trẻ
7,Valter Longo,,Nhà Xuất Bản Dân Trí,15 x 23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/f3/cd/05/3d53e0bf070fae3114222c91a8174b59.jpg,300.0,,"Luôn tồn tại hàng trăm lý thuyết về cách thức và lý do tại sao con người già đi, và với cuốn Chế độ ăn Trường thọ, Tiến sĩ Valter Longo đã giới thiệu một phương thức mới để kiểm soát sự lão hóa này.Đ...",Bìa mềm,,,101100.0,2021-01-01 00:00:00,Chăm sóc sức khỏe ,Chế Độ Ăn Trường Thọ,,Nguyễn Khánh Chi,Alphabooks
8,"Nguyễn Hải,Trần Bích Hà,Andreas Moritz",,Nhà Xuất Bản Thế Giới,,https://salt.tikicdn.com/cache/280x280/ts/product/4f/ee/77/7162a1c41d97deffbf1b25051e59e616.jpg,440.0,Bìa mềm,"Cẩm Nang Hướng Dẫn Tẩy Sỏi Gan MậtHầu hết mọi người cho rằng sỏi mật chỉ có trong túi mật. Đây là nhận thức phổ biến, nhưng sai lầm. Thực ra phần lớn sỏi mật được hình thành ở gan, chỉ có một số được...",Bìa mềm,,,264880.0,2020-09-29 22:34:58,Chăm sóc sức khỏe ,Bộ 2 cuốn Cẩm Nang Hướng Dẫn Tẩy Sỏi Gan Mật + Hướng Dẫn Thải Độc Và Chế Độ Ăn Uống THB,,Nhiều dịch giả,Thái Hà
9,Steven R. Gundry,,,<p>16 x 24 cm</p>,https://salt.tikicdn.com/cache/280x280/ts/product/21/8f/5c/ca71fceb97eb7504192f3afb8479e381.jpg,380.0,,"Mọi sinh vật đều sở hữu động cơ sinh tồn được kế thừa qua các thế hệ. Chúng ta xem thực vật là bạn vì chúng nuôi sống chúng ta, nhưng thực vật lại xem mọi giống loài săn mồi, bao gồm cả chúng ta, là k...",Bìa mềm,,,107500.0,2018-12-01 10:58:00,Chăm sóc sức khỏe ,"Nghịch Lý Rau Củ Quả: Sự ""Trả Thù"" Của Thực Vật!",,Nguyễn Tư Thắng,Saigon Books
