,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
1,Phương Pháp Hồng - Năm Thứ Hai Với Đàn Piano,https://salt.tikicdn.com/cache/280x280/ts/product/de/ae/bc/677f9d8ad715e9121283cd518e91232c.jpg,Âm nhạc,"Cuốn Méthode Rose - vol. 2 (Essor) được biên dịch từ ấn bản song ngữ Pháp-Anh của Nhà xuất bản Van de Velde danh tiếng của nước Pháp. Tương tự như cuốn vol. 1, bản dịch cuốn sách này được trình bày vớ...",123200.0,29.5 x 20.5 cm,152.0,Ernest Van De Velde,,,,,Phương Pháp Hồng - Năm Thứ Hai Với Đàn Piano,https://salt.tikicdn.com/cache/280x280/ts/product/de/ae/bc/677f9d8ad715e9121283cd518e91232c.jpg,Âm nhạc,Ernest Van De Velde,"Cuốn Méthode Rose - vol. 2 (Essor) được biên dịch từ ấn bản song ngữ Pháp-Anh của Nhà xuất bản Van de Velde danh tiếng của nước Pháp. Tương tự như cuốn vol. 1, bản dịch cuốn sách này được trình bày vớ...",123200.0,Huy Hoàng Bookstore,2019-01-08 00:00:00,Bìa mềm,152.0,,29.5 x 20.5 cm,,
2,Tự Học Nhạc Lý Cơ Bản (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/e3/12/c7/dc801dd2a968c1a43ec9270728555fbe.jpg,Âm nhạc,"Tự Học Nhạc Lý Cơ Bản (Tái Bản) là quyển sách giúp người đọc dễ dàng hơn trong việc tìm hiểu các kiến thức âm nhạc vừa cơ bản vừa thiết thực, đặc biệt với đối tượng độc tấu nhạc cụ, người đam mê học h...",60200.0,19 x 27 cm,208.0,"TS. Phạm Phương Hoa,Trương Ngọc Bích,Cù Minh Nhật",,,,,Tự Học Nhạc Lý Cơ Bản (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/e3/12/c7/dc801dd2a968c1a43ec9270728555fbe.jpg,Âm nhạc,"TS. Phạm Phương Hoa,Trương Ngọc Bích,Cù Minh Nhật","Tự Học Nhạc Lý Cơ Bản (Tái Bản) là quyển sách giúp người đọc dễ dàng hơn trong việc tìm hiểu các kiến thức âm nhạc vừa cơ bản vừa thiết thực, đặc biệt với đối tượng độc tấu nhạc cụ, người đam mê học h...",60200.0,Huy Hoàng Bookstore,2017-12-27 13:08:00,Bìa mềm,208.0,,19 x 27 cm,,
3,BTS Biểu Tượng K-Pop,https://salt.tikicdn.com/cache/280x280/ts/product/5c/72/1e/de951ffe29e50c13b39593fef4ac2009.jpg,Âm nhạc,"BTS Biểu tượng K-pop cuốn sách được xuất bản và mua bản được ở hơn 10 quốc gia như: Hàn Quốc, Anh, Cộng hòa Séc, Đức, Tây Ban Nha, Pháp, Ý, Trung Quốc, Nga, Ba Lan và Việt NamKhởi điểm từ bảy thanh n...",116100.0,14.5 x 20.5 cm,248.0,Adrian Besley,,,,,BTS Biểu Tượng K-Pop,https://salt.tikicdn.com/cache/280x280/ts/product/5c/72/1e/de951ffe29e50c13b39593fef4ac2009.jpg,Âm nhạc,Adrian Besley,"BTS Biểu tượng K-pop cuốn sách được xuất bản và mua bản được ở hơn 10 quốc gia như: Hàn Quốc, Anh, Cộng hòa Séc, Đức, Tây Ban Nha, Pháp, Ý, Trung Quốc, Nga, Ba Lan và Việt NamKhởi điểm từ bảy thanh n...",116100.0,Shinebooks,2021-01-12 00:00:00,Bìa mềm,248.0,Nhà Xuất Bản Dân Trí,14.5 x 20.5 cm,Jones Monaco,
4,"Map Of The Soul:7 - Persona, Shadow & Ego In The World Of BTS – Bìa Cứng (Tặng Kèm Sổ Tay)",https://salt.tikicdn.com/cache/280x280/ts/product/f4/12/c5/48e660e66d72268e377c356571bf2faa.png,Âm nhạc,"Map of the Soul: 7 – Persona, Shadow & Ego in the world of BTS:CUỐN SÁCH GIẢI MÃ BẢN ĐỒ TÂM HỒN CỦA BTS Trong “Intro Persona”, RM đã hát rằng: “Tôi chẳng biết mình là ai” và kết thúc với câu “Đây...",83500.0,13 x 18 cm,232.0,Nhiều Tác Giả,,,,,"Map Of The Soul:7 - Persona, Shadow & Ego In The World Of BTS – Bìa Cứng (Tặng Kèm Sổ Tay)",https://salt.tikicdn.com/cache/280x280/ts/product/f4/12/c5/48e660e66d72268e377c356571bf2faa.png,Âm nhạc,Nhiều Tác Giả,"Map of the Soul: 7 – Persona, Shadow & Ego in the world of BTS:CUỐN SÁCH GIẢI MÃ BẢN ĐỒ TÂM HỒN CỦA BTS Trong “Intro Persona”, RM đã hát rằng: “Tôi chẳng biết mình là ai” và kết thúc với câu “Đây...",83500.0,Yume Books,2020-09-15 00:00:00,Bìa cứng,232.0,Nhà Xuất Bản Thế Giới,13 x 18 cm,,
5,Kang Daniel – A Winner Never Stops Trying (Tặng  Kèm: 1 Photostrip + 2 Postcard + 1 Poster),https://salt.tikicdn.com/cache/280x280/ts/product/3d/f5/c6/e0e60eebf20225f70926e033f4c91943.jpg,Âm nhạc,Kang Daniel – Hành trình lột xác phi thường từ dancer vô danh đến “báu vật quốc dân” được hàng triệu fan hâm mộ yêu mến.Cuốn photobook fansite bao gồm các hình ảnh độc quyền chụp cận cảnh nam thần đi...,120800.0,17 x 24 cm,180.0,PichiUchi-Kang Daniel VietNam Fans,,,,,Kang Daniel – A Winner Never Stops Trying (Tặng  Kèm: 1 Photostrip + 2 Postcard + 1 Poster),https://salt.tikicdn.com/cache/280x280/ts/product/3d/f5/c6/e0e60eebf20225f70926e033f4c91943.jpg,Âm nhạc,PichiUchi-Kang Daniel VietNam Fans,Kang Daniel – Hành trình lột xác phi thường từ dancer vô danh đến “báu vật quốc dân” được hàng triệu fan hâm mộ yêu mến.Cuốn photobook fansite bao gồm các hình ảnh độc quyền chụp cận cảnh nam thần đi...,120800.0,FANCYBOOKS,,Bìa gập,180.0,Nhà Xuất Bản Hà Nội,17 x 24 cm,,
6,Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 1,https://salt.tikicdn.com/cache/280x280/ts/product/73/ca/52/24e44816651a4d0d8bb292e7af918b7d.jpg,Âm nhạc,"Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 1Cùng với những nghệ sĩ tên tuổi như: Đặng Thái Sơn, Đỗ Hồng Quân, Đặng Hữu Phú Lê Dũng là một trong những lớp nghệ sĩ đầu tiên theo học...",56400.0,20.5 x 29.5 cm,,Lê Dũng,,,,,Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 1,https://salt.tikicdn.com/cache/280x280/ts/product/73/ca/52/24e44816651a4d0d8bb292e7af918b7d.jpg,Âm nhạc,Lê Dũng,"Piano Cho Thiếu Nhi - Tuyển Tập 220 Tiểu Phẩm Nổi Tiếng - Phần 1Cùng với những nghệ sĩ tên tuổi như: Đặng Thái Sơn, Đỗ Hồng Quân, Đặng Hữu Phú Lê Dũng là một trong những lớp nghệ sĩ đầu tiên theo học...",56400.0,Huy Hoàng Bookstore,2017-11-24 14:41:10,Bìa mềm,,,20.5 x 29.5 cm,,
7,Những Nhạc Khúc Hay & Dễ Soạn Cho Đàn Piano ,https://salt.tikicdn.com/cache/280x280/ts/product/7c/cc/7e/e24a866907169ea83cbeee8d24b02fec.jpg,Âm nhạc,"Những Nhạc Khúc Hay & Dễ Soạn Cho Đàn Piano Cuốn sách gồm những bài nhạc hay và dễ được biên soạn từ các giai điệu quen thuộc và nổi tiếng: Em đi giữa biển vàng; Em là hoa hồng nhỏ, Gặp mẹ trong ...",82000.0,20.5 x 29.5 cm,116.0,Song Minh,,,,,Những Nhạc Khúc Hay & Dễ Soạn Cho Đàn Piano ,https://salt.tikicdn.com/cache/280x280/ts/product/7c/cc/7e/e24a866907169ea83cbeee8d24b02fec.jpg,Âm nhạc,Song Minh,"Những Nhạc Khúc Hay & Dễ Soạn Cho Đàn Piano Cuốn sách gồm những bài nhạc hay và dễ được biên soạn từ các giai điệu quen thuộc và nổi tiếng: Em đi giữa biển vàng; Em là hoa hồng nhỏ, Gặp mẹ trong ...",82000.0,Huy Hoàng Bookstore,2018-07-07 00:00:00,Bìa mềm,116.0,,20.5 x 29.5 cm,,
8,Kỹ Thuật SOLO Guitar,https://salt.tikicdn.com/cache/280x280/ts/product/b2/a6/6a/65f8017a1b0334e675af59244d731929.jpg,Âm nhạc,"Solo guitar hay còn gọi là độc tấu guitar hẳn là ước mơ của rất nhiều bạn trẻ đam mê môn nhạc cụ này. Với khả năng chơi solo guitar, bạn sẽ thỏa sức làm chủ sân khấu, thể hiện tất cả những kỹ thuật đi...",75500.0,19 x 27 cm,160.0,Hoàng Hạc,,,,,Kỹ Thuật SOLO Guitar,https://salt.tikicdn.com/cache/280x280/ts/product/b2/a6/6a/65f8017a1b0334e675af59244d731929.jpg,Âm nhạc,Hoàng Hạc,"Solo guitar hay còn gọi là độc tấu guitar hẳn là ước mơ của rất nhiều bạn trẻ đam mê môn nhạc cụ này. Với khả năng chơi solo guitar, bạn sẽ thỏa sức làm chủ sân khấu, thể hiện tất cả những kỹ thuật đi...",75500.0,VanLangBooks,2020-03-03 00:00:00,Bìa mềm,160.0,Nhà Xuất Bản Thanh Hóa,19 x 27 cm,,
9,Nhạc Phim Lãng Mạng Nổi Tiếng Soạn Cho Piano - Tập 1,https://salt.tikicdn.com/cache/280x280/ts/product/b1/35/69/d7f62a7b86959cf9df3fb167b2d2425a.jpg,Âm nhạc,"Nhạc Phim Lãng Mạng Nổi Tiếng Soạn Cho Piano - Tập 1 tập hợp những tuyệt phẩm piano trong các bộ phim lãng mạng nổi tiếng giúp người chơi rèn luyện các kỹ năng đánh piano cũng như trình diễn, thưởng t...",98750.0,,,"Ths. Cù Minh Nhật,Ths. Đặng Thái Sơn",,,,,Nhạc Phim Lãng Mạng Nổi Tiếng Soạn Cho Piano - Tập 1,https://salt.tikicdn.com/cache/280x280/ts/product/b1/35/69/d7f62a7b86959cf9df3fb167b2d2425a.jpg,Âm nhạc,"Ths. Cù Minh Nhật,Ths. Đặng Thái Sơn","Nhạc Phim Lãng Mạng Nổi Tiếng Soạn Cho Piano - Tập 1 tập hợp những tuyệt phẩm piano trong các bộ phim lãng mạng nổi tiếng giúp người chơi rèn luyện các kỹ năng đánh piano cũng như trình diễn, thưởng t...",98750.0,Huy Hoàng Bookstore,,Bìa mềm,,,,,
10,Học Đệm Piano Cơ Bản - Phần 1 (TB 2020),https://salt.tikicdn.com/cache/280x280/ts/product/93/5b/f6/2f0a6592ac12cc0d4969e62d95985d64.jpg,Âm nhạc,"Hoc đệm Piano cơ bản là bộ sách có phương pháp trình bày khá cụ thể và dễ học, với lượng kiến thức cơ bản có thể giải quyết được những đòi hỏi cấp thiết của người học đệm Piano. Học viên có thể luyện ...",115500.0,20.5 x 29.5 cm,156.0,Song Minh,,,,,Học Đệm Piano Cơ Bản - Phần 1 (TB 2020),https://salt.tikicdn.com/cache/280x280/ts/product/93/5b/f6/2f0a6592ac12cc0d4969e62d95985d64.jpg,Âm nhạc,Song Minh,"Hoc đệm Piano cơ bản là bộ sách có phương pháp trình bày khá cụ thể và dễ học, với lượng kiến thức cơ bản có thể giải quyết được những đòi hỏi cấp thiết của người học đệm Piano. Học viên có thể luyện ...",115500.0,Huy Hoàng Bookstore,,Bìa mềm,156.0,Nhà Xuất Bản Dân Trí,20.5 x 29.5 cm,,
