,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
1,Giáo Trình Tư Tưởng Hồ Chí Minh (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/15/10/d2/5e7e4a36695c21a21e5cdc7bf3429abe.jpg,Đại học – cao đẳng – thcn,"Giáo trình do tập thể tác giả là những nhà nghiên cứu, nhà giáo dục có nhiều kinh nghiệm trong nghiên cứu, giảng dạy về tư tưởng Hồ Chí Minh, PGS.TS. Mạch Quang Thắng làm chủ biên; được biên soạn theo...",59000.0,,272.0,Bộ Giáo Dục Và Đào Tạo,,,,,Giáo Trình Tư Tưởng Hồ Chí Minh (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/15/10/d2/5e7e4a36695c21a21e5cdc7bf3429abe.jpg,Đại học – cao đẳng – thcn,Bộ Giáo Dục Và Đào Tạo,"Giáo trình do tập thể tác giả là những nhà nghiên cứu, nhà giáo dục có nhiều kinh nghiệm trong nghiên cứu, giảng dạy về tư tưởng Hồ Chí Minh, PGS.TS. Mạch Quang Thắng làm chủ biên; được biên soạn theo...",59000.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,2021-07-17 09:04:09,Bìa mềm,272.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,
2,Giáo Trình Triết Học Mác – Lênin (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/83/f7/1f/0c3a491b7e23820a5907adef10ef8033.jpg,Đại học – cao đẳng – thcn,"Giáo trình do Ban biên soạn gồm các tác giả là nhà nghiên cứu, nhà giáo dục thuộc Viện Triết học - Học viện Chính trị quốc gia Hồ Chí Minh, các học viện, trường đại học, Viện Triết học - Viện Hàn lâm ...",99000.0,,496.0,Bộ Giáo Dục Và Đào Tạo,,,,,Giáo Trình Triết Học Mác – Lênin (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/83/f7/1f/0c3a491b7e23820a5907adef10ef8033.jpg,Đại học – cao đẳng – thcn,Bộ Giáo Dục Và Đào Tạo,"Giáo trình do Ban biên soạn gồm các tác giả là nhà nghiên cứu, nhà giáo dục thuộc Viện Triết học - Học viện Chính trị quốc gia Hồ Chí Minh, các học viện, trường đại học, Viện Triết học - Viện Hàn lâm ...",99000.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,2021-07-17 08:43:34,Bìa mềm,496.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,
3,Giáo Trình Lịch Sử Đảng Cộng Sản Việt Nam (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/41/11/3a/6c870f4d70da003b599141f1f9be6203.jpg,Đại học – cao đẳng – thcn,"Ngoài chương nhập môn, trình bày về đối tượng, chức năng, nhiệm vụ, nội dung và phương pháp nghiên cứu, học tập lịch sử Đảng Cộng sản Việt Nam, giáo trình có kết cấu gồm 03 chương: Chương 1 nêu quá tr...",89000.0,,440.0,Bộ Giáo Dục Và Đào Tạo,,,,,Giáo Trình Lịch Sử Đảng Cộng Sản Việt Nam (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/41/11/3a/6c870f4d70da003b599141f1f9be6203.jpg,Đại học – cao đẳng – thcn,Bộ Giáo Dục Và Đào Tạo,"Ngoài chương nhập môn, trình bày về đối tượng, chức năng, nhiệm vụ, nội dung và phương pháp nghiên cứu, học tập lịch sử Đảng Cộng sản Việt Nam, giáo trình có kết cấu gồm 03 chương: Chương 1 nêu quá tr...",89000.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,2021-07-17 08:59:17,Bìa mềm,440.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,
4,Hệ Thống Tài Khoản Kế Toán,https://salt.tikicdn.com/cache/280x280/ts/product/82/83/8e/8a83d6293a71fb1ee424d0612fab09aa.jpg,Đại học – cao đẳng – thcn,"HỆ THỐNG TÀI KHOẢN KẾ TOÁN (Áp dụng cho mọi loại hình doanh nghiệp, từ ngày 01/01/2015 trở đi)   Theo thông tư 200/2014/TT-BTC  ...",4750.0,,,"Nhiều Tác Giả,Nhiều Tác Giả,Nhiều tác giả,Nhiều Tác Giả ,Nhiều Tác giả",,,,,Hệ Thống Tài Khoản Kế Toán,https://salt.tikicdn.com/cache/280x280/ts/product/82/83/8e/8a83d6293a71fb1ee424d0612fab09aa.jpg,Đại học – cao đẳng – thcn,"Nhiều Tác Giả,Nhiều Tác Giả,Nhiều tác giả,Nhiều Tác Giả ,Nhiều Tác giả","HỆ THỐNG TÀI KHOẢN KẾ TOÁN (Áp dụng cho mọi loại hình doanh nghiệp, từ ngày 01/01/2015 trở đi)   Theo thông tư 200/2014/TT-BTC  ...",4750.0,Cty Đầu Tư Sáng Tạo,,,,NXB Trẻ,,,
5,Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,https://salt.tikicdn.com/cache/280x280/ts/product/d6/0e/09/7c48a0e134d985f72b84f63727d6a09d.jpg,Đại học – cao đẳng – thcn,"            Giáo Trình C++ Và Lập Trình Hướng Đối Tượng        Lập trình cấu trúc là phương pháp tổ chức, phân chia chương trình thành các hàm, thủ tục. Chúng được dùng để xử lý dữ liệu    nhưn...",116000.0,16 x 24 cm,488.0,"Phạm Văn Ất,Lê Trường Thông",,,,,Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,https://salt.tikicdn.com/cache/280x280/ts/product/d6/0e/09/7c48a0e134d985f72b84f63727d6a09d.jpg,Đại học – cao đẳng – thcn,"Phạm Văn Ất,Lê Trường Thông","            Giáo Trình C++ Và Lập Trình Hướng Đối Tượng        Lập trình cấu trúc là phương pháp tổ chức, phân chia chương trình thành các hàm, thủ tục. Chúng được dùng để xử lý dữ liệu    nhưn...",116000.0,Huy Hoàng Bookstore,2018-01-01 00:00:00,Bìa mềm,488.0,,16 x 24 cm,,
6,Nguồn Gốc Các Loài,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/-/4-nguon-goc-cac-loai.u5168.d20170710.t135447.262055.jpg,Đại học – cao đẳng – thcn," Nguồn Gốc Các Loài  là tên rút gọn của cuốn sách Về Nguồn Gốc Các Loài Qua Con Đường Chọn Lọc Tự Nhiên, hay Sự Bảo Tồn Những Chủng Ưu Thế Trong     Đấu Tranh Sinh Tồn (của Charles Darwin, xuất bản nă...",140000.0,16 x 24 cm,496.0,Darwin,,,,,Nguồn Gốc Các Loài,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/-/4-nguon-goc-cac-loai.u5168.d20170710.t135447.262055.jpg,Đại học – cao đẳng – thcn,Darwin," Nguồn Gốc Các Loài  là tên rút gọn của cuốn sách Về Nguồn Gốc Các Loài Qua Con Đường Chọn Lọc Tự Nhiên, hay Sự Bảo Tồn Những Chủng Ưu Thế Trong     Đấu Tranh Sinh Tồn (của Charles Darwin, xuất bản nă...",140000.0,NXB Tri Thức,2012-09-01 00:00:00,Bìa mềm,496.0,,16 x 24 cm,,
7,Giáo Trình Kinh Tế Chính Trị Mác – Lênin (Dành Cho Bậc Đại Học Hệ Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/78/6e/5b/7ecc21675293c9d7db87ed2fbb604034.jpg,Đại học – cao đẳng – thcn,"Giáo trình do PGS.TS. Ngô Tuấn Nghĩa chủ biên, cùng tập thể tác giả là những nhà nghiên cứu, nhà giáo dục có nhiều kinh nghiệm.Giáo trình gồm 9 chương: Chương 1 cung cấp những tri thức cơ bản về sự r...",97000.0,,440.0,Bộ Giáo Dục Và Đào Tạo,,,,,Giáo Trình Kinh Tế Chính Trị Mác – Lênin (Dành Cho Bậc Đại Học Hệ Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/78/6e/5b/7ecc21675293c9d7db87ed2fbb604034.jpg,Đại học – cao đẳng – thcn,Bộ Giáo Dục Và Đào Tạo,"Giáo trình do PGS.TS. Ngô Tuấn Nghĩa chủ biên, cùng tập thể tác giả là những nhà nghiên cứu, nhà giáo dục có nhiều kinh nghiệm.Giáo trình gồm 9 chương: Chương 1 cung cấp những tri thức cơ bản về sự r...",97000.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,2021-07-17 09:11:25,Bìa mềm,440.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,
8,Phương Pháp Nghiên Cứu Kinh Tế Và Viết Luận Văn Thạc Sĩ Và Luận Án Tiến Sĩ,https://salt.tikicdn.com/cache/280x280/ts/product/0e/97/e6/22e6a315b523a3512564e5bbdcd520fb.jpg,Đại học – cao đẳng – thcn,"Phương Pháp Nghiên Cứu Kinh Tế Và Viết Luận Văn Thạc Sĩ Và Luận Án Tiến Sĩ   Cuốn sách này ra đời nhằm giúp cho những nhà nghiên cứu, học viên thạc sĩ, nghiên cứu sinh có thêm tài liệu tiếp cận phươn...",655500.0,,,PGS TS Đinh Phi Hổ,,,,,Phương Pháp Nghiên Cứu Kinh Tế Và Viết Luận Văn Thạc Sĩ Và Luận Án Tiến Sĩ,https://salt.tikicdn.com/cache/280x280/ts/product/0e/97/e6/22e6a315b523a3512564e5bbdcd520fb.jpg,Đại học – cao đẳng – thcn,PGS TS Đinh Phi Hổ,"Phương Pháp Nghiên Cứu Kinh Tế Và Viết Luận Văn Thạc Sĩ Và Luận Án Tiến Sĩ   Cuốn sách này ra đời nhằm giúp cho những nhà nghiên cứu, học viên thạc sĩ, nghiên cứu sinh có thêm tài liệu tiếp cận phươn...",655500.0,Cty Hương Huy,,,,Nhà Xuất Bản Tài Chính,,,
9,Giáo Trình Triết Học Mác – Lênin (Dành Cho Bậc Đại Học Hệ Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/3c/eb/61/5fdb072b133a648d92ac640aae78656a.jpg,Đại học – cao đẳng – thcn,"Giáo trình do Ban biên soạn gồm các tác giả là nhà nghiên cứu, nhà giáo dục thuộc Viện Triết học - Học viện Chính trị quốc gia Hồ Chí Minh, các học viện, trường đại học, Viện Triết học - Viện Hàn lâm ...",120000.0,,560.0,Bộ Giáo Dục Và Đào Tạo,,,,,Giáo Trình Triết Học Mác – Lênin (Dành Cho Bậc Đại Học Hệ Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,https://salt.tikicdn.com/cache/280x280/ts/product/3c/eb/61/5fdb072b133a648d92ac640aae78656a.jpg,Đại học – cao đẳng – thcn,Bộ Giáo Dục Và Đào Tạo,"Giáo trình do Ban biên soạn gồm các tác giả là nhà nghiên cứu, nhà giáo dục thuộc Viện Triết học - Học viện Chính trị quốc gia Hồ Chí Minh, các học viện, trường đại học, Viện Triết học - Viện Hàn lâm ...",120000.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,2021-07-17 09:07:39,Bìa mềm,560.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,
10,"Combo 5 cuốn Giáo Trình Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị: Giáo Trình Triết Học, Giáo Trình Kinh Tế Chính Trị ,  Giáo Trình Chủ Nghĩa Xã Hội Khoa Học, Giáo Trình Lịch Sử Đảng Cộng Sản Việt Nam, Giáo Trình Tư Tưởng Hồ Chí Minh",https://salt.tikicdn.com/cache/280x280/ts/product/ea/8d/1c/74e8f54e37793daba4cba344ca364e67.jpg,Đại học – cao đẳng – thcn,"Bộ giáo trình lý luận chính trị gồm 5 cuốn dành cho bậc đại học hệ không chuyên lý luận chính trị.Bộ sách là tài liệu giảng dạy, học tập cho giảng viên, sinh viên các trường đại học theo chương trình...",369000.0,,1676.0,Bộ Giáo Dục Và Đào Tạo,,,,,"Combo 5 cuốn Giáo Trình Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị: Giáo Trình Triết Học, Giáo Trình Kinh Tế Chính Trị ,  Giáo Trình Chủ Nghĩa Xã Hội Khoa Học, Giáo Trình Lịch Sử Đảng Cộng Sản Việt Nam, Giáo Trình Tư Tưởng Hồ Chí Minh",https://salt.tikicdn.com/cache/280x280/ts/product/ea/8d/1c/74e8f54e37793daba4cba344ca364e67.jpg,Đại học – cao đẳng – thcn,Bộ Giáo Dục Và Đào Tạo,"Bộ giáo trình lý luận chính trị gồm 5 cuốn dành cho bậc đại học hệ không chuyên lý luận chính trị.Bộ sách là tài liệu giảng dạy, học tập cho giảng viên, sinh viên các trường đại học theo chương trình...",369000.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,2021-08-24 09:10:00,Bìa mềm,1676.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,
