,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
1,SỔ TAY CƯỚI – BÍ QUYẾT TỔ CHỨC ĐÁM CƯỚI TRONG MƠ CỦA BẠN,https://salt.tikicdn.com/cache/280x280/ts/product/ba/61/f9/fabde6b860b4ae478c0c4e7038ecb3dc.png,Chuyên đề,"SỔ TAY CƯỚI – BÍ KÍP NGÀN VÀNG ĐỂ TỐ CHỨC ĐÁM CƯỚI TRONG MƠ  90% CÁC CẶP ĐÔI GẶP KHÓ KHĂN KHI CHUẨN BỊ ĐÁM CƯỚIAi trong đời cũng phải trải qua việc lần đầu tiên tổ chức đám cưới, mà đã là lần...",119000.0,,150.0,Kim Ngọc Thủy,,,,,SỔ TAY CƯỚI – BÍ QUYẾT TỔ CHỨC ĐÁM CƯỚI TRONG MƠ CỦA BẠN,https://salt.tikicdn.com/cache/280x280/ts/product/ba/61/f9/fabde6b860b4ae478c0c4e7038ecb3dc.png,Chuyên đề,Kim Ngọc Thủy,"SỔ TAY CƯỚI – BÍ KÍP NGÀN VÀNG ĐỂ TỐ CHỨC ĐÁM CƯỚI TRONG MƠ  90% CÁC CẶP ĐÔI GẶP KHÓ KHĂN KHI CHUẨN BỊ ĐÁM CƯỚIAi trong đời cũng phải trải qua việc lần đầu tiên tổ chức đám cưới, mà đã là lần...",119000.0,NXB Đồng Nai,2019-11-19 17:27:16,Bìa mềm,150.0,Nhà Xuất Bản Đồng Nai,,,Giới hạn
2,Giải Quyết Những Vấn Đề Khó Trong Ôn Thi Học Sinh Giỏi THPT Môn Lịch Sử,https://salt.tikicdn.com/cache/280x280/ts/product/2d/2a/b2/6d4d87b609ebf93edc3bc348ecb57865.jpg,Chuyên đề,MÔ TẢ SẢN PHẨMNội dung gồm có:Phần thứ nhất: Hướng dẫn ôn luyện kiến thức dưới dạng trả lời các câu hỏi theo chủ đề thuộc phạm vị Lịch sử thế giớiPhần thứ hai: Hướng dẫn ôn luyện kiến thức dưới dạ...,105000.0,,312.0,Nguyễn Thị Thanh Nga,,,,,Giải Quyết Những Vấn Đề Khó Trong Ôn Thi Học Sinh Giỏi THPT Môn Lịch Sử,https://salt.tikicdn.com/cache/280x280/ts/product/2d/2a/b2/6d4d87b609ebf93edc3bc348ecb57865.jpg,Chuyên đề,Nguyễn Thị Thanh Nga,MÔ TẢ SẢN PHẨMNội dung gồm có:Phần thứ nhất: Hướng dẫn ôn luyện kiến thức dưới dạng trả lời các câu hỏi theo chủ đề thuộc phạm vị Lịch sử thế giớiPhần thứ hai: Hướng dẫn ôn luyện kiến thức dưới dạ...,105000.0,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,2020-11-26 19:33:57,Bìa mềm,312.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,Tái bản lần thứ 1
3,Toàn Tập Về Quy Đổi,https://salt.tikicdn.com/cache/280x280/ts/product/f6/e5/5b/817b282156341bcbb8b3d3a1963ec9dc.jpg,Chuyên đề,"Toàn Tập Về Quy ĐổiGiết người và lấy da mặt của họ, Arya sử dụng những chiếc mặt nạ ấy để hành sự. Điều mà nhiều lần trong tuổi thơ người ta vẫn bắt gặp ở những bộ phim cổ trang của Trung Quốc. Cô bé...",128700.0,19 x 26 cm,352.0,"Phan Quốc Khánh,Đào Văn Yên,Đỗ Văn Khang",,,,,Toàn Tập Về Quy Đổi,https://salt.tikicdn.com/cache/280x280/ts/product/f6/e5/5b/817b282156341bcbb8b3d3a1963ec9dc.jpg,Chuyên đề,"Phan Quốc Khánh,Đào Văn Yên,Đỗ Văn Khang","Toàn Tập Về Quy ĐổiGiết người và lấy da mặt của họ, Arya sử dụng những chiếc mặt nạ ấy để hành sự. Điều mà nhiều lần trong tuổi thơ người ta vẫn bắt gặp ở những bộ phim cổ trang của Trung Quốc. Cô bé...",128700.0,TKBooks,2017-11-30 17:17:05,Bìa mềm,352.0,,19 x 26 cm,,
4,Đột Phá Đỉnh Cao Bồi Dưỡng Học Sinh Giỏi Chuyên Đề Số Học,https://salt.tikicdn.com/cache/280x280/ts/product/21/df/37/d4fe40d4e69058c5f0480c6d1ec58fe8.jpg,Chuyên đề,"Số học là một phân nhánh toán học lâu đời nhất và sơ cấp nhất, được hầu hết mọi người thường xuyên sử dụng từ những công việc thường nhật cho đến các tính toán khoa học và kinh doanh cao cấp qua các p...",207000.0,16 x 24 cm,966.0,Văn Phú Quốc,,,,,Đột Phá Đỉnh Cao Bồi Dưỡng Học Sinh Giỏi Chuyên Đề Số Học,https://salt.tikicdn.com/cache/280x280/ts/product/21/df/37/d4fe40d4e69058c5f0480c6d1ec58fe8.jpg,Chuyên đề,Văn Phú Quốc,"Số học là một phân nhánh toán học lâu đời nhất và sơ cấp nhất, được hầu hết mọi người thường xuyên sử dụng từ những công việc thường nhật cho đến các tính toán khoa học và kinh doanh cao cấp qua các p...",207000.0,Khang Việt Book,2019-03-01 00:00:00,Bìa mềm,966.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,16 x 24 cm,,
5,Xung Quanh Phép Quay,https://salt.tikicdn.com/cache/280x280/media/catalog/product/2/4/2487969033375_s_01.d20170810.t151355.156506.jpg,Chuyên đề," Xung Quanh Phép Quay   Xung Quanh Phép Quay - Hướng Dẫn Môn Hình Học Sơ Cấp  giới thiệu hình học sơ cấp một cách tự nhiên và hiện đại, thông qua việc sử dụng các phép dời hình (phép quay, phép tịnh ...",49500.0,14.5 x 20.5 cm,122.0,Waldemar Pompe,,,,,Xung Quanh Phép Quay,https://salt.tikicdn.com/cache/280x280/media/catalog/product/2/4/2487969033375_s_01.d20170810.t151355.156506.jpg,Chuyên đề,Waldemar Pompe," Xung Quanh Phép Quay   Xung Quanh Phép Quay - Hướng Dẫn Môn Hình Học Sơ Cấp  giới thiệu hình học sơ cấp một cách tự nhiên và hiện đại, thông qua việc sử dụng các phép dời hình (phép quay, phép tịnh ...",49500.0,CÔNG TY CỔ PHẦN GIÁO DỤC SPUTNIK,2016-08-19 00:00:00,Bìa mềm,122.0,,14.5 x 20.5 cm,"GS. Nguyễn Hùng Sơn, GS. Nguyễn Sinh Hoa",
6,Bí Mật Học Và Ôn Thi ĐỈnh Cao Từ Thủ Khoa (Tập 2),https://salt.tikicdn.com/cache/280x280/ts/product/c5/dc/db/88fe8db6d5d8999f0abcd905805ea70d.jpg,Chuyên đề,"Muốn thành công hãy học từ chính những người thành công! Bởi thành công có phương pháp và thất bại có lý do. Bí mật thật sự của những học sinh giỏi, những Thủ khoa, Á khoa không phải bởi họ sinh ra đã...",150000.0,,208.0,Lê Văn Thành,,,,,Bí Mật Học Và Ôn Thi ĐỈnh Cao Từ Thủ Khoa (Tập 2),https://salt.tikicdn.com/cache/280x280/ts/product/c5/dc/db/88fe8db6d5d8999f0abcd905805ea70d.jpg,Chuyên đề,Lê Văn Thành,"Muốn thành công hãy học từ chính những người thành công! Bởi thành công có phương pháp và thất bại có lý do. Bí mật thật sự của những học sinh giỏi, những Thủ khoa, Á khoa không phải bởi họ sinh ra đã...",150000.0, Dân Trí,2021-04-09 10:08:27,Bìa mềm,208.0,NXB Dân Trí,,,
7,Hình Học Phẳng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/2/4/2481225552600_s_01.d20170810.t151312.849532.jpg,Chuyên đề,  Hình Học Phẳng   Quyển sách “Hình học phẳng” mà bạn đọc đang cầm trong tay chính là quyển sách về hình học sơ cấp nổi tiếng nhất trên thế     giới trong thế kỷ 20 và đầu thế kỷ 21. Được viết bỏi nh...,79000.0,14.5 x 20.5 cm,371.0,Kiselev,,,,,Hình Học Phẳng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/2/4/2481225552600_s_01.d20170810.t151312.849532.jpg,Chuyên đề,Kiselev,  Hình Học Phẳng   Quyển sách “Hình học phẳng” mà bạn đọc đang cầm trong tay chính là quyển sách về hình học sơ cấp nổi tiếng nhất trên thế     giới trong thế kỷ 20 và đầu thế kỷ 21. Được viết bỏi nh...,79000.0,CÔNG TY CỔ PHẦN GIÁO DỤC SPUTNIK,2016-03-10 00:00:00,Bìa mềm,371.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,14.5 x 20.5 cm,Nguyễn Vân Hằng,
8,Thách Thức Với 201 Ô Chữ Số Kakuro - Tập 1 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/0/40-kakuro.u5465.d20170808.t160053.111215.jpg,Chuyên đề,"Thách Thức Với 201 Ô Chữ Số Kakuro - Tập 1 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách...",35500.0,,256.0,Alastair Chisholm,,,,,Thách Thức Với 201 Ô Chữ Số Kakuro - Tập 1 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/0/40-kakuro.u5465.d20170808.t160053.111215.jpg,Chuyên đề,Alastair Chisholm,"Thách Thức Với 201 Ô Chữ Số Kakuro - Tập 1 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách...",35500.0,Nhân Trí Việt,2006-08-23 00:00:00,Bìa mềm,256.0,,,Trần Văn Phúc,
9,Bài Tập Đánh Giá Năng Lực Khoa Học Tự Nhiên (Luyện Thi THPT PISASAT),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img104.u4939.d20170328.t093609.99944.jpg,Chuyên đề,Cuốn sách Bài Tập Đánh Giá Năng Lực Khoa Học Tự Nhiên (Luyện Thi THPT PISASAT) bao gồm các đề thi về lĩnh vực khoa học tự nhiên tập trung đánh giá 3 mảng năng lực chính theo chương trình quốc tế. Nhữ...,209000.0,19 x 27 cm,646.0,Nhiều Tác Giả,,,,,Bài Tập Đánh Giá Năng Lực Khoa Học Tự Nhiên (Luyện Thi THPT PISASAT),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img104.u4939.d20170328.t093609.99944.jpg,Chuyên đề,Nhiều Tác Giả,Cuốn sách Bài Tập Đánh Giá Năng Lực Khoa Học Tự Nhiên (Luyện Thi THPT PISASAT) bao gồm các đề thi về lĩnh vực khoa học tự nhiên tập trung đánh giá 3 mảng năng lực chính theo chương trình quốc tế. Nhữ...,209000.0,Nhà Sách Hồng Ân,2017-01-23 00:00:00,Bìa mềm,646.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,19 x 27 cm,,
10,Chinh Phục Hóa Học 12 Hữu Cơ - Bằng Phương Pháp Giải Nhanh Và Kỹ Thuật Hiện Đại Nhất (Tập 2),https://salt.tikicdn.com/cache/280x280/media/catalog/product/h/o/hoa-hoc-tap-2-01-u5131-d20170508-t152806-711387_1.u5131.d20170509.t151835.57689.jpg,Chuyên đề,Chinh Phục Hóa Học Hữu Cơ 12 - Bằng Phương Pháp Giải Nhanh Và Kỹ Thuật Hiện Đại Nhất (Tập 2) Gồm 3 chuyên đề:  Chuyên đề 3: Amin - Aminoaxit - Peptit - Protein Chuyên đề 4: Polime và vật liệu poli...,162810.0,16 x 24 cm,520.0,Nguyễn Văn Thương,,,,,Chinh Phục Hóa Học 12 Hữu Cơ - Bằng Phương Pháp Giải Nhanh Và Kỹ Thuật Hiện Đại Nhất (Tập 2),https://salt.tikicdn.com/cache/280x280/media/catalog/product/h/o/hoa-hoc-tap-2-01-u5131-d20170508-t152806-711387_1.u5131.d20170509.t151835.57689.jpg,Chuyên đề,Nguyễn Văn Thương,Chinh Phục Hóa Học Hữu Cơ 12 - Bằng Phương Pháp Giải Nhanh Và Kỹ Thuật Hiện Đại Nhất (Tập 2) Gồm 3 chuyên đề:  Chuyên đề 3: Amin - Aminoaxit - Peptit - Protein Chuyên đề 4: Polime và vật liệu poli...,162810.0,Khang Việt Book,2017-05-08 00:00:00,Bìa mềm,520.0,Nhà Xuất Bản Tổng hợp TP.HCM,16 x 24 cm,,2017
11,Chinh Phục Bài Tập Vật Lí - Chuyên Đề: Sóng Cơ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/-/1-878383214822.u2566.d20170407.t115627.56055.jpg,Chuyên đề," Chinh Phục Bài Tập Vật Lí - Chuyên Đề: Sóng Cơ  tập trung vào những kiến thức trọng tâm, cơ bản, đồng thời có mở rộng, đi sâu vào những dạng bài tập khó giúp các em chinh     phục được điểm 9, 10. S...",75000.0,16 x 24 cm,304.0,Ths. Nguyễn Xuân Trị,,,,,Chinh Phục Bài Tập Vật Lí - Chuyên Đề: Sóng Cơ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/-/1-878383214822.u2566.d20170407.t115627.56055.jpg,Chuyên đề,Ths. Nguyễn Xuân Trị," Chinh Phục Bài Tập Vật Lí - Chuyên Đề: Sóng Cơ  tập trung vào những kiến thức trọng tâm, cơ bản, đồng thời có mở rộng, đi sâu vào những dạng bài tập khó giúp các em chinh     phục được điểm 9, 10. S...",75000.0,Khang Việt Book,2017-04-05 00:00:00,Bìa mềm,304.0,,16 x 24 cm,,
12,Trắc Nghiệm Địa Lí 12 ( Luyện Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img070.u4939.d20170327.t092950.535231.jpg,Chuyên đề,Cuốn sách Trắc Nghiệm Địa Lí 12 ( Luyện Thi THPT Quốc Gia) bao gồm các bài tập trắc nghiệm được tác giả biên soạn và giảng dạy thử nghiệm ở các lớp bồi dưỡng kiến thức phổ thông chuẩn bị cho kỳ thi tr...,72000.0,17 x 24 cm,303.0,PGS.TS. Nguyễn Đức Vũ,,,,,Trắc Nghiệm Địa Lí 12 ( Luyện Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img070.u4939.d20170327.t092950.535231.jpg,Chuyên đề,PGS.TS. Nguyễn Đức Vũ,Cuốn sách Trắc Nghiệm Địa Lí 12 ( Luyện Thi THPT Quốc Gia) bao gồm các bài tập trắc nghiệm được tác giả biên soạn và giảng dạy thử nghiệm ở các lớp bồi dưỡng kiến thức phổ thông chuẩn bị cho kỳ thi tr...,72000.0,Nhà Sách Hồng Ân,2016-11-24 00:00:00,Bìa mềm,303.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,17 x 24 cm,,
13,Khám Phá Tư Duy Kỹ Thuật Giải Bất Đẳng Thức Bài Toán Min - Max,https://salt.tikicdn.com/cache/280x280/ts/product/05/0c/3a/708018dfa074c4e287f086abe43bb2c9.jpg,Chuyên đề,"Bạn đọc thân mến! Bất đẳng thức là một lĩnh vực truyền thống lâu đời của toán học sơ cấp mang trong mình vẻ đẹp rất riêng và thú vị, vì thế luôn cuốn hút được bạn đọc quan tâm. Và có thể nói bất đẳng...",210000.0,16 x 24 cm,734.0,Đặng Thành Nam,,,,,Khám Phá Tư Duy Kỹ Thuật Giải Bất Đẳng Thức Bài Toán Min - Max,https://salt.tikicdn.com/cache/280x280/ts/product/05/0c/3a/708018dfa074c4e287f086abe43bb2c9.jpg,Chuyên đề,Đặng Thành Nam,"Bạn đọc thân mến! Bất đẳng thức là một lĩnh vực truyền thống lâu đời của toán học sơ cấp mang trong mình vẻ đẹp rất riêng và thú vị, vì thế luôn cuốn hút được bạn đọc quan tâm. Và có thể nói bất đẳng...",210000.0,Khang Việt Book,2019-03-01 00:00:00,Bìa mềm,734.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,16 x 24 cm,,
