tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,nhà phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả
"Vô Cùng Tàn Nhẫn, Vô Cùng Yêu Thương (Tái Bản 2017)",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8935251405873.jpg,Cẩm nang làm cha mẹ,Sara Imas,"
Vô Cùng Tàn Nhẫn, Vô Cùng Yêu Thương (Tái Bản 2017)
Vô cùng tàn nhẫn vô cùng yêu thương là chấp bút của một bà mẹ Do Thái sinh ra và lớn lên ở Thượng Hải, đã bồi dưỡng con cái của mình trở thành triệu phú.
Do Thái là một dân tộc huyền bí, từng xuất hiện nhiều triết gia vĩ đại và doanh nhân thành công ở khắp mọi nơi trên thế giới. Mặc dù dân số không đông nhưng lại có nguồn sức mạnh tiềm ẩn khổng lồ, chưa biết chừng còn nắm giữ huyết mạch của cả thế giới.
Tích hợp phương pháp giáo dục của Trung Quốc và Do Thái, Sara cho rằng: “Người nào nuông chiều con cái, ắt có ngày người đó phải băng bó vết thương cho con. Mềm mỏng là hại, tàn nhẫn là yêu!” Bà cũng ví von: “Một số cha mẹ Trung Quốc yêu thương con giống hình tử cung, còn các bậc cha mẹ Do Thái yêu thương con cái như hình đống lửa.”
Giáo dục con cái là một môn học, một nghệ thuật, mà tất cả mọi người đều phải học tập. Đáng thương cho tấm lòng cha mẹ trong thiên hạ, nếu không học cách nuôi dạy con đúng đắn thì chắc chắn sẽ chuốc lấy hậu quả đáng sợ và đáng hận. “Con muốn học mà cha mẹ không dạy” cũng bi thương như “con muốn nuôi, mà cha mẹ chẳng còn”. Vậy cha mẹ cần dạy dỗ con một cách khoa học như thế nào? Đó là một câu hỏi và cũng là một vấn đề lớn có liên quan mật thiết đến sự thành công hay thất bại của một người và cũng như sự hưng thịnh hay suy thoái của cả một dân tộc. 
",169.000 đ,,NXB Dân Trí,2017,14 x 20.5,Bìa Mềm,420.0,
Nếp Sinh Hoạt Cho Bé Yêu - Nuôi Con Không Phải Là Cuộc Chiến 2 (Quyển 2) - Tái Bản 2019,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_nuoi-con-khong-phai-la-cuoc-chien-2_quyen-2.jpg,Cẩm nang làm cha mẹ,"Hachun Lyonnet, Hương Đỗ","
Nếp Sinh Hoạt Cho Bé Yêu - Nuôi Con Không Phải Là Cuộc Chiến 2 (Quyển 2) - Tái Bản 2019
Những năm trở lại đây, cùng với sự phát hành của hàng loạt các đầu sách về nuôi con tự lập và nuôi con khoa học thì khái niệm sinh hoạt E.A.S.Y hay chu kì sinh hoạt Bú – Chơi – Ngủ cũng đã không còn xa lạ với các cha mẹ Việt. Việc áp dụng trình tự sinh hoạt nhất quán cho con ngay từ khi trẻ mới lọt lòng ngày càng đƣợc phổ biến và mang đến không ít niềm vui cho nhiều gia đình. Chính vì những thành công của việc áp dụng trình tự sinh hoạt này, nhiều cha mẹ có thêm can đảm mở rộng quy mô gia đình cũng nhƣ có thêm những lời khuyên sáng suốt cho bạn bè và ngƣời thân.
E.A.S.Y là một chuỗi trình tự sinh hoạt (routine) (Xem thêm quyển 1, chương 4, phần Trình tự sinh hoạt) lặp đi lặp lại đơn giản, dễ thực hiện có thể đựợc áp dụng ngay từ ngày đầu tiên bé chào đời. Nó được cố chuyên gia về trẻ sơ sinh Tracy Hogg giới thiệu trong bộ sách nổi tiếng Baby Whisperer và đã trở thành một trong những trình tự sinh hoạt cho trẻ sơ sinh đƣợc áp dụng rộng rãi nhất trên toàn cầu. Trong một ngày, từ sau khi thức dậy cho đến khi đi ngủ đêm, một em bé sơ sinh sẽ trải qua các chu trình E.A.S.Y ngắn, đã được định trước, đƣợc lặp đi lặp lại cho đến khi nó trở thành một thói quen - một phản xạ đối với bé. Mỗi một chữ cái trong E.A.S.Y tương ứng với một hoạt động trong chu trình đó, nhƣ sau:
Một ngày của bé sẽ là những chuỗi lặp đi lặp lại của nhiều chu kỳ E.A.S.Y. Bé ngủ dậy sẽ được ăn (E), sau đó mẹ cho bé hoạt động (A) rồi bé ngủ (S) và mẹ có thời gian thƣ giãn (Y). Khi ngủ dậy, bé lại đƣợc tiếp tục cho ăn, hoạt động, ngủ và mẹ có thời gian riêng dành cho mình. Cứ như vậy lặp đi lặp lại cho đến khi bé đi ngủ đêm và một ngày của mẹ con kết thúc!.
Trình tự sinh hoạt E.A.S.Y này sẽ theo bé từ khi còn lọt lòng cho tới khi chập chững biết đi, khi vào mẫu giáo và thậm chí cả khi đã đi học tiểu học hay lớn hơn. E.A.S.Y là một trình tự sinh hoạt (routine), chứ không phải một thời gian biểu - một lịch trình (schedule). Rất nhiều cha mẹ đã nhầm lẫn hai khái niệm này với nhau và gộp chung chúng lại làm một và cho rằng áp dụng E.A.S.Y thật cứng nhắc. Tuy nhiên, chúng lại khác nhau hoàn
E.A.S.Y không có gì to tát cả, nó bắt đầu từ khái niệm về qui luật/chu kì/nhịp sinh hoạt. E.A.S.Y giúp con và cả những người chăm sóc bé nắm bắt đƣợc những gì sẽ xảy ra trong ngày. Em bé có quyền đƣợc biết những gì xảy ra với mình. Những ngƣời chăm sóc bé cũng có thể đoán trƣớc đƣợc nhu cầu sắp tới của bé khi bé theo một chu kỳ sinh hoạt nhất định. Điều này giúp cho tất cả các thành viên trong gia đình - dù ở bất cứ cƣơng vị nào - đều có thể trở nên chủ động hợn, biết trƣớc đƣợc những điều gì sắp đến, mọi việc sẽ diễn ra trôi chảy hơn, ít các biến động bất ngờ hơn và từ đó việc chăm sóc trẻ cũng trở nên dễ dàng hơn. . Đây cũng chính là nền tảng xây dựng sự tin tƣởng lẫn nhau giữa em bé và ngƣời chăm sóc, cũng nhƣ xây dựng mối liên kết giữa bé và gia đình.
 Ở phần 2 của bộ sách này, nhóm tác giả mời đọc giả cùng tìm hiểu về khái niệm E.A.S.Y và lý do vì sao nó lại thành công đến vậy; cách áp dụng E.A.S.Y cho từng lứa tuổi; những lịch sinh hoạt mẫu và những khúc mắc trong áp dụng E.A.S.Y khi con trải qua các giai đoạn phát triển thể chất và tinh thần. Chúng tôi cũng ghi nhận lại những trƣờng hợp kinh điển và những kinh nghiệm quý báu của các bậc cha mẹ đi trƣớc truyền lại hay những giải pháp tổ chức cuộc sống khoa học khi mẹ quay trở lại đi làm… Xuyên suốt cuốn sách này, với mong muốn nhấn mạnh đến tính chất duy nhất và đặc biệt của từng em bé, chúng tôi cũng không quên đƣa ra những giải pháp đặc biệt để cha mẹ có thể tự thiết kế lịch sinh hoạt phù hợp với con và với điều kiện của từng gia đình. 
",110.000 đ,,NXB Lao Động,2019,15.5 x 24,Bìa Mềm,275.0,
Chờ Đến Mẫu Giáo Thì Đã Muộn,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_22567.jpg,Cẩm nang làm cha mẹ,"Ibuka Masura, Nguyễn Thị Thu","
TOP 100 BEST SELLER - Chờ đến mẫu giáo thì đã muộn là cuốn sách bàn về phương pháp giáo dục trẻ trong giai đoạn từ 0 đến 3 tuổi của tác giả Ibuka Masaru, người sáng lập tập đoàn Sony đồng thời là một nhà nghiên cứu giáo dục. Dựa trên những nghiên cứu về sinh lý học của não bộ và di truyền học, ông đã khẳng định sự phát triển về trí tuệ và năng lực của trẻ được quyết định trong giai đoạn từ 0 đến 3 tuổi, giai đoạn này là “thời kỳ thích hợp” để “nuôi dạy một đứa trẻ trở nên ngoan ngoãn, vui vẻ, có trí tuệ thông minh và khỏe mạnh”. Từ đó, ông đưa ra những giải pháp để giúp các bậc cha mẹ tạo ra môi trường để trẻ có thể phát huy hết khả năng của mình.
Sức cuốn hút của Chờ đến mẫu giáo thì đã muộn không phải là những bài học giáo dục cao siêu mà ở lời nhắn nhủ hãy khơi dậy tiềm năng của trẻ từ những điều nhỏ nhặt trong cuộc sống bằng tình yêu của người làm cha mẹ. 
",69.000 đ,,Văn Học,10/2013,13.5 x 20.5,Bìa Mềm,240.0,
"Bé Thơ Tự Ngủ, Cha Mẹ Thư Thái - Nuôi Con Không Phải Là Cuộc Chiến 2 (Quyển 3) - Tái Bản 2019",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/z/2/z2567449596455_d3f3e8abf824fd9a62f4af3127921f01.jpg,Cẩm nang làm cha mẹ,"Hachun Lyonnet, Hương Đỗ","
Bé Thơ Tự Ngủ, Cha Mẹ Thư Thái - Nuôi Con Không Phải Là Cuộc Chiến 2 (Quyển 3) - Tái Bản 2019
Ngủ là một trong những hoạt động quan trọng nhất của quá trình phát triển, nhất là ở trẻ em. Bấy lâu nay ở Việt Nam nhu cầu ngủ ở trẻ không được coi trọng một cách đúng đắn. Trong một hội thảo gần đây của ngành y tế, Bác sĩ Johnathan Halevy, Trưởng Khoa Nhi  Trung tâm phòng khám Family Medical Practice đã chia sẻ tình trạng sức khỏe do thiếu ngủ của trẻ em Việt Nam cần sớm cải thiện. Theo Bác sĩ Johnathan Halevy, tình trạng thiếu ngủ có thể dẫn đến hàng loạt hệ quả nghiêm trọng nhƣ tình trạng giảm sút khả năng nhận thức, gây ra các vấn đề về trí nhớ, chức năng vận động, trầm cảm, hành vi và các rối loạn về tâm lý cũng nhƣ sự an toàn của trẻ. Có đến một nửa trẻ mầm non và 40% trẻ vị thành niên ngủ ít hơn thời lượng cần thiết mà nguyên nhân phát sinh chủ yếu đến từ sự thiếu coi trọng thời lƣợng nghỉ ngơi cho các bé từ khi còn nhỏ của phụ huynh.
Ngủ rất quan trọng đối với sự phát triển của cơ thể, não và các chức năng nội tiết. Thậm chí, cơ bắp của chúng ta cũng phát triển ngay trong lúc chúng ta đang ngủ, đặc biệt là ở trẻ sơ sinh. Ngủ không đủ giấc hoặc chất lượng giấc ngủ kém sẽ gây ra những ảnh hƣởng về thể chất, tinh thần, tình cảm, hành vi và nhận thức.
Bé thơ tự ngủ có lẽ là mơ ước của rất nhiều bậc phụ huynh - những ngƣời mà dường như việc nuôi con nhỏ đồng nghĩa với việc ru - bế con liên tục và chứng mất ngủ kinh niên. Để không vướng vào tình cảnh này, nhiều bậc cha mẹ chu đáo đã tìm hiểu từ sớm các thông tin giúp bé có thể tự đi vào giấc ngủ mà không cần đến bầu ngực của mẹ, bàn tay ẵm bế của bà hay lời ru của cha, thay vào đó - đến giờ mẹ làm “thủ tục đi ngủ”, đặt con xuống và bé chấp nhận điều đó. Con tự đi vào giấc ngủ một mình trong cũi của chính mình, thậm chí từ khi bé còn rất nhỏ.
Nghe hoang đƣờng quá phải không các bạn? Nhưng, thực sự điều đó là hoàn toàn có thể thực hiện được.
 Em bé tự ngủ là một trong những chủ đề nhạy cảm mà bấy lâu nay tuy đƣợc áp dụng rất phổ biến tại phương tây nhưng còn khá xa lạ với các bậc cha mẹ Việt. Em bé tự ngủ hầu như là không thể trong quan niệm của cha mẹ Việt, nhưng một thực tế ngày càng đƣợc hình thành và khẳng định rằng một khi những em bé biết tự ngủ, ngủ tự lập mà không cần sự hỗ trợ (ti mẹ, ru ẵm…) có nhiều cơ hội hơn để ngủ đủ theo nhu cầu của mình.
Cha mẹ có biết, một em bé sơ sinh cần ngủ 16-18h mỗi ngày trong 3 tháng đầu đời? Con số này giảm xuống còn 15-16h khi bé chạm ngƣỡng 6 tháng. Và hầu hết các em bé đều cần ngủ khoảng 14h/ngày cho đến hết sinh nhật 3 tuổi của mình. Nếu con bạn thiếu ngủ, dù chỉ 2h mỗi ngày, đến sinh nhật 1 tuổi bé đã thiếu hụt mất hơn 720h nghỉ ngơi. Không những thế, năm đầu đời trẻ phát triển nhận thức và thể chất khi con ngủ, đặc biệt là ở các giấc ngủ lơ mơ – REM, vậy con bạn đã bỏ lỡ bao nhiêu thời lƣợng để lớn.
 Ngƣợc lại với ăn, là một trong những phản xạ tự nhiên và bản năng sinh tồn lớn ở động vật, để đạt được trạng thái thư giãn và nghỉ ngơi, con cần học cách để trấn an bản thân mình, để quên đi môi trƣờng xung quanh và đưa con vào giấc ngủ. Ở các em bé sơ sinh, khả năng giao tiếp và cảm nhận còn hạn chế, việc mệt mỏi đƣợc thể hiện bằng sự cáu giận, tiếng khóc mà cha mẹ hay gọi là gắt ngủ, nếu không đƣợc đáp ứng kịp thời con sẽ chuyển trạng thái ức chế thần kinh, quá mệt và do đó giấc ngủ mất đi khả năng phục hồi sức khỏe.
Trong những năm phát hành và theo sát các bậc cha mẹ Việt dạy con tự ngủ, chúng tôi đã chứng kiến sự thay đổi khả năng ngủ và việc đáp ứng tốt nhu cầu tự nhiên của một em bé biết tự ngủ so với chính em bé đó, khi con còn bị phụ thuộc vào ngƣời lớn để ru ẵm. Chúng tôi cũng nhận thấy không ít sự thay đổi tích cực trong cuộc sống gia đình, tinh thần của cha mẹ và ông bà khi con biết tự ngủ và ngủ đủ, và chính những điều đó là động lực để trong cuốn sách này, chúng tôi có quyết tâm để đi sâu nghiên cứu, ghi chép và truyền tải lại những phƣơng pháp hướng dẫn tự ngủ cho bé thơ!
Đồng hành cùng rất nhiều gia đình, chúng tôi không quên ghi nhận lại những khó khăn tâm lí của các bậc cha mẹ. Chúng tôi khẳng định, trầm cảm hậu sạn là có tồn tại và có thể gây hậu quả đến cuộc sống của gia đình. Chúng tôi hiểu vai trò tham gia của ngƣời cha có thể cân bằng cuộc sống rất nhiều khi nuôi con nhỏ. Hơn thế, khi soạn thảo bộ sách này, mong muốn tột cùng của chúng tôi là chia sẻ và xóa bớt những lo lắng cùng các gia đình, để các bậc phụ huynh sẽ trở thành những chuyên gia của nghệ thuật làm “cha mẹ thông thái”.
Chúc các em có những giấc ngủ ngon trong những gia đình hạnh phúc. 
",110.000 đ,,NXB Lao Động,2019,15.5 x 24,Bìa Mềm,258.0,
Nuôi Con Không Phải Là Cuộc Chiến,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_19074.jpg,Cẩm nang làm cha mẹ,"Bubu Hương, Mẹ Ong Bông, Hachun Lyonnet","
Bạn đã được làm mẹ, được ôm trên tay sinh linh bé bỏng của mình. Hẳn bạn đang rất băn khoăn và trăn trở với hàng ngàn thắc mắc: làm thế nào để giúp bé làm quen với gia đình, bắt nhịp với cuộc sống mới lạ bên ngoài, làm thế nào để hiểu và đáp ứng đúng những nhu cầu của em bé sơ sinh chỉ mới biết dùng tiếng khóc làm công cụ duy nhất để giao tiếp đây. Những câu hỏi cứ liên tiếp nảy ra, bạn cuống cuồng tìm sự trợ giúp và giải đáp từ nhiều nguồn khác nhau, để rồi dễ dàng rơi vào một vòng xoáy sai lầm và một cuộc chiến mệt mỏi trong sự nghiệp nuôi con nhỏ.
Nuôi con không phải là cuộc chiến: Cuốn sách không là cẩm nang để bé ăn nhiều tăng cân nhanh hay dạy bé nghe lời răm rắp, mà giúp bạn hiểu con mình hơn. Giúp bạn hiểu chu kỳ sinh học của con và cách phối kết hợp cuộc sống gia đình với chu kỳ sinh học đó của bé. Hơn thế, cuốn sách còn hướng dẫn bạn cách cho ăn khi con đói, các thông tin kinh nghiệm và các trường hợp thực tế áp dụng thành công của các “bà mẹ tuyệt vọng” khác giúp bạn có thông tin cũng như nghị lực thay đổi cách áp dụng nuôi và dạy con ở gia đình. Suy cho cùng, nuôi không hẳn đã khó, đến đoạn dạy con còn khó hơn nhiều. Cuối cùng đây là kinh nghiệm đặt những khuôn khổ hợp lý cho từng lứa tuổi, là bài học về tôn trọng trẻ thơ trong những khuôn khổ ấy. Nó sẽ làm cho kinh nghiệm làm mẹ của bạn ngọt ngào hơn và tránh cho con một tuổi thơ nước mắt bên bát cơm. 
",99.000 đ,,NXB Lao Động,2019,15.5 x 24 cm,Bìa Mềm,312.0,
Làm Cha Mẹ Tỉnh Thức,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_216377.jpg,Cẩm nang làm cha mẹ,Tiến sĩ Shefali Tsabary,"
Khi nuôi dạy con cái, ta thường xuyên bắt gặp mình đứng trước cuộc chiến giữa lý trí và con tim, như luôn phải đi thăng bằng trên dây. Một phản ứng không phù hợp có thể làm khô héo tâm hồn con, ngược lại, một lời khen ngợi đúng lúc có thể tạo cảm hứng để con thăng hoa. Trong mỗi khoảnh khắc, ta đều phải lựa chọn xây hay phá, sưởi ấm hay làm nguội lạnh tâm hồn con trẻ.
Hầu hết phụ huynh chúng ta đều vô tình vấp vào cái bẫy của việc áp đặt mong muốn của mình lên con cái. Hệ quả là thay vì nuôi dưỡng, mối quan hệ cha mẹ - con cái lại thường xuyên bóp chết tâm hồn đứa trẻ. Đây là lý do mấu chốt tại sao hiện nay rất nhiều trẻ em lớn lên trong hoang mang và trong nhiều trường hợp để lại hậu quả bệnh lý.
Điều quan trọng nhất bạn phải nhận ra khi nuôi dạy con là không phải mình đang nuôi dưỡng một ""bản sao thu nhỏ"", mà là một linh hồn sống động riêng biệt. Con cái không phải là vật sở hữu của ta theo bất cứ cách nào. Khi hiểu sâu sắc điều này, ta biết điều chỉnh cách nuôi dưỡng con theo nhu cầu của con, chứ không nhào nặn con cho vừa với nhu cầu của ta.
Làm cha mẹ tỉnh thức được viết ra với mong muốn độc giả, những người ngày ngày vật lộn với thiên chức làm cha mẹ - đặc biệt là những bậc phụ huynh đang có con ở tuổi vị thành niên, tìm thấy phao cứu sinh của mình.
Và không bao giờ là muộn ngay cả đối với những phụ huynh đang gặp khó khăn trong việc gần gũi với con ở bất kỳ lứa tuổi nào. Tất nhiên, nếu bạn có con nhỏ hơn thì việc thiết lập nền tảng vững chắc càng sớm càng mang lại nhiều lợi ích.
- Cuốn sách được ĐỨC ĐẠT LAI LẠT MA viết lời giới thiệu
Làm cha mẹ tỉnh thức cũng là sách New York Times Besteller 2019
4,7*/5 với 1,607 lượt đánh giá trên trang Amazon.com
4,2*/5 với 3,748 lượt đánh giá trên trang Goodreads.com
 
Mục lục:
Lời khen tặng
Lời tựa
Đôi điều gửi các bậc phụ huynh
Chương 1: Một con người đích thực, như chính ta
Chương 2: Mục đích tâm linh khi ta sinh con
Chương 3: Giải phóng con khỏi sự phán xét của ta
Chương 4: Thổi bay cái tôi
Chương 5: Có phải con đang lớn lên
Chương 6: Cuộc đời khôn ngoan
Chương 7: Trẻ sơ sinh và “khủng hoảng tuổi lên hai” – thử thách lớn của cuộc đời
Chương 8: Chuyển từ vai chính sang vai phụ
Chương 9: Sự điên rồ của việc làm cha mẹ
Chương 10: Dạy con bằng sự trọn vẹn thay vì những vết thương
Chương 11: Tổ ấm hiện tại
Chương 12: Sự kì diệu của những điều bình dị
Chương 13: Gạt bỏ những kì vọng lớn lao
Chương 14: Tạo không gian tỉnh thức trong cuộc sống của con
Chương 15: Luôn hiện hữu để kết nối với con
Chương 16: Đối mặt với lỗi sai của con
Chương 17: Đôi cánh đại bàng
Lời kết: Thấu hiểu sự vô minh
Phụ lục: Định hướng tỉnh thức
Thông tin tác giả: 
Tiến sĩ Shefali Tsabary nhận bằng tiến sĩ chuyên ngành Tâm lý lâm sàng, Đại học Columbia, New York. Bà được tiếp cận với quan điểm phương Đông từ rất sớm và lồng ghép quan điểm đó vào tâm lý học phương Tây. Sự lồng ghép giao thoa giữa phương Đông và phương Tây giúp bà tiếp cận với độc giả toàn cầu. Khả năng thu hút độc giả thiên về tâm lý và độc giả thiên về ý thức đã giúp bà trở thành chuyên gia hàng đầu trong lĩnh vực nuôi dạy con. 
",139.000 đ,,NXB Lao Động,2020,24 x 15.5 cm,Bìa Mềm,312.0,
Nói Sao Cho Trẻ Nghe Lời,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29246.jpg,Cẩm nang làm cha mẹ,Hoa Dương,"
Đối mặt với những thái độ, hành vi tiêu cực của trẻ, có phải, mỗi vị phụ huynh đều cảm thấy dù mình có nói gì, con cái cũng không chịu nghe lời? Thật ra, chỉ cần thay đổi cách nói chuyện, cha mẹ sẽ phát hiện ra rằng: Hóa ra, nói sao cho trẻ nghe lời không hề khó.
ếu cha mẹ hy vọng con cái nên người, giành được thành công thì phương pháp tốt nhất là luôn tán thưởng con cái, bồi dưỡng sự tự tin cho trẻ, tán dương tài năng của con. Nội tâm của trẻ vô cùng yếu đuối, đôi khi, chỉ cần một cú sốc nho nhỏ cũng khiến cho chúng thu mình lại, tự ti vô cùng. Trước những vấn đề con gặp phải, cha mẹ cần cổ vũ và động viên tích cực, để cho con lấy lại sự tự tin. Ngoài ra, nếu cha mẹ muốn con mình tiến bộ thì nên nghĩ cách để con nhìn ra sự tiến bộ của bản thân, giúp trẻ xây dựng cảm giác tự hào và tự tin. 
",67.000 đ,,NXB Phụ Nữ,2019,16 x 23 cm,Bìa Mềm,194.0,
"Thay Đổi Vì Con: ""Thuốc Đắng"" Tặng Cha Mẹ Thời 4.0",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29798.jpg,Cẩm nang làm cha mẹ,Nguyễn Chí Hiếu,"
Thấu hiểu khao khát cháy bỏng đi tìm sự giáo dục ưu việt cho trẻ trong lòng các phụ huynh, bất chấp nhiều đắn đo do dự, tác giả Nguyễn Chí Hiếu vẫn quyết định đặt bút viết nên cuốn sách thứ ba của mình: Thay đổi vì con – “Thuốc đắng” tặng cha mẹ thời 4.0.
Thay đổi vì con là sự kết hợp của những đúc kết từ triết lý giáo dục, nghiên cứu và thí nghiệm khoa học, tâm lý, thần kinh, giáo dục trong gần một thế kỷ qua, với những trải nghiệm thực tế của tác giả ở hơn trăm trường học, với hàng chục nghìn giáo viên, phụ huynh và học sinh.
Thay đổi vì con là sự hòa quyện giữa nghiên cứu và thực tiễn trên diện rộng và sâu, chứ không phải gói gọn ở vài trường hợp cá thể nhỏ lẻ. Để từ đó, cuốn sách mong muốn được mở ra những cách nghĩ mới về giáo dục cho các bậc cha mẹ: dài hơi hơn, xa rộng hơn và sâu sắc hơn, xuyên suốt từ khi con còn bé cho đến lúc con trưởng thành, bước vào đời và kiến tạo cuộc sống riêng.
Dù chưa nuôi dạy một đứa con nào nhưng Nguyễn Chí Hiếu có diễm phúc được đồng hành cùng hàng nghìn “đứa con”, tức những học trò anh có duyên được dạy và dõi theo trong gần chục năm qua. Cũng nhờ vậy mà anh may mắn nhận ra những góc khuất khách quan mà nhiều khi chính cha mẹ của trẻ cũng không thấy được. Thuốc đắng giã tật, sự thật mất lòng. Mong rằng những sự thật được phô bày trong cuốn sách này sẽ giúp bạn đọc phần nào đó vượt lên cảm giác “mất lòng”, để hướng tới việc nhìn nhận lại những căn bệnh giáo dục mà quyết tâm chữa lành, mà Thay đổi vì con. 
",118.000 đ,,NXB Văn hóa - Văn nghệ,2020,14 x 20.5 cm,Bìa Mềm,280.0,
Bí Quyết Thương Lượng Cho Tuổi Dậy Thì,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_45084.jpg,Cẩm nang làm cha mẹ,Lê Lan Anh,"
Dậy thì là khoảng thời gian “con diều”, nghĩa là các con dù rất muốn “bứt” thì  vẫn cần “có dây”, và bố mẹ phải “thả dây có kiểm soát” đúng khoảng cách, đúng lúc… nếu muốn cho con mình bay cao. Cả nhà đều phải học cách làm quen với sự phát triển và thay đổi cả về sinh lý lẫn tâm lý của con diều ấy. Quá trình này, muốn tránh tối đa những mâu thuẫn, tranh cãi, căng thẳng, cả người đã lớn và những người đang lớn đều rất cần kỹ năng thương lượng. Thương lượng là để tránh xung đột và có lợi nhuận tối đa.
Kỹ năng thương lượng không phải chỉ được áp dụng trên thương trường như nhiều người vẫn nghĩ. Ở tuổi dậy thì, thương lượng trong yêu thương là cách để cha mẹ, thầy cô, những-người-đã-lớn và các con, những-người-bắt-đầu-lớn, tìm được tiếng nói chung, hóa giải những bất đồng khiến nảy sinh tranh cãi vốn rất dễ dàng bùng nổ thành mâu thuẫn. Lợi nhuận cả hai bên có được sẽ là những tin cậy và yêu thương, để dậy thì, là khoảng thời gian thật đáng yêu chứ không đáng sợ với bất kỳ ai. 
",98.000 đ,,NXB Dân Trí,2020,20.5 x 13 cm,Bìa Mềm,176.0,
Mỗi Đứa Trẻ Đều Là Duy Nhất - Hiểu Để Dạy Con Đúng Cách,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/1/0/1080x1080_moi-dua-tre-deu-la-duy-nhat.jpg,Cẩm nang làm cha mẹ,Lâm Tú Uyển,"
Mỗi đứa trẻ sinh ra đều sở hữu ít nhất một năng lực đặc biệt. Nếu cha mẹ phát hiện sớm và bồi dưỡng đúng hướng sẽ giúp trẻ phát huy tốt nhất những khả năng và sở trường của mình.
Hơn nữa, mỗi đứa trẻ lại có những đặc điểm tính cách riêng biệt, chính vì vậy cách thức giáo dục với trẻ này có thể không phù hợp với trẻ khác. Nếu cha mẹ chọn sai phương pháp hoặc áp đặt, rất có thể sẽ ảnh hưởng đến tâm lí và tương lai trẻ.
Việc tìm ra năng lực thiên bẩm cũng như hiểu rõ đặc điểm trong tính cách trẻ sẽ giúp cha mẹ thuận lợi hơn trong việc giáo dục con và có những lựa chọn đúng đắn để giúp trẻ sớm phát huy sở thích, hứng thú, niềm đam mê. 
",82.000 đ,,NXB Phụ Nữ Việt Nam,2020,23 x 17 cm,Bìa Mềm,208.0,
