tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,nhà phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả
Học Tiếng Việt Trong Hai Tháng - Studying Vietnamese In Two Months,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_42657.jpg,Tiếng Việt,"Giáo Sư, Tiến Sĩ Mai Ngọc Chừ","
Giáo sư, Tiến sĩ Mai Ngọc Chừ là nhà ngôn ngữ học. Ông dạy tiếng Việt và Ngôn ngữ học tại Đại học Tổng hợp Hà Nội từ năm 1974.
Ông nguyên là Chủ nhiệm khoa Đông Phương học kiêm Chủ nhiệm bộ môn Đông Nam Á học, Trường Đại học Khoa hoặc Xã hội và Nhân văn, Đại học Quốc gia Hà Nội.
Ông là người có nhiều kinh nghiệm trong việc dạy tiếng Việt và viết các giáo trình tiếng Việt cho người nước ngoài.
Mai Ngọc Chừ là tác giả của nhiều cuốn sách về ngôn ngữ được xuất bản ở Việt Nam và nước ngoài.
Huy Hoang Bookstore xin trân trọng giới thiệu tới quý vị độc giả! 
",98.000 đ,,NXB Thế Giới,2020,20.5 x 13.5 cm,Bìa Mềm,140.0,
Tiếng Việt Cho Người Trung Quốc T1 + CD,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936042001564_1.jpg,Tiếng Việt,"Văn Lâm, Cẩm Duy","
Tiếng Việt Cho Người Trung Quốc T1 + CD
Điểm mạnh của giáo trình này là song ngữ, rất dễ học, dễ hiểu. Nội dung đầy đủ các câu hội thoại từ đơn giản đến phức tạp giúp người học áp dụng và giao tiếp dễ dàng hơn trong thực tế 
",55.000 đ,,NXB Văn Hóa - Văn Nghệ,2011,13 x 19,Bìa Mềm,198.0,
Tiếng Việt -  Vietnamese For Foreigners 2 + 2CDs,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21379.jpg,Tiếng Việt,"Bửu Khải, Phan Văn Giưỡng","
Tiếng Việt -  Vietnamese For Foreigners 2 + 2CDs 
",75.000 đ,,Văn Hóa Văn Nghệ,2011,24x16,Bìa Mềm,167.0,
Tiếng Việt Cho Người Hoa T2 + CD,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21372.jpg,Tiếng Việt,Tô Cẩm Duy,"
Ngay từ khi bắt đầu bạn phải xác định cho mình những bước chuẩn bị chính xác và cẩn thận nhất. Chỉ có như vậy học tiếng Trung mới trở nên dễ dàng và hiệu quả. Nếu như bạn còn đang hoang mang khi không biết bắt đầu từ đâu? phương hướng đi như thế nào, vậy thì cuốn sách này có thể giúp bạn học tốt tiếng Trung nhất. 
",60.000 đ,,NXB Văn Hóa - Văn Nghệ,2011,19 x 13 cm,Bìa Mềm,228.0,
Tiếng Việt -  Vietnamese For Foreigners 1 + 2CDs,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936042001519_1.jpg,Tiếng Việt,Phan Văn Giưỡng,"
Tiếng Việt - Vietnamese For Foreigners 1 + 2CDs
Đây là cuốn giáo trình tiếng Việt dành cho người nước ngoài, là tập 1 trong bộ sách gồm có 4 tập, mỗi tập sách đều có kèm theo CD.
This language program is ideal for people who have no Vietnamese language background and would like to learn the basics of the language and its usage. It aims to develop students' communicative competence, allowing them to communicate in Vietnamese in a variety of situations. The program is structured so that students will develop a posititve learning attitude and also learn about Vietnamese culture, traditions and customs.
The lessons are designed to equip students with the strategies and skills required to make the learning process efficient and enjoyable, thus helping students communicate in Vietnamese with confidence.
About author:Phan Văn Giưỡng is a senior lecturer in Vietnamese at the Department of Asian Studies and Languages, Falculty of Arts, Victorian University of Technology.
He is the author of Functional Vietnamese (Vietnamese for foreign business people and travellers),Hoa buồn(Sad Flowers),Bàn tay tình tự(Lovely Hands),Dung nhan(A portrail) [poetry],From the Motherland, A good Hearted Friend, In the New Land(short stories), andVietnamese Press in Australia.
He is also editor ofHien Dien Literature Magazine(Vietnam) andVietnam Times Newspaper(Sydney).
Mr Phan was awarded ""the Victorian Achievers of the Year Award"" on The Australian Day 1991. 
",75.000 đ,,Văn Hóa Văn Nghệ,2012,24 x 16 x 0.5,Bìa Mềm,143.0,
Tiếng Việt 123 (Tiếng Việt Cho Người Nước Ngoài) - Trình Độ B1,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_196519.jpg,Tiếng Việt,Nhiều Tác Giả,"
Ngoài các phần giới thiệu hệ thống nguyên âm, phụ âm, thanh điệu tiếng Việt, 3 bài ôn tập, 5 bài văn hóa, sách gồm 16 bài học với các chủ đề quen thuộc trong cuộc sống như: làm quen, mua sắm, thời tiết, chỉ đường…

Cấu trúc một bài học bao gồm hội thoại – từ vựng – ngữ pháp và ngữ âm. Đây là những nội dung quan trọng giúp người học tiếp cận và làm quen những vấn đề cơ bản của một ngôn ngữ mới. Từ cấu trúc bài học giáo viên sẽ có những xử lí linh hoạt với từng đối tượng học để vừa đảm bảo kiến thức chuẩn vừa phát huy khả năng sử dụng ngôn ngữ của học viên.

Hệ thống các bài ôn tập (sau mỗi 5 bài học) nhằm giúp người học củng cố lại kiến thức. Từ đó giáo viên có thể mở rộng thêm các ngữ cảnh mới để học viên sử dụng nhuần nhuyễn nội dung đã học.

Các bài giới thiệu văn hóa mang đến cho người nước ngoài những trải nghiệm đầu tiên về đất nước Việt Nam khi học tiếng Việt. Các bài viết đều ngắn gọn, ngôn từ được sử dụng đơn giản có kèm hình ảnh nên dễ hiểu, sinh động. 
",336.000 đ,,NXB Thế Giới,2019,24 x 17 x 1 cm,Bìa Mềm,272.0,
Tiếng Việt -  Vietnamese For Foreigners 3 + 2CDs,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_21378.jpg,Tiếng Việt,Phan Văn Giưỡng,"
Đây là cuốn giáo trình tiếng Việt dành cho người nước ngoài, thuộc bộ sách ""Vietnamese for foreingers"" gồm có 4 tập. Mỗi tập sách đều có kèm theo CD.
This language program is ideal for people who have no Vietnamese language background and would like to learn the basics of the language and its usage. It aims to develop students' communicative competence, allowing them to communicate in Vietnamese in a variety of situations. The program is structured so that students will develop a posititve learning attitude and also learn about Vietnamese culture, traditions and customs.
The lessons are designed to equip students with the strategies and skills required to make the learning process efficient and enjoyable, thus helping students communicate in Vietnamese with confidence.
About author:
Phan Văn Giưỡng is a senior lecturer in Vietnamese at the Department of Asian Studies and Languages, Falculty of Arts, Victorian University of Technology.
He is the author of Functional Vietnamese (Vietnamese for foreign business people and travellers), Hoa buồn (Sad Flowers), Bàn tay tình tự (Lovely Hands), Dung nhan (A portrail) [poetry], From the Motherland, A good Hearted Friend, In the New Land (short stories), and Vietnamese Press in Australia.
He is also editor of Hien Dien Literature Magazine (Vietnam) and Vietnam Times Newspaper (Sydney).
Mr Phan was awarded ""the Victorian Achievers of the Year Award"" on The Australian Day 1991.
Xin trân trọng giới thiệu. 
",75.000 đ,,NXB Văn Hóa Sài Gòn,2012,24 x 16 cm,Bìa Mềm,123.0,
Tiếng Việt Cho Người Nước Ngoài,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_8550.jpg,Tiếng Việt,Dana Healy,"
Sách ""Tiếng Việt Cho Người Nước Ngoài"" ra đời nhằm đáp ứng nhu cầu học tiếng Việt và tìm hiểu văn hóa Việt Nam của người nước ngoài cùng với người Việt định cư ở nước ngoài ngày càng nhiều như hiện nay.
Trong cuốn sách này, người học sẽ được hướng dẫn chi tiết từ cách phát âm, cách viết mẫu tự tiếng Việt, các điểm chính yếu của văn phạm tiếng Việt, đàm thoại, từ ngữ và thành ngữ, văn phạm, thực hành, luyện đọc hiểu. Phần hội thoại là các tình huống thật, giúp người học làm quen với lối giao tiếp cùa người Việt Nam. Cũng giống như tất cả những ngôn ngữ khác, văn viết và văn nói tiếng Việt có một số khác biệt như khi sử dụng tiếng lóng, thêm lối nói trang trọng những tình huống đặc biệt. 
",62.000 đ,,NXB Hồng Đức,2019,16 x 24 cm,Bìa Mềm,272.0,
Tiếng Việt Dành Cho Người Nhật Tập 2(Tái bản) + CD,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_23431.jpg,Tiếng Việt,Trần Việt Thanh,"
Tiếng Việt Dành Cho Người Nhật Tập 2(Tái bản) + CD 
",55.000 đ,,Văn hóa - Văn nghệ,2012,19x13,Bìa Mềm,213.0,
Tiếng Việt 123 (Tiếng Việt Dành Cho Người Nhật) - Tái Bản 2019,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/c/5/c586181c586cbf32e67d.jpg,Tiếng Việt,Tập thể Giáo Viên 123VIETNAMESE,"
		    Tiếng Việt 123 (Tiếng Việt Dành Cho Người Nhật) - Tái Bản 2019		    
",62.000 đ,,NXB Thế Giới,2019,17 x 24,Bìa Mềm,192.0,
