,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu
0,,,,,,,,,,,,,,,,,,
1,Cơ Sở Của Hình Học (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/3/4/34_5.jpg,Toán học,NXB Tri Thức,"
""Euclid viết sách Cơ Sở Của Hình Học ở Alexandria khoảng 300 năm trước Công nguyên.
(...) Trải qua 2400 năm, các mệnh đề phát biểu và chứng minh trong Cơ Sở Của Hình Học vẫn còn tươi tắn một cách đáng ngạc nhiên. Từ hình học tam giác mà chúng ta học những năm cấp hai, cho đến chứng minh tuyệt đẹp bằng phản chứng cho sự tồn tại vô hạn những số nguyên tố, từ thuật toán Euclid tìm ước số chung lớn nhất mà chúng ta vẫn phải học trong giáo trình cơ sở toán học trong tin học, cho đến chứng minh không tồn tại khối đều nào khác ngoài năm khối đều của Platon, đều là những nội dung đã được triển khai một cách đầy đủ trong Cơ Sở Của Hình Học.
Đấy có lẽ là những lý do tại sao Cơ Sở Của Hình Học được coi là một trong những quyển sách có tầm ảnh hưởng nhất tới sự phát triển của văn minh nhân loại. Sách đã được tái bản hàng ngàn lần, số lần tài bản có lẽ chỉ thua Kinh Thánh. Từ thời kỳ Phục hưng cho đến đầu thế kỷ hai mươi, sách của Euclid được coi là một trong những quyển sách mà người học phải đọc.""
(GS. Ngô BẢo Châu) 
",120.000 đ,,,,,,,,https://www.fahasa.com/co-so-cua-hinh-hoc-tai-ban-2020.html,,,,
2,Xứ Phẳng: Du Hành Vào Cõi Đa Chiều,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/x/u/xu-phang-_du-hanh-vao-coi-da-chieu_-01.jpg,Toán học,Hồ Hồng Đăng,"
Xứ Phẳng: Du Hành Vào Cõi Đa Chiều
Cuốn sách này được xuất bản lần đầu tại Anh năm 1884. Tác giả đã vẽ ra một thế giới chỉ có hai chiều, còn cư dân là các đa giác được phân đẳng cấp theo số cạnh, càng nhiều cạnh đẳng cấp càng cao, càng nhiều đặc quyền. Nhân vật chính là một hình vuông, nhờ cơ duyên kỳ lạ đã được du hí đến các thế giới khác, một chiều, ba chiều và vô chiều, nhờ đó Hình Vuông vỡ vạc trí tưởng tượng toán học của mình. Anh nhận ra tôn giáo và độc quyền chân lý ở Xứ Phẳng của mình đã gây ra bất công và cản trở sự tiến bộ. Anh cũng học được phương pháp tư duy toán học về những không gian nhiều hơn ba chiều, bốn chiều. Khi mới ra đời, Xứ Phẳng không được đón nhận nồng nhiệt, nhưng sau Thuyết tương đối tổng quát của Einstein được chứng minh bằng thực nghiệm, bạn đọc bắt đầu dồn sự chú ý cho nó, cuốn sách ""dự báo"" trước một thế giới có nhiều hơn ba chiều.
Edwin A. Abbott(183801926) là một thầy giáo và nhà thần học người Anh. Tác phẩm nổi tiếng nhất của ông là Xứ Phắng: Du hành vào cõi đa chiều. 
",79.000 đ,,,,,,,,https://www.fahasa.com/xu-phang-du-hanh-vao-coi-da-chieu.html,,,,
3,Đại Số Vui,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled_12.jpg,Toán học,NXB Thế Giới,"
Đại Số Vui
Rất nhiều người có quan niệm sai lầm rằng toán học là khô khan, buồn chán, thậm chí là vô dụng, xa vời cuộc sống. Giá như họ được đọc cuốn sách “Đại Số Vui” này, cũng như các sách khác trong bộ sách “Khoa Học Vui” nổi tiếng của tác giả người Nga Yakov Perelman, thì có lẽ quan niệm của họ đã thay đổi đi nhiều! Không phải vô cớ mà các sách của Perelman đã được in hàng triệu bản, tái bản hàng chục lần, và được dịch ra nhiều thứ tiếng trên thế giới, trở thành “sách gối đầu giường” của bao nhiêu thế hệ học sinh và giáo viên. Trong cuốn sách “Đại Số Vui” này, Perelman cho chúng ta thấy toán học nói chung, và môn đại số ở bậc phổ thông nói riêng, có thể trở nên vui thú đến như thế nào. Các vấn đề đại số được ông trình bày thông qua hàng loạt các bài toán minh họa sinh động, vừa kỳ lạ bất ngờ, lại vừa gần gũi với cuộc sống, khêu gợi tính tò mò. Gắn liền vào đó là “những cuộc tham quan lý thú trong lĩnh vực lịch sử toán học, những ứng dụng bất ngờ của đại số vào đời sống thực tiễn”, theo lời của chính tác giả. Mọi thứ xung quanh ta, kể cả những thứ tưởng chừng như “chẳng liên quan gì đến toán” , từ âm nhạc cho đến trò chơi cờ vua, cho đến ánh sáng đèn cho đến du hành lên mặt trăng, tất cả hóa ra đều liên quan chặt chẽ đến đại số. Nguyên tắc hoạt động của máy tính điện tử, một thứ không thể thiếu trong đời sống ngày nay, cũng được tác giả đề cập đến trong cuốn sách này. Như chính tác giả có viết, không nên xem cuốn sách “Đại Số Vui” này như là sách giáo khoa, mà nên xem nó như là sách tham khảo để đọc tự nguyện. Nó sẽ giúp cho bạn đọc có được cảm hứng trong việc học đại số, gợi nhớ lại và củng cố các kiến thức đã được học qua nhưng vẫn còn “lơ mơ”.
Các bạn học sinh ở mức trung học cơ sở, và cả một số bạn học sinh tiểu học yêu toán, sẽ có thể đọc hiểu phần lớn cuốn sách này.
Tuy nhiên có một số phần thích hợp hơn cho trung học phổ thông hoặc những năm cuối cấp trung học cơ sở. Cuốn sách này cũng sẽ rất thú vị với cả các sinh viên, giáo viên, và người lớn nói chung, muốn tìm hiểu lại toán học và ý nghĩa của toán học, bù đắp những lỗ hổng kiến thức của mình. Ngay cả các nhà toán học chuyên nghiệp cũng có thể tìm thấy trong sách những điều kỳ lạ, ví dụ như về những “số vô hạn” khác 0 và 1 mà vẫn thỏa mãn phương trình x^2 = x.
Bản dịch này của sách “Đại Số Vui” do nhóm dịch giả “Flambius Sputnikus”, là các cộng tác viên của Sputnik thực hiện. Trong quá
trình dịch sách này, chúng tôi có tham khảo một số bản dịch cũ đã được in ra ở Việt Nam. So với các bản dịch cũ đó, thì bản dịch mới này có nhiều chỗ bổ sung chỉnh lý thông tin cho cập nhật hơn, chính xác hơn, sửa lại một số đoạn văn và viết lại một số lời giải cho gọn gàng hơn, đồng thời thêm vào nhiều chú thích. Tất cả các tên riêng của các nhân vật được nhắc tới trong sách, chúng tôi cố gắng giữ nguyên cách viết gốc, kèm theo chú thích phiên âm tiếng Việt khi thấy cần thiết, thay vì “Việt hóa” các tên đó. Như vậy bạn đọc khi muốn tra cứu tìm hiểu thêm về các nhân vật được nhắc đến trong sách và đọc các tài liệu tiếng nước ngoài sẽ thuận lợi hơn.
Xin trân trọng giới thiệu với bạn đọc. 
",78.000 đ,,,,,,,,https://www.fahasa.com/dai-so-vui.html,,,,
4,Vui Hơn Nữa Với Toán Học,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_18072.jpg,Toán học,Ninh Văn Thu,"
""Toán học trong nhà trường hiện nay bị coi là một môn học khô khan, chỉ giới hạn trong những bài tập, những công thức và các con số. Trong cuốn sách ""Vui hơn nữa với toán học"" Pappas sẽ giúp chúng ta cảm nhận được niềm vui và sự thú vị của việc học toán. Nó có khi chỉ đơn giản là số mũ liên quan đến tạo ra một thanh kiếm samurai đầy sức mạnh; là việc tìm thấy toán học trong một làn sóng đại dương, một tổ ong; hay toán học có ý nghĩa như thế nào trong chế tạo nhạc cụ.
Cuốn sách này là một bộ sưu tầm những thảo luận đa dạng, súc tích, sâu sắc về các chủ đề toán học và mối tuan hệ của chúng với thế giới xung quanh. Trong đó, những ý tưởng toán học tưởng chừng như vô cùng khó hiểu lại được đơn giản hóa bằng những hình ảnh minh họa và biểu đồ cụ thể. Tác giả đã khéo léo tiếp cận những khía cạnh hấp dẫn của toán học mà không dùng đến những lập luận logic phức tạp, đồng thời gắn kết nó với cuộc sống xung quanh.
Cuốn sách này phù hợp cho cả giáo viên và học sinh trong việc tìm hiểu, khám phá ý nghĩa quan trọng nhưng cũng rất thú vị của toán học. 
Cuốn sách thực sự là một món quà hoàn hảo cho người đam mê toán học ở bất kì cấp độ nào!”

(Trích lời giới thiệu của PGS TS Lê Anh Vinh – Đại học Quốc Gia Hà Nội)
Cuốn sách nằm trong tủ sách Đam mê toán học gồm 6 cuốn: Niềm vui toán học, Vui hơn nữa với toán học, Vẻ đẹp toán học, Sự kỳ diệu của toán học, Những dấu chân toán học và Những vụ xì-căng-đan toán học. 
",99.000 đ,,,,,,,,https://www.fahasa.com/vui-hon-nua-voi-toan-hoc.html,,,,
5,Phương Pháp Giải Bài Tập Trắc Nghiệm Toán Hàm Mũ & Logarit,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/p/p/pp_giai_bt_tn_toan_ham_mu_va_logarith_-_thai_2016_-_ver2.jpg,Toán học,Đại học Quốc Gia Hà Nội,"
		    Phương Pháp Giải Bài Tập Trắc Nghiệm Toán Hàm Mũ & Logarit		    
",53.000 đ,,,,,,,,https://www.fahasa.com/phuong-phap-giai-bai-tap-trac-nghiem-toan-ham-mu-logarit.html,,,,
6,Những Câu Hỏi Lớn - Toán Học,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188438.jpg,Toán học,"Dương San, Trần Đức Anh","
NHỮNG CÂU HỎI LỚN đề cập đến những vấn đề cơ bản trong khoa học tự nhiên và xã hội, nhưng vẫn khiến những bộ óc vĩ đại trong lịch sử đau đầu.
Từ những con số đầu tiên và thuyết ý niệm của Plato đến thuyết hỗn loạn và định lý cuối cùng của Fermat, cuốn sách này đưa và giải đáp 20 câu hỏi cốt tủy trong toán học và tri thức nhân loại.
TOÁN HỌC PHỤC VỤ MỤC ĐÍCH GÌ?
NHỮNG CON SỐ ĐẾN TỪ ĐÂU?
TẠI SAO SỐ NGUYÊN TỐ LÀ NGUYÊN TỬ CỦA TOÁN HỌC?
SỐ NÀO KỲ LẠ NHẤT?
SỐ ẢO CÓ THỰC SỰ ẢO?
VÔ HẠN LỚN ĐẾN ĐÂU?
HAI ĐƯỜNG THẲNG SONG SONG GẶP NHAU Ở ĐÂU?
TOÁN HỌC CỦA VŨ TRỤ LÀ GÌ?
THỐNG KÊ CÓ PHẢI LÀ DỐI TRÁ KHÔNG?
TOÁN HỌC CÓ THỂ ĐẢM BẢO SỰ GIÀU CÓ?
CÓ PHẢI MỌI THỨ ĐỀU CÓ CÔNG THỨC?
TẠI SAO BA CHIỀU LÀ CHƯA ĐỦ?
ĐÔI CÁNH BƯỚM CÓ THỂ GÂY RA MỘT CƠN LỐC XOÁY?
CHÚNG TA CÓ THỂ TẠO RA MỘT MÃ KHÔNG THỂ BẺ GÃY?
TOÁN HỌC CÓ ĐẸP KHÔNG?
TOÁN HỌC CÓ DỰ ĐOÁN ĐƯỢC TƯƠNG LAI?
VŨ TRỤ CÓ HÌNH GÌ?
ĐỐI XỨNG LÀ GÌ?
CÓ PHẢI TOÁN HỌC LUÔN ĐÚNG?
CÒN GÌ ĐỂ GIẢI QUYẾT NỮA KHÔNG? 
",159.000 đ,,,,,,,,https://www.fahasa.com/nhung-cau-hoi-lon-toan-hoc.html,,,,
7,Giành Lại Không Khí Sạch,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217463.jpg,Môi trường,Nguyễn Văn Minh,"
""HÃY ĐỌC QUYỂN SÁCH NÀY KHI THAM GIA NỖ LỰC CHẤM DỨT Ô NHIỄM KHÔNG KHÍ"" (Arnold Schwarzenegger)
“Một quyển sách tuyệt vời đưa bạn qua những câu chuyện hấp dẫn lẫn đáng sợ về ô nhiễm không khí, đồng thời lý giải hàng tỷ người đã vô tình hít thở không khí độc hại như thế nào. Đây là vấn đề do con người tạo ra. Hãy đọc và hành động!” - James Thornton, CEO của ClientEarth
------------------------
Đây là câu chuyện đầy đủ về những gì đã xảy ra với không khí chúng ta hít thở; giải thích chính xác ô nhiễm không khí là gì, hóa chất nào gây nguy hiểm và chúng đến từ đâu.
Smedley phỏng vấn các nhà khoa học và chính trị gia đi đầu trong lĩnh vực này cũng như những người có cuộc sống bị ảnh hưởng bởi khói bụi, bên cạnh đó tiết lộ những trường hợp nghiêm trọng đã xảy ra ở London, Bắc Kinh, Delhi và LA.
Một kẻ giết người vô hình sinh ra từ xe cộ và các quy trình công nghiệp được sử dụng để sản xuất đồ đạc. Có 18.000 người chết mỗi ngày vì ô nhiễm không khí, con số tử vong hàng năm là 6,5 triệu, lớn hơn nhiều nếu so với HIV/AIDS, bệnh lao, sốt rét, tai nạn giao thông và ngày càng trở nên tồi tệ.
Nhưng điều đáng mừng là phần lớn các chất gây ô nhiễm không khí mang tính cục bộ, tồn tại trong thời gian ngắn và có thể chấm dứt tại nguồn; cuộc chiến chống lại nó, vì thế, cũng đang mang lại hiệu quả tức thì và ấn tượng. Tất cả chúng ta đều có thể đóng góp phần việc của mình để giành lại bầu không khí sạch về sau.
Về tác giả:
TIM SMEDLEY - Nhà báo và tác giả tâm huyết về vấn đề môi trường.
Năm 2014, chuyển đến Oxfordshire sau 10 năm sống ở London.
Viết cho Financial Times, Guardian, The Sunday Times, New Scientist, BBC. 
Clearing the Air là quyển sách đầu tay. 
",199.000 đ,,,,,,,,https://www.fahasa.com/gianh-lai-khong-khi-sach.html,,,,
8,Drawdown - 99 Giải Pháp Ngăn Chặn Thảm Họa Từ Biến Đổi Khí Hậu,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12635.jpg,Môi trường,Đỗ Hoàng Lan,"
Biến đổi khí hậu là một vấn đề mang tính toàn cầu với những tác động mang tính hủy diệt đối với môi trường, xã hội, kinh tế, chính trị và sự phân bổ hàng hóa. Đây là một trong những thách thức chính mà nhân loại đang phải đối mặt ngày nay. Năm 2013, Dự án Drawdown ra đời, với mục tiêu là nhận dạng, đo lường và mô hình hóa 99 giải pháp độc lập để cắt giảm cacbon dioxit và khí nhà kính nói chung từ nay đến năm 2050.
Trái Đất có thể đạt tới điểm thoái trào (drawdown) một mốc thời gian mà tại đó, lượng khí nhà kính chạm ngưỡng cao nhất và bắt đầu giảm dần qua mỗi năm. Hay nói cách khác, đó là khi hiện tượng nóng lên toàn cầu được đảo ngược.
Tập thể thành viên nghiên cứu của Dự án Drawdown bao gồm 70 cá nhân đến từ 22 quốc gia. Trong đó, gần một nửa người tham gia đạt trình độ tiến sĩ, và những người còn lại có ít nhất một bằng sau đại học. Họ đều có kinh nghiệm học thuật và chuyên môn bao quát tại những viện nghiên cứu uy tín nhất thế giới.
Những người thực hiện đã tiến hành sàng lọc để chọn ra những ý tưởng có tiềm năng lớn hơn cả trong việc giảm thiểu khí thải hoặc cô lập cacbon khỏi bầu khí quyển. Tiếp theo, họ tạo ra những mô hình tài chính và mô hình khí hậu chi tiết cho mỗi giải pháp. Những phân tích được giới thiệu trong cuốn sách này đã trải qua quá trình xử lý gồm ba giai đoạn, trong đó có giai đoạn nhận đánh giá từ những chuyên gia bên ngoài để đảm bảo tính khách quan của kết quả nghiên cứu. Dự án Drawdown đã tập hợp một hội đồng cố vấn gồm 120 con người - một cộng đồng xuất chúng và đa dạng gồm những nhà địa chất học, kỹ sư, nhà nông học, chính trị gia, nhà báo, nhà khí hậu học, sinh vật học, thực vật học, nhà phân tích tài chính, kiến trúc sư và những nhà hoạt động xã hội - những người đã đọc và đánh giá từng câu chữ trong cuốn sách.
Không còn nghi ngờ gì nữa, những dấu hiệu nguy hại đang xuất hiện khắp nơi, ở cả tự nhiên và trong xã hội, từ hạn hán, mực nước biển dâng lên và sự gia tăng nhiệt độ không ngớt; tới những dòng người tị nạn, các xung đột và cảnh rời bỏ quê hương. Nhưng đó chưa phải toàn bộ câu chuyện. Đội ngũ nghiên cứu đã nỗ lực hết mình với “Drawdown - 99 giải pháp ngăn chặn thảm họa từ biến đổi khí hậu” để chỉ ra rằng có rất nhiều người vẫn kiên định và không nao núng.
Sự tích tụ khí nhà kính mà nhân loại đang trải qua ngày nay đã bắt đầu xuất hiện từ trước khi chúng ta có thể nhận thức được, tổ tiên của chúng ta không hề biết những tác hại mà họ gây ra. Điều này có thể khiến ta nghĩ rằng mình là nạn nhân của số mệnh đã được quyết định bởi hành động của những thế hệ trước. Nhưng nếu ta thay đổi cách suy nghĩ, thừa nhận rằng sự nóng lên toàn cầu xảy ra vì chúng ta - thì lúc này, sự biến đổi ở bầu khí quyển lại thôi thúc ta thay đổi và suy nghĩ lại mọi điều ta tạo ra, mọi hành động ta thực hiện. Chúng ta sẽ chịu hoàn toàn trách nhiệm và ngừng đổ lỗi cho người khác. Chúng ta sẽ không còn coi sự nóng lên toàn cầu như một thứ không thể tránh khỏi, mà thay vào đó, ta sẽ coi đây là một cơ hội để ta xây dựng, cải tiến và thay đổi, là con đường đánh thức trí sáng tạo, lòng trắc ẩn và tài năng của con người. Trong một thế giới mà nỗi sợ hãi và sự thờ ơ ngự trị, những con người quyết đoán, không sợ hãi và dám hành động sẽ tạo ra những thay đổi. hi hành tinh rơi vào khủng hoảng, đó cũng là lúc cánh cửa cơ hội mở ra để chúng ta tạo nên một thế giới công bằng và đáng sống cho mọi loài sinh vật. 
",499.000 đ,,,,,,,,https://www.fahasa.com/drawdown-99-giai-phap-ngan-chan-tham-hoa-tu-bien-doi-khi-hau.html,,,,
9,Thảm Họa Khí Hậu - How To Avoid A Climate Disaster,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_238430.jpg,Môi trường,Nhóm dịch GreenlD,"
Thảm họa khí hậu: Chúng ta đã có gì và chúng ta phải làm gì để ứng phó? đề cập đến một vấn đề luôn nhức nhối, đó là biến đổi khí hậu.
Cuốn sách này chỉ ra rằng phát thải khí nhà kính chính là nguyên nhân gây ra sự nóng lên toàn cầu, và nếu chúng ta không làm gì, một thảm họa khí hậu sẽ là điều không thể tránh khỏi.
Nội dung thứ hai của cuốn sách là nêu ra phương hướng làm giảm khí thải nhà kính. Cụ thể là áp dụng các biện pháp kỹ thuật để làm giảm lượng phát thải, và thúc đẩy việc đưa các biện pháp này vào thực tiễn bằng cách làm giảm Chi phí Xanh – một thuật ngữ mà tác giả nhắc đến rất nhiều lần trong cuốn sách, nghĩa là chi phí chênh lệch giữa việc sử dụng phương thức cũ (ví dụ như sử dụng ô tô chạy xăng) với phương thức mới (ô tô chạy điện).
Bên cạnh đó tác giả cũng nhắc đến việc thích nghi với biến đổi khi hậu, tuy nhiên ông không đi quá sâu vì cho rằng biện pháp chính vẫn là giảm lượng phát thải khí nhà kính.
Nội dung cuối cùng của cuốn sách là về kế hoạch cụ thể để làm được những điều trên. Trong đó Bill Gates đề cập cụ thể đến vai trò của chính sách, tổ chức và cá nhân trong việc giảm phát thải.
Cuốn sách này hướng đến những người quan tâm đến biến đổi khí hậu, những nhà hoạt động trẻ và những người muốn chung tay vào giải quyết vấn đề này.
Với cuốn sách này, không những họ được truyền nhiệt huyết để giải quyết vấn đề, mà còn có cái nhìn rộng hơn, hiểu được rằng để giải quyết vấn đề khi hậu, chúng ta không thể chỉ dừng lại ở thay đổi nhận thức và hành vi ở mức độ cá nhân, mà còn phải tác động lớn đến khía cạnh kĩ thuật và chính sách.
Đa phần các cuốn sách khác trên thị trường đều tập trung vào thay đổi ý thức và hành vi của cá nhân. Cuốn sách này không phủ nhận điều ấy, nhưng tập trung vào quy mô rộng lớn hơn. Nó nhấn mạnh đến vai trò của chính phủ, các tổ chức tư nhân trong việc tìm kiếm và thúc đẩy các phương pháp về vả kĩ thuật lẫn chính sách.
Đánh giá của chuyên gia, tổ chức uy tín về cuốn sách cùng các giải thưởng :
“Cuốn sách này là lời giải thích toàn diện nhất về những động lục đang thúc đẩy chúng ta, những con người đang sống trên một hành tinh đang ấm dần; cách đo lường tác động của vô số nguyên nhân dẫn đến tình trạng kinh hoàng và khôn lường này; và cuối cùng là cách tìm kiếm những phương thức tiếp cận hiệu quả hơn để giải quyết từng nguyên nhân. Cuốn sách này chính là thứ gần nhất với cái có thể được gọi là một bản hướng dẫn cách xử trí với cuộc khủng hoảng về khí hậu.”
– Clinton Leaf, Fortune
 
“Khía cạnh mới mẻ nhất của cuốn sách này nằm ở sự kết hợp giữa cái nhìn thực tế đến lạnh lùng và sự lạc quan có cơ sở từ số liệu…
Xét cho cùng, cuốn sách này có tác dụng như một phần dẫn nhập về cách tái tổ chức nền kinh tế toàn cầu, nhằm tập trung sự đổi mới vào các vấn đề nguy cấp nhất của thế giới. Nó là lời nhắc nhở mạnh mẽ rằng nếu loài người muốn thực sự nghiêm túc với việc giải quyết vấn đề, chúng ta cần phải làm nhiều hơn nữa để vận dụng một nguồn lực vô tận – đó chính là trí tuệ của chúng ta.”
– The Economist
 
“Bill Gates có kế hoạch để cứu lấy thế giới… Dù nhận thức được rằng thử thách này khó khăn, và rằng tất cả các mà cách chúng ta sản xuất, nuôi trồng, di chuyển, làm mát và giữ ấm đều cần phải thay đổi từ tận gốc rễ, Bill Gates vẫn lập luận rằng sự biến chuyển toàn diện này là khả thi, trong khi chúng ta vẫn có thể giữ lối sống ở các nước có thu nhập cao và tiếp tục đưa hàng tỉ người thoát khỏi nghèo đói.”
– Greg Williams, Wired
Trích đoạn sách hay:
“Có hai con số bạn cần biết về biến đổi khí hậu. Con số đầu tiên là 51.000.000.000. Con số còn lại là 0.
51.000.000.000 là số tấn khí thải gây hiệu ứng nhà kính mà thế giới trút vào bầu khí quyển mỗi năm. Mặc dù con số này có thể tăng hoặc giảm một chút qua các năm, nhưng nhìn chung, nó đang tăng lên. Đây là thực trạng hiện nay.
Còn 0 chính là mục tiêu chúng ta cần hướng tới. Để ngăn chặn tình trạng gia tăng nhiệt độ và tránh những tác động tồi tệ nhất của biến đổi khí hậu (những tác động này sẽ thực sự tồi tệ), con người cần ngừng trút thêm khí nhà kính vào bầu khí quyển.”
“Chúng ta cần thúc đẩy thay đổi trên quy mô lớn bằng cách sử dụng tất cả các công cụ trong tầm tay, bao gồm các chính sách của chính phủ, công nghệ hiện tại, phát minh mới và khả năng của thị trường tư nhân để tăng khả năng tiếp cận [của giải pháp] đến một số lượng lớn người.”
Về tác giả:
Bill Gates là đồng chủ tịch của Quỹ Bill & Melinda Gates và là người sáng lập tổ chức Breakthrough Energy (Năng lượng Đột phá). Vào năm 1975, Bill Gates thành lập Microsoft với Paul Allen và đưa công ty đến vị trí dẫn đầu thế giới trong lĩnh vực phần mềm và dịch vụ dành cho cá nhân và doanh nghiệp. Vào năm 2008, ông dành toàn bộ tâm sức vào hoạt động của Quỹ Gates để đem đến cơ hội cho những con người yếu thế nhất trên toàn cầu. 
",239.000 đ,,,,,,,,https://www.fahasa.com/tham-hoa-khi-hau-how-to-avoid-a-climate-disaster.html,,,,
