tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,nhà phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả
Phương Pháp Chơi Đàn Guitar Lead,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8935074121240.jpg,Âm nhạc,Gary Turner,"
Bạn muốn tự học guitar lead nhưng gặp khó khăn?
Bạn đang tìm kiếm một phương pháp hiệu quả để học các kỹ thuật guitar?
Bạn muốn chơi solo một cách tự tin và làm cho khán giả phải trầm trồ thán phục?
Phương pháp chơi đàn guitar lead chính là điều mà bạn cần! Với cách trình bày sinh động, dễ hiểu, kết hợp chặt chẽ giữa lý thuyết và thực hành, sách sẽ giúp bạn thuần thục các kỹ thuật phức tạp như biến tấu hội tụ nốt, đánh nhịp đảo phách, ứng tác, luyến ngắt, luyến nốt, gảy vê...
Sau một thời gian luyện tập theo sách, bạn nhất định sẽ ngạc nhiên vì khả năng chơi đàn của mình. 
",55.000 đ,,NXB Thanh Hóa,2020,19 x 27 cm,Bìa Mềm,80.0,
Tuyển Tập Tác Phẩm Piano Cổ Điển - Lãng Mạn Được Yêu Thích - Tập 1,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188461.jpg,Âm nhạc,"Đặng Thái Sơn, Cù Minh Nhật","
Bộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm nhạc cổ điển và lãng mạn, hoàn toàn không trùng lặp với các ấn phẩm đã phát hành như: “Piano cho thiếu nhi – Tuyển tập 220 tiểu phẩm nổi tiếng” (2011), “Tuyển tập tiểu phẩm piano măng non” (2017) và “Những nhạc khúc hay và dễ soạn cho đàn piano” (2018).
Đặc biệt, để hỗ trợ thiết thực cho học viên, tất cả các tác phẩm trong bộ sách đều được minh họa qua file Audio âm thanh sinh động. Ngoài ra, chất lượng in cao cấp, thiết kế thoáng đẹp với gáy xoắn, thuận tiện khi đặt trên giá nhạc để thị tấu cũng là những ưu điểm của bộ sách này. 
",120.000 đ,,NXB Dân Trí,2019,20.5 x 29.5,Bìa Mềm,148.0,
Phương Pháp Hồng - Năm Thứ Hai Với Đàn Piano - Tập 2 (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_1794.jpg,Âm nhạc,Ernest Van de Velde,"
Méthode Rose là giáo trình dạy piano nổi tiếng của Pháp có từ thế kỷ XIX. Méthode Rose đã được biên soạn ra tiếng Anh, Tây Ban Nha, Bồ Đào Nha, Nhật và nhiều ngôn ngữ khác. Ngoài ra, Méthode Rose cũng đã được in thành sách chữ nổi Braille dành cho người khiếm thị. 
Đặc biệt File Audio tặng kèm giúp người học có thể nghe trước âm thanh của tất cả các tiểu phẩm trong sách.
Với thiết kế gáy xoắn, khổ ngang cùng nốt nhạc to, cuốn sách rất thuận tiện khi đặt trên giá nhạc để thị tấu. 
",165.000 đ,,NXB Mỹ Thuật,2019,29.5 x 20.5,Bìa Mềm,152.0,
Học Đệm Piano Cơ Bản - Phần 2 (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/q/q/qqqqqqqqqqqqqqq_1.jpg,Âm nhạc,Song Minh,"
Học Đệm Piano Cơ Bản - Phần 2 (Tái Bản 2020)
Hoc đệm Piano cơ bản là bộ sách có phương pháp trình bày khá cụ thể và dễ học, với lượng kiến thức cơ bản có thể giải quyết được những đòi hỏi cấp thiết của người học đệm Piano. Học viên có thể luyện tập từ bất cứ phần nào vì các bài tập trong mỗi cuốn sách đều khởi đầu từ trình độ cơ bản và được sắp xếp từ dễ đến khó. 
",145.000 đ,,NXB Dân Trí,2020,29.5 x 20.5,Bìa Mềm,143.0,
30 Ngày Biết Đệm Guitar (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_215229.jpg,Âm nhạc,Song Minh,"
Gồm 30 ngày học được biên soạn theo trình độ từ dễ đến khó với phương pháp diễn giải tỉ mỉ và khoa học. Qua những ca khúc quen thuộc được nhiều người yêu thích, cuốn sách từng bước hướng dẫn học viên luyện tập các tiết điệu thông dụng: Vasle, Boston, Tango, Bolero, Rumba, Cha cha cha, Bossa Nova. Bên cạnh đó, gợi mở một số quy luật về giọng điệu và hợp âm nhằm giúp người học cải thiện tư duy hoà thanh.  
",98.000 đ,,NXB Dân Trí,2020,27 x 19 cm,Bìa Mềm,187.0,
Nhạc Lý Vui,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_230605.jpg,Âm nhạc,Nguyễn Bách,"
NHẠC LÝ VUI
Đúng như tên sách, cuốn sách giúp cho người học nhạc cảm thấy nhẹ nhàng, thư giãn… chứ không căng thẳng như một số bạn trẻ mỗi khi nhắc đến việc học nhạc lý. Đã học nhạc thì vui mới học, mà học nhạc cũng là để cho vui.
Không ít người rất thích học guitar, thổi harmonica, chơi chút piano. Nhưng họ lại rất sợ… nhạc lý. Môn nhạc lý không đến nỗi đáng sợ như thế, nhưng lại mang một “nỗi oan Thị Kính”. Người ta sợ nhạc lý, khiến bỏ ngang giấc mộng ôm cây đàn nghêu ngao những tình khúc. Từ đó, biết đâu một tài năng của nhân loại đã bị vùi dập ngay cửa ngõ đầu tiên bước vào ngôi nhà nghệ thuật.
Từ những câu chuyện, kinh nghiệm trong thực tế, Tiến sĩ Âm nhạc học Nguyễn Bách đã bỏ công biên soạn cuốn sách NHẠC LÝ VUI để phổ biến nhạc lý – lý thuyết âm nhạc cho mọi đối tượng thuộc mọi lứa tuổi. Nội dung cuốn sách không đặt trong cấu trúc chương, bài, mục như thường thấy ở những cuốn sách giáo trình. Tác giả đã giới thiệu theo những đề mục độc lập. Cách làm này giúp người sử dụng tìm ngay đến cái mình cần. Tiến sĩ Nguyễn Bách không trình bày các vấn đề lý thuyết âm nhạc quá cặn kẽ trong cùng một hay nhiều mục liền nhau, theo kiểu “đã nói thì phải nói cho hết”. 
Thay vào đó, có những vấn đề được tách rời để giới thiệu trước – sau, ở những phần khác nhau của sách nhằm tránh sự phức tạp cho người mới tiếp xúc với âm nhạc và đem lại sự tiếp thu thoải mái nhất, hiệu quả nhất cho người học. Cách trình bày này có thể còn xa lạ với độc giả Việt Nam nhưng đã được nhiều trường nhạc danh tiếng trên thế giới áp dụng.
Trong NHẠC LÝ VUI, những vấn đề nhạc lý phức tạp được trình bày theo cách đơn giản nhất, “vui” nhất, đáp ứng tối đa nhu cầu học nhạc của độc giả chứ không nhất thiết phải theo trình độ từ thấp đến cao. 
Sách do Công ty Truyền thông Đồng Hành và Nhà xuất bản Văn hoá – Văn nghệ TPHCM ấn hành. 
",89.000 đ,,NXB Văn hóa Văn nghệ,2019,28 x 20.5 x 0.8 cm,Bìa Mềm,98.0,
Phương Pháp Hồng - Năm Thứ 1 Với Đàn Piano (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/h/h/hh-phuong-phap-hong-nam-thu-nhat.jpg,Âm nhạc,Ernest Van De Velde,"
Méthode Rose đã được biên soạn ra tiếng Anh, tây Ban Nha, Bồ Đào Nha, Nhật và nhiều ngôn ngữ khác. Ngoài ra, Méthode Rose cũng đã được in thành sách chữ nổi Braille dành cho người khiếm thị.
Với thiết kế gáy xoắn, khổ ngang cùng nốt nhạc lớn, cuốn sách rất thuận tiện khi đặt trên giá nhạc để thị tấu. 
",110.000 đ,,NXB Dân Trí,2019,20.5 x 29.5,Bìa Mềm,124.0,
1000 Hợp Âm Cho Đàn Organ Và Piano (Tái Bản),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_225517.jpg,Âm nhạc,"Patrick Moulou, Art Mickaelian","
Cuốn sách chứa 1000 thế bấm các hợp âm thường dùng nhất cho đàn Organ, piano, cũng như bất kỳ nhạc cụ nào khác có phím đen và phím trắng trên thế giới.
Mỗi hợp âm được trình bày thế bấm căn bản và hai thế đảo khác của nó. Các số ngón tay ghi trên sơ đồ chỉ có giá trị tma khảo, bạn có thể bấm khác tuỳ theo ngón tay bạn ngắn hay dài, đàn của bạn có phím lớn hay nhỏ, thậm chí còn tuỳ thuộc thế bấm trước hay sau đó như thế nào mà bạn có thể đổi ngón, để chuyển hợp âm dễ dàng hơn.
Việc luyện tập nghiêm túc với sách này chính là chìa khoá của mọi thành công, nhất là trong lĩnh vực âm nhạc. Tập đàn 15 phút mỗi ngày sẽ có tác dụng là tập 4 tiếng mỗi tuần. 
",76.000 đ,,NXB Hồng Đức,2020,27 x 19 cm,Bìa Mềm,112.0,
Học Đệm Piano Cơ Bản - Phần 1 (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_37506.jpg,Âm nhạc,Song Minh biên soạn,"
Hoc đệm Piano cơ bản là bộ sách có phương pháp trình bày khá cụ thể và dễ học, với lượng kiến thức cơ bản có thể giải quyết được những đòi hỏi cấp thiết của người học đệm Piano. Học viên có thể luyện tập từ bất cứ phần nào vì các bài tập trong mỗi cuốn sách đều khởi đầu từ trình độ cơ bản và được sắp xếp từ dễ đến khó. 
",145.000 đ,,NXB Dân Trí,2020,29.5 x 20.5 cm,Bìa Mềm,156.0,
Tuyển Tập Piano Cổ Điển  Lãng Mạn Được Yêu Thích (Tập 2),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188505.jpg,Âm nhạc,"Ths Cù Minh Nhật, Ths Đặng Thái Sơn","
• Kèm file Audio âm thanh tất cả các tác phẩm trong sách
• Có thể luyện tập trên đàn Organ
Bộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm nhạc cổ điển và lãng mạn, hoàn toàn không trùng lặp với các ấn phẩm đã phát hành như: """"Piano cho thiếu nhi  Tuyển tập 220 tiểu phẩm nổi tiếng"""" (2011), """"Tuyển tập tiểu phẩm piano măng non"""" (2017) và """"Những nhạc khúc hay và dễ soạn cho đàn piano"""" (2018). Đặc biệt, để hỗ trợ thiết thực cho học viên, tất cả các tác phẩm trong bộ sách đều được minh họa qua file Audio âm thanh sinh động. Ngoài ra, chất lượng in cao cấp, thiết kế thoáng đẹp với gáy xoắn, thuận tiện khi đặt trên giá nhạc để thị tấu cũng là những ưu điểm của bộ sách này.
  
",120.000 đ,,NXB Dân trí,2019,20.5 x 29.5,Bìa Mềm,152.0,
