tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,nhà phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả
Cúp C1 Châu Âu - 66 Năm Lịch Sử,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/z/2/z2561516177667_fd525869e98a0a0f1db161b6fcf1a2e4.jpg,Nhân vật thể thao,"Dũng Phan, Vũ Hoàng, Nhiều Tác Giả","
Cúp C1 Châu Âu 66 Năm Lịch Sử
Champions League – giải đấu quy tụ các ngôi sao hàng đầu thế giới và mang lại giá trị lớn chưa từng có cho những nhà tổ chức. Năm 2006, UEFA chỉ thu về hơn 600 triệu € cho cả mùa giải. Đến năm 2010, con số này đã tăng lên 1 tỷ €. Năm 2016, Champions League vượt qua cột mốc 2 tỷ và theo số liệu thống kê tháng 11-2020, bản quyền giải đấu mang lại cho UEFA tổng cộng 2,82 tỷ € cho mùa giải 2018-19. Với mùa giải 2019-20, hai nhà báo Alex Harvey và Daniel Geey đưa ra tính toán rằng doanh thu của Champions League sẽ là 3,25 tỷ € bất chấp nửa sau rơi vào giai đoạn của dịch Covid-19. Nhưng sự vĩ đại đầy hào nhoáng ấy không được Liên đoàn bóng đá châu Âu chào đón lúc ban đầu …
“Tôi cho rằng siêu giải đấu này phải dựa trên thành tích, truyền thống và khả năng thu hút truyền hình của các đội bóng. Nó phải là một giải đấu dành cho truyền hình. Dự tính của tôi là một giải đấu có khoảng 18 CLB trong đó chắc chắn phải có 2 đội đến từ Anh, Italia và Tây Ban Nha”, Flynn nhớ lại về tình hình lúc ấy. Berlusconi hoàn toàn tán đồng và gửi kế hoạch tới UEFA. Tổ chức bóng đá khổng lồ này không hài lòng khi một gã Chủ tịch CLB lại định làm thay việc của họ. UEFA từ chối và Berlusconi dọa sẽ li khai, đồng thời lôi kéo các đội bóng khác làm theo, để tự xây dựng một “siêu giải đấu” của riêng mình. 
",179.000 đ,,NXB Hà Nội,2021.0,24 x 16 cm,Bìa Mềm,400.0,
Tự Truyện Lê Công Vinh – Phút 89,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/t/u/tu_truyen_le_cong_vinh-phut_89.jpg,Nhân vật thể thao,Lê Công Vinh,"
Tự Truyện Lê Công Vinh – Phút 89
Từ một cậu bé đá bóng lưới chui háng ở Nghệ An năm nào đến chàng đến chàng trai tung đánh đầu lịch sử ấy, tôi vẫn chỉ là tôi, Lê Công Vinh của bố mẹ, anh trai của các em và là một người con của đất Nghệ An. Và khi đã khoác lên mình chiếc áo đội tuyển, trong đầu tôi không có gì ngoài hai chữ : Tổ Quốc ! – Lê Công Vinh
Những câu chuyện trong sách được kể bằng một giọng văn thản nhiên, không phải vì chúng không buồn, không đau, không hưng phấn ; mà dường như vì người viết ý thức được rằng trong câu chuyện ấy có bao nhiêu nét nghĩa, thì người Việt Nam đều hiểu hết. Không cần diễn giải thêm về cái nghèo, về khát vọng, về đồng tiền và miệng lưỡi thế gian với độc giả ở xứ này nữa.
Dù sao thì chính chúng ta đã tạo nên Lê Công Vinh
Nhà báo Đinh Đức Hoàng 
",155.000 đ,,NXB Thế Giới,2018.0,14 x 20.5,Bìa Mềm,304.0,
Từ Pele Đến Maradona - Một Cuốn Cẩm Nang Về Bóng Đá Thế Giới,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_235169.jpg,Nhân vật thể thao,Yên Ba,"
Lời Tựa
Đã từ lâu, tôi mơ ước viết một cuốn sách về bóng đá, cuốn sách mà những tín đồ của túc cầu giáo - cũng như tôi - có thể mang theo mình trên những chặng hành trình của cuộc đời, một cuốn sách mà mỗi khi mở ra, có thể biết được hầu như tất cả mọi thứ về bóng đá, cái thế giới đẹp đẽ đã, đang và sẽ mê hoặc hành tinh này.
Nhưng chỉ sau một thời gian ngắn thì tôi hiểu rằng không thể có một cuốn sách như vậy. Vì thế giới bóng đá là một thế giới vô cùng quyến rũ nhưng cũng mênh mông đến choáng ngợp, không thể gói gọn lại trong một cuốn sách.
Bởi thế nên tôi quyết định sẽ viết về cái thế giới ấy qua gương mặt con người, những danh thủ bóng đá của mọi thời đại.
Họ xứng đáng được tôn vinh, như bất cứ một danh nhân nào trong thế giới chúng ta đang sống, trong các lĩnh vực khác nhau của đời sống con người: kinh tế, chính trị, văn hóa, khoa học công nghệ… Mọi sự so sánh đều khập khiễng, nhưng dù sao tôi vẫn phải nói - thật ra không có gì mới - là dường như chỉ các danh thủ bóng đá mới có khả năng làm được cái điều mà ít người làm được, đó là làm cho hàng tỷ người trên khắp hành tinh khóc cười cùng trái bóng, có thể làm cho một dân tộc này đau khổ tột cùng, trong khi một dân tộc khác ngập tràn hạnh phúc.
Tôi nhắc lại, có rất ít người làm được như vậy. Bởi thế, các danh thủ bóng đá xứng đáng được tôn vinh bằng những từ ngữ đẹp đẽ nhất mà con người có thể sáng tạo ra.
........... 
",159.000 đ,,NXB Lao Động,2021.0,24 x 16 x 3 cm,Bìa Mềm,683.0,
Chìa Khóa Thành Công Của Tôi - Tự Truyện Của Siêu Cò Jorge Mendes,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195147.jpg,Nhân vật thể thao,"Miguel Cuesta, Jonathan Sanchex","
Jorge Mendes không phải là một danh thủ bóng đá. Người đàn ông ngoài năm này cũng chẳng phải là một huấn luyện có tên tuổi như hay José Mourinho. Vậy mà chính Jorge Mendes lại là người khiến cho thị trường bóng đá trở nên sôi động hơn. Những câu lạc bộ nổi tiếng trên thế giới đều muốn có được cái gật đầu từ người đàn ông Tây Ban Nha này. Vì sao Jorge Mendes lại có quyền lực lớn tới vậy? Chắn hẳn đây là điều làm cho nhiều người tò mò? Đơn giản thôi, vì người đàn ông với khóe miệng luôn mỉm cười này là người đại diện cho hàng trăm cầu thủ nổi tiếng trên thế giới như Cristiano Ronaldo, Falcao, Deco… Jorge Mendes cũng là người làm nên những hợp đồng chuyển nhượng lên tới hàng trăm triệu euro. Nhờ có Mendes mà thị trường chuyển nhượng trở nên náo nhiệt hơn.
Vì đâu một chàng trai nghèo sống tại thành phố hẻo lánh bên bờ biển lại có được thành công lớn tới vậy. Sự thông minh, đầu óc tính toán hơn người hay chút liều lĩnh liệu đã đủ để Jorge Mendes có được thành công như ngày hôm nay? Tất cả đều được bật mí trong cuốn sách “Chìa khóa thành công của tôi- Tự truyện của siêu cò Jorge Mendes”. 
",169.000 đ,,NXB Văn Học,2019.0,23.7 x 15.8 x 0.5 cm,Bìa Mềm,335.0,
Premier League - Lịch Sử Giải Ngoại Hạng Anh Và Sự Phát Triển Của Chiến Thuật Bóng Đá,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_48048.jpg,Nhân vật thể thao,Michael Cox,"
Cuốn sách này kể lại lịch sử Premier League - giải Ngoại hạng Anh - giải đấu ra đời từ mùa bóng 1992-1993, là giải vô địch bóng đá hạng cao nhất tại nước Anh, quê hương của bóng đá. Không chỉ tường thuật lại quá trình phát triển của giải đấu với vô số trận đấu kịch tính, các nhà vô địch và những kẻ thất bại ""trong gang tấc"", những huấn luyện viên bậc thầy và những cầu thủ ngôi sao của Anh quốc và toàn thế giới, cuốn sách dành một phần nội dung không nhỏ để trình bày một chủ đề mới nghe qua thì tương đối khô khan: chiến thuật bóng đá, chính xác hơn là 'sự phát triển của chiến thuật bóng đá tại Premier League', qua gần ba thập niên.
Mặc dù Premier League tương đồng về mặt cấu trúc thi đấu cơ bản với tiền thân của nó, giải First Division xưa cũ, nhưng giải đấu hàng đầu nước Anh này được lợi từ việc đặt tên lại thương hiệu khi xét đến những vấn đề trước đó, và năm 1992 không phải là thời điểm khởi đầu hoàn toàn tuỳ hứng cho thời hiện đại của bóng đá – như sẽ được giải thích trong chương đầu sách!
Tác giả Michael Cox tìm cách cắt nghĩa điều đó. Mặc dù 25 năm được trình bày bằng 25 chương sách, nhưng đây là bản tường thuật theo chủ đề hơn là thuần tuý theo từng mùa bóng. Điểm tập trung nhằm vào những cuộc cách mạng: những huấn luyện viên mang đầu óc cách tân, nhưng cầu thủ thay đổi cục diện trận đấu, những đội bóng khơi nguồn cảm hứng, những ý tưởng chiến thuật mới, những phát triển ngoài sân bóng, thảy đều là những thứ ảnh hưởng lên lối chơi. Câu chuyện xoay quanh việc Premier League trở thành một cái tên phổ biến, theo hai phương cách khác nhau.
Trước tiên, giải này trở nên phổ biến ở tầng mức chiến thuật. Đầu thập niên 1990 mọi vị trí trên sân đều có những yêu cầu rất cụ thể – hàng hậu vệ chỉ lo phòng thủ, hàng công chỉ lo tấn công. Nhưng dần dần các vị trí trở nên bao quát hơn, với việc hậu vệ được kỳ vọng sẽ có những pha lên công và hàng tấn công được khích lệ để bắt đầu gây sức ép nhằm hỗ trợ phòng thủ. Cầu thủ ngày càng toàn diện thay vì chỉ có những vai trò chuyên biệt.
Thứ nhì, giải này cũng trở nên phổ biến trên cơ sở địa lý, khi các câu lạc bộ Anh mở rộng chân trời của mình và càng lúc càng trở nên phụ thuộc vào cầu thủ và huấn luyện viên ngoại quốc. Kinh ngạc thay, khi 'khai trương' Premier League vào tháng Tám 1992, chỉ 11 cầu thủ ngoại quốc trong đội hình ra sân cho toàn bộ 22 câu lạc bộ cộng lại, và không có huấn luyện viên ngoại quốc nào. Tới mùa thứ 25 của giải, phần lớn cầu thủ và huấn luyện viên ở Premier League đều là người ngoại quốc – và hầu hết mọi quốc gia bóng đá lớn trên thế giới đều có đại diện ở đây. Trong số 25 nước đứng đầu bảng xếp hạng FIFA, duy chỉ Mexico không có đại diện nào ở Premier League ở mùa 2016/17.
Sự kết hợp hai yếu tố này đã chứng kiến các đội ở Premier League từ bỏ lối bóng đá xấu xí, tấn công trực diện, và tiếp thu một phong cách chơi có đầu óc, đậm chất lục địa, đậm chất kỹ thuật hơn. Đây là câu chuyện về sự tiến triển về mặt chiến thuật của Premier League – từ pie đến paella (từ thuần Anh tới chịu ảnh hưởng của Tây Ban Nha) , từ route one (một-đường-một) đến false nine (số 9 ảo). 
",369.000 đ,,NXB Văn hóa Văn nghệ,2020.0,23 x 15.5 cm,Bìa Mềm,611.0,
Andrés Iniesta The Artist - Khi Bóng Đá Là Nghệ Thuật,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180272.jpg,Nhân vật thể thao,"Peter Jenson, Sid Love","
Có một điều khá hoang đường trong thời đại truyền thông như bây giờ, đó là sự tồn tại của những cầu thủ không có antifan. Vậy mà Andrés Iniesta lại là một người nằm trong cõi hoang đường đó. Chàng trai ấy sở hữu tài năng xuất chúng, nhân cách hiền hậu, những phát ngôn chuẩn mực, và đặc biệt là những bàn thắng tuy không nhiều nhưng bùng nổ đất trời. Thế rồi, ta rời khỏi những dòng tìm kiếm trên Google, rời khỏi thảm cỏ xanh mướt, và thời khắc ta lật cuốn sách “Andrés Iniesta - Khi bóng đá là nghệ thuật”, thì điều đập vào mắt ta là một thế giới khác: thế giới nội tâm đầy những hỷ nộ ái ố, cắn rứt, đau khổ của con người ngỡ rằng có tất cả ấy. Đó là một thế giới nghệ thuật mang tên Andrés Iniesta mà như anh bảo “Tôi dành cho bạn những gì bạn chưa biết…”
(Dũng Phan) 
",159.000 đ,,NXB Hà Nội,2018.0,16 x 24,Bìa Mềm,388.0,
"Từ Cú Kung-Fu Của ""King"" Eric Cantona Đến Sự Hình Thành Kỷ Nguyên Manchester United",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_14856.jpg,Nhân vật thể thao,Daniel Storey,"
Với rất nhiều khán giả Việt Nam, Eric Cantona chính là nhịp cầu nối dẫn dắt họ đến với giải Ngoại hạng Anh. Ở thời điểm Serie A vẫn còn là giải đấu số 1, anh chàng mang áo số 7 với thói quen dựng cổ áo khi bước vào sân là người đã truyền cảm hứng cho Premier League, giúp giải đấu ngày càng hoàn thiện đề có được tầm vóc như ngày hôm nay.
Người hâm mộ Việt Nam thế hệ trước đa phần thích bóng đá Pháp, có thể vì vậy mà khi Cantona tỏa sáng cùng Manchester United người ta lập tức yêu quý câu lạc bộ này như một lẽ đương nhiên. Nhắc đến Man Utd là phải nói đến Cantona; anh chứ không phải ai khác chính là cánh tay nối dài của Sir Alex, góp phần dìu dắt lứa cầu thủ của Beckham, Scholes, anh em nhà Neville, Butt nhanh chóng trưởng thành để mang lại cú ăn ba lịch sử, góp phần vào những chiến tích không tưởng của đế chế Ferguson.
Hâm mộ Eric Cantona từ khi anh đá cặp với J P Papin ở đội tuyển Pháp lập kỳ tích thắng cả 8 trận tại vòng loại Euro 92, tôi cảm thấy mình thật may mắn khi vẫn có thể tường thuật những trận đấu đỉnh cao cuối cùng của số 7 trước khi anh đột ngột từ giã sân cỏ vào mùa hè năm 1997. Là người gắn bó với giải Ngoại hạng Anh từ những ngày đầu phát sóng tại Việt Nam, với tôi Cantona chính là người mở đường cho những tài năng bóng đá thực sự lớn đến với xứ sở sương mù, thậm chí anh là cầu thủ quan trọng nhất trong lịch sử gần 30 năm của EPL.
Tôi vẫn luôn tin rằng trong cuộc đời này mỗi con người đều có sứ mệnh riêng, vì thế chúng ta cũng không nên quá tiếc nuối cho sự dang dở của Eric với đội tuyển Pháp. Anh là một trong những nhân tố quan trọng giúp bóng đá Pháp trở lại với một giải đấu lớn sau khi vắng mặt liên tiếp tại Euro 88 và WC 90 nhưng cũng chính những bất đồng của anh với huấn luyện viên Aime Jaquet mà lứa cầu thủ của Zidane mới có dịp nhanh chóng trưởng thành cùng nhau đề giúp Pháp lần đầu vô địch World Cup.
Sau khi giải nghệ, Cantona vẫn mang lại rất nhiều cảm hứng trong những công việc anh gắn bó. Lúc là huấn luyện viên kiêm cầu thủ bóng đá bãi biển, khi thì đóng phim, rồi lại làm thơ, viết báo… Nhưng khoảnh khắc mà tôi luôn chờ đợi là khi anh xuất hiện tại Old Trafford đề cùng mọi người cùng nhớ về một giai đoạn hào hùng của nửa đỏ thành Manchester. Gần đây khi xem những trận đấu bế tắc của thầy trò Solskjaer, tôi bỗng có cảm giác cái mà MU thiếu nhất lúc này để kết hợp các ngôi sao với những tài năng trẻ chính là một nhân vật như Eric The King.
- Bình luận viên Quang Huy 
",119.000 đ,,NXB Hà Nội,2019.0,12 x 20 cm,Bìa Mềm,242.0,
Làm Sạch Tâm Hồn - Các Bài Tập Thiền,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_184222.jpg,Nhân vật thể thao,Nishi Katsuzo,"
“Làm sạch tâm hồn - các bài thiền tập” của tác giả Nishi Katsuzo do Tiến sĩ Trương Thị Thảo dịch, đây là những nội dung và các phương pháp giảng dạy đã được thử thách qua thời gian. Đây là những nghiên cứu kiệt xuất trong nền y học tự nhiên của tất cả các dân tộc từ xưa cho tới nay. Đây là những bí quyết đã được khôi phục lại với những giải thích của các chuyên gia thời nay cùng những lời khuyên hết sức cấp thiết của những nhà chuyên môn vĩ đại.
Thiền tĩnh tâm là phương pháp có thể cứu giúp chúng ta khi thân thể đang suy sụp và tinh thần mỏi mệt. Thiền cho tâm hồn là điều đem lại hy vọng và chỉ ra con đường dẫn đến phục hồi sức khỏe khi chúng ta cảm thấy dường như mọi con đường đều đã bị cắt đứt.
Ở trong trạng thái Thiền tĩnh tâm tức là ta biết lắng nghe và thấu hiểu được chính mình, tức là ta tìm ra được lời giải cho mọi vấn đề của bản thân – qua các câu trả lời vốn nằm trong chính mình. Chỉ là bình thường ta không lắng nghe chúng do những bận rộn trong đời sống, do những suy nghĩ vô nghĩa đang chen chúc xô đẩy nhau trong đầu. Cơ thể chúng ta rất thông minh. Nó biết tất cả về sự sống và về bản thân mình. Nó biết cả những con đường dẫn đến chữa lành bệnh tật. Chỉ là chúng ta không tạo cho nó cơ hội thể hiện sự thông tuệ này vào đời sống mà thôi. Chúng ta không muốn lắng nghe cơ thể mình, chúng ta ưa nói nhiều về bản thân và cứ hay bận rộn tất tả về rất nhiều điều. Nào, bạn hãy dành sự chú ý này cho chính cơ thể mình. Nó sẽ nói cho bạn biết điều gì đó.
Giá như thế giới phương Tây hiểu được bản chất của y học! Chừng nào ít người bị bệnh hơn, chừng ấy sẽ nhiều người hạnh phúc và khỏe mạnh hơn! Đây mới đúng là dược phẩm huyền diệu – là cơ sở của sức khỏe.
Hồi nhỏ, Nishi Katsuzo đã có rất nhiều cơ hội học tập nghệ thuật Thiền – định tâm, vì tác giả là một bệnh nhân vô phương cứu chữa. Các bác sĩ đã nhận định như thế, cha mẹ ông cũng nhận định như vậy. Nhưng Thiền đã giúp ông vượt qua cái chết. Tác giả đã chiêm ngưỡng cây hoa anh đào trước khi nở hoa, khi hoa đang nở, và khi hoa tàn, ông nhìn thấy rõ gió đã cuốn những cánh hoa màu hồng rụng xuống như thế nào. Rồi vào mùa xuân năm sau, cây lại hồi sinh, và tất cả lại bắt đầu. Tác giả đã hiểu ra rằng, trong tự nhiên không có cái chết – mà chỉ là sự tồn tại đời sống vĩnh hằng liên tục theo vòng tròn “luân hồi sinh tử”. Chính bởi thế nên không việc gì phải sợ chết. Bản thân con người là một phần của tự nhiên và nó cũng sẽ sống thuận theo quy luật như thế. Tác giả không còn sợ nữa, và từ đấy, quá trình hồi phục sức khỏe của ông bắt đầu.
Có thể nói rằng, sự phục hồi sức khỏe của tôi bắt đầu từ khả năng thấu hiểu sự thật về các quy luật đích thực của thế giới, của vũ trụ và của tự nhiên. Tác giả đã thấu hiểu điều ấy thông qua Thiền, chỉ trong Thiền. Qua Thiền, Nishi Katsuzo nắm được các bí mật của cơ thể mình, lắng nghe những lời giải đáp của nó đối với các vấn đề của chính mình – và ông đã tìm được những phương pháp đúng đắn đích thực để chữa bệnh, điều mà bản thân ông rất cần. Tác giả đã tìm ra con đường này và những phương thuốc chữa lành bệnh không phải từ trong sách, cũng không phải từ các cuộc hội thảo của các nhà bác học vĩ đại mà đã tìm ra chúng từ bên trong bản thân mình nhờ nghệ thuật Thiền tập trung tư tưởng.
Sự phục hồi sức khỏe được bắt đầu từ việc khám phá trạng thái chữa lành bệnh bên trong bản thân mình. Chúng ta không thể đi vào trong mình với trạng thái bận rộn, lúng túng của cuộc sống thường nhật, khi đầu óc ta cứ loay hoay, bận rộn với những quyết định tức thời, với nhiều vấn đề nảy sinh cùng một lúc, và do vậy, nó không kịp hiểu thấu tất cả những ý nghĩ đang đồng thời chuyển động hỗn loạn theo những làn sóng cuồn cuộn bên trong. Trạng thái chữa lành bệnh là một trạng thái tĩnh lặng bên trong. Chỉ có Thiền mới đem lại cho chúng ta trạng thái tĩnh lặng bên trong ấy.
Thiền là điều không hề đơn giản đối với con người hiện đại, nhất là khi họ phải đối diện với biết bao mối quan tâm và các vấn đề thường nhật. Tác giả không nói rằng cần phải tìm ra một lối đi khác, một cách tiếp cận khác với sức khỏe của mình để giải quyết hàng núi vấn đề. Trong trạng thái hỗn loạn, lúng túng của tâm trí, chúng ta không thể đưa ra được quyết định sáng suốt cho các vấn đề, cũng như không thể tìm thấy con đường dẫn đến sự khỏe mạnh. Sự tĩnh lặng bên trong, trạng thái Thiền tập trung tư tưởng, chính là trạng thái để sức khỏe tồn tại. Không có trạng thái này thì không có sức khỏe. Bạn hãy làm cho tâm trí đang hỗn loạn lắng dịu xuống, bình yên lại, hãy tìm bằng được cho mình trạng thái tĩnh lặng bên trong, trạng thái mà ở đó lời giải đáp cho mọi vấn đề xuất hiện, trạng thái mà trong đó, cơ thể bắt đầu tự chữa lành bệnh. Hãy tìm bằng được cho mình kho báu này – và bạn sẽ khỏe mạnh. 
",69.000 đ,,NXB Lao Động,2019.0,14.5 x 20.5,Bìa Mềm,213.0,
"Chân Dung Bộ Ba Messi, Neymar, Suarez",https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_802.jpg,Nhân vật thể thao,Luca Caioli,"
""Đây là cuốn sách viết đầy đủ nhất về ba nhân vật này cho đến thời điểm cả ba hội tụ tại Barcelona, hình thành “cây đinh ba” trên hàng tấn công của Barcelona.
Theo thống kê năm 2016, nghĩa là 2 năm kể từ ngày Bộ ba này kết hợp nhau trên hàng tấn công, Barcelona ghi 367 bàn trên khắp các mặt trận, trong đó 264 bàn thuộc về Messi, Suarez và Neymar.
Nếu đưa ra những con số so sánh thế này thì các bạn mới biết Bộ ba này khủng đến mức nào: trong 2 năm đó chỉ có 2 đội bóng Châu Âu là có thể ghi được số bàn thắng lớn hơn Bộ ba này thôi: Real Madrid với 296 bàn và Paris Saint-Germain với 270 bàn. Điều này nói lên sức tàn phá khủng khiếp của MSN."" 
",99.000 đ,,NXB Lao Động,2019.0,13 x 20.5,Bìa Mềm,217.0,
MEB - Viết Cho Người Phàm,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_10683.jpg,Nhân vật thể thao,"Meb Keflezighi, Scott Douglas","
Luyện tập chạy bộ, suy nghĩ và ăn uống như một nhà vô địch marathon
Với chiến thắng lịch sử tại giải Boston Marathon 2014, Meb Keflezighi trở thành một tượng đài trong môn chạy bộ đường dài. Người chạy bộ khắp nơi muốn biết một người với kỷ lục cá nhân đứng thứ 15 trong giải, lại đánh bại được cả đoàn đua mạnh nhất trong lịch sử Boston Marathon để trở thành người Mỹ đầu tiên vô địch giải này sau 31 năm ròng.
Với lối mô tả chi tiết khó tin, Meb viết cho người phàm đã giải thích cách mà vận động viên ba lần dự Olympic này chuẩn bị để đối đầu với những người chạy bộ giỏi nhất thế giới. Quan trọng hơn nữa, cuốn sách chỉ dẫn cho những người chạy bộ bình thường nhất cách áp dụng phương pháp tập luyện, chế độ dinh dưỡng và các nguyên tắc về tinh thần giúp anh duy trì sự nghiệp dài hơi, trong đó không chỉ có chiến thắng tại giải Boston 2014, mà còn cả tấm huy chương bạc Olympic và chức vô địch giải New York City Marathon 2009.
Đây là cuốn sách hoàn hảo cho bất kỳ người chạy bộ nào – dù là lính mới hay vận động viên marathon dày dạn – mong muốn cải thiện thành tích và có thêm niềm vui trong chạy bộ. 
",188.000 đ,,NXB Thế Giới,2019.0,19 x 23 cm,Bìa Mềm,230.0,
