,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu
0,,,,,,,,,,,,,,,,,,
1,Nhân Tố Enzyme - Phương Thức Sống Lành Mạnh (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_223771.jpg,Kiến thức y học tổng hợp,Hiromi Shinya,"
Từ kết quả lâm sàng khi tiến hành kiểm tra dạ dày của hơn 300.000 người, bác sĩ Hiromi Shinya đã rút ra kết luận: “Người có sức khỏe tốt là người có dạ dày đẹp, ngược lại, người có sức khỏe kém là người có dạ dày không đẹp.”
Trong cuốn sách này, Hiromi Shinya sẽ giới thiệu với các bạn về phương pháp sống lâu và khỏe mạnh mà ông đã dày công nghiên cứu cùng với sự trợ giúp của đông đảo các bệnh nhân của ông.
Vậy, làm thế nào để có thể sống lâu và khỏe mạnh? Nếu nói ngắn gọn trong một câu thôi thì đó là sống mà không tiêu tốn hết “enzyme diệu kỳ”.
Có lẽ sẽ có nhiều người thắc mắc về cụm từ “enzyme diệu kỳ”. Nói một cách đơn giản, “enzyme diệu kỳ” là enzyme nguyên mẫu của hơn 5.000 loại enzyme trong cơ thể, đảm nhiệm các hoạt động duy trì sự sống của con người.  Các ezyme cần thiết này hình thành ngay trong tế bào của cơ thể sống và chúng ta còn có thể tự tổng hợp enzyme qua các bữa ăn hàng ngày.
Vậy điều khiến chúng ta tiêu tốn enzyme diệu kỳ, làm thế nào để để bổ sung enzyme diệu kỳ hãy cùng tìm hiểu trong cuốn sách Nhân tố Ezyme này nhé. 
",89.000 đ,,NXB Thế Giới,2019,14.5 x 20.5 cm,Bìa Mềm,223,,https://www.fahasa.com/nhan-to-enzyme-phuong-thuc-song-lanh-manh-tai-ban-2019.html,,,,
2,Cơ Thể Tự Chữa Lành: Nước Ép Cần Tây,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217697.jpg,Kiến thức y học tổng hợp,Anthony William,"
Cuốn sách tập trung bàn về bản chất, công dụng của nước ép cần tây trong việc điều trị bệnh và phục hồi sức khỏe. Đây là phương pháp đã được vô số người áp dụng và mang lại những hiệu quả vô cùng sâu sắc. 
",148.000 đ,,NXB Thanh Niên,2020,23 x 18 cm,Bìa Mềm,312,,https://www.fahasa.com/co-the-tu-chua-lanh-nuoc-ep-can-tay.html,,,,
3,Sao Chúng Ta Lại Ngủ - Why We SLeep,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/b/i/biaao-01.jpg,Kiến thức y học tổng hợp,Matthew Walker,"
Sao Chúng Ta Lại Ngủ - Why We SLeep
Là cuốn sách về giấc ngủ đầu tiên được viết bởi chính một chuyên gia khoa học hàng đầu, giám đốc Trung tâm về Khoa học Giấc ngủ Con người của trường Đại học California, Berkeley, Sao chúng ta lại ngủ trở thành một cuộc khám phá mang tính đột phá về giấc ngủ, giải thích việc chúng ta có thể khai thác được sức mạnh biến đổi của giấc ngủ nhằm làm thay đổi cuộc sống của chúng ta trở nên tốt đẹp hơn như thế nào.
Giấc ngủ từ lâu đã trở thành một trong những khía cạnh quan trọng nhất song lại được hiểu đúng giá trị ít nhất về sự sống, sức khỏe và tuổi thọ của con người chúng ta – cho tới khi xuất hiện sự bùng nổ những cuộc khám phá mang tính khoa học trong hai thập kỉ qua đã bắt đầu soi rọi ánh sáng mới mẻ về chủ đề này. Giờ đây, chuyên gia giấc ngủ kiêm nhà khoa học thần kinh xuất sắc Matthew Walker sẽ giải thích thật cặn kẽ về tầm quan trọng to lớn của giấc ngủ, điều vốn tồn tại giữa bao chức năng hoạt động khác của cơ thể, giúp tăng cường khả năng học tập và ra quyết định, hiệu chỉnh lại cảm xúc, củng cố lại hệ miễn dịch và điều tiết sự thèm ăn của chúng ta. Với lối viết rõ ràng, cấu trúc trình bày vấn đề lôi cuốn, từ ngữ dứt khoát và dễ hiểu vô cùng, Sao chúng ta lại ngủ sẽ hoàn toàn làm biến đổi sự đánh giá và hiểu biết của độc giả về giấc ngủ và cả những giấc mơ.
MỘT SỐ ĐÁNH GIÁ VỀ CUỐN SÁCH
“Một nhà khoa học thần kinh chỉ cho chúng ta thấy được giấc ngủ trọn vẹn vào ban đêm có thể làm cho chúng ta trở nên minh mẫn hơn, lôi cuốn hơn, thon gọn hơn, hạnh phúc hơn, khỏe mạnh hơn và tránh khỏi ung thư như thế nào.” - The Guardian
“Đây là cuốn sách khơi gợi sự kích thích và có tầm quan trọng thực tiễn mà bạn nên đọc để trang bị sự hiểu biết hơn về lĩnh vực mà theo như tác giả đã nói là “có giấc ngủ chính là có tình yêu với vạn vật và làm được mọi điều”. - Financial Times
“Hầu hết chúng ta không suy nghĩ gì về điều chúng ta thường dành tới một phần ba cuộc đời của mình cho nó. Nhưng trong cuốn sách sáng suốt và hấp dẫn này, Matthew Walker giải thích hết sức rõ ràng rằng ngành khoa học mới mẻ - khoa học thần kinh - đang nhanh chóng “giải mã” bí mật lâu đời này một cách thực tiễn ra sao. Sao chúng ta lại ngủ chính là niềm vui trí tuệ sẽ khiến cho bạn phải lật giở từng trang sách đầy nâng niu trước khi chìm vào giấc ngủ của mình.”- Daniel Gilbert, Giảng viên về tâm lí học tại trường Đại học Harvard kiêm tác giả cuốn sách Stumbling on Happiness
GIỚI THIỆU TÁC GIẢ
Tiến sĩ Matthew Walker là Giáo sư giảng dạy về Khoa học thần kinh và Tâm lí học tại trường Đại học California, Berkeley, đồng thời là giám đốc Trung tâm về Khoa học Giấc ngủ Con người và là cựu giảng viên về Tâm thần học tại trường Đại học Harvard. Ông đã xuất bản hơn 100 nghiên cứu khoa học cũng như đã xuất hiện trong các chương trình uy tín: 60 Minutes, Nova, BBC News và Science Friday của NPR. Sao chúng ta lại ngủ là cuốn sách đầu tiên của ông được giới thiệu tới công chúng sau hơn 20 năm nghiên cứu về giấc ngủ. 
",249.000 đ,,NXB Lao Động,2019,15.5 x 23.5 cm,Bìa Mềm,488,,https://www.fahasa.com/sao-chung-ta-lai-ngu-why-we-sleep.html,,,,
4,Minh Triết - Trong Ăn Uống Của Phương Đông (Tái Bản),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_184179.jpg,Kiến thức y học tổng hợp,Ngô Đức Vượng,"
Minh triết trong ăn uống của phương Đông 
Học cách ăn lành, sống khoẻ
Cơ thể được xây đắp bởi đồ ăn thức uống hàng ngày, nguồn năng lượng cho chúng ta hoạt động cũng từ đó. Vì vậy, hiểu biết Minh triết trong ăn uống của phương Đông là điều vô cùng cần thiết. Tác giả - lương y nổi tiếng Ngô Đức Vượng từ lâu đã quan tâm tới vấn đề này. Ông đã ăn chay trường, ăn gạo lứt muối vừng, nhịn ăn chữa bệnh cho chính mình và giúp cho nhiều người thực hành tự chữa bệnh, dưỡng sinh, nâng cao sức khỏe, thu nhiều kết quả tốt đẹp từ nhiều năm nay.
Với thiện chí đem lại sức khỏe và trị bệnh không dùng thuốc, ít tốn kém, dễ thực hành…cho cộng đồng, tác giả đã viết cuốn sách này, nhằm cống hiến cho bạn đọc những lời khuyên quý giá và đáp ứng những nhu cầu cần thiết cho độc giả. Là một nhà khoa học chân chính, lương y giàu kinh nghiệm, đã từng tự chữa cho mình mọi bệnh từ cảm cúm đến ung thư, nên tác phẩm của ông đáp ứng được nhiều yêu cầu của bạn đọc. 
Cuốn sách cung cấp kiến thức tổng quát, tư duy thông thái, giúp người đọc có tầm nhìn và sự đánh giá vấn đề sức khỏe một cách sáng suốt. Nội dung Minh triết trong ăn uống của phương Đông trải dài từ khoa học thực dưỡng, Ăn uống theo nguyên lý âm - dương, Chế độ ăn uống, Nhịn ăn chữa bệnh... Bên cạnh kiến thức, tác giả đề cập nhiều kinh nghiệm thực tiễn giúp cho việc áp dụng vào cuộc sống dễ dàng hơn.
Cuốn sách là một đóng góp lớn, có giá trị trong lĩnh vực nâng cao sức khỏe và dân trí cho mọi người.
Tác phẩm thuộc top 10 cuốn sách bán chạy nhất của First News, đã qua 13 lần tái bản.
Báo chí nói gì về cuốn sách này:
""Cuốn sách của tác giả Ngô Đức Vượng sẽ cho độc giả những lời khuyên hữu ích về chế độ ăn uống và lựa chọn thực phẩm."" – Một cách tiếp cận về chế độ dinh dưỡng phương Đông (Zing news)
""Đây là một trong những tác phẩm tiêu biểu của lương y Ngô Đức Vượng chuyên về vấn đề ẩm thực giữ gìn sức khỏe."" - Minh triết trong ăn uống của phương Đông (Sài Gòn Giải Phóng)
Những ai có may mắn được đọc cuốn “Minh triết trong ăn uống của phương Đông” của TS. Ngô Đức Vượng, hẳn sẽ nhận ra rằng, lối sống và cách ăn uống của con người hiện đại, đa số thường mắc sai lầm và dẫn đến bệnh tật."" - LƯƠNG Y NGÔ ĐỨC VƯỢNG: “Cách ăn uống và lối sống sai lầm mở lối đến nhà thương” (Lao Động)
""Chọn chế độ ăn chú trọng tính cân bằng âm dương trong các thực phẩm có nguồn gốc thực vật, tác giả giải thích cặn kẽ nguồn gốc nhiều chứng bệnh mọi người mắc phải dù đã ăn thuần chay và cách để lướt qua."" - Đọc sách để biết cách ăn lành (Tuổi Trẻ)
Người nổi tiếng nói gì về cuốn sách này:
""Chắc chắn cuốn sách Minh Triết trong ăn uống Phương Đông của Lương Y Ngô Đức Vượng - bạn sẽ thấy rất nhiều điều mới mẻ, kỳ diệu, rất hữu ích cho chính bạn và những người thân của mình."" - Nguyễn Văn Phước (CEO First News).
Về tác giả:
Tiến sĩ, Lương y Ngô Đức Vượng sinh năm 1941, nguyên Giảng viên Đại học Đà Lạt,  Đại học Quốc gia Hà Nội. Ông là một lương y giàu kinh nghiệm, đã xuất bản nhiều cuốn sách về thực dưỡng, tôn giáo, năng lượng sinh học, các vấn đề tinh thần… 
",138.000 đ,,NXB Tổng Hợp TPHCM,2019,14.5 x 20.5,Bìa Mềm,408,,https://www.fahasa.com/minh-triet-trong-an-uong-cua-phuong-dong-tai-ban.html,,,,
5,Bí Mật Dinh Dưỡng Cho Sức Khoẻ Toàn Diện (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9786048037062.png,Kiến thức y học tổng hợp,"T Colin Campbell , Thomas M Campbell II","
Bí mật dinh dưỡng cho sức khỏe toàn diện là công trình nghiên cứu kéo dài 20 năm, với sự phối hợp chặt chẽ giữa đội ngũ chuyên gia từ Đại học Cornell, Đại học Oxford và Viện Y học Dự phòng Trung Quốc, được viết bởi nhóm tác giả T. Colin Campbell và Thomas M. Campbell II.
""Có một sự thực không thể phớt lờ là ngày nay, nhờ “môi trường thực phẩm độc hại” này mà không ít người tạo ra doanh thu khổng lồ. Lẽ dĩ nhiên, họ muốn bạn tiếp tục tiêu thụ các loại thực phẩm họ bán, bất chấp việc đó làm cho bạn trở nên béo ú, làm suy kiệt sức khỏe và rút ngắn tuổi thọ của bạn. Bạn có thể chấp nhận hiện trạng này, nhưng bạn cũng có thể kháng cự lại và tự bảo vệ sức khỏe của mình thông qua việc tìm kiếm một cách tiếp cận đúng đắn về một mối quan hệ lành mạnh và đảm bảo sức khỏe hơn giữa cơ thể bạn và những gì bạn ăn. Nếu bạn muốn sống một cuộc đời đầy năng lượng, thân thể dẻo dài và tinh thần linh mẫn, bạn cần đến một đồng minh chân chính.

Thật may mắn, khi cầm cuốn sách này trong tay, tức là bạn đã tìm thấy người đồng minh ấy. Bí mật dinh dưỡng cho sức khỏe toàn diện là cuốn sách sẽ giúp bạn tỏ tường mọi khía cạnh về thực trạng dinh dưỡng và sức khỏe ngày nay. Nó cũng giúp bạn thoát khỏi “tấm mạng nhện” dày đặc các thông tin sai lệch đang khiến bạn không thể đưa ra lựa chọn chính xác cho những loại thực phẩm bạn thực sự cần đến.

Một trong những điều tôi đánh giá cao về cuốn sách này chính là: Nó không chỉ đơn thuần nêu ra các kết quả và kết luận rồi áp đặt chúng vào đầu óc và tiềm thức của bạn. Tiến sĩ Campbell không làm vậy, ông không bảo bạn nên hay không nên làm những gì, ông không xem bạn là trẻ nhỏ cần được bảo ban. Thay vào đó, ông chọn cách trở thành một người bạn tốt, đáng tin cậy và thông thái. Thật nhẹ nhàng, mạch lạc và khéo léo, ông mang đến cho bạn những thông tin và dữ liệu cần thiết để dẫn dắt bạn đi đến sự thấu hiểu, xem thế nào mới đúng là dinh dưỡng và sức khỏe. Ông đặt sự lựa chọn vào tay bạn, ông cho bạn những gợi ý và lời khuyên trong khi trình bày dẫn cứ (số liệu và bằng chứng thực tế) và diễn giải cho bạn hiểu ông đã làm cách nào để có thể đi đến những kết luận. Mục đích duy nhất của ông là giúp bạn sống một cách có ý thức và khỏe mạnh nhất có thể.

Tôi đã đọc cuốn Bí mật dinh dưỡng cho sức khỏe toàn diện những hai lần, và tôi rút ra được rất nhiều điều bổ ích. Với lối viết cuốn hút và sâu sắc, đây là một cuốn sách chứa đựng nhiều kiến thức hữu ích lẫn sữ dụng cảm đáng kính trọng của tác giả. Có thể nói, công trình nghiên cứu của Tiến sĩ Campbell đã tạo nên một cuộc cách mạng ngoạn mục vì đã giúp tôi hiểu sáng tỏ được nhiều điều về dinh dưỡng.

Nếu bạn muốn ăn thịt xông khói và trứng vào bữa sáng rồi sau đó dùng thuốc giảm cholesterol, đó là quyền của bạn. Nhưng nếu bạn thực sự quan tâm đến sức khỏe của mình, hãy đọc Thực dưỡng phương Đông.

Đọc ngay khi có thể! Và cơ thể bạn sẽ nói lời cảm ơn bạn mỗi ngày, trong suốt quãng đời còn lại.""
- John Robbins -
Về tác giả:
Tiến sĩ T. Colin Campbell hiện là giáo sư dinh dưỡng ở Đại học Cornell, Hoa Kỳ, và là cánh chim đầu đàn trong lĩnh vực nghiên cứu dinh dưỡng trên thế giới hơn nửa thế kỷ qua. Ông là ""cha đẻ"" của The China Study - Bí mật dinh dưỡng cho sức khỏe toàn diện, công trình nghiên cứu lớn nhất về sức khỏe và dinh dưỡng từng được thực hiện trên thế giới. Thomas M. Campbell II, là đồng sáng lập và giám đốc y khoa của chương trình Dinh dưỡng trong y khoa của Đại học Rochester. Bác sĩ Campbell cũng giữ vai trò giám đốc y khoa của trung tâm T. Colin Campbell chuyên thực hiện các nghiên cứu về dinh dưỡng. 
",300.000 đ,,NXB Thông Tin và Truyền Thông,2019,15.5 x 23.5,Bìa Mềm,648,,https://www.fahasa.com/bi-mat-dinh-duong-cho-suc-khoe-toan-dien-tai-ban-2019.html,,,,
6,Cơ Thể Tự Chữa Lành: Giải Cứu Gan,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/c/o/co-the-tu-chua-lanh-3_bia-1.jpg,Kiến thức y học tổng hợp,Anthony William,"
Cơ thể tự chữa lành - Giải cứu gan là cuốn sách tiếp theo trong bộ sách Cơ thể tự chữa lành của tác giả có sách bán chạy số 1 theo New York Times bình chọn: Anthony William. Trong tác phẩm mới này, ông sẽ hé mở bức màn bí mật về đặc điểm, cơ chế hoạt động và những điều bí ẩn xoay quanh lá gan của con người.
Trong thế giới hiện đại, chúng ta không hề biết rằng có bao nhiêu triệu chứng, tình trạng và bệnh lý bắt nguồn từ một lá gan quá tải, trì trệ và ứ đọng. Không chỉ có ung thư gan, xơ gan và viêm gan. Gần như mọi khổ sở về sức khỏe – từ vấn đề sức khỏe tổng thể, vấn đề về tiêu hóa, bất ổn về cảm xúc, tăng cân bất thường, cao huyết áp, vấn đề tim mạch, sương mù não, vấn đề về da, tới các bệnh mạn tính và tự miễn khác – đều có nguồn gốc sâu xa từ một lá gan bị tổn thương.
Cơ thể tự chữa lành - Giải cứu gan mang tới cho người đọc lời giải và cách xử lý khi phải đối mặt với nhiều thách thức về thể chất cũng như tinh thần. Với lòng trắc ẩn sâu sắc, Anthony William đã hào phóng chia sẻ với tất cả chúng ta những thông tin độc nhất vô nhị về hàng ngàn chức năng bí ẩn của gan, giải thích nguyên nhân cốt tủy của hàng loạt vấn đề sức khỏe đang kìm hãm chúng ta, đồng thời hướng dẫn chi tiết cách khắc phục và giải quyết chúng, để ta có thể sống thực sự khỏe mạnh và hạnh phúc.
Tìm hiểu cách thức giải cứu gan chính là chuẩn bị cho bản thân một tâm trí rõ ràng, một tinh thần ổn định và một thân thể khỏe mạnh để ứng phó với cuộc sống tất bật và đầy rẫy khó khăn hiện nay. Học cách giải cứu gan còn là học cách ngủ ngon, cân bằng đường huyết, hạ huyết áp, giảm cân, và trông tươi trẻ hơn. Một lá gan khỏe mạnh sẽ là đồng minh trung thành và tận tụy của chúng ta trên hành trình đến với con người tốt đẹp nhất của mình. 
",250.000 đ,,NXB Thanh Niên,2020,23 x 18 cm,Bìa Mềm,624,,https://www.fahasa.com/co-the-tu-chua-lanh-giai-cuu-gan.html,,,,
7,Cơ Thể Tự Chữa Lành: Thực Phẩm Thay Đổi Cuộc Sống,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_39595.jpg,Kiến thức y học tổng hợp,Anthony William,"
Cơ thể tự chữa lành: Thực phẩm thay đổi cuộc sống - Thần dược đến từ trái cây và rau củ giúp chúng ta tăng nhận thức và có cái nhìn mới về những loại trái cây và rau củ -  những tinh túy mà thiên nhiên đã ban tặng cho chúng ta. Đối với mỗi loại thực phẩm được liệt kê trong cuốn sách, tác giả sẽ kèm theo một danh sách các căn bệnh và triệu chứng mà thứ trái cây hoặc rau củ đó sẽ giúp giảm nhẹ tình trạng bệnh, đồng thời chỉ ra rất nhiều lợi ích của chúng trong việc hỗ trợ về mặt tinh thần và cảm xúc. Ngoài ra, còn có những công thức các món ăn ngon lành và dễ làm xuyên suốt cuốn sách.
Khi bạn làm theo hướng dẫn trong cuốn sách, việc mua sắm và nấu ăn mang ý nghĩa mới, bởi vì linh hồn của trái cây hoặc rau củ sẽ bắt đầu trò chuyện với bạn, tác động đến cơ thể lẫn cuộc sống của bạn. Bạn sẽ bắt đầu cảm thấy thực sự được thiên nhiên hỗ trợ, và phần ban sơ sâu thẳm nào đó trong bạn sẽ bắt đầu tỉnh giấc. 
Đọc cuốn sách này, khai thác sức mạnh tinh thần và cảm xúc của trái cây và rau củ chính là liều thuốc hiệu nghiệm giúp ta hòa hợp với người luôn hỗ trợ tất cả chúng ta - chính là Mẹ trái đất. Niềm hy vọng và sức sống sẽ bắt đầu trở lại với chúng ta và lan tỏa. Cảm giác đó tựa như trở về mái ấm thiên đường trên mặt đất vậy. 
",185.000 đ,,NXB Thanh Niên,2020,23 x 18 cm,Bìa Mềm,464,,https://www.fahasa.com/co-the-tu-chua-lanh-thuc-pham-thay-doi-cuoc-song.html,,,,
8,​Nhân Tố Enzyme 2 - Thực Hành (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936037711744.jpg,Kiến thức y học tổng hợp,Hiromi Shinya,"
Nhân Tố Enzyme - Thực Hành
Ngày nay, nền y học hiện đại đang không ngừng phát triển, thế nhưng tại sao số người phải chống chọi với bệnh tật vẫn không hề giảm bớt?
Sau hàng chục năm nghiên cứu, bác sĩ Hiromi Shinya nhận ra rằng việc một người hấp thu loại thực phẩm gì, với số lượng bao nhiêu, cũng như có thói quen sinh hoạt như thế nào đều quan hệ mật thiết tới vị tướng, tràng tướng. Hơn nữa, việc này còn liên quan tới cả tình trạng sức khỏe của chính người đó.
Tại các cơ sở y tế, các bác sĩ cũng hướng dẫn ăn uống đối với một số căn bệnh cần phải hạn chế ăn uống như bệnh tiểu đường. Tuy nhiên, những hướng dẫn đó chỉ giúp bệnh tình không trở nặng hơn. Không quá lời khi nói rằng cho đến nay, những hướng dẫn trong cách ăn uống, sinh hoạt để bệnh nhân không bị bệnh, hay có thể sống thọ một cách khỏe mạnh vẫn còn là điểm mù của nền y học hiện đại.
Vốn dĩ cơ thể con người có rất nhiều hệ thống phòng vệ và cơ chế miễn dịch bảo vệ khỏi bệnh tật. Do đó, nếu không phải là các vấn đề bẩm sinh, chỉ cần không làm những việc quá bất thường thì dù đôi khi vi phạm một hai điều, bạn vẫn sẽ không bị mắc bệnh.
Nguyên nhân lớn nhất khiến cơ thể vốn có cơ chế tự bảo vệ bị mắc bệnh chính là do “thói quen ăn uống và sinh hoạt sai lầm” được tích lũy trong thời gian dài.
Do phần lớn mọi người không biết thực phẩm nào là tốt, thực phẩm nào là không tốt đối với cơ thể con người nên mới bị mắc bệnh. Với tâm nguyện giới thiệu về thói quen ăn uống và sinh hoạt đúng đắn để giúp mọi người có thể duy trì sức khỏe của bản thân, tác giả đã cho ra đời cuốn sách Nhân tố enzyme – Phương thứcsống lành mạnh giới thiệu với mọi người về “bữa ăn lý tưởng” và thói quen sinh hoạt lý tưởng”. Đã nhận được rất nhiều phản hồi từ bạn đọc trên thế giới.
Nhưng nếu như Nhân tố enzyme – Phương thức sống lành mạnh chỉ là những đề xuất “lý tưởng”, thì cuốn sách này của tác giả chính là “cuốn thực hành” để bạn có thể vừa tận hưởng cuộc sống, vừa biết cách ăn uống, sinh hoạt tốt cho cơ thể của mình. Trong cuốn sách này, tác giả đã trình bày nhiều phương pháp để bạn có thể biết được giới hạn cho phép của bản thân và có thể thực hiện những thói quen sinh hoạt tốt cho cơ thể mà không quá hà khắc.
Hy vọng rằng bạn có thể tìm thấy phương pháp phù hợp với lối sống riêng của mình để có thể vừa tận hưởng cuộc sống, vừa có thể sống khỏe mạnh mỗi ngày. 
",99.000 đ,,NXB Thế Giới,2018,20.5 x 14.5 x 0.5 cm,Bìa Mềm,291,,https://www.fahasa.com/nhan-to-enzyme-2-thuc-hanh-tai-ban-2018.html,,,,
9,Nhân Tố Enzyme 3 - Trẻ Hóa (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_175191.jpg,Kiến thức y học tổng hợp,Hiromi Shinya,"
Nhân Tố Enzyme – Trẻ Hóa
Trên thế giới này, không có ai trẻ hơn tuổi thực của mình cả. Có chăng chỉ là người đúng với tuổi thực và người già hơn tuổi thực mà thôi.
Nói cách khác, những người trẻ nhất mà bạn thấy cũng chỉ là những người đang ở trạng thái đúng với tuổi thật của mình. Sự trẻ trung khiến người khác phải ghen tị thực ra cũng chính là dáng vẻ vốn có đúng với độ tuổi của bạn.
Giữa thân thể và tinh thần của con người có một mối quan hệ khăng khít bền chặt không thể tách rời. Nếu bạn chỉ làm những việc tốt cho cơ thể hay chỉ làm những việc tốt cho tinh thần thì bạn không thể có được sự trẻ trung thực sự. Con người chỉ có được sự trẻ trung thực sự khi đồng thời thực hiện cả hai việc là trẻ hóa cơ thể và trẻ hóa tâm hồn.
Nằm trong bộ sách Nhân tố Enzyme, cuốn sách Nhân tố Enzyme – Trẻ hóa sẽ tập trung vào những kiến thức và bí quyết giúp bạn đạt được điều đó. 
",79.000 đ,,NXB Thế Giới,2018,14.5 x 20.5,Bìa Mềm,175,,https://www.fahasa.com/nhan-to-enzyme-3-tre-hoa-tai-ban-2018.html,,,,
