,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu
0,,,,,,,,,,,,,,,,,,
1,Di Sản Hồ Chí Minh - Di Chúc Của Chủ Tịch Hồ Chí Minh (Khổ Nhỏ) (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_187398.jpg,NHÂN VẬT - SỰ KIỆN ,Hồ Chí Minh,"
Bản in Di chúc của Chủ tịch Hồ Chí Minh được thể hiện bằng hình thức mới nhỏ gọn và nhẹ, thuận tiện cho người đọc ở mọi lúc, mọi nơi. 
",25.000 đ,,NXB Trẻ,2019,9 x 12.5,Bìa Mềm,52,,https://www.fahasa.com/di-san-ho-chi-minh-di-chuc-cua-chu-tich-ho-chi-minh-kho-nho-tai-ban-2019.html,,,,
2,Đa Dạng Tôn Giáo Với Tiến Trình Xây Dựng Cộng Đồng Văn Hóa - Xã Hội Asean (ASCC),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_10863.jpg,NHÂN VẬT - SỰ KIỆN ,TS Trần Thanh Huyền,"
Đông Nam Á từ lâu đã được coi là một trong những khu vực có ý nghĩa quan trọng trong lịch sử khu vực và thế giới, là “ngã tư đường”, cầu nối giữa Trung Quốc, Nhật Bản với khu vực Tây Á,… nên không phải ngẫu nhiên mà mối liên hệ của khu vực này với thế giới được xác lập. Trải qua hàng trăm năm, cư dân nơi này còn trải qua quá trình tiếp biến, xây dựng nền văn hóa riêng, độc đáo của mỗi quốc gia những cùng tồn tại hài hòa, tạo nên tính đa dạng, phong phú của nền văn hóa khu vực và đóng góp vào kho tàng văn hóa chung của nhân loại những giá trị tinh thần độc đáo.
Theo đó, bức tranh tôn giáo ở khu vực Đông Nam Á rất đa dạng, nhiều vẻ, bởi trong quá trình phát triển, ở đây đã hội tụ đủ các hệ ý thức, tư tưởng từ cả phương Đông như: Trung Quốc, Ấn Độ, Arập,… và phương Tây như: Tây Ban Nha, Hà Lan,… Vì thế, việc xây dựng chính sách để bảo đảm cho các nhóm cộng đồng tôn giáo chung sống hòa hợp trong mỗi quốc gia và ở phạm vi lớn hơn – khu vực là một vấn đề không hề đơn giản, nhất là khi sự hình thành của Cộng đồng ASEAN ( ASEAN Community – AC), mà cộng đồng Văn hóa – Xã hội ASEAN ( ASEAN Socio – Cultural Community – ASCC) là một trong ba trụ cột chính, đã đưa ra mục tiêu xây dựng ASEAN thành một cộng đồng vì con người, nơi mà các dân tộc Đông Nam Á trên chặng đường mới của mình sẽ gắn kết, chia sẻ lợi ích và phát triển cùng nhau dưới một mái nhà.
Để bạn đọc hiểu rõ hơn về vai trò của tôn giáo trong quá trình hình thành Cộng đồng Văn hóa – Xã hội ASEAN, Nhà xuất bản Chính trị quốc gia Sự thật xuất bản cuốn sách Đa dạng tôn giáo với tiến trình xây dựng cộng đồng văn hóa – xã hội ASEAN (ASCC). Cuốn sách phân tích những tác động có yếu tố tôn giáo đến quá trình xây dựng và hoàn thiện Cộng đồng này. 
",74.000 đ,,NXB Chính Trị Quốc Gia Sự Thật,2019,14.5 x 20.5 cm,Bìa Mềm,228,,https://www.fahasa.com/da-dang-ton-giao-voi-tien-trinh-xay-dung-cong-dong-van-hoa-xa-hoi-asean-ascc.html,,,,
3,Giáo Sư Trần Văn Khê Những Câu Chuyện Để Lại,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188486.jpg,NHÂN VẬT - SỰ KIỆN ,Nguyễn Chương,"
		    Giáo Sư Trần Văn Khê Những Câu Chuyện Để Lại		    
",65.000 đ,,NXB Tổng Hợp TPHCM,2019,13 x 20.5,Bìa Mềm,203,,https://www.fahasa.com/giao-su-tran-van-khe-nhung-cau-chuyen-de-lai.html,,,,
4,Nghiên Cứu Hồ Chí Minh Một Số Công Trình Tuyển Chọn - Tập 1: Chính Trị - Tư Tưởng - Tổ Chức (Bìa Cứng),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_42425.jpg,NHÂN VẬT - SỰ KIỆN ,PGS TS Bùi Đình Phong,"
Bộ sách “Nghiên cứu Hồ Chí Minh - Một số công trình tuyển chọn” được kết cấu thành ba tập. Tập 1 tập trung vào những vấn đề chính trị, tư tưởng, tổ chức. Tập 2 là những chuyên luận về văn hóa, đạo đức, xã hội. Tập 3 đi sâu làm rõ những vấn đề đổi mới, hội nhập và phát triển.
Mỗi tập có nội dung cụ thể bám sát vào chủ đề, nhưng nhìn chung, cả ba tập là một chỉnh thể thống nhất về tư tưởng Hồ Chí Minh với ý nghĩa là hệ thống quan điểm toàn diện và sâu sắc về những vấn đề cơ bản của cách mạng Việt Nam và cách mạng giải phóng dân tộc ở các nước thuộc địa. Gắn kết cả ba tập sách, người đọc có thể nhận thấy trục xuyên suốt của bộ sách bắt đầu từ nhận thức của Đảng Cộng sản Việt Nam về tư tưởng Hồ Chí Minh và cuối cùng là tư tưởng Hồ Chí Minh mãi mãi soi đường cho sự nghiệp cách mạng của nhân dân Việt Nam giành thắng lợi.
Tập 1 làm rõ đường lối cách mạng Việt Nam: Giải phóng dân tộc theo con đường cách mạng vô sản với nội dung cụ thể là giải phóng dân tộc, xây dựng chế độ dân chủ nhân dân, tiến dần lên chủ nghĩa xã hội bỏ qua giai đoạn phát triển tư bản chủ nghĩa. Tác giả phân tích toàn diện tư tưởng Hồ Chí Minh về vấn đề dân tộc thuộc địa và cách mạng giải phóng dân tộc; về chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội ở Việt Nam. Tác giả phân tích Hồ Chí Minh vận dụng và phát triển sáng tạo chủ nghĩa Mác - Lênin trong cách mạng giải phóng dân tộc và cách mạng xã hội chủ nghĩa. Những nội dung về hệ thống chính trị, trong đó có xây dựng Đảng trong điều kiện cầm quyền; về xây dựng Nhà nước của nhân dân, do nhân dân, vì nhân dân; về đại đoàn kết toàn dân tộc, kết hợp sức mạnh dân tộc với sức mạnh thời đại được trình bày khá đầy đủ, hệ thống.
Tập 2 bắt đầu bằng việc nêu rõ Nghị quyết 24C/18.6.5 của Khóa họp lần thứ 24 Đại hội đồng UNESCO ở Paris, từ ngày 20-10 đến ngày 20-11-1987, về kỷ niệm 100 năm Ngày sinh Chủ tịch Hồ Chí Minh, Anh hùng giải phóng dân tộc, Nhà văn hóa kiệt xuất Việt Nam. Trên cơ sở đó, công trình làm rõ những khía cạnh văn hóa cụ thể và vai trò của văn hóa trong cuộc đấu tranh giành độc lập dân tộc và xây dựng đất nước. Cùng với lĩnh vực văn hóa, các vấn đề về đạo đức, xã hội với những nội dung mới mẻ như an sinh xã hội, giá trị trường tồn của văn hóa, đạo đức Hồ Chí Minh trong lòng nhân loại tiến bộ được tác giả khai thác và phản ánh đậm nét.
Tập 3 là những nội dung khá rộng và mới, hầu như chưa được đề cập nhiều trong các giáo trình và cũng ít xuất hiện trong các sách chuyên khảo về Hồ Chí Minh của các tác giả trong và ngoài nước. Công trình cho thấy rằng, nhìn xuyên suốt từ tác phẩm Đường kách mệnh đến Di chúc, nói rộng ra là từ lúc ra đi tìm đường cứu nước đến tận cuối đời, sự nghiệp giải phóng dân tộc và xây dựng, phát triển đất nước của Hồ Chí Minh luôn luôn đổi mới, hội nhập và phát triển. Sự  nghiệp cách mạng đó thể hiện tư duy độc lập, tự chủ, sáng tạo, với trí tuệ, bản lĩnh, trách nhiệm cao trước nhân dân, Tổ quốc và nhân loại của Hồ Chí Minh, một con người cả cuộc đời vì nước, vì dân, không dính líu gì với vòng danh lợi.”
(Trích: Lời giới thiệu của GS. TS. NGƯT. Mạch Quang Thắng) 
",265.000 đ,,NXB Tổng Hợp TPHCM,2020,24 x 16 cm,Bìa Cứng,740,,https://www.fahasa.com/nghien-cu-u-ho-chi-minh-mo-t-so-cong-tri-nh-tuye-n-cho-n-ta-p-1-chi-nh-tri-tu-tuo-ng-to-chu-c-bi-a-cu-ng.html,,,,
5,Võ Nguyên Giáp - Hào Khí Trăm Năm (Tái Bản),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_244718_1_1005.jpg,NHÂN VẬT - SỰ KIỆN ,Trần Thái Bình,"
Bên cạnh những sự kiện lịch sử đã quen thuộc với tất cả mọi người mà quyển sách dạng biên niên sử này không thể bỏ qua, 100 đề mục được thể hiện ở đây còn mang lại những thông tin lý thú về cuộc đời Đại tướng Võ Nguyên Giáp.
Tại sao ông lại làm được quá nhiều điều đến thế trong sự hữu hạn của đời người?
Tại sao những điều ông đã làm được lại tỏ ra nghiệm đúng hơn cả trong sự vô hạn của những phương án?
Kéo pháo vào rồi kéo pháo ra, lúc thì đánh chắc tiến chắc, lúc lại thần tốc, thần tốc hơn nữa, rồi xây dựng nền kinh tế tri thức làm then chốt bên cạnh chú trọng kinh tế biển đảo...
Người đọc có thể thấy được tính hợplý và linh hoạt của một cách đánh, một cách nghĩ, một cách làm, một cách sống mang tinh thần Võ Nguyên Giáp, vừa táo bạo phi thường, lại vừa gần gũi tình người. Trên hành trình gian lao và không ngừng nghỉ đó, toát lên một hào khí của một thời đại sôi động của đất nước, mà Đại tướng Võ Nguyên Giáp là nhân vật nổi bật xâu chuỗi tất cả. 
",200.000 đ,,NXB Trẻ,2021,23 x 15.5 cm,Bìa Mềm,468,,https://www.fahasa.com/vo-nguyen-giap-hao-khi-tram-nam-tai-ban.html,,,,
6,Kể Chuyện Bác Hồ - Tập 2,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_34851.jpg,NHÂN VẬT - SỰ KIỆN ,"Trần Ngọc Linh, Lương Văn Phú, Nguyễn Hữu Đảng","
Bộ sách là tài liệu vô giá giúp ích nhiều trong việc giáo dục và rèn luyện tuổi trẻ học đường học tập tư tưởng Hồ Chí Minh đặc biệt góp phần hình thành nhân cách và giáo dục đạo lý sống, đạo lý làm người giúp các em học sinh phấn đấu để trở thành những con người hoàn mỹ.
Bộ sách xứng đáng được đặt ở vị trí trang trọng nhất trong thư viện các trường học và tủ sách của mỗi gia đình. 
",42.000 đ,,NXB Giáo Dục Việt Nam,2017,20.3 x 14.3 x 1 cm,Bìa Mềm,248,,https://www.fahasa.com/ke-chuyen-bac-ho-tap-2-2015.html,,,,
7,Di Sản Hồ Chí Minh - Hồ Chí Minh Bàn Về Phong Cách,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_187397.jpg,NHÂN VẬT - SỰ KIỆN ,"Vũ Tình, Phạm Văn Tuân, Lê Thị Nhung","
Khi nghiên cứu về Hồ Chí Minh chúng ta có thể tiếp cận đến Người ở nhiều góc độ khác nhau: Hồ Chí Minh – một công dân, một nhà báo, một chiến sĩ cách mạng, một nhà hoạt động chính trị, một danh nhân văn hóa, một lãnh tụ, v.v.. Nhưng, cho dù tiếp cận ở góc độ nào thì đạo đức và phong cách của Người vẫn là những điểm son, những viên ngọc trong toàn bộ tư tưởng và sự nghiệp của Người.  
",35.000 đ,,NXB Trẻ,2019,13 x 20.5,Bìa Mềm,52,,https://www.fahasa.com/di-san-ho-chi-minh-ho-chi-minh-ban-ve-phong-cach.html,,,,
8,Thành Cát Tư Hãn - Người Chinh Phục Thế Giới,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8935074112385.jpg,NHÂN VẬT - SỰ KIỆN ,Ruth W. Dunnell,"
Thành Cát Tư Hãn - Người Chinh Phục Thế Giới
Thành Cát Tư Hãn hay Chinggis Khan (hay quen thuộc hơn là Genghis Khan, theo cách người châu Âu đọc chệch tên ông trong tiếng Ba Tư), là nhân vật lịch sử có sức lôi cuốn lớn lao, từ lâu đã gợi cảm hứng cho các học giả, các nhà văn, các nhà khảo cổ và các chuyên gia trong nhiều lãnh vực.
Chinggis Khan xuất hiện trong nhiều nguồn sử liệu như là một chiến lược gia lỗi lạc, một thiên tài trong việc suy đoán tính cách, một thủ lĩnh quân sự với kỉ luật sắt, một “kẻ ngoại đạo đáng nguyền rủa” trong các biên niên sử Hồi giáo ban đầu, sách còn trong những nguồn sử liệu khác thì lại là một anh hùng vô song, mà thành tựu của ông đã mở đường cho sự bành trướng của đạo Hồi.
Cuốn sách Thành Cát Tư Hãn người chinh phục thế giới này cố gắng khắc họa thật rõ ràng con người Chinggis Khan, xuất thân của ông, làm sao ông lại vướng vào cái nghiệp ấy và đã theo đuổi nó thế nào để rồi trở thành “Người chinh phục thế giới”, cũng như điều ấy có ý nghĩa ra sao đối với thế giới thời đó và sau này.. 
",100.000 đ,,NXB Hồng Đức,2018,13.5 x 21,Bìa Mềm,271,,https://www.fahasa.com/thanh-cat-tu-han-nguoi-chinh-phuc-the-gioi.html,,,,
9,Ông Già Nhìn Ra Thế Giới,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8934974147176_1.jpg,NHÂN VẬT - SỰ KIỆN ,Lý Quang Diệu,"
Ông Già Nhìn Ra Thế Giới
Sinh năm 1923, cuộc đời chính trị của cựu thủ tướng Singapore Lý Quang Diệu có liên quan mật thiết tới nhiều sự kiện quốc tế. Ông từng hội kiến các lãnh đạo chủ chốt của Trung Quốc từ Mao Trạch Đông tới Tập Cận Bình và thân thiết với các tổng thống Hoa Kỳ từ Lyndon Johnson tới Barack Obama.Trong quyển sách này, Lý Quang Diệu dựa trên kinh nghiệm phong phú và hiểu biết sâu rộng của mình để đưa ra quan điểm về thế giới đương đại với tầm nhìn hai mươi năm sau. Nhưng đây không phải một quyển sách giáo khoa bàn chuyện địa chính trị khô khan cũng như không nhằm tiết lộ những thâm cung bí sử trong những sự kiện thế giới. Thay vào đó, tác phẩm này phản ánh những quan điểm của ông về thế giới hiện tại trên phạm vi rộng lớn từ Mỹ, Trung Quốc tới châu Á và châu Âu. Trong bối cảnh ấy, ông phân tích sâu sắc các vấn đề xã hội cũng như tâm lý người dân và từ đó rút ra kết luận về cơ hội tồn tại của dân tộc đó và vị thế của họ trên thang bậc quyền lực tương lai.Với văn phong giản dị, điềm đạm và không ngại động chạm, ông mô tả một Trung Quốc vẫn ám ảnh với sự cai trị của một nhà nước trung ương tập quyền trên con đường trỗi dậy mãnh liệt; một Hoa Kỳ rồi đây phải chia sẻ ngôi vị thống trị độc tôn của mình bất chấp nền kinh tế đất nước này vẫn luôn luôn năng động; và một châu Âu luôn phải vật lộn với những thách thức nhằm duy trì liên minh để tồn tại. Quan điểm thẳng thắn và thường gây ngạc nhiên của ông - về lý do Nhật Bản khép kín với người nước ngoài, vì sao Mùa xuân Ả rập sẽ không mang lại phổ thông đầu phiếu cho Trung Đông, và vì sao nỗ lực ngăn chặn hiện tượng ấm lên toàn cầu sẽ không hiệu quả bằng cách chuẩn bị sẵn sàng khi nó diễn ra – khiến cho ấn phẩm này trở nên mới mẻ và có sức lôi cuốn khác thường. Lý Quang Diệu kết thúc tác phẩm bằng cái nhìn hướng tới viễn cảnh của Singapore – mối quan tâm của tất cả đời ông – và cũng hé mở đôi chút cho độc giả liếc qua cuộc sống riêng của mình cũng như cách ông chuẩn bị để giã biệt thế giới này. 
",210.000 đ,,NXB Trẻ,2017,23.3 x 15.5 x 1 cm,Bìa Mềm,332,,https://www.fahasa.com/ong-gia-nhin-ra-the-gioi-158476.html,,,,
