tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,nhà phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả
Bước Đi Ngẫu Nhiên Trên Phố Wall (Tái Bản 2021),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_234131.jpg,Khởi nghiệp ,Burton G Malkiel,"
Dù bạn đang dự tính đầu tư vào chứng khoán, trái phiếu, quỹ hưu trí, quỹ tương hỗ, bảo hiểm v.v… thì Bước đi ngẫu nhiên trên Phố Wall cũng là cuốn sách đầu tiên trong danh mục sách cần đọc của bạn.
Trong cuốn sách kinh điển về đầu tư này, Burton G. Malkiel sẽ chỉ cho nhà đầu tư cá nhân cách thức để :
Dựa trên những nghiên cứu mới nhất và kinh nghiệm phong phú trong nhiều vai trò: nhà kinh tế học, chuyên gia tài chính, và nhà đầu tư thành công, Malkiel sẽ cung cấp cho các nhà đầu cá nhân ở tất cả cấp độ kinh nghiệm những lập luận then chốt và chỉ dẫn chi tiết để họ tự tin tìm ra hướng đầu tư trên mọi thị trường – và tìm ra con đường chắc chắn nhất để bảo toàn và gia tăng nhanh chóng khoản tiền đầu tư.
Đánh giá
« Một cuốn sách kinh điển về thị trường chứng khoán… Kể từ lần đầu xuất bản năm 1973, Bước đi ngẫu nhiên trên Phố Wall đã giúp hàng nghìn nhà đầu tư chứng khoán có một hướng đi đúng đắn. Thậm chí nếu bạn mới đọc hay đang đọc cuốn sách này, thì một lần ôn lại cuốn sách cũng rất cần thiết… Một sự kết hợp tuyệt vời giữa lý thuyết và thực tiễn >> _CHICAGO TRIBUNE_
« Bước đi ngẫu nhiên trên Phố Wall là một trong số rất ít những cuốn sách đầu tư kinh điển về chứng khoán được xuất bản trong 50 năm qua >>. _FORBES_
« Bước đi ngẫu nhiên trên phố Wall của Malkiel nằm trong hầu hết các danh sách những cuốn sách “phải đọc” _BOOKLIST_ 
",249.000 đ,,NXB Lao Động,2021,20.5 x 13 cm,Bìa Mềm,616.0,
Dạy Con Làm Giàu - Tập 1 (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2354.jpg,Khởi nghiệp ,Robert T Kiyosaki,"
Người giàu không làm việc vì tiền. Họ bắt tiền làm việc cho họ. Chấp nhận thất bại là bước đầu của thành công? Quyền lực của sự lựa chọn! Những bài học không có trong nhà trường. Hãy bắt đầu từ hôm nay “để không có tiền vẫn tạo ra tiền”…. 
",65.000 đ,,NXB Trẻ,2018,13 x 20.5,Bìa Mềm,195.0,
Startup Trong Thời Kỳ Bình Thường Mới,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_244718_1_2976.jpg,Khởi nghiệp ,Lý Quí Trung,"
Startup Trong Thời Kỳ Bình Thường Mới
Đại dịch Covid-19 xuất hiện làm xáo trộn mọi thứ liên quan đến kinh doanh nói chung và khởi nghiệp nói riêng. Các doanh nghiệp đều phải thay đổi những cách thức cũ, thậm chí “khởi nghiệp” lại mô hình kinh doanh cũ, để đáp ứng kịp thời những thay đổi của cuộc chơi mới, trong thời kỳ bình thường mới.
Và khởi nghiệp trong một thời kỳ vừa chịu ảnh hưởng của đại dịch, vừa chịu ảnh hưởng của chuyển đổi số tăng tốc thì thật là đặc biệt, với thử thách và cơ hội gần tương đương nhau. Nó đòi hỏi các nhà khởi nghiệp phải có một tư duy vô cùng năng động và nhạy bén để nhận diện và nắm bắt cơ hội. Nó đòi hỏi các startup phải làm quen với công nghệ một cách thuần thục. Nó đòi hỏi các startup phải có một tinh thần vững vàng và sức chịu đựng bền bỉ để vượt qua mọi thử thách. Và rất nhiều những thử thách quan trọng vẫn chưa xảy ra nhưng lại nằm ngay phía trước.
Từ những khát vọng khởi nghiệp và kinh nghiệm trên thương trường cùng với những kiến thức và lý luận chuyên môn thông qua nghiên cứu, tác giả Lý Quí Trung chia sẻ với các bạn trẻ những điều tâm đắc cùng cách thức để khởi nghiệp ở môi trường kinh doanh của Việt Nam, đặc biệt là trong thời kỳ có nhiều thay đổi sau đại dịch. 
",100.000 đ,,NXB Trẻ,2021,20.5 x 13 cm,Bìa Mềm,248.0,
Lập Chiến Lược Kinh Doanh Tối Giản,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_13796.jpg,Khởi nghiệp ,Vaughan Evans,"
THẾ NÀO LÀ CHIẾN LƯỢC ĐƠN GIẢN VÀ DỄ HIỂU?
Đầu tiên, tại sao bạn, một doanh nhân hay một nhà quản trị, lại cần phải lập chiến lược? Nó là gì? Tại sao doanh nghiệp của bạn cần nó?
Câu trả lời thật đơn giản: Chiến lược là cái bạn cần để đưa doanh nghiệp từ nơi nó hiện đang ở ngày hôm nay tới nơi bạn muốn nó đến sau vài năm.
Nhưng bạn có thể hỏi: “Tại sao tôi cần một chiến lược thì mới đạt được mong muốn ấy? Việc kinh doanh chẳng phải đơn giản là cứ tiến triển và thực hiện những gì đang thực hiện hay sao. Có thể là hôm nay, ở đây thì tung ra một sản phẩm mới; ngày mai, ở nơi khác thì bước vào một thị trường mới và, sau 3 năm, chúng ta sẽ có nhiều lợi nhuận hơn ngày hôm nay.”
Tốt. Bạn có một chiến lược rồi đấy. Nó được gọi là “cầu may”. Việc kinh doanh của bạn phó mặc cho thị trường. Nếu mức cầu đi xuống, hoặc nếu khách hàng chuyển qua mua hàng của đối thủ, thu nhập của doanh nghiệp bạn sẽ giảm sút. Tương tự, nếu một đối thủ đưa ra một sản phẩm ưu việt hơn hoặc rẻ hơn hoặc chất lượng dịch vụ được cải tiến mạnh mẽ hơn, thì doanh nghiệp của bạn sẽ ra sao?
Và điều gì sẽ xảy ra nếu bạn tung ra một sản phẩm mới đẳng cấp hơn nhưng lại không thể tạo hứng thú mua sắm cho khách hàng của mình?
Thị trường có thể thuận lợi. Bạn có thể thực hiện những khoản đầu tư thích hợp. Bạn có thể đạt được mức lợi nhuận mong muốn sau 3 năm. Nhưng như thế chỉ là cầu may.
Chiến lược là để giảm đi sự phụ thuộc vào may mắn.
Nó là để hướng dẫn doanh nghiệp bạn tiến tới tầm cao kế tiếp – đồng thời nhận biết những gì đang xảy ra trong thị trường, tận dụng tối đa năng lực của doanh nghiệp, và quản lý rủi ro ở mức chấp nhận được.
Cụ thể hơn, nói một cách kỹ thuật, chiến lược là cách bạn triển khai những nguồn lực hạn chế của doanh nghiệp để xây dựng một lợi thế cạnh tranh bền vững – và nhờ đấy, đạt được các mục tiêu và chỉ tiêu.
Mọi doanh nghiệp, từ một cửa hàng sửa chữa săm lốp ở góc phố cho tới tập đoàn Apple, đều cần có một chiến lược. Nếu không, bạn sẽ chỉ biết cầu mong.
Với một chiến lược, bạn có cơ hội tốt hơn để đến được nơi bạn muốn đến.
Và tin mừng là chúng ta không nhất thiết phải lập một chiến lược phức tạp.
Vào thập niên 1960, Hải quân Hoa Kỳ đề ra nguyên tắc KISS, có nghĩa là “Giữ mọi thứ đơn giản”. Nó là nguyên tắc để các kỹ sư thiết kế ra những con tàu chiến – vì thiết kế càng đơn giản bao nhiêu, kỹ thuật đóng tàu sẽ bớt phức tạp đi bấy nhiêu; kỹ sư trên các tàu chiến và chiến hạm, thay vì phải sửa chữa và bảo dưỡng cầu kỳ như ở trên bãi, sẽ có thể tự sửa chữa mọi trục trặc và hỏng hóc.
Trong Lập chiến lược kinh doanh tối giản, tác giả Vaughan Evans áp dụng nguyên tắc KISS vào việc xây dựng chiến lược với những ví dụ sống động, các giải pháp thực tế và cách tiếp cận dễ hiểu sẽ cho bạn thấy làm thế nào để phát triển nhanh chóng một chiến lược giúp cho doanh nghiệp của bạn tiến thẳng đến mục tiêu.
Hãy dành 2 tiếng đọc quyển sách này, theo sát từng bước và sẵn sàng chuyển đổi khách hàng tiềm năng của bạn! 
",108.000 đ,,NXB Thế Giới,2019,13 x 20.5 cm,Bìa Mềm,224.0,
Dạy Con Làm Giàu 02 - Sử Dụng Đồng Vốn (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29722.jpg,Khởi nghiệp ,"Robert T Kiyosaki, Sharon, L Lechter","
Bạn đang đi học? Bạn vừa ra trường và chưa có việc làm? Bạn đang làm việc với mức lương ổn định? Bạn đang làm cho một công ty tư nhân tư nhân? Bạn là một chủ doanh nghiệp nhỏ? Bạn muốn được thoải mái về tiền bạc ? “Dạy con làm giàu tập 2” sẽ là bước khởi đầu cho bạn - những quan điểm mới về đồng vốn và cách sử dụng tiền hiệu quả. 
",120.000 đ,,NXB Trẻ,2020,20 x 14 x 0.5 cm,Bìa Mềm,414.0,
Dạy Con Làm Giàu 03 - Hướng Dẫn Đầu Tư (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_33501.jpg,Khởi nghiệp ,Robert T Kiyosaki,"
Quyển sách trình bày những nguyên tắc đầu tư cơ bản của người cha giàu; cách giảm thiểu rủi ro trong đầu tư; 10 cách kiểm soát đầu tư của người cha giàu; cách biến thu nhập từ công ăn việc làm thành thu nhập thụ động và thu nhập danh mục đầu tư... 
",155.000 đ,,NXB Trẻ,2020,13 x 20.5 cm,Bìa Mềm,530.0,
Tiền Đẻ Ra Tiền - Đầu Tư Tài Chính Thông Minh,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_47056.jpg,Khởi nghiệp ,Duncan Bannatyne,"
Sau sự thành công của hai cuốn sách “Thức tỉnh và thay đổi cuộc đời bạn: Bí quyết thành công của triệu phú Anh” và “Quản lý thời gian thông minh của người thành đạt: Bí quyết thành công của triệu phú Anh” là những câu chuyện, những lời khuyên dựa trên những kinh nghiệm phong phú của cuộc đời mình và nhằm mục đích truyền cảm hứng động lực làm giàu cho mọi công dân đều có thể trở thành triệu phú, thì triệu phú người Anh và tác giả của nhiều đầu sách nổi tiếng Duncan Bannatyne đã cho ra mắt cuốn sách “ Tiền Đẻ Ra Tiền – Đầu Tư Tài Chính Thông Minh”.
Có điều gì đặc biệt ở cuốn sách “ Tiền Đẻ Ra Tiền” ?
Điều đặc biệt so với những cuốn sách khác ông từng viết trước đây, đó là cuốn sách này không nói về chuyện làm giàu, cũng là một phần trong chuỗi câu chuyện “Bí quyết thành công của triệu phú Anh” nhưng nó bàn đến việc kiểm soát tiền bạc. Đến với cuối cuốn sách, bạn sẽ có sự tự tin để đưa ra những quyết định đúng đắn cho bản thân mình và những kỹ năng để khiến đồng tiền của mình đi xa hơn, có hiệu quả dù nền kinh tế có ra sao đi chăng nữa.
Nó sẽ bàn tới những khía cạnh, những thành tố cốt yếu của tài chính và mối quan hệ cốt lõi của bạn với đồng tiền. Nếu bạn không suy nghĩ theo một cách có chiến lược về tiền bạc, bạn sẽ không thể làm bất cứ thứ gì có tính chiến lược với tiền bạc – thứ cứ thế trôi tuột ra khỏi tài khoản ngân hàng và ví của bạn. Nội dung của cuốn sách sẽ là những lời khuyên theo một kế hoạch cụ thể của Duncan mà bạn có thể áp dụng ngay được để có thể giúp bạn quản lý chi tiêu một cách tối ưu nhất, khiến “Tiền đẻ ra tiền” và giúp bạn đầu tư tài chính một cách thông minh. Cụ thể, cuốn sách được chia thành 6 phần:
Phần 01: Lý thuyết tiền tệ
Phần 02: Kiếm tiền nhiều hơn
Phần 03: Chi tiêu
Phần 04: Vay mượn
Phần 05: Tiết kiệm và đầu tư
Phàn 06: Kế hoạch
Cuốn sách “Tiền đẻ ra tiền” dành cho những ai?
Câu trả lời chính là dành cho tất cả mọi người. Dù bạn có tiền gửi ngân hàng hay không, bạn mười tám hay tám mươi tuổi, làm chủ, thất nghiệp hay làm giờ hành chính, những nguyên tắc để thông minh trong chuyện tiền bạc cũng vẫn được giữ nguyên. Thế nên nếu bạn muốn tối ưu hóa những gì bạn kiếm được thì đây chính là cuốn sách dành cho bạn.
Mỗi chúng ta cần có trách nhiệm với những lựa chọn tài chính của mình bởi “Cái làm cho bạn giàu có không phải là lương bổng, mà đó là thói quen tiêu pha của bạn” và hy vọng cuốn sách sẽ tiếp thêm cho bạn sự tự tin để kiểm soát những vấn đề tài chính của mình.
Thuộc dòng sách quản lý tài chính của Bizbooks, Bạn sẽ không phải đọc cuốn sách theo trình tự của nó. Ví dụ, nếu bạn muốn bắt đầu với phần tiết kiệm thì cứ đọc nó trước. Thậm chí có thể có một số lí thuyết trong Phần Một sẽ ngấm sâu hơn một chút khi bạn đọc những ví dụ thực tế ở Phần Hai. Nhưng “Tôi hi vọng, rằng dù bạn đọc cuốn này theo thứ tự nào, khi bạn xem xét nó một cách tổng thể, nó sẽ tạo thành một cẩm nang hoàn thiện để giúp bạn hiểu về tiền, hỗ trợ bạn chịu trách nhiệm về những lựa chọn tài chính của bản thân và cuối cùng là khiến bạn giàu có hơn.” – Duncan Bannatyne. 
",120.000 đ,,NXB Hồng Đức,2020,20.5 x 13 cm,Bìa Mềm,292.0,
Dạy Con Làm Giàu 04 - Con Giàu Con Thông Minh (Tái Bản 2020),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/3/_/3_83_27.jpg,Khởi nghiệp ,"Robert T Kiyosaki, Sharon, L Lechter","
Đúng như những gì được chiêm nghiệm: “Cuộc sống bắt đầu từ nhận thức” mà trong đó sự giàu có và trí thông minh là một phần tử, tác giả đã đóng vai trò là người dẫn đường giúp ta nhìn nhận và khám phá năng lực của chính bản thân mình. Trên nấc thang đầu vươn tới sự thành công về mặt tài chính, kinh nghiệm của thế hệ trước, một trí tuệ tinh nhạy và một trái tim nhân ái là vốn rất quý mà ta phải biết cách khai thác, tận dụng. Sự thông minh là gì? Nhân lên bằng cách chia ra? Có phải cần tiền mới làm ra tiền?…16 chương sách thực sự là kim chỉ nan hữu ích cho bước đầu tạo dựng sự nghiệp của mỗi người . 
",85.000 đ,,NXB Trẻ,2020,20 x 14 x 0.5 cm,Bìa Mềm,280.0,
Cẩm Nang Mở Nhà Hàng,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_19058.jpg,Khởi nghiệp ,Roger Fields,"
Cẩm nang mở nhà hàng như một cuốn hướng dẫn khởi nghiệp cung cấp cho những chủ nhà hàng tương lai cách lên kế hoạch để mở một nhà hàng của riêng mình, từ kinh phí, địa điểm, thiết kế không gian, xây dựng thực đơn, marketing quảng bá, quản lý tài chính...  Không chỉ vậy, cuốn sách còn chia sẻ những bí quyết thành công giúp bạn chèo lái nhà hàng vượt qua năm đầu tiên đầy sóng gió và làm ăn phát đạt trong nhiều năm với một lượng khách hàng trung thành.
Mở nhà hàng không phải việc dễ dàng, nhưng những hướng dẫn của tác giả - một anh chàng kế toán, chủ nhà hàng và nhà tư vấn nhà hàng đầy mơ mộng – sẽ giúp biến giấc mơ mở nhà hàng của bạn thành hiện thực.
“Sau nhiều năm làm việc, tôi nghĩ rằng mình đã biết tất cả mọi thứ, nhưng khi làm việc với Roger, tôi nhận ra còn quá nhiều điều mình cần học hỏi. Cẩm nang mở nhà hàng chứa đựng bí quyết giúp bạn mở và điều hành một nhà hàng làm ăn phát đạt. Nếu bạn muốn thành công trong kinh doanh nhà hàng, hãy đọc nó!”
- GRÉGOIRE JACQUET, bếp trưởng kiêm chủ nhà hàng Grégoire 
",199.000 đ,,NXB Thế Giới,2020,16 x 24 cm,Bìa Mềm,420.0,
Khởi Nghiệp Tinh Gọn - The Lean Startup (Tái Bản 2021),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_235119.jpg,Khởi nghiệp ,Eric Ries,"
Khởi Nghiệp Tinh Gọn
Chúng ta đang sống trong thời kì phục hưng kinh doanh toàn cầu.
Thử thách của chúng ta là phải làm được điều xứng đáng với cơ hội được cho.
“Khởi nghiệp Tinh gọn” đảm bảo rằng những ai khao khát làm được điều thực sự ý nghĩa
sẽ có được công cụ cần thiết để thay đổi thế giới.
- ERIC RIES, Tác giả sách “Khởi nghiệp Tinh gọn”
Cuốn sách ""Khởi nghiệp Tinh gọn” (The Lean Startup) trình bày một mô hình khởi nghiệp vang danh toàn cầu, giúp thay đổi toàn bộ cách thức xây dựng công ty và tung ra sản phẩm mới trên thị trường.
“Khởi nghiệp” - hai tiếng đơn giản đó có sức hút mạnh mẽ với bất kỳ ai, không chỉ đối với những người đang ấp ủ một dự án kinh doanh, mà ngay cả những ông chủ đang muốn tìm kiếm một sản phẩm hay một ý tưởng mới để “tái khởi nghiệp”, nói cách khác là tái tạo lại mô hình kinh doanh của mình. Tuy nhiên, từ ý tưởng đến thành công là điều không dễ!
Nhiều dự án khởi nghiệp thất bại không phải vì ý tưởng không tốt, chiến lược kém hay tầm nhìn sai, mà cốt lõi của mọi vấn đề nằm ở chỗ chúng ta không có được một mô hình và phương pháp để khởi nghiệp thành công. Vì khởi nghiệp không giống với thành lập và điều hành một công ty theo dạng truyền thống, nên nó cần một mô hình và phương pháp quản trị riêng.
Trong quản trị kinh doanh, việc khởi tạo một doanh nghiệp mới hay tái tạo một mô hình kinh doanh cũ luôn có những bài học mà nếu không trả giá thì không thể học được, thậm chí là phải trả giá nhiều lần, trả giá đắt, rất đắt thì mới có thể học được. Tuy nhiên, cũng có những bài học mà không cần phải trả giá vẫn có thể học được. Vậy tại sao không học để bớt phải trả giá?  Những bài học đắt giá đó nằm trong cuốn sách đặc biệt này.

“Khởi nghiệp Tinh gọn” không chỉ cung cấp những kiến thức nền tảng về phương pháp đã được áp dụng bởi rất nhiều tên tuổi lẫy lừng trong lĩnh vực khởi nghiệp sáng tạo này; mà còn trang bị những phương pháp giúp tăng khả năng thành công, đồng thời cũng giảm thiểu tối đa rủi ro trên hành trình khởi nghiệp hoặc phát triển sản phẩm mới, tái tạo doanh nghiệp của các doanh nhân.
Đặc biệt, cách tư duy và những phương pháp trong cuốn sách này không chỉ áp dụng cho những siêu tập đoàn toàn cầu, mà còn áp dụng rất phù hợp cho những doanh nghiệp nhỏ, hay siêu nhỏ. Dù ở quy mô nào hay đang ở đâu trên hành trình kinh doanh, đã đến lúc chúng ta cần phải tư duy một cách TINH GỌN! 
",165.000 đ,,NXB Tổng Hợp TPHCM,2021,23 x 15 x 1.9 cm,Bìa Cứng,332.0,
