tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,nhà phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả
Tủ Sách Cho Bé Vào Lớp 1 - Bé Tập Tô Chữ Viết Hoa - Dành Cho Bé 4-5 Tuổi,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29262.jpg,Mầm non,"Lê Tuệ Minh, Lê Thu Ngọc","
Con bạn sắp vào lớp 1? Không chỉ bé hồi hộp mà chính bạn – những bậc làm cha mẹ cũng có tâm trạng đó. Làm sao để chuẩn bị cho bé thật tốt? Làm thế nào để bé không bỡ ngỡ khi bước vào một giai đoạn hoàn toàn mới này?
Bộ sách Chuẩn bị cho bé vào lớp 1 sẽ giúp cha mẹ giải tỏa những lo lắng, băn khoăn đó. Nội dung sách gần gũi với chương trình sách giáo khoa chuẩn, bao gồm:  giúp bé luyện tay theo các nét cơ bản đầu tiên; như móc, sổ, ngang, sọc, xước, vòng, giúp bé làm quen với bảng chữ cái gồm 29 chữ theo cách viết thường và viết hoa;  ngoài ra, bé còn được làm quen với các con số và những phép tính đơn giản v.v…
Thông qua những hình ảnh minh họa sinh động, màu sắc tươi sáng, bắt mắt, bộ sách Chuẩn bị cho bé vào lớp 1sẽ khiến bé cảm thấy vô cùng thú vị, giúp việc học và nhớ chữ của các bé đạt kết quả tốt hơn. 
",8.000 đ,,NXB Mỹ Thuật,2019,17 x 24 cm,Bìa Mềm,16.0,
Tủ Sách Bé Vào Lớp Một - Vở Tập Viết Chữ Cái Viết Thường - Tập 2 (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-2_58.jpg,Mầm non,"Lê Tuệ Minh, Lê Thu Ngọc","
Tủ Sách Bé Vào Lớp Một - Vở Tập Viết Chữ Cái Viết Thường - Tập 2 (Tái Bản 2019)
Một trong những yêu cầu quan trọng để giúp trẻ học tốt chương trình lớp 1 là sự chuẩn bị đầy đủ các điều kiện về thể chất, trí tuệ, tình cảm, ngôn ngữ và một số kỹ năng cần thiết. Vì vậy, trẻ cần được dạy cách phát âm và làm quen với chữ cái, các mẫu chữ hoa - thường... Tủ Sách Bé Vào Lớp 1 là bộ sách hữu ích trong việc xây dựng nền tảng kiến thức, kĩ năng cho các em. Sách có nội dung phong phú với nhiều bài tập đa dạng theo hình thức trò chơi, phù hợp với các em trong độ tuổi 5 - 6 tuổi.
Mỗi tập nhấn mạnh vào một kỹ năng cơ bản: tô màu, tô chữ, tập phát âm, nối chữ và hình, tô nét cơ bản... Ngoài ra, sách còn kèm theo hình vẽ minh họa màu sinh động, giúp các em hứng thú hơn trong học tập.
Tủ Sách Bé Vào Lớp 1 - Chữ Cái Viết Thường (Tập 2) gồm các dạng bài tập rèn luyện lý thú, hữu ích. 
",11.000 đ,,NXB Mỹ Thuật,2019,17 x 24 cm,Bìa Mềm,24.0,
Tủ Sách Cho Bé Vào Lớp 1 - Bé Tập Tô Chữ Số - Dành Cho Bé 4-5 Tuổi,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29268.jpg,Mầm non,"Lê Tuệ Minh, Lê Thu Ngọc","
Con bạn sắp vào lớp 1? Không chỉ bé hồi hộp mà chính bạn – những bậc làm cha mẹ cũng có tâm trạng đó. Làm sao để chuẩn bị cho bé thật tốt? Làm thế nào để bé không bỡ ngỡ khi bước vào một giai đoạn hoàn toàn mới này?
Bộ sách Chuẩn bị cho bé vào lớp 1 sẽ giúp cha mẹ giải tỏa những lo lắng, băn khoăn đó. Nội dung sách gần gũi với chương trình sách giáo khoa chuẩn, bao gồm:  giúp bé luyện tay theo các nét cơ bản đầu tiên; như móc, sổ, ngang, sọc, xước, vòng, giúp bé làm quen với bảng chữ cái gồm 29 chữ theo cách viết thường và viết hoa;  ngoài ra, bé còn được làm quen với các con số và những phép tính đơn giản v.v…
Thông qua những hình ảnh minh họa sinh động, màu sắc tươi sáng, bắt mắt, bộ sách Chuẩn bị cho bé vào lớp 1sẽ khiến bé cảm thấy vô cùng thú vị, giúp việc học và nhớ chữ của các bé đạt kết quả tốt hơn. 
",8.000 đ,,NXB Mỹ Thuật,2019,17 x 24 cm,Bìa Mềm,16.0,
Tủ Sách Bé Vào Lớp 1 - Bé Vui Học Toán (Dành Cho Trẻ  Mẫu Giáo 4 - 5 Tuổi) - Tái Bản 2020,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29242_1.jpg,Mầm non,"Lê Tuệ Minh, Lê Thu Ngọc","
Tủ Sách Bé Vào Lớp 1 - Bé Vui Học Toán (Dành Cho Trẻ  Mẫu Giáo 4 - 5 Tuổi) - Tái Bản 2020
Con bạn sắp vào lớp 1? Không chỉ bé hồi hộp mà chính bạn – những bậc làm cha mẹ cũng có tâm trạng đó. Làm sao để chuẩn bị cho bé thật tốt? Làm thế nào để bé không bỡ ngỡ khi bước vào một giai đoạn hoàn toàn mới này?
Bộ sách Chuẩn bị cho bé vào lớp 1 sẽ giúp cha mẹ giải tỏa những lo lắng, băn khoăn đó. Nội dung sách gần gũi với chương trình sách giáo khoa chuẩn, bao gồm:  giúp bé luyện tay theo các nét cơ bản đầu tiên; như móc, sổ, ngang, sọc, xước, vòng, giúp bé làm quen với bảng chữ cái gồm 29 chữ theo cách viết thường và viết hoa;  ngoài ra, bé còn được làm quen với các con số và những phép tính đơn giản v.v…
Thông qua những hình ảnh minh họa sinh động, màu sắc tươi sáng, bắt mắt, bộ sách Chuẩn bị cho bé vào lớp 1sẽ khiến bé cảm thấy vô cùng thú vị, giúp việc học và nhớ chữ của các bé đạt kết quả tốt hơn. 
",10.000 đ,,NXB Đại học Sư phạm,2020,24 x 17 cm,Bìa Mềm,24.0,
Tủ Sách Cho Bé Vào Lớp 1 - Bé Tập Tô Nét Cơ Bản - Dành Cho Bé 4-5 Tuổi,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_29261.jpg,Mầm non,"Lê Tuệ Minh, Lê Thu Ngọc","
Con bạn sắp vào lớp 1? Không chỉ bé hồi hộp mà chính bạn – những bậc làm cha mẹ cũng có tâm trạng đó. Làm sao để chuẩn bị cho bé thật tốt? Làm thế nào để bé không bỡ ngỡ khi bước vào một giai đoạn hoàn toàn mới này?
Bộ sách Chuẩn bị cho bé vào lớp 1 sẽ giúp cha mẹ giải tỏa những lo lắng, băn khoăn đó. Nội dung sách gần gũi với chương trình sách giáo khoa chuẩn, bao gồm:  giúp bé luyện tay theo các nét cơ bản đầu tiên; như móc, sổ, ngang, sọc, xước, vòng, giúp bé làm quen với bảng chữ cái gồm 29 chữ theo cách viết thường và viết hoa;  ngoài ra, bé còn được làm quen với các con số và những phép tính đơn giản v.v…
Thông qua những hình ảnh minh họa sinh động, màu sắc tươi sáng, bắt mắt, bộ sách Chuẩn bị cho bé vào lớp 1sẽ khiến bé cảm thấy vô cùng thú vị, giúp việc học và nhớ chữ của các bé đạt kết quả tốt hơn. 
",8.000 đ,,NXB Mỹ Thuật,2019,17 x 24 cm,Bìa Mềm,16.0,
Hành Trang Cho Bé Vào Lớp 1 - Vở Bé Tập Viết - Dành Cho Trẻ 5-6 Tuổi (Quyển 1),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_189996.jpg,Mầm non,"Lê Hồng Đăng, Lê Thị Ngọc Ánh","
Một trong những yêu cầu quan trọng để giúp trẻ học tốt chương trình lớp 1 là sự chuẩn bị đầy đủ các điều kiện về thể chất, trí tuệ, tình cảm, ngôn ngữ và một số kỹ năng cần thiết. Vì vậy, trẻ cần được dạy cách phát âm và làm quen với chữ cái, các mẫu chữ hoa - thường... Tủ Sách Bé Vào Lớp 1 là bộ sách hữu ích trong việc xây dựng nền tảng kiến thức, kĩ năng cho các em. Sách có nội dung phong phú với nhiều bài tập đa dạng theo hình thức trò chơi, phù hợp với các em trong độ tuổi 5 - 6 tuổi.
Mỗi tập nhấn mạnh vào một kỹ năng cơ bản: tô màu, tô chữ, tập phát âm, nối chữ và hình, tô nét cơ bản... Ngoài ra, sách còn kèm theo hình vẽ minh họa màu sinh động, giúp các em hứng thú hơn trong học tập. 
",15.000 đ,,NXB Đại Học Sư Phạm,2018,17 x 24,Bìa Mềm,36.0,
Bộ Sách Tự Xóa Thông Minh - Bé Vào Mẫu Giáo (3- 5 Tuổi),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_208348.jpg,Mầm non,Nhiều Tác Giả,"
Cuốn sách này bao gồm nhiều phép tính đơn giản và các hoạt động thú vị, bé có thể làm đi làm lại nhiều lần. Cuốn sách giúp bé phát triển những kĩ năng sau: Viết, đọc, vận động 
",89.000 đ,,NXB Mỹ Thuật,2020,28 x 22.7 cm,Bìa Cứng,26.0,
Tủ Sách Cho Bé Vào Lớp 1 - Vở Tập Viết Chữ Số (Dành Cho Trẻ Mẫu Giáo 5 - 6 Tuổi) - Tái Bản 2020,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936067603309.jpg,Mầm non,"Lê Tuệ Minh, Lê Thu Ngọc","
Tủ Sách Cho Bé Vào Lớp 1 - Vở Tập Viết Chữ Số (Dành Cho Trẻ Mẫu Giáo 5 - 6 Tuổi) - Tái Bản 2020
Con bạn sắp vào lớp 1? Không chỉ bé hồi hộp mà chính bạn – những bậc làm cha mẹ cũng có tâm trạng đó. Làm sao để chuẩn bị cho bé thật tốt? Làm thế nào để bé không bỡ ngỡ khi bước vào một giai đoạn hoàn toàn mới này?
Bộ sách Chuẩn bị cho bé vào lớp 1 sẽ giúp cha mẹ giải tỏa những lo lắng, băn khoăn đó. Nội dung sách gần gũi với chương trình sách giáo khoa chuẩn, bao gồm: giúp bé luyện tay theo các nét cơ bản đầu tiên; như móc, sổ, ngang, sọc, xước, vòng, giúp bé làm quen với bảng chữ cái gồm 29 chữ theo cách viết thường và viết hoa; ngoài ra, bé còn được làm quen với các con số và những phép tính đơn giản v.v…
Thông qua những hình ảnh minh họa sinh động, màu sắc tươi sáng, bắt mắt, bộ sách Chuẩn bị cho bé vào lớp 1sẽ khiến bé cảm thấy vô cùng thú vị, giúp việc học và nhớ chữ của các bé đạt kết quả tốt hơn. 
",10.000 đ,,NXB Mỹ Thuật,2020,24 x 17 cm,Bìa Mềm,24.0,
Bé Tự Tin Bước Vào Lớp 1 - Cùng Bé Học Toán - Tập 1 (Dành Cho Bé Từ 5 - 6 Tuổi),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_37930.jpg,Mầm non,Vân Hương,"
Từ mẫu giáo lên tiểu học là bước tiến quan trọng để bé bước chân vào thế giới tri thức, cũng là một bước ngoặt lớn trong cuộc đời các bé. Làm thế nào để phụ huynh và giáo viên giúp đỡ các bé vượt qua thời kì quan trọng này? Xuất phát từ mục đích này chúng tôi đã nghiên cứu, căn cứ vào những đặc điểm tâm lí và học tập của trẻ để hoàn thiện bộ sách “Bé Tự Tin Bước Vào Lớp 1” này.Nội dung mỗi cuốn sách giúp bé rèn luyện những kĩ năng khác nhau như làm quen với chữ số, chữ cái, ghép vần, học đọc, học đếm… Với kiến thức mới mẻ, hình vẽ sinh động sẽ khiến trẻ cảm thấy hứng thú và học tập dễ dàng hơn. 
",12.000 đ,,NXB Mỹ Thuật,2020,24 x 17 cm,Bìa Mềm,23.0,
Tủ Sách Bé Vào Lớp 1 - Vở Tập Viết Chữ Cái Viết Thường (Tập 1),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_6055.jpg,Mầm non,"Lê Tuệ Minh, Lê Thu Ngọc","
Bé Tập Tô Nét Cơ Bản - Dành Cho Bé 4-5 Tuổi
Giúp các bé chuẩn bị vào lớp 1 làm quen với chương trình học tiểu học.
Nội dung gần gũi với chương trình giáo khoa và hình minh họa sinh động, bộ sách sẽ giúp các bậc cha mẹ rèn luyện cho con trẻ những nét chữ đầu tiên một cách hiệu quả. Để chuẩn bị vào lớp một, các em cần làm quen và sử dụng thành thục với các chữ cái, các con số từ 1 đến 10, và bước đầu biết viết và ghép vần những chữ cơ bản. 
",11.000 đ,,NXB Mỹ Thuật,2019,17 x 24 cm,Bìa Mềm,24.0,
