,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu
0,,,,,,,,,,,,,,,,,,
1,Bé Tập Kể Chuyện - Gà Tơ Đi Học,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_83817.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Nhiều Tác Giả,"
Bé Tập Kể Chuyện - Gà Tơ Đi Học Dựa trên bộ sách Bé tập kể chuyện đã xuất bản, bộ sách Bé tập kể chuyện - Mỗi tuần một câu chuyện được ra đời. Với nét vẽ tươi mới, hồn nhiên, 52 tập, tương ứng với 52 tuần trong một năm, giúp bé mỗi tuần đều có một câu chuyện hấp dẫn để tập kể, qua đó học được một bài học hay. 
",10.000 đ,,NXB Trẻ,03-2016,18.5 x 18.5,Bìa Mềm,14,,https://www.fahasa.com/be-tap-ke-chuyen-ga-to-di-hoc-117413.html,,,,
2,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188285.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Luis Sepúlveda,"
Cô hải âu Kengah bị nhấn chìm trong váng dầu – thứ chất thải nguy hiểm mà những con người xấu xa bí mật đổ ra đại dương. Với nỗ lực đầy tuyệt vọng, cô bay vào bến cảng Hamburg và rơi xuống ban công của con mèo mun, to đùng, mập ú Zorba. Trong phút cuối cuộc đời, cô sinh ra một quả trứng và con mèo mun hứa với cô sẽ thực hiện ba lời hứa chừng như không tưởng với loài mèo:
Không ăn quả trứng.
Chăm sóc cho tới khi nó nở.
Dạy cho con hải âu bay.
Lời hứa của một con mèo cũng là trách nhiệm của toàn bộ mèo trên bến cảng, bởi vậy bè bạn của Zorba bao gồm ngài mèo Đại Tá đầy uy tín, mèo Secretario nhanh nhảu, mèo Einstein uyên bác, mèo Bốn Biển đầy kinh nghiệm đã chung sức giúp nó hoàn thành trách nhiệm. Tuy nhiên, việc chăm sóc, dạy dỗ một con hải âu đâu phải chuyện đùa, sẽ có hàng trăm rắc rối nảy sinh và cần có những kế hoạch đầy linh hoạt được bàn bạc kỹ càng…
Chuyện con mèo dạy hải âu bay là kiệt tác dành cho thiếu nhi của nhà văn Chi Lê nổi tiếng Luis Sepúlveda – tác giả của cuốn Lão già mê đọc truyện tình đã bán được 18 triệu bản khắp thế giới. Tác phẩm không chỉ là một câu chuyện ấm áp, trong sáng, dễ thương về loài vật mà còn chuyển tải thông điệp về trách nhiệm với môi trường, về sự sẻ chia và yêu thương cũng như ý nghĩa của những nỗ lực – “Chỉ những kẻ dám mới có thể bay”.
Cuốn sách mở đầu cho mùa hè với minh họa dễ thương, hài hước là món quà dành cho mọi trẻ em và người lớn. 
",49.000 đ,,NXB Hội Nhà Văn,2019,14 x 20.5,Bìa Mềm,144,,https://www.fahasa.com/chuyen-con-meo-day-hai-au-bay-tai-ban-2019.html,,,,
3,Bé Tập Kể Chuyện - Chú Thỏ Nhút Nhát,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_83814.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Nhiều Tác Giả,"
Bé Tập Kể Chuyện - Chú Thỏ Nhút Nhát Dựa trên bộ sách Bé tập kể chuyện đã xuất bản, bộ sách Bé tập kể chuyện - Mỗi tuần một câu chuyện được ra đời. Với nét vẽ tươi mới, hồn nhiên, 52 tập, tương ứng với 52 tuần trong một năm, giúp bé mỗi tuần đều có một câu chuyện hấp dẫn để tập kể, qua đó học được một bài học hay. 
",10.000 đ,,NXB Trẻ,03-2016,18.5 x 18.5,Bìa Mềm,14,,https://www.fahasa.com/be-tap-ke-chuyen-chu-tho-nhut-nhat.html,,,,
4,Nhật Ký Chú Bé Nhút Nhát - Tập 14: Của Thiên Trả Địa,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_197804.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Jeff Kinney,"
Gia đình Heffley được nhận một khoản thừa kế từ trên trời rơi xuống. Sau khi suy xét hàng loạt ý tưởng, họ quyết định cơi nới và nâng cấp ngôi nhà đang ở. Những tưởng mọi việc thuận buồm xuôi gió thì hàng loạt sự cố ngoài ý muốn xảy ra: Gỗ lát sàn đã mục ruỗng với hàng tá nấm độc sinh sôi nảy nở giữa các bức tường, những sinh vật không mời mà tới như ong bắp cày, đại gia đình nhà chuột, thậm chí còn có cả loài “sinh vật lông lá” đầy bí ẩn...
Không chỉ có vậy, khi công trình đã gần hoàn tất, gia đình Heffley bị thanh tra thành phố tuýt còi vì những sai sót trong thiết kế và xây dựng, cộng thêm những phiền toái gây ra cho những người hàng xóm, họ buộc phải dỡ bỏ hoàn toàn công trình chưa kịp hoàn thiện. Chán nản và mệt mỏi vì những rắc rối liên tiếp gặp phải trong khi số tiền được thừa kế đã gần đội nón ra đi, họ quyết định bán ngôi nhà hiện tại để chuyển đến một thành phố khác để bắt đầu lại cuộc sống mới. Lại một lần nữa, khi mọi việc gần như xong xuôi thì những xui xẻo lại tiếp tục tìm đến họ. Lúc này liệu gia đình Heffley phải ở lại, hay họ vẫn có thể rời khỏi thành phố? Jeff Kinney không làm bạn thất vọng khi trở lại với hai tập truyện trong series Nhật ký Chú bé nhút nhát liên tiếp là Đại chiến trên tuyết và Của thiên trả địa – những tập được fan quốc tế bình chọn là hay nhất trong series Nhật ký Chú bé nhút nhát cho đến nay. Series này vẫn luôn dẫn đầu gần như mọi bảng xếp hạng dòng graphic book cho thanh thiếu niên trong suốt hơn một thập kỷ qua và sức nóng vẫn chưa bao suy giảm. 
",55.000 đ,,NXB Văn Học,2020,20.5 x 14.5 cm,Bìa Mềm,221,,https://www.fahasa.com/nhat-ky-chu-be-nhut-nhat-tap-14-cua-thien-tra-dia.html,,,,
5,Hoàng Tử Bé (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_187010.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Antoine De Saint-Exupéry,"
LẦN ĐẦU TIÊN CÓ BẢN QUYỀN CHÍNH THỨC TẠI VIỆT NAM
Hoàng tử bé được viết ở New York trong những ngày tác giả sống lưu vong và được xuất bản lần đầu tiên tại New York vào năm 1943, rồi đến năm 1946 mới được xuất bản tại Pháp. Không nghi ngờ gì, đây là tác phẩm nổi tiếng nhất, được đọc nhiều nhất và cũng được yêu mến nhất của Saint-Exupéry. Cuốn sách được bình chọn là tác phẩm hay nhất thế kỉ 20 ở Pháp, đồng thời cũng là cuốn sách Pháp được dịch và được đọc nhiều nhất trên thế giới. Với 250 ngôn ngữ dịch khác nhau kể cả phương ngữ cùng hơn 200 triệu bản in trên toàn thế giới, Hoàng tử bé được coi là một trong những tác phẩm bán chạy nhất của nhân loại. 
Ở Việt Nam, Hoàng tử bé được dịch và xuất bản khá sớm. Từ năm 1966 đã có  đồng thời hai bản dịch: Hoàng tử bé của Bùi Giáng do An Tiêm xuất bản và Cậu hoàng con của Trần Thiện Đạo do Khai Trí xuất bản. Từ đó đến nay đã có thêm nhiều bản dịch Hoàng tử bé mới của các dịch giả khác nhau. Bản dịch Hoàng tử bé lần này, xuất bản nhân dịp kỷ niệm 70 năm Hoàng tử bé ra đời, cũng là ấn bản đầu tiên được Gallimard chính thức chuyển nhượng bản quyền tại Việt Nam, hy vọng sẽ góp phần làm phong phú thêm việc dịch và tiếp nhận tác phẩm quan trọng này với các thế hệ độc giả. 
Tôi cứ sống cô độc như vậy, chẳng có một ai để chuyện trò thật sự, cho tới một lần gặp nạn ở sa mạc Sahara cách đây sáu năm. Có thứ gì đó bị vỡ trong động cơ máy bay. Và vì ở bên cạnh chẳng có thợ máy cũng như hành khách nào nên một mình tôi sẽ phải cố mà sửa cho bằng được vụ hỏng hóc nan giải này. Với tôi đó thật là một việc sống còn. Tôi chỉ có vừa đủ nước để uống trong tám ngày.
Thế là đêm đầu tiên tôi ngủ trên cát, cách mọi chốn có người ở cả nghìn dặm xa. Tôi cô đơn hơn cả một kẻ đắm tàu sống sót trên bè giữa đại dương. Thế nên các bạn cứ tưởng tượng tôi đã ngạc nhiên làm sao, khi ánh ngày vừa rạng, thì một giọng nói nhỏ nhẹ lạ lùng đã đánh thức tôi. Giọng ấy nói:
“Ông làm ơn… vẽ cho tôi một con cừu!”
- Trích ""Hoàng tử bé""
Nhận định
“Đây là một câu chuyện tự nó đã rất đáng yêu, ẩn giấu một triết lý quá đỗi nhẹ nhàng và thi vị.”
- The New York Times 
",75.000 đ,,NXB Hội Nhà Văn,2019,15 x 23,Bìa Mềm,102,,https://www.fahasa.com/hoang-tu-be-tai-ban-2019-242711.html,,,,
6,Bé Tập Kể Chuyện - Gấu Con Bị Đau Răng,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_83815.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Nhiều Tác Giả,"
Bé Tập Kể Chuyện - Gấu Con Bị Đau Răng Dựa trên bộ sách Bé tập kể chuyện đã xuất bản, bộ sách Bé tập kể chuyện - Mỗi tuần một câu chuyện được ra đời. Với nét vẽ tươi mới, hồn nhiên, 52 tập, tương ứng với 52 tuần trong một năm, giúp bé mỗi tuần đều có một câu chuyện hấp dẫn để tập kể, qua đó học được một bài học hay. 
",10.000 đ,,NXB Trẻ,03-2016,18.5 x 18.5,Bìa Mềm,14,,https://www.fahasa.com/be-tap-ke-chuyen-gau-con-bi-dau-rang.html,,,,
7,Bé Tập Kể Chuyện - Chú Vịt Xám,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_188045.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Nhiều Tác Giả,"
Chuyện kể về chú Vịt Xám không nghe lời mẹ nên đã bị lạc đàn. Trong lúc hoảng hốt tìm mẹ, xém chút chú bị Cáo vồ ăn thịt, may nhờ có mẹ tới cứu kịp thời nên thoát chết. Từ đấy Vịt Xám không bao giờ dám làm sai lời mẹ dặn. 
",10.000 đ,,NXB Trẻ,2018,18.5 x 18.5,Bìa Mềm,15,,https://www.fahasa.com/be-tap-ke-chuyen-chu-vit-xam-244356.html,,,,
8,Nhật Ký Chú Bé Nhút Nhát - Tập 12: Chuyến Đi Bão Táp,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40039.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Jeff Kinney,"
Gref Heffley cùng gia đình cậu đang rời khỏi thị trấn.
Thời tiết lạnh buốt lại còn phải chuẩn bị mọi thứ cho lễ Giáng sinh khiến gia đình Heffley cực kỳ mệt mỏi. Họ quyết định trốn tới khu nghỉ dưỡng ở một hòn đảo nhiệt đới xinh đẹp để nghỉ ngơi và thư giãn.
Những ngày ở thiên đường đã xảy ra chuyện gì với Greg và gia đình đáng thương của cậu?
Họ đã sớm phát hiện ra thiên đường chỉ là lời quảng cáo. Ánh mặt trời thiêu đốt, bị tào tháo đuổi và kinh dị nhất là lũ quái vật xuất hiện ở khắp mọi nơi có khiến kỳ nghỉ ấy kết thúc trong thảm họa? 
",55.000 đ,,NXB Văn Học,2020,20.5 x 14.5 cm,Bìa Mềm,225,,https://www.fahasa.com/nhat-ky-chu-be-nhut-nhat-tap-12-chuyen-di-bao-tap.html,,,,
9,Nhật Ký Chú Bé Nhút Nhát - Tập 13: Đại Chiến Trên Tuyết,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_197803.jpg,Truyện cổ tích - thần thoại – ngụ ngôn ,Jeff Kinney,"
Tuyết rơi dày đặc khiến trường cấp hai của Greg Heffley phải cho học sinh nghỉ, khu phố của cậu bỗng chốc trở thành một chiến trường khổng lồ. Các nhóm đối địch tranh giành lãnh thổ, đua nhau xây dựng những pháo đài bất khả chiến bại và gây ra những trận đại chiến bóng tuyết ác liệt. Mục tiêu bị tấn công không chỉ có Greg mà còn cả cậu bạn thân thiết và đáng tin cậy nhất của cậu - Rowley Jefferson. Đây là tập truyện siêu vui nhộn với điểm nhấn là màn hỗn chiến bóng tuyết kinh điển, những chiến thuật bậc thầy như: Cách thức xây dựng pháo đài, hàng rào phòng ngự, tiệt đường rút lui của quân địch, mai phục đánh úp vào cơ quan đầu não của đối phương, và thậm chí cả Con Tốt Thí Mạng…
Đây không chỉ là trò chơi của đám trẻ mà nó còn được lồng ghép rất khéo léo vấn đề thời sự vô cùng nóng bỏng hiện nay, đó chính là cuộc chiến sinh tồn của loài người và các sinh vật khi Trái đất ngày càng nóng lên, thời tiết ngày càng khắc nghiệt khi đang giữa mùa đông lạnh giá, nhiệt độ bỗng chốc tăng cao với cái nóng như thiêu như đốt, rồi đột nhiên tuyết rơi dày đặc khiến mọi hoạt động hoàn toàn tê liệt. Ngoài ra, những sản phẩm công nghệ cao do con người tạo ra liệu có cứu vãn được thế giới hay chỉ càng làm cho thời điểm diệt vong ngày càng gần hơn?
Đứng trước những tác động đó, Greg và cậu bạn thân của mình đã làm gì để thích ứng? Liệu cậu có trở thành một anh hùng hay chỉ cần sống sót là đủ? 
",55.000 đ,,NXB Văn Học,2020,20.5 x 14.5 cm,Bìa Mềm,221,,https://www.fahasa.com/nhat-ky-chu-be-nhut-nhat-tap-13-dai-chien-tren-tuyet.html,,,,
