,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu,tên dách
0,,,,,,,,,,,,,,,,,,,
1,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_174668.jpg,Văn học kinh điển – cổ điển,NXB Hồng Đức,"
Không Gia Đình
Không gia đình của Hector Malot - nhà văn chuyên viết tiểu thuyết Pháp, là tác phẩm nổi tiếng, đã vượt qua biên giới nước Pháp và tồn tại lâu dài với thời gian. Tác phẩm đã được nhiều dịch giả Việt Nam quan tâm và đem đến cho bạn đọc.
Để rồi xuyên suốt tác phẩm là hành về một em bé không cha mẹ, không họ hàng thân thích, đi theo một đoàn xiếc chó, khỉ, rồi cầm đầu đoàn ấy đi lưu lạc khắp nước Pháp, sau đó bị tù ở Anh, cuối cùng tìm thấy mẹ và em. Rémi đã lớn lên trong gian khổ, em đã gặp mọi hạng người, sống khắp mọi nơi. Em đã lao động mà sống, lúc đầu dưới quyền điều khiển của một ông già từng trải và đạo đức, cụ Vitali, về sau tự lập không những lo cho mình, còn bảo đảm việc biểu diễn và sinh sống cho cả một gánh hát rong. Đã có khi em và cả đoàn lang thang mấy hôm liền không có chút gì trong bụng. Đã có khi em xuýt chết rét. Đã có khi em bị lụt ngầm chôn trong giếng mỏ mười mấy ngày đêm. Đã có khi em mắc oan bị giải ra trước tòa án và bị ở tù. Và cũng có khi em được nuôi nấng đàng hoàng, ấm no... nhưng dù ở đâu Rémi vẫn giữ cho mình lòng tốt và sự hy sinh. Cuối cùng, qua bao gian khổ, Rémi gặp được gia đình thật sự, trả ơn cho những người đã giúp đỡ mình trong lúc cơ hàn, và sống hạnh phúc.
Tác phẩm kiến người đọc sẽ nắm được sự ca ngợi tinh thần lao động bền bỉ, tính tự lập, chịu đựng gian khó, khích lệ tình bạn chân chính. Ca ngợi lòng nhân ái, tình yêu cuộc sống, ý chí vươn lên không ngừng… Cuốn sách, mang đến cho người đọc một bài học quý giá cho mỗi chúng ta về tình yêu thương giữa con người với con người. Để những ai “có gia đình” suy ngẫm, làm sao sống cho tốt, xứng đáng với cái may mắn mà số phận ban cho.

",99.000 đ,,,,,,,,,,,,,Không Gia Đình (Trí Việt 2018)
2,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_179484.jpg,Văn học kinh điển – cổ điển,Nguyễn Việt Hải,"
“Hai số phận” không chỉ đơn thuần là một cuốn tiểu thuyết, đây có thể xem là ""thánh kinh"" cho những người đọc và suy ngẫm, những ai không dễ dãi, không chấp nhận lối mòn.
“Hai số phận” làm rung động mọi trái tim quả cảm, nó có thể làm thay đổi cả cuộc đời bạn. Đọc cuốn sách này, bạn sẽ bị chi phối bởi cá tính của hai nhân vật chính, hoặc bạn là Kane, hoặc sẽ là Abel, không thể nào nhầm lẫn. Và điều đó sẽ khiến bạn thấy được chính mình.
Khi bạn yêu thích tác phẩm này, người ta sẽ nhìn ra cá tính và tâm hồn thú vị của bạn!
“Nếu có giải thưởng Nobel về khả năng kể chuyện, giải thưởng đó chắc chắn sẽ thuộc về Archer.”
 - Daily Telegraph-
(“Hai số phận” (Kane & Abel) là câu chuyện về hai người đàn ông đi tìm vinh quang. William Kane là con một triệu phú nổi tiếng trên đất Mỹ, lớn lên trong nhung lụa của thế giới thượng lưu. Wladek Koskiewicz là đứa trẻ không rõ xuất thân, được gia đình người bẫy thú nhặt về nuôi. Một người được ấn định để trở thành chủ ngân hàng khi lớn lên, người kia nhập cư vào Mỹ cùng đoàn người nghèo khổ. 
Trải qua hơn sáu mươi năm với biết bao biến động, hai con người giàu hoài bão miệt mài xây dựng vận mệnh của mình . “Hai số phận” nói về nỗi khát khao cháy bỏng, những nghĩa cử, những mối thâm thù, từng bước đường phiêu lưu, hiện thực thế giới và những góc khuất... mê hoặc người đọc bằng ngôn từ cô đọng, hai mạch truyện song song được xây dựng tinh tế từ những chi tiết nhỏ nhất.)  
",175.000 đ,,,,,,,,,,,,,Hai Số Phận - Bìa Cứng
3,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180771.jpg,Văn học kinh điển – cổ điển,"Huỳnh Kim Anh, Phạm Viêm Phương.","
Nào, hãy mở cuốn sách này ra. Bạn phải làm quen ngay với bố Atticus của hai anh em - Jem và Scout, ông bố luật sư có một cách riêng, để những đứa trẻ của mình cứng cáp và vững vàng hơn khi đón nhận những bức xúc không sao hiểu nổi trong cuộc sống. Bạn sẽ nhớ rất lâu người đàn ông thích trốn trong nhà Boo Radley, kẻ bị đám đông coi là lập dị đã chọn một cách rất riêng để gửi những món quà nhỏ cho Jem và Scout, và khi chúng lâm nguy, đã đột nhiên xuất hiện để che chở. Và tất nhiên, bạn không thể bỏ qua anh chàng Tom Robinson, kẻ bị kết án tử hình vì tội hãm hiếp một cô gái da trắng, sự thật thà và suy nghĩ quá đỗi đơn giản của anh lại dẫn đến một cái kết hết sức đau lòng, chỉ vì lý do anh là một người da đen.

Cho dù được kể dưới góc nhìn của một cô bé, cuốn sách Giết con chim nhạikhông né tránh bất kỳ vấn đề nào, gai góc hay lớn lao, sâu xa hay phức tạp: nạn phân biệt chủng tộc, những định kiến khắt khe, sự trọng nam khinh nữ… Góc nhìn trẻ thơ là một dấu ấn đậm nét và cũng là đặc sắc trong Giết con chim nhại. Trong sáng, hồn nhiên và đầy cảm xúc, những câu chuyện tưởng như chẳng có gì to tát gieo vào người đọc hạt mầm yêu thương.

Gần 50 năm từ ngày đầu ra mắt, Giết con chim nhại, tác phẩm đầu tay và cũng là cuối cùng của nữ nhà văn Mỹ Harper Lee vẫn đầy sức hút với độc giả ở nhiều lứa tuổi. Thông điệp yêu thương trải khắp các chương sách là một trong những lý do khiến Giết con chim nhại giữ sức sống lâu bền của mình trong trái tim độc giả ở nhiều quốc gia, nhiều thế hệ. Những độc giả nhí tìm cho mình các trò nghịch ngợm và cách nhìn dí dỏm về thế giới xung quanh. Người lớn lại tìm ra điều thú vị sâu xa trong tình cha con nhà Atticus, và đặc biệt là tình người trong cuộc sống, như bé Scout quả quyết nói “em nghĩ chỉ có một hạng người. Đó là người”. 
",120.000 đ,,,,,,,,,,,,,Giết Con Chim Nhại (Tái Bản 2019)
4,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2215.jpg,Văn học kinh điển – cổ điển,Nhiều Người Dịch,"
Suối nguồn (The Fountainhead) tiểu thuyết của Ayn Rand, tác giả có ảnh hưởng lớn nhất đến độc giả Mỹ trong thế kỷ 20. - Tác phẩm đã bán được 6 triệu bản trong hơn 60 năm qua kể từ khi xuất bản lần đầu (năm 1943). - Được dịch ra nhiều thứ tiếng và vẫn liên tục được tái bản hàng năm. - Một tiểu thuyết kinh điển cần đọc nay đã có mặt tại Việt Nam với bản dịch tiếng Việt. Xin trân trọng giới thiệu cùng quý độc giả. 
",355.000 đ,,,,,,,,,,,,,Suối Nguồn (Tái Bản 2018)
5,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_42677.jpg,Văn học kinh điển – cổ điển,Nguyễn Đặng Hồng Chương,"
Văn học Nga đã cống hiến cho nhân loại rất nhiều hình mẫu văn chương kinh điển. Trong đó, thật khó quên được anh chàng Oblomov trong kiệt tác ""Kẻ Đại Lãn"" của Ivan Goncharov.
Xuất thân là một quý tộc, làm chủ một điền trang kế thừa từ cha ông mình, nhưng Oblomov đã lựa chọn sống một cuộc đời gần như tuyệt đối không làm gì. Anh ta thờ ơ, trì hoãn, lười biếng và trạng thái thường xuyên nhất của anh ta là nằm ở trên giường của mình. Nhưng con người rồi cũng vẫn phải duy trì sự sống, giao tiếp, yêu đương và quản lý tài sản. Oblomov sẽ phải làm những gì khi trách nhiệm ấy gõ cửa?
Kẻ Đại Lãn của Goncharov không chỉ là một bức tranh hiện thực châm biếm hài hước và chứa đựng giá trị nhân bản sâu sắc, phản ánh một phần nước Nga thế kỷ XIX, tác phẩm còn được đón đọc rộng rãi trên toàn thế giới, ở mọi nền văn hóa, và trụ vững nhiều thế kỷ như một trong những biểu tượng phổ quát về con người.
Kẻ đại lãn đã đưa tên tuổi Ivan Goncharov trở thành một trong những tác gia thành danh bằng một tác phẩm duy nhất. 
",79.000 đ,,,,,,,,,,,,,Kẻ Đại Lãn
6,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_172955.jpg,Văn học kinh điển – cổ điển,NXB Hội Nhà Văn,"
Đại Gia Gatsby
""Gatsby đã tin vào đốm sáng xanh ấy, vào cái tương lai mê đắm đến cực điểm đang rời xa trước mắt chúng ta năm này qua năm khác. Ừ thì nó đã tuột khỏi tay chúng ta, nhưng có làm sao đâu – ngày mai chúng ta sẽ lại chạy nhanh hơn, vươn tay ra xa hơn…”
Là bức chân dung của “Thời đại Jazz” (Jazz Age, cái tên do chính Fitzgerald đặt cho thời kỳ 1918 - 1929), đại gia Gatsby nắm bắt vô cùng sâu sắc tinh thần của thế hệ cùng thời ông: những ám ảnh thường trực về thành đạt, tiền bạc, sang trọng, dư dật, hào nhoáng; song đồng thời là nỗi âu lo trước thói sùng bái vật chất vô độ và sự thiếu vắng đạo đức đang ngày một lên ngôi. Phất lên nhanh chóng từ chỗ “hàn vi”, Gatsby, nhân vật chính của câu chuyện, những tưởng sẽ có tất cả - tiền bạc, quyền lực, và sau rốt là tình yêu -, nhưng rồi ảo tưởng tình yêu đó tan vỡ thật đau đớn, theo sau là cái chết tức tưởi của Gatsby, để cuối cùng lập tức bị người đời quên lãng. Là lời cảnh tỉnh để đời của Scott Fitzgerald về cái gọi là “Giấc mơ Mỹ”, Đại gia Gatsby được ví như một tượng đài văn học, một cánh cửa cần mở ra cho những ai quan tâm tới văn học và lịch sử tinh thần nước Mỹ thời hiện đai.
Đại gia Gatsby (The Great Gatsby) từ lâu đã được đưa vào giảng dạy trong trường phổ thông và đại học ở nhiều nước trên thế giới. Cuốn tiểu thuyết “khác thường, tuyệt đẹp, cấu trúc phức tạp song trên hết là giản dị” (như lời chính nhà văn) đứng thứ hai trong danh sách 100 tiểu thuyết hay nhất thế kỷ 20 của Modern Library, và nằm trong danh sách 100 tiểu thuyết hay nhất bằng tiếng Anh từ 1923 đến 2005 do tạp chí Time bình chọn.

",68.000 đ,,,,,,,,,,,,,Đại Gia Gatsby (Tái Bản 2018)
7,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936067597936.jpg,Văn học kinh điển – cổ điển,Lê Huy Bắc,"
Ông Già Và Biển Cả
     Ernest Hemingway (1899 -1961) là một tiểu thuyết gia người Mỹ, một nhà văn viết truyện ngắn, và là một nhà báo. Ông từng tham gia chiến đấu trong Chiến tranh thế giới lần thứ I, sau đó ông được biết đến qua ""Thế hệ đã mất"", nhận được giải thưởng báo chí Pulitzer năm 1953 với tiểu thuyết Ông già và biển cả, và giải Nobel Văn học năm 1954.
     Hemingway để lại ấn tượng sâu sắc đối với bạn đọc qua nguyên lý “tảng băng trôi”, văn phong của ông được mô tả bởi sự kiệm lời nhưng có nhiều tầng ý nghĩa, phải suy nghĩ thật sâu mới có thể hiểu hết được những gì tác giả gửi gắm. Nhiều tác phẩm của ông hiện nay được coi là những tác phẩm kinh điển của nền văn học Mỹ: Ông già và biển cả, Chuông nguyện hồn ai, Giã từ vũ khí, Hạnh phúc ngắn ngủi của Mác Cômbơ, Hội hè miên man,…
      Ông già và biển cả, là một trong những tác phẩm nổi tiếng nhất của Hemingway, sử dụng nguyên lý “tảng băng trôi” khi kể về một cuộc săn đuổi con cá kiếm khổng lồ của ông lão đánh cá Santiago, người đã cố gắng chiến đấu trong ba ngày đêm vật lộn trên biển vùng Giếng Lớn khi ông câu được nó. Sang đến ngày thứ ba, ông dùng lao đâm chết được con cá, buộc nó vào mạn thuyền và lôi về nhưng đàn cá mập đánh hơi thấy đã lăn xả tới, ông lại đem hết sức tàn chống chọi với lũ cá mập, phóng lao, thậm chí cả mái chèo để đánh. Ông giết được nhiều con, đuổi được chúng đi, nhưng cuối cùng khi nhìn đến con cá kiếm của mình thì nó đã bị rỉa hết thịt chỉ còn trơ lại một bộ xương khổng lồ. Tác phẩm là bản anh hùng ca ca ngợi sức lao động và khát vọng của con người. 
",35.000 đ,,,,,,,,,,,,,Ông Già Và Biển Cả
8,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8935095625994_1.jpg,Văn học kinh điển – cổ điển,NXB Văn Học,"
Hai Số Phận (Tái Bản 2018)
Jeffrey Archer là nhà văn người Anh và cũng là một chính trị gia. Ông từng là một thành viên của Quốc hội và Phó Chủ tịch Đảng Bảo thủ.
HAI SỐ PHẬN (tên gốc tiếng Anh là Kane and Abel) là cuốn tiểu thuyết được ông viết dựa theo câu chuyện của anh em Cain và Abel trong Kinh Thánh Cựu Ước. Truyện kể về hai người đàn ông với xuất thân địa vị xã hội và hoàn cảnh sống hoàn toàn khác nhau nhưng có chung một đức tính là luôn chiến đấu hết mình để chinh phục những điều mà mình đã đặt ra. Họ là những người có hoài bão, lý tưởng sống và trên hết họ có một tâm hồn cao quý.
William Lowell Kane là một người mạnh mẽ và giàu có trong khi đó Abel Rosnovski là một người gốc Ba Lan phải đấu tranh từ lúc sinh ra và lớn lên cùng với những người nghèo khổ, cuối cùng di cư đến Hoa Kỳ…. William tiếp nối sự nghiệp của cha mình là Richard Kane, để trở thành một chủ ngân hàng thành công. Trong khi William vẫn còn là một đứa trẻ, cha của anh đã chết trong thảm họa tàu Titanic. Người cha mất đi đã biến anh trở thành người thừa kế của ngân hàng Kane & Cabot. William đã thể hiện là một con người có tính kỷ luật và thông minh như những học sinh khác của trường St. Paul's School và sau đó là ở Harvard…
HAI SỐ PHẬN là câu chuyện cuộc đời của hai con người đã bằng những tài năng của mình làm giàu cho quê hương. Con mắt tinh đời với những phán đoán sắc sảo về lĩnh vực kinh tế trên hết họ đặt nguyên tắc kinh doanh lên hàng đầu để vượt lên bằng chính khả năng của bản thân. 
",155.000 đ,,,,,,,,,,,,,Hai Số Phận (Tái Bản 2018)
9,,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40337.jpg,Văn học kinh điển – cổ điển,Phan Kế Bính,"
Tam quốc diễn nghĩa của La Quán Trung là một trong những kiệt tác của văn học thế giới. Ngay từ khi được dịch sang chữ quốc ngữ vào đầu thế kỷ XX, tiểu thuyết này đã được bạn đọc Việt Nam đón nhận nồng nhiệt; từ đó đến nay có vô vàn ấn bản Tam quốc ra đời, mỗi ấn bản lại mang một màu sắc khác nhau. Để có thêm sự lựa chọn cho bạn đọc, Đông A ra mắt bản Tam quốc diễn nghĩa 2 tập bìa cứng.
Những nội dung đáng chú ý của bản in này: 
- Lời giới thiệu bộ Tam Quốc diễn nghĩa của NXB Phổ thông - Bộ Văn hóa, 1959 – 1960.
- Lời nói đầu - Bài viết cho bản Tam Quốc diễn nghĩa xuất bản năm 1959 của Bộ Biên tập, Nhân dân Văn học Xuất bản xã Bắc Kinh, Trung Quốc.
- Hành trình truyện Tam Quốc diễn nghĩa ở Việt Nam (Tác giả: Yên Ba, in lần đầu trong bộ Tam Quốc diễn nghĩa 6 tập do Đông A xuất bản năm 2016).
- Hình một số nhân vật chính.
- Bảng tra cứu các nhân vật trong Tam Quốc diễn nghĩa.
- 120 hồi nội dung chính, cuối mỗi hồi có Lời bàn của Mao Tôn Cương.
- Bảng đối chiếu địa danh xưa và nay (theo bản in của NXB Đại học và Trung học chuyên nghiệp, năm 1987).
- Niên biểu các sự kiện chính trong Tam Quốc diễn nghĩa.
- Đặc biệt, có 324 tranh minh họa được chuyển từ bộ Tam Quốc diễn nghĩa liên hoàn họa mà Đông A mua bản quyền từ NXB Mĩ thuật Nhân dân Thượng Hải. Mỗi hồi sẽ có 2 đến 3 tranh minh họa.
- Bộ sách đính kèm bản đồ in màu thời Tam Quốc.
Bộ sách gồm 2 tập, bìa cứng, có bìa áo. 
",390.000 đ,,,,,,,,,,,,,Tam Quốc Diễn Nghĩa - Bộ 2 Tập (Tái Bản 2020)
