Stt,Thể loại,Nguồn nhập
,- Văn học đương đại,https://nhasachphuongnam.com/vi/van-hoc-duong-dai.html
,- Văn học kinh điển – cổ điển,"https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/tac-pham-kinh-dien.html?order=num_orders&limit=24&p=1
https://nhasachphuongnam.com/vi/van-hoc-kinh-dien-co-dien.html
https://tiki.vn/tac-pham-kinh-dien/c842
https://bookbuy.vn/sach/tac-pham-viet-nam-kinh-dien"
,- Văn học Mỹ,https://nhasachphuongnam.com/vi/van-hoc-my.html
,- Vân học Anh,https://nhasachphuongnam.com/vi/van-hoc-anh.html
,- Văn học Pháp,https://nhasachphuongnam.com/vi/van-hoc-phap.html
,- Văn học Đức,https://nhasachphuongnam.com/vi/van-hoc-duc.html
,- Văn học Nhật Bản,https://nhasachphuongnam.com/vi/van-hoc-nhat.html
,- Văn học Hàn Quốc,https://nhasachphuongnam.com/vi/van-hoc-han-quoc.html
,- Văn học Trung Quốc,https://nhasachphuongnam.com/vi/van-hoc-trung-quoc.html
,- Văn học Nga,https://nhasachphuongnam.com/vi/van-hoc-nga.html
,- Văn học các nước khác,https://nhasachphuongnam.com/vi/sach-van-hoc-nuoc-ngoai-khac.html
,- Truyện ngắn - tản văn – tạp văn,"https://tiki.vn/truyen-ngan-tan-van-tap-van/c845?page=25
https://www.vinabook.com/c415/truyen-ngan-tan-van/page-25/?sef_rewrite=1&sort_by=avail_since&extra=listall
https://bookbuy.vn/sach/vhvn-truyen-ngan?Page=89
https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/truyen-ngan-tan-van.html?order=num_orders&limit=24&p=45"
,- Thơ - kịch,"https://nhasachphuongnam.com/vi/tho-van.html
https://tiki.vn/tho/c446
https://www.vinabook.com/c421/tho-ca/
https://bookbuy.vn/sach/vhvn-tho-ca
https://ebook.waka.vn/the-loai/tho-tan-van-gMyW.html"
,- Tự truyện - hồi ký – bút ký – tiểu sử - chân dung nhân vật,"https://tiki.vn/tieu-su-hoi-ky/c843
https://nhasachphuongnam.com/vi/hoi-ky-but-ky-chan-dung-nhan-vat-2.html
https://bookbuy.vn/sach/vhvn-tieu-su-hoi-ky
https://newshop.vn/sach-tieu-su-hoi-ky
https://www.vinabook.com/c661/tu-truyen-hoi-ky/"
,- Phóng sự - Ký sự,"https://tiki.vn/phong-su-ky-su/c5245
https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/phong-su-ky-su-phe-binh-van-hoc.html?order=num_orders&limit=24&p=9
https://www.vinabook.com/c420/phong-su-ky-su/"
,- Lý luận – nghiên cứu – phê bình văn học,"https://tiki.vn/phe-binh-ly-luan-van-hoc/c5244
https://www.vinabook.com/c422/phe-binh-van-hoc/
https://nhasachphuongnam.com/vi/ly-luan-nghien-cuu-phe-binh.html
https://bookbuy.vn/sach/vhvn-phe-binh-van-hoc"
,- Ca dao – tục ngữ - thành ngữ - câu đố,"https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/tho-ca-tuc-ngu-ca-dao-thanh-ngu.html?order=num_orders&limit=24&p=1
https://nhasachphuongnam.com/vi/tuc-ngu-ca-dao-truyen-cuoi.html
https://bookbuy.vn/sach/vhvn-cau-do"
,- Truyện cười,"https://tiki.vn/truyen-cuoi/c444?page=2
https://bookbuy.vn/sach/vhvn-truyen-cuoi
https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/hai-huoc-truyen-cuoi.html?order=num_orders&limit=24&p=1
https://newshop.vn/truyen-cuoi
https://ebook.waka.vn/the-loai/tho-tan-van-gMyW.html"
,- Truyện lịch sử,https://nhasachphuongnam.com/vi/truyen-lich-su.html
,- Truyện kiếm hiệp,"https://tiki.vn/kiem-hiep-vo-hiep/c639?page=1
https://newshop.vn/sach-truyen-kiem-hiep
https://ebook.waka.vn/the-loai/kiem-hiep-gQzW.html"
,- Truyện trinh thám,"https://newshop.vn/sach-trinh-tham
https://tiki.vn/trinh-tham/c664
https://ebook.waka.vn/the-loai/kiem-hiep-gQzW.html
https://nhasachphuongnam.com/vi/truyen-trinh-tham-1.html"
,- Truyện viễn tưởng – phưu lưu – huyền bí,"https://tiki.vn/truyen-gia-tuong-huyen-bi-phieu-luu/c840
https://www.vinabook.com/c418/truyen-gia-tuong-than-bi/
https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/huyen-bi-gia-tuong-kinh-di.html?order=num_orders&limit=24&p=1
https://newshop.vn/huyen-bi-gia-tuong"
,- Truyện kinh dị,"https://tiki.vn/truyen-kinh-di/c665
https://nhasachphuongnam.com/vi/truyen-kinh-di.html
https://ebook.waka.vn/the-loai/tho-tan-van-gMyW.html"
,- Light Novel,"https://tiki.vn/light-novel/c7358
https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/light-novel.html?order=num_orders&limit=24&p=1
https://nhasachphuongnam.com/vi/light-novel.html"
,- Truyện ngôn tình,"https://tiki.vn/ngon-tinh/c1521
https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/ngon-tinh.html?order=num_orders&limit=24&p=1
https://newshop.vn/sach-ngon-tinh
https://ebook.waka.vn/the-loai/ngon-tinh-gggDW.html"
,- Truyện đam mỹ,https://tiki.vn/truyen-dam-my/c1367
,- Tiểu thuyết - truyện dài,"https://www.vinabook.com/c414/tieu-thuyet/
https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/tieu-thuyet.html?order=num_orders&limit=24&p=1
https://newshop.vn/tieu-thuyet
https://bookbuy.vn/sach/vhvn-tieu-thuyet
https://tiki.vn/tieu-thuyet/c844
https://tiki.vn/truyen-dai/c6750
https://www.vinabook.com/c419/tieu-thuyet-lich-su/"
,- Truyện tranh - manga – comic -,"https://tiki.vn/tranh-truyen/c8973
https://newshop.vn/truyen-tranh-manga-comic"
,- Du ký,"https://www.fahasa.com/sach-trong-nuoc/van-hoc-trong-nuoc/du-ky.html?order=num_orders&limit=24&p=1
https://tiki.vn/du-ky/c4933"
,- Truyện cổ tích - ngụ ngôn,"https://tiki.vn/truyen-co-tich-ngu-ngon/c10079
https://newshop.vn/truyen-cuoi-co-tich"
