,Unnamed: 0,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sách Bài Tập Sơ Cấp 1,https://salt.tikicdn.com/cache/280x280/ts/product/91/b2/60/5d9b399b5ddfdbdfcf4b43432387533a.jpg,Tiếng Hàn ,Tiếng Hàn Tổng hợp dành cho người Việt Nam – Sách bài tập sơ cấp 1Nếu bạn đã có trong tay cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – sơ cấp 1 thì ngay lập tức phải sở hữu thêm cuốn ...,45500.0,19x27,155.0,Nhiều Tác Giả,,,,,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sách Bài Tập Sơ Cấp 1,https://salt.tikicdn.com/cache/280x280/ts/product/91/b2/60/5d9b399b5ddfdbdfcf4b43432387533a.jpg,Tiếng Hàn ,Nhiều Tác Giả,Tiếng Hàn Tổng hợp dành cho người Việt Nam – Sách bài tập sơ cấp 1Nếu bạn đã có trong tay cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – sơ cấp 1 thì ngay lập tức phải sở hữu thêm cuốn ...,45500.0,MCBOOKS,2019-11-01 00:00:00,Bìa mềm,155.0,,19x27,,
2,2,Ngữ Pháp Tiếng Hàn Thông Dụng - Sơ Cấp,https://salt.tikicdn.com/cache/280x280/ts/product/9c/81/f2/563907790a741baece5f7f0ce8546096.jpg,Tiếng Hàn ,"Để bắt đầu học môn ngôn ngữ chúng ta đều đi từ trình độ sơ cấp đi lên. Học ngữ pháp tiếng Hàn cũng vậy, bạn phải học từ những cấu trúc đơn giản nhất. Nhưng để học và sử dụng thành thạo những cấu trúc ...",146250.0,17 x 24 cm,376.0,Nhiều Tác Giả,,,,,Ngữ Pháp Tiếng Hàn Thông Dụng - Sơ Cấp,https://salt.tikicdn.com/cache/280x280/ts/product/9c/81/f2/563907790a741baece5f7f0ce8546096.jpg,Tiếng Hàn ,Nhiều Tác Giả,"Để bắt đầu học môn ngôn ngữ chúng ta đều đi từ trình độ sơ cấp đi lên. Học ngữ pháp tiếng Hàn cũng vậy, bạn phải học từ những cấu trúc đơn giản nhất. Nhưng để học và sử dụng thành thạo những cấu trúc ...",146250.0,MCBOOKS,2020-06-01 00:00:00,Bìa mềm,376.0,Nhà Xuất Bản Hồng Đức,17 x 24 cm,Trang Thơm,
3,3,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sách Bài Tập Sơ Cấp 2,https://salt.tikicdn.com/cache/280x280/ts/product/c0/4c/c5/8cf3d58a6becf8507d530148943bfc10.jpg,Tiếng Hàn ,Tiếng Hàn Tổng hợp dành cho người Việt Nam – Sách bài tập sơ cấp 2Nếu bạn đã có trong tay cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – sơ cấp 2 thì ngay lập tức phải sở hữu thêm cuốn ...,45500.0,19x27,163.0,Nhiều Tác Giả,,,,,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sách Bài Tập Sơ Cấp 2,https://salt.tikicdn.com/cache/280x280/ts/product/c0/4c/c5/8cf3d58a6becf8507d530148943bfc10.jpg,Tiếng Hàn ,Nhiều Tác Giả,Tiếng Hàn Tổng hợp dành cho người Việt Nam – Sách bài tập sơ cấp 2Nếu bạn đã có trong tay cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – sơ cấp 2 thì ngay lập tức phải sở hữu thêm cuốn ...,45500.0,MCBOOKS,2019-11-01 00:00:00,Bìa mềm,163.0,,19x27,,
4,4,Combo Sách Tiếng hàn tổng hợp dành cho người Việt Nam - Sơ cấp 1 (Phiên bản 1 màu),https://salt.tikicdn.com/cache/280x280/ts/product/6d/97/55/e27d30a15fd77db963dbd908dd2cb65e.jpg,Tiếng Hàn ,Giới thiệu về cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – Sơ cấp 1Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – Sơ cấp 1 được biên soạn dành cho người  Việt Nam muốn học ti...,143000.0,<p>19 x 29cm</p>,436.0,Nhiều Tác Giả,,,,,Combo Sách Tiếng hàn tổng hợp dành cho người Việt Nam - Sơ cấp 1 (Phiên bản 1 màu),https://salt.tikicdn.com/cache/280x280/ts/product/6d/97/55/e27d30a15fd77db963dbd908dd2cb65e.jpg,Tiếng Hàn ,Nhiều Tác Giả,Giới thiệu về cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – Sơ cấp 1Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – Sơ cấp 1 được biên soạn dành cho người  Việt Nam muốn học ti...,143000.0,MCBOOKS,2019-11-07 14:38:51,Bìa mềm,436.0,,<p>19 x 29cm</p>,,
5,5,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1 (Bản Đen Trắng),https://salt.tikicdn.com/cache/280x280/ts/product/5c/dd/d0/5f4c97b7f20f1f72b555024d5237d419.jpg,Tiếng Hàn ,"Trong những năm gần đây, nhu cầu học tiếng Hàn và tìm hiểu về văn hóa Hàn Quốc đang có xu hướng tăng lên. Người học tiếng Hàn rất mong muốn có được một bộ giáo trình chuẩn, được biên soạn một cách tỉ ...",97500.0,19x27,378.0,Nhiều Tác Giả,,,,,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1 (Bản Đen Trắng),https://salt.tikicdn.com/cache/280x280/ts/product/5c/dd/d0/5f4c97b7f20f1f72b555024d5237d419.jpg,Tiếng Hàn ,Nhiều Tác Giả,"Trong những năm gần đây, nhu cầu học tiếng Hàn và tìm hiểu về văn hóa Hàn Quốc đang có xu hướng tăng lên. Người học tiếng Hàn rất mong muốn có được một bộ giáo trình chuẩn, được biên soạn một cách tỉ ...",97500.0,MCBOOKS,2019-11-01 00:00:00,Bìa mềm,378.0,,19x27,,
6,6,Mukbang 1200 Từ Vựng Tiếng Hàn Tổng Hợp (Trọn bộ 2 tập) - Trọn bộ giải pháp ghi nhớ 1200 từ vựng chỉ trong 50 ngày,https://salt.tikicdn.com/cache/280x280/ts/product/05/33/60/ee83f4f4b6aed2b2de2ecb47d955eef7.jpg,Tiếng Hàn ,"Bộ sách ""Mukbang 1200 Từ Vựng Tiếng Hàn Tổng Hợp (Trọn bộ 2 tập) - Trọn bộ giải pháp ghi nhớ 1200 từ vựng chỉ trong 50 ngày"" là bộ gồm 2 cuốn sách học từ vựng cực kỳ thú vị theo phương pháp tạo cảnh ...",557280.0,,300.0,The Changmi,,,,,Mukbang 1200 Từ Vựng Tiếng Hàn Tổng Hợp (Trọn bộ 2 tập) - Trọn bộ giải pháp ghi nhớ 1200 từ vựng chỉ trong 50 ngày,https://salt.tikicdn.com/cache/280x280/ts/product/05/33/60/ee83f4f4b6aed2b2de2ecb47d955eef7.jpg,Tiếng Hàn ,The Changmi,"Bộ sách ""Mukbang 1200 Từ Vựng Tiếng Hàn Tổng Hợp (Trọn bộ 2 tập) - Trọn bộ giải pháp ghi nhớ 1200 từ vựng chỉ trong 50 ngày"" là bộ gồm 2 cuốn sách học từ vựng cực kỳ thú vị theo phương pháp tạo cảnh ...",557280.0,MCBOOKS,2020-10-07 16:38:33,Bìa mềm,300.0,Nhà Xuất Bản Hồng Đức,,,2020
7,7,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 2 (Bản Đen Trắng),https://salt.tikicdn.com/cache/280x280/ts/product/f7/4c/4e/d59a4b4cde4d2de9b1fd3ce04a745dd7.jpg,Tiếng Hàn ,Giáo trình tiếng Hàn tổng hợp sơ cấp dành cho người học tiếng Hàn trình độ sơ cấp gồm 2 cuốn: 1 và 2. Sau khi hoàn thành các bài học ở cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – Sơ c...,97900.0,19x27,363.0,Nhiều Tác Giả,,,,,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 2 (Bản Đen Trắng),https://salt.tikicdn.com/cache/280x280/ts/product/f7/4c/4e/d59a4b4cde4d2de9b1fd3ce04a745dd7.jpg,Tiếng Hàn ,Nhiều Tác Giả,Giáo trình tiếng Hàn tổng hợp sơ cấp dành cho người học tiếng Hàn trình độ sơ cấp gồm 2 cuốn: 1 và 2. Sau khi hoàn thành các bài học ở cuốn Giáo trình tiếng Hàn tổng hợp dành cho người Việt Nam – Sơ c...,97900.0,MCBOOKS,2019-11-01 00:00:00,Bìa mềm,363.0,,19x27,,
8,8,Combo Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1: Gíao Trình + Bài Tập (Bộ Sách Học Tiếng Hàn Hiệu Qủa Dành Cho Người Mới Bắt Đầu / Tặng Kèm Bookmark Green Life),https://salt.tikicdn.com/cache/280x280/ts/product/96/ba/fb/b8c19accc10fd342d23a845b3aa7a53e.jpg,Tiếng Hàn ,Combo Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1: Gíao Trình + Bài Tập (Bộ Sách Học Tiếng Hàn Hiệu Qủa Dành Cho Người Mới Bắt Đầu / Tặng Kèm Bookmark Green Life) 2 cuốn sách trong bộ Sơ c...,159000.0,,,Nhiều Tác Giả,,,,,Combo Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1: Gíao Trình + Bài Tập (Bộ Sách Học Tiếng Hàn Hiệu Qủa Dành Cho Người Mới Bắt Đầu / Tặng Kèm Bookmark Green Life),https://salt.tikicdn.com/cache/280x280/ts/product/96/ba/fb/b8c19accc10fd342d23a845b3aa7a53e.jpg,Tiếng Hàn ,Nhiều Tác Giả,Combo Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1: Gíao Trình + Bài Tập (Bộ Sách Học Tiếng Hàn Hiệu Qủa Dành Cho Người Mới Bắt Đầu / Tặng Kèm Bookmark Green Life) 2 cuốn sách trong bộ Sơ c...,159000.0,MCBOOKS,,Bìa mềm,,,,,
9,9,Tập Viết Tiếng Hàn Dành Cho Người Mới Bắt Đầu,https://salt.tikicdn.com/cache/280x280/ts/product/1d/e6/9b/e6eb39a355ca40d83a4db4539be0e635.jpg,Tiếng Hàn ,"“Ngôn ngữ là bản đồ văn hóa, cho bạn biết một người đến từ đâu và họ đang đi tới nơi nào” - Rita Mae BrownThế nhưng để giao tiếp được bằng một ngoại ngữ đã khó, để viết được chữ của ngoại ngữ đó còn ...",57850.0,19 x 27 cm,108.0,The Changmi,,,,,Tập Viết Tiếng Hàn Dành Cho Người Mới Bắt Đầu,https://salt.tikicdn.com/cache/280x280/ts/product/1d/e6/9b/e6eb39a355ca40d83a4db4539be0e635.jpg,Tiếng Hàn ,The Changmi,"“Ngôn ngữ là bản đồ văn hóa, cho bạn biết một người đến từ đâu và họ đang đi tới nơi nào” - Rita Mae BrownThế nhưng để giao tiếp được bằng một ngoại ngữ đã khó, để viết được chữ của ngoại ngữ đó còn ...",57850.0,MCBOOKS,2019-01-01 00:00:00,Bìa mềm,108.0,,19 x 27 cm,,
