,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý
0,,,,,,,,,,,,,,,
1,Muôn Kiếp Nhân Sinh 2,https://salt.tikicdn.com/cache/280x280/ts/product/9b/4b/8a/04ffa4c4673af50ef2e594bf8e4f6fa1.jpg,- Kiến thức tôn giáo,Nguyên Phong,CUỐN SÁCH CỦA NHỮNG CÁNH BƯỚM RUNG ĐỘNGTác phẩm Muôn Kiếp Nhân Sinh tập 1 của tác giả Nguyên Phong xuất bản giữa tâm điểm của đại dịch đã thực sự tạo nên một hiện tượng xuất bản hiếm có ở Việt Nam. C...,177300,First News - Trí Việt,2021-04-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,540,Nhà Xuất Bản Tổng hợp TP.HCM,,,
2,Muôn Kiếp Nhân Sinh (Many Lives - Many Times),https://salt.tikicdn.com/cache/280x280/ts/product/30/ee/5a/e2aed009bb558b5d2cfbbe157b428ba4.jpg,- Kiến thức tôn giáo,Nguyên Phong,"“Muôn kiếp nhân sinh” là tác phẩm do Giáo sư John Vũ - Nguyên Phong viết từ năm 2017 và hoàn tất đầu năm 2020 ghi lại những câu chuyện, trải nghiệm tiền kiếp kỳ lạ từ nhiều kiếp sống của người bạn tâ...",102500,First News - Trí Việt,,14 x 20.5 cm,Bìa gập,408,Nhà Xuất Bản Tổng hợp TP.HCM,,,
3,Giận (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/1b/98/03/13fbe384c2102f96ea6e1acafa9f1f75.jpg,- Kiến thức tôn giáo,Thích Nhất Hạnh,"Giận là một cuốn sách hay của Thiền sư Thích Nhất Hạnh, nó mở ra cho ta những khả năng kỳ diệu, nhưng lại rất dễ thực hành để ta tự mình từng bướ thoát khỏi cơn giận và sống đẹp với xã hội quanh mình....",96000,Phương Nam Book,,14 x 20.5 cm,Bìa mềm,248,Nhà Xuất Bản Hồng Đức,Chân Đạt,,
4,Dấu Chân Trên Cát (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/b7/ef/72/419bb40ea14d8c8a6e23b5e4f8dca382.jpg,- Kiến thức tôn giáo,Nguyên Phong,"“Dấu chân trên cát” là tác phẩm được dịch giả Nguyên Phong phóng tác kể về xã hội Ai Cập thế kỷ thứ XIV trước CN, qua lời kể của nhân vật chính - Sinuhe.Ngày nay, người ta biết đến triều đại các vua...",112200,First News - Trí Việt,2020-08-01 00:00:00,14 x 20.5 cm,Bìa mềm,432,Nhà Xuất Bản Tổng hợp TP.HCM,,,
5,Muôn Kiếp Nhân Sinh (Bìa Cứng),https://salt.tikicdn.com/cache/280x280/ts/product/37/ee/9d/fda3088df9dde40c113b584616ae1b76.jpg,- Kiến thức tôn giáo,Nguyên Phong,"MUÔN KIẾP NHÂN SINH - MANY LIVES, MANY TIMESGiáo sư John Vũ – Nguyên Phong và những câu chuyện chưa từng có về tiền kiếp, khám phá luật Nhân quả, Luân hồi.“Muôn kiếp nhân sinh” là tác phẩm do Giáo s...",169500,First News - Trí Việt,2020-06-01 16:56:29,16 x 24 cm,Bìa cứng,424,Nhà Xuất Bản Tổng hợp TP.HCM,,,
6,Combo 2 Cuốn: Muôn Kiếp Nhân Sinh + Muôn Kiếp Nhân Sinh 2 (Bìa Mềm),https://salt.tikicdn.com/cache/280x280/ts/product/6e/de/68/8ee5c311ed2093cce691be7eab677ed1.jpg,- Kiến thức tôn giáo,Nguyên Phong,CUỐN SÁCH CỦA NHỮNG CÁNH BƯỚM RUNG ĐỘNGTác phẩm Muôn Kiếp Nhân Sinh tập 1 của tác giả Nguyên Phong xuất bản giữa tâm điểm của đại dịch đã thực sự tạo nên một hiện tượng xuất bản hiếm có ở Việt Nam. C...,319600,First News - Trí Việt,2021-05-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,960,Nhà Xuất Bản Tổng hợp TP.HCM,,,
7,Từng Bước Nở Hoa Sen,https://salt.tikicdn.com/cache/280x280/ts/product/36/86/eb/7ed07b52c3738a208e52859602e7d106.jpg,- Kiến thức tôn giáo,Thích Nhất Hạnh,"Từng Bước Nở Hoa SenKhông nhơ cũng không sạchKhông bớt cũng không thêmTrí tuệ Ba La MậtKhông có pháp nào trênSống là chuyển hóa không ngừng, tất cả mọi vật nương vào nhau để tồn tại. Thân tâm an ...",53600,Saigon Books,2018-09-04 10:55:04,<p>13 x 20.5 cm</p>,Bìa mềm,120,,,,
8,Ám Ảnh Từ Kiếp Trước - Bí Mật Của Sự Sống Và Cái Chết (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/ca/3e/f7/4c648aa07a9e250b20cfd1e216b82041.jpg,- Kiến thức tôn giáo,Brian L. Weiss,Cuốn sách hay và khiêu khích suy nghĩ này đã phá vở những rào cản trong trị liệu tâm lý truyền thống và trình bày một biện pháp trị liệu cách tân và hiệu quả cao. Những ai làm việc chuyên về sức khỏe ...,69700,Thái Hà,2020-10-15 00:00:00,13 x 20.5 cm,Bìa mềm,317,Nhà Xuất Bản Lao Động,Trần Trung Hải,,
9,Osho - Từ Bi,https://salt.tikicdn.com/cache/280x280/ts/product/1c/cc/83/c933d5ec2de55e45f8de6d2dc450048c.jpg,- Kiến thức tôn giáo,Osho,"Từ biTừ bi là một thứ tình thương mát lành, là sự chia sẻ niềm vui của bản thân đến với vạn vật. Từ bi giúp ta trở thành đóa hoa sen, vượt lên vũng bùn của thế giới ham muốn, dục vọng và sự giận dữ.Dẫ...",98000,First News - Trí Việt,2020-09-15 00:00:00,14.5 x 20.5 cm,Bìa gập,228,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,,,
10,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),https://salt.tikicdn.com/cache/280x280/ts/product/76/7a/77/69f731e145d34d55d6ba5a8feb6101c8.jpg,- Kiến thức tôn giáo,Nguyên Phong,"“Muôn kiếp nhân sinh” mang lại cho bạn đọc kho kiến thức đồ sộ và mới mẻ, những câu chuyện kỳ lạ, những kiến giải uyên bác và tiên đoán bất ngờ về hiện tại và tương lai của con người và thế giới. Thô...",76400,First News - Trí Việt,2020-10-01 00:00:00,11.5 x 16.5 cm,Bìa gập,482,Nhà Xuất Bản Tổng hợp TP.HCM,,,
11,Muôn Kiếp Nhân Sinh 2 (Khổ Nhỏ),https://salt.tikicdn.com/cache/280x280/ts/product/63/8f/a1/f03610f3b5343e5b94b0c95b1dd420d1.jpg,- Kiến thức tôn giáo,Nguyên Phong,CUỐN SÁCH CỦA NHỮNG CÁNH BƯỚM RUNG ĐỘNGTác phẩm Muôn Kiếp Nhân Sinh tập 1 của tác giả Nguyên Phong xuất bản giữa tâm điểm của đại dịch đã thực sự tạo nên một hiện tượng xuất bản hiếm có ở Việt Nam. C...,112400,First News - Trí Việt,2021-07-15 00:00:00,11.5 x 16.5 cm,Bìa mềm,672,Nhà Xuất Bản Tổng hợp TP.HCM,,,
12,Thiền Sư Và Em Bé 5 Tuổi,https://salt.tikicdn.com/cache/280x280/ts/product/40/50/4f/c66154af241f021f345fb3c53a70f57d.jpg,- Kiến thức tôn giáo,Thích Nhất Hạnh,"Trong lòng chúng ta ai cũng có một em bé đang đau khổ. Ai cũng có một thời gian khó khăn khi còn thơ ấu và nhiều người đã trải qua những chấn động tâm lý, những tổn thương lớn mà vết thương còn lưu lạ...",82100,Saigon Books,2020-10-01 00:00:00,13 x 20.5 cm,Bìa mềm,232,Nhà Xuất Bản Dân Trí,"Chân Hội Nghiêm, Chân Duyệt Nghiêm, Đông Phong",,
