,Unnamed: 0,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Châu Nhuận Phát - Đại Hiệp Hồng Kông,https://salt.tikicdn.com/cache/280x280/ts/product/f7/ce/fc/95616345552707ad731d14bc29fd02ce.jpg,NHÂN VẬT - SỰ KIỆN ,“Châu Nhuận Phát - Đại hiệp Hồng Kông”“Châu Nhuận Phát - Đại hiệp Hồng Kông” là cuốn sách đầy đủ và chi tiết nhất về ngôi sao điện ảnh Hồng Kông Châu Nhuận Phát từng được phát hành trên thế giới.Với...,125500.0,14.5 x 20.5 cm,,Lin Feng Ph. D.,,,,,Châu Nhuận Phát - Đại Hiệp Hồng Kông,https://salt.tikicdn.com/cache/280x280/ts/product/f7/ce/fc/95616345552707ad731d14bc29fd02ce.jpg,NHÂN VẬT - SỰ KIỆN ,Lin Feng Ph. D.,“Châu Nhuận Phát - Đại hiệp Hồng Kông”“Châu Nhuận Phát - Đại hiệp Hồng Kông” là cuốn sách đầy đủ và chi tiết nhất về ngôi sao điện ảnh Hồng Kông Châu Nhuận Phát từng được phát hành trên thế giới.Với...,125500.0,First News - Trí Việt,2021-04-01 00:00:00,Bìa gập,,Nhà Xuất Bản Tổng hợp TP.HCM,14.5 x 20.5 cm,Trần Hoàng Sơn-Nguyễn Hậu,
2,2,Einstein – Cuộc Đời Và Vũ Trụ (Tái Bản 2018),https://salt.tikicdn.com/cache/280x280/ts/product/e3/22/b4/1dd53d007da57bbb0f3afee583a8878d.jpg,NHÂN VẬT - SỰ KIỆN ,"Einstein – Cuộc Đời Và Vũ Trụ (Tái Bản 2018)Cuốn sách khai thác và công bố những tư liệu mới nhất về Einstein, làm rõ những giai đoạn, sự kiện và vấn đề trong cuộc sống cá nhân của Einstein. Cuốn sác...",203100.0,,720.0,Walter Isaacson,,,,,Einstein – Cuộc Đời Và Vũ Trụ (Tái Bản 2018),https://salt.tikicdn.com/cache/280x280/ts/product/e3/22/b4/1dd53d007da57bbb0f3afee583a8878d.jpg,NHÂN VẬT - SỰ KIỆN ,Walter Isaacson,"Einstein – Cuộc Đời Và Vũ Trụ (Tái Bản 2018)Cuốn sách khai thác và công bố những tư liệu mới nhất về Einstein, làm rõ những giai đoạn, sự kiện và vấn đề trong cuộc sống cá nhân của Einstein. Cuốn sác...",203100.0,Omega Plus,,Bìa mềm,720.0,,,,
3,3,Sách - Khổng Tử - Nguyễn Hiến Lê ( Tuyển Tập Bách Gia Tranh Minh),https://salt.tikicdn.com/cache/280x280/ts/product/14/a3/2d/9bf64fc1edf7b4f3ea2332029487aa72.jpg,NHÂN VẬT - SỰ KIỆN ,"GIỚI THIỆU SÁCH:Trong đời cầm bút của mình, Nguyễn Hiến Lê  đã xuất bản được số bộ sách gần gấp 1,5 lần số tuổi của ông trong nhiều lĩnh vực khác nhau (như Đắc nhân tâm, Einstein – Đời sống và tư tưở...",119250.0,,268.0,Nguyễn Hiến Lê,,,,,Sách - Khổng Tử - Nguyễn Hiến Lê ( Tuyển Tập Bách Gia Tranh Minh),https://salt.tikicdn.com/cache/280x280/ts/product/14/a3/2d/9bf64fc1edf7b4f3ea2332029487aa72.jpg,NHÂN VẬT - SỰ KIỆN ,Nguyễn Hiến Lê,"GIỚI THIỆU SÁCH:Trong đời cầm bút của mình, Nguyễn Hiến Lê  đã xuất bản được số bộ sách gần gấp 1,5 lần số tuổi của ông trong nhiều lĩnh vực khác nhau (như Đắc nhân tâm, Einstein – Đời sống và tư tưở...",119250.0,BIZBOOKS,2021-04-10 09:29:52,Bìa mềm,268.0,Nhà Xuất Bản Hồng Đức,,,Mới
4,4,Napoléon Bonaparte,https://salt.tikicdn.com/cache/280x280/ts/product/ba/2f/e3/e448d4b08d49c9dcf7563e9570075938.jpg,NHÂN VẬT - SỰ KIỆN ,"“Nhìn từ tất cả mọi mặt, Napoléon là một sản phẩm của thời đại mình; xét ở nhiều khía cạnh, ông là hiện thân của giai đoạn lịch sử này. Để hiểu được ông và những điều ông làm, ta cần phải đặt ông vào ...",472000.0,16  x 24 cm,916.0,Adam Zamoyski,,,,,Napoléon Bonaparte,https://salt.tikicdn.com/cache/280x280/ts/product/ba/2f/e3/e448d4b08d49c9dcf7563e9570075938.jpg,NHÂN VẬT - SỰ KIỆN ,Adam Zamoyski,"“Nhìn từ tất cả mọi mặt, Napoléon là một sản phẩm của thời đại mình; xét ở nhiều khía cạnh, ông là hiện thân của giai đoạn lịch sử này. Để hiểu được ông và những điều ông làm, ta cần phải đặt ông vào ...",472000.0,Công Ty Cổ Phần Văn Hóa Đông A,2021-05-01 00:00:00,Bìa cứng,916.0,Nhà Xuất Bản Văn Học,16  x 24 cm,Nguyễn Quí Hiển; Minh họa: Horace Vernet,
5,5,Sách - Lão Tử Đạo Đức kinh - Nguyễn Hiến Lê ( Tuyển Tập Bách Gia Tranh Minh),https://salt.tikicdn.com/cache/280x280/ts/product/95/e6/a9/b4bf6559b84596c2596cf7f1f4fdc0e8.jpg,NHÂN VẬT - SỰ KIỆN ,"GIỚI THIỆU SÁCH:Bí ẩn về cuộc đời Lão Tử: Bậc cao nhân ẩn sĩ được Khổng Tử ví như ""Con rồng thâm sâu, không thể lường nổi"". Đạo đức kinh của lão tử có lẽ là một trong vài cuốn sách hiếm hoi dù có đọc...",119250.0,,296.0,Nguyễn Hiến Lê,,,,,Sách - Lão Tử Đạo Đức kinh - Nguyễn Hiến Lê ( Tuyển Tập Bách Gia Tranh Minh),https://salt.tikicdn.com/cache/280x280/ts/product/95/e6/a9/b4bf6559b84596c2596cf7f1f4fdc0e8.jpg,NHÂN VẬT - SỰ KIỆN ,Nguyễn Hiến Lê,"GIỚI THIỆU SÁCH:Bí ẩn về cuộc đời Lão Tử: Bậc cao nhân ẩn sĩ được Khổng Tử ví như ""Con rồng thâm sâu, không thể lường nổi"". Đạo đức kinh của lão tử có lẽ là một trong vài cuốn sách hiếm hoi dù có đọc...",119250.0,BIZBOOKS,2021-04-09 09:19:31,Bìa mềm,296.0,Nhà Xuất Bản Hồng Đức,,,Mới
6,6,Maria Montessori Cuộc Đời Và Sự Nghiệp,https://salt.tikicdn.com/cache/280x280/ts/product/56/e5/ba/4adbf1bfbb23a696b3b27bb1339bcd4a.jpg,NHÂN VẬT - SỰ KIỆN ,Maria Montessori Cuộc đời và sự nghiệp cung cấp cho độc giả những kiến thức nền tảng cơ bản về cuộc đời và sự nghiệp của một trong những nhà giáo dục vĩ đại nhất thế kỷ XX - Maria Montessori. Xuất thâ...,159900.0,<p>13 x 20 cm</p>,650.0,E.M. Standing,,,,,Maria Montessori Cuộc Đời Và Sự Nghiệp,https://salt.tikicdn.com/cache/280x280/ts/product/56/e5/ba/4adbf1bfbb23a696b3b27bb1339bcd4a.jpg,NHÂN VẬT - SỰ KIỆN ,E.M. Standing,Maria Montessori Cuộc đời và sự nghiệp cung cấp cho độc giả những kiến thức nền tảng cơ bản về cuộc đời và sự nghiệp của một trong những nhà giáo dục vĩ đại nhất thế kỷ XX - Maria Montessori. Xuất thâ...,159900.0,NXB Phụ Nữ Việt Nam,2018-10-30 13:51:29,Bìa mềm,650.0,,<p>13 x 20 cm</p>,Nguyễn Bảo Trung,
7,7,Napoleon Đại Đế (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/c7/1a/34/c687f96ee6961123530a9da8f57cded8.jpg,NHÂN VẬT - SỰ KIỆN ,"Napoleon là một nhân vật đặc biệt vĩ đại và hấp dẫn trong lịch sử Pháp cũng như lịch sử thế giới. Cuộc đời, sự nghiệp, quan điểm, tài năng của ông đã là chủ đề của hàng nghìn cuốn sách trong suốt hai ...",347400.0,16 x 24 cm,1220.0,Andrew Roberts,,,,,Napoleon Đại Đế (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/c7/1a/34/c687f96ee6961123530a9da8f57cded8.jpg,NHÂN VẬT - SỰ KIỆN ,Andrew Roberts,"Napoleon là một nhân vật đặc biệt vĩ đại và hấp dẫn trong lịch sử Pháp cũng như lịch sử thế giới. Cuộc đời, sự nghiệp, quan điểm, tài năng của ông đã là chủ đề của hàng nghìn cuốn sách trong suốt hai ...",347400.0,Omega Plus,2020-05-01 00:00:00,Bìa cứng,1220.0,Nhà Xuất Bản Thế Giới,16 x 24 cm,Lê Đình Chi dịch- Võ Minh Tuấn hiệu đính,
8,8,Sách - Trang Tử Nam Hoa kinh - Nguyễn Hiến Lê (Tuyển Tập Bách Gia Tranh Minh),https://salt.tikicdn.com/cache/280x280/ts/product/71/d3/0d/a931b136b07ee12b23004a4084572e93.jpg,NHÂN VẬT - SỰ KIỆN ,"GIỚI THIỆU SÁCH:Bậc thầy mưu trí Trang Tử chỉ dạy 9 chữ ""Mắt không nhìn - Tai không nghe - Tâm không nghĩ"": Hiểu thấu trước năm 35 tuổi, ai ai cũng làm nên nghiệp lớn. Sống trong thời kỳ lịch sử có...",179250.0,,520.0,Nguyễn Hiến Lê,,,,,Sách - Trang Tử Nam Hoa kinh - Nguyễn Hiến Lê (Tuyển Tập Bách Gia Tranh Minh),https://salt.tikicdn.com/cache/280x280/ts/product/71/d3/0d/a931b136b07ee12b23004a4084572e93.jpg,NHÂN VẬT - SỰ KIỆN ,Nguyễn Hiến Lê,"GIỚI THIỆU SÁCH:Bậc thầy mưu trí Trang Tử chỉ dạy 9 chữ ""Mắt không nhìn - Tai không nghe - Tâm không nghĩ"": Hiểu thấu trước năm 35 tuổi, ai ai cũng làm nên nghiệp lớn. Sống trong thời kỳ lịch sử có...",179250.0,BIZBOOKS,2021-04-10 09:25:44,Bìa mềm,520.0,Nhà Xuất Bản Hồng Đức,,,Mới
9,9,Đường Đến Thành Công Đỉnh Cao,https://salt.tikicdn.com/cache/280x280/ts/product/ae/46/41/afe9cb89ab64fa21b9dd9aac1f326295.jpg,NHÂN VẬT - SỰ KIỆN ,"Sách tập hợp những tư tưởng cốt lõi đã dẫn đến thành công của 150 doanh nhân hàng đầu, cho bạn những lời khuyên hữu dụng và thú vị để đưa ra quyết định đột phá, cư xử đúng mực, phát triển sự nghiệp, l...",63500.0,<p>14 x 20</p>,272.0,Donald J. Trump - Meredith Mclver,,,,,Đường Đến Thành Công Đỉnh Cao,https://salt.tikicdn.com/cache/280x280/ts/product/ae/46/41/afe9cb89ab64fa21b9dd9aac1f326295.jpg,NHÂN VẬT - SỰ KIỆN ,Donald J. Trump - Meredith Mclver,"Sách tập hợp những tư tưởng cốt lõi đã dẫn đến thành công của 150 doanh nhân hàng đầu, cho bạn những lời khuyên hữu dụng và thú vị để đưa ra quyết định đột phá, cư xử đúng mực, phát triển sự nghiệp, l...",63500.0,NXB Trẻ,2017-11-03 13:17:49,Bìa mềm,272.0,,<p>14 x 20</p>,Kim Hạnh,
