,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
0,,,,,,,,,,,,,,,,
1,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 14 Cuốn) (2021),https://salt.tikicdn.com/cache/280x280/ts/product/bd/42/f3/4251d02c93e47cce8f454cf1aef764ec.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 14 Cuốn) (2021)Bao Gồm:STTTên sản phẩm1Giáo dục Quốc phòng - An ninh 122Giải tích 123Hình học 124Vật lí 125Hoá học 126Sinh học...,180000,Fahasa,,,Bìa mềm,,Nhà Xuất Bản Giáo Dục,,,,
2,Tiếng Anh 10 - Tập 1 - Sách Bài Tập (2021),https://salt.tikicdn.com/cache/280x280/ts/product/d5/ef/12/05391b3b87f1b4007d8a3e3e311fee18.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách được biên soạn dựa trên cơ sở những kinh nghiệm thực tiễn của việc dạy tiếng Anh trung học phổ thông ở Việt Nam với sự hợp tác chặt chẽ về chuyên môn và kĩ thuật của Tập đoàn Xuất bản Giáo d...,30000,Cty Phương Nam,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
3,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 13 Cuốn - Không Tiếng Anh) (2021),https://salt.tikicdn.com/cache/280x280/ts/product/e4/60/93/24a46e63e308ff79fcf3cabef8e7bc36.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 13 Cuốn - Không Tiếng Anh) (2021)   Bao Gồm:   1. Ngữ Văn 12/1 2. Ngữ Văn 12/2 3. Giải Tích 12 4. Hình Học 12 5. Vật Lí 12 6. Hoá Học 12 7. Sinh Học 12 8....,163000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
4,Ngữ Văn 12 - Tập 1 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/21/21/33/21d1b8a59a055a4300197cea55a20b80.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Ngữ Văn 12 - Tập 1 (2021)...,13000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
5,Tiếng Anh 11 - Tập 2 - Sách Học Sinh (2021),https://salt.tikicdn.com/cache/280x280/ts/product/e8/31/6a/aa1708c9852f96a8cfbadb5286f13804.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách được biên soạn dựa trên cơ sở những kinh nghiệm thực tiễn của việc dạy tiếng Anh trung học phổ thông ở Việt Nam với sự hợp tác chặt chẽ về chuyên môn và kĩ thuật của Tập đoàn Xuất bản Giáo d...,39000,Cty Phương Nam,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
6,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Tập (Bộ 11 Cuốn) (2021),https://salt.tikicdn.com/cache/280x280/ts/product/8b/61/08/1e626f0b2426c3c5eb7ff887b11f2221.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Tập (Bộ 11 Cuốn) (2021)Bao Gồm:STTTên sản phẩm1Bài tập Giải tích 122Bài tập Hình học 123Bài tập Vật lí 124Bài tập Hoá học 125Bài tập Ngữ v...,164900,Fahasa,,,Bìa mềm,,Nhà Xuất Bản Giáo Dục,,,,
7,Tập Bản Đồ Địa Lí 11 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/6c/0b/28/e3bcbbc707708aa4574399f2d3825966.jpg,Cấp 3,"Nhiều Tác Giả,Nhiều Tác Giả,Nhiều tác giả,Nhiều Tác Giả ,Nhiều Tác giả,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhiều tác giả,Nhiều Tác Gỉa","Bản đồ, atlat địa lí, tập bản đồ địa lí là những phương tiện giảng dạy và học tập rất cần thiết đối với môn Địa lí ở nhà trường phổ thông. Cùng với sách giáo khoa, tập bản đồ là nguồn cung cấp kiến th...",29000,Cty Sách Giáo Dục Tại TP.HCM,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
8,Ngữ Văn 10 - Tập 1 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/77/fd/cd/24cbdcb9cea81bb97563634371eb212b.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Ngữ Văn 10 - Tập 1 (2021)...,10000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
9,Tiếng Anh 11 - Tập 1 - Sách Học Sinh (2021),https://salt.tikicdn.com/cache/280x280/ts/product/b3/28/47/09debe1c2d990a0287dc1154cdd3265c.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách được biên soạn dựa trên cơ sở những kinh nghiệm thực tiễn của việc dạy tiếng Anh trung học phổ thông ở Việt Nam với sự hợp tác chặt chẽ về chuyên môn và kĩ thuật của Tập đoàn Xuất bản Giáo d...,39000,Cty Phương Nam,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
