,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
0,,,,,,,,,,,,,,,,
1,Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,https://salt.tikicdn.com/cache/280x280/ts/product/d6/0e/09/7c48a0e134d985f72b84f63727d6a09d.jpg,Đại học – cao đẳng – thcn,"Phạm Văn Ất,Lê Trường Thông","            Giáo Trình C++ Và Lập Trình Hướng Đối Tượng        Lập trình cấu trúc là phương pháp tổ chức, phân chia chương trình thành các hàm, thủ tục. Chúng được dùng để xử lý dữ liệu    nhưn...",99600,Huy Hoàng Bookstore,2018-01-01 00:00:00,16 x 24 cm,Bìa mềm,488,,,,,
2,Nguồn Gốc Các Loài,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/-/4-nguon-goc-cac-loai.u5168.d20170710.t135447.262055.jpg,Đại học – cao đẳng – thcn,Darwin," Nguồn Gốc Các Loài  là tên rút gọn của cuốn sách Về Nguồn Gốc Các Loài Qua Con Đường Chọn Lọc Tự Nhiên, hay Sự Bảo Tồn Những Chủng Ưu Thế Trong     Đấu Tranh Sinh Tồn (của Charles Darwin, xuất bản nă...",140000,NXB Tri Thức,2012-09-01 00:00:00,16 x 24 cm,Bìa mềm,496,,,,,
3,Hệ Thống Tài Khoản Kế Toán,https://salt.tikicdn.com/cache/280x280/ts/product/82/83/8e/8a83d6293a71fb1ee424d0612fab09aa.jpg,Đại học – cao đẳng – thcn,"Nhiều Tác Giả,Nhiều Tác Giả,Nhiều tác giả,Nhiều Tác Giả ,Nhiều Tác giả","HỆ THỐNG TÀI KHOẢN KẾ TOÁN (Áp dụng cho mọi loại hình doanh nghiệp, từ ngày 01/01/2015 trở đi)   Theo thông tư 200/2014/TT-BTC  ...",4750,Cty Đầu Tư Sáng Tạo,,,,,NXB Trẻ,,,,
4,"Báo Cáo Tài Chính - Trình Bày, Phân Tích, Kiểm Tra Và Kiểm Toán",https://salt.tikicdn.com/cache/280x280/ts/product/b6/90/7b/ef30ab49c180ac79bc5d4418f9d767cf.jpg,Đại học – cao đẳng – thcn,Nhiều Tác Giả,"BÁO CÁO TÀI CHÍNH – TRÌNH BÀY, PHÂN TÍCH, KIỂM TRA VÀ KIỂM TOÁNChương 1: Giới thiệu về báo cáo tài chínhChương 2: Bảng cân đối kế toánChương 3: Báo cáo kết quả hoạt động kinh doanhChương 4: Báo cáo lư...",129000,NXB Tài Chính,2018-03-21 22:21:37,<p>14 x 24 cm</p>,Bìa mềm,400,Nhà Xuất Bản Tài Chính,,,,
5,Phương Pháp Nghiên Cứu Kinh Tế Và Viết Luận Văn Thạc Sĩ Và Luận Án Tiến Sĩ,https://salt.tikicdn.com/cache/280x280/ts/product/0e/97/e6/22e6a315b523a3512564e5bbdcd520fb.jpg,Đại học – cao đẳng – thcn,PGS TS Đinh Phi Hổ,"Phương Pháp Nghiên Cứu Kinh Tế Và Viết Luận Văn Thạc Sĩ Và Luận Án Tiến Sĩ   Cuốn sách này ra đời nhằm giúp cho những nhà nghiên cứu, học viên thạc sĩ, nghiên cứu sinh có thêm tài liệu tiếp cận phươn...",655500,Cty Hương Huy,,,,,Nhà Xuất Bản Tài Chính,,,,
6,Giải Tích - Tập 1 - Calculus 7e,https://salt.tikicdn.com/cache/280x280/ts/product/ce/d2/cf/9995ad1aa7e0855fca1a61671e2bb308.jpg,Đại học – cao đẳng – thcn,James Stewart,"Để phù hợp với chương trình đào tạo đại học ở Việt Nam nói chung và các trường Đại học Duy Tân nói riêng, nhóm biên dịch đã chủ động chia cuốn sách làm hai tập. Tập một dành cho giải tích hàm một biến...",335200,Cengage Learning Và NXB Hồng Đức,,,,,,,,,
7,"Combo 5 cuốn Giáo Trình Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị: Giáo Trình Triết Học, Giáo Trình Kinh Tế Chính Trị ,  Giáo Trình Chủ Nghĩa Xã Hội Khoa Học, Giáo Trình Lịch Sử Đảng Cộng Sản Việt Nam, Giáo Trình Tư Tưởng Hồ Chí Minh",https://salt.tikicdn.com/cache/280x280/ts/product/ea/8d/1c/74e8f54e37793daba4cba344ca364e67.jpg,Đại học – cao đẳng – thcn,Bộ Giáo Dục Và Đào Tạo,"Bộ giáo trình lý luận chính trị gồm 5 cuốn dành cho bậc đại học hệ không chuyên lý luận chính trị.Bộ sách là tài liệu giảng dạy, học tập cho giảng viên, sinh viên các trường đại học theo chương trình...",369000,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,2021-08-24 09:10:00,,Bìa mềm,1676,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,
8,Kinh Tế Quốc Tế - Bài Tập Và Đáp Án,https://salt.tikicdn.com/cache/280x280/media/catalog/product/k/i/kinh-te-quoc-te.jpg,Đại học – cao đẳng – thcn,MBA. Nguyễn Văn Dung,Kinh Tế Quốc Tế - Bài Tập Và Đáp Án Phần 1: Câu hỏi trắc nghiệm và đáp án Phần 2: Bài toán có đáp án Phần 3: Đề trắc nghiệm mẫu và đáp án Phần 4: Đề bài toán mẫu và đáp án...,88000,Hương Huy,2012-06-20 00:00:00,16 x 24 cm,Bìa mềm,350,Nhà Xuất Bản Tổng Hợp Đồng Nai,,,,
9,GIÁO TRÌNH LẬP VÀ THẨM ĐỊNH DỰ ÁN ĐẦU TƯ (TBL2),https://salt.tikicdn.com/cache/280x280/ts/product/12/60/59/9eed0a17e67f61c1a8bbbd4f98e208cf.jpg,Đại học – cao đẳng – thcn,Đỗ Phú Trần Tình,"Cuốn sách "" Lập và thẩm định dự án đầu tư "" giúp những người có ý muốn khởi nghiệp kinh doanh nắm được các nội dung , cách thức và quy trình để tiến hành lập và thẩm định dự án kinh doanh. Với mong mu...",90000,Hương Huy,2019-09-06 15:29:04,,Bìa mềm,368,Nhà Xuất Bản Tài Chính,,2019,,
10,Bài Giảng Kinh Tế Vi Mô,https://salt.tikicdn.com/cache/280x280/ts/product/d5/0d/64/4c46aaca2b9ac7c74e27e16ab6016e9c.jpg,Đại học – cao đẳng – thcn,Nguyễn Văn Ngọc,"Bài Giảng Kinh Tế Vi MôThông thường các cuốn giáo trình kinh tế vi mô đều dành phần mở đầu hoặc chương 1 để trình bày đối tượng, phạm vi và phương pháp của kinh tế học (mà kinh tế vi mô là một trong ...",110000,Công Ty TNHH BK Education,2012-05-01 00:00:00,16 x 24 cm,Bìa mềm,518,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,,,
11,Phương Pháp Nghiên Cứu Tác Phẩm Văn Học,https://salt.tikicdn.com/cache/280x280/ts/product/5c/d3/d7/5246c8db3fef70e20a634da5dab652e4.jpg,Đại học – cao đẳng – thcn,Trần Đăng Suyền,"Những tác phẩm văn học là những sự kiện văn học sử cốt yếu nhất, cơ bản nhất. Nghiên cứu văn học, dạy và học văn học thì không thể bỏ qua tác phẩm văn học. Trong quá trình nghiên cứu và giảng dạy văn ...",71250,NXB Đại Học Sư Phạm,,,Bìa mềm,284,Nhà Xuất Bản Đại Học Sư Phạm,,,,
12,QCVN 06: 2021/BXD Quy Chuẩn Kỹ Thuật Quốc Gia Về An Toàn Cháy Cho Nhà Và Công Trình,https://salt.tikicdn.com/cache/280x280/ts/product/9c/1e/9f/84fe1889fb49422f162a0a945cace396.jpg,Đại học – cao đẳng – thcn,Bộ Xây dựng,"QCVN 06:2021/BXD do Viện Khoa học Công nghệ Xây dựng chủ trì biên soạn, Vụ Khoa học Công nghệ và Môi trường trình duyệt, Bộ Khoa học và Công nghệ thẩm định, Bộ Xây dựng ban hành kèm theo Thông tư số 0...",105700,NXB Xây Dựng,2021-06-01 00:00:00,21 x 31 cm,Bìa mềm,156,Nhà Xuất Bản Xây Dựng,,,,
13,Giáo Trình Điện Tử Thực Hành,https://salt.tikicdn.com/cache/280x280/ts/product/7c/13/06/789083de8b74ce470767769d33f656d2.JPG,Đại học – cao đẳng – thcn,"KS.Phạm Quang Huy,TS.Nguyễn Vũ Quỳnh","Điện tử thực hành là môn học cơ bản trong các Khoa Điện – Điện tử của nhiều trường. Cuốn “Giáo trình Điện tử thực hành” được biên soạn dựa trên cơ sở chương trình môn học Điện tử thực hành, dùng trong...",120000,Công Ty TNHH Thương Mại STK,,16 x 24 cm,Bìa mềm,400,Nhà Xuất Bản Thanh Niên,,,,
14,Giáo Trình Triết Học,https://salt.tikicdn.com/cache/280x280/ts/product/9b/d1/21/fddca087de658f9e517fe379872a8e53.jpg,Đại học – cao đẳng – thcn,Nhiều tác giả,"Thực hiện Thông tư số 08/2013/TT-BGDĐT ngày 08/3/2013 của Bộ trưởng Bộ Giáo dục và Đào tạo về việc ban hành Chương trình môn Triết học khối không chuyên ngành Triết học trình độ đào tạo thạc sĩ, tiến ...",83600,NXB Đại Học Sư Phạm,2020-07-27 14:08:36,,Bìa mềm,392,Nhà Xuất Bản Đại Học Sư Phạm,,,,
15,Giáo Trình Ngôn Ngữ Học,https://salt.tikicdn.com/cache/280x280/ts/product/20/ab/ec/56e4e645a37b00c0772bd9eb4a7fb96d.png,Đại học – cao đẳng – thcn,Nguyễn Thiện Giáp,Sách: Giáo Trình Ngôn Ngữ HọcTác giả: Nguyễn Thiện GiápNhà phát hành: Công Ty Cổ Phần Sách Đại Học - Dạy NghềNhà xuất bản: NXB Giáo Dục Việt Nam...,99000,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,,,Bìa mềm,524,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,
