,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
0,,,,,,,,,,,,,,,,
1,"Lập, Đọc, Phân Tích Và Kiểm Tra Báo Cáo Tài Chính",https://salt.tikicdn.com/cache/280x280/ts/product/f4/ec/12/2aecc9837fe960153418529d760c3e84.jpg,Kế toán – Kiểm toán – Thuế,Nhiều Tác Giả,"Để có được một bộ Báo cáo tài chính lặp theo đúng chuẩn mực và chế độ kế toán hiện hành, tuân thủ các quy định pháp lý có liên quan và phản ánh trung thực và hợp lý thì việc lập và đọc báo cáo tài chí...",89000,Văn hóa Hà Nội,2017-06-26 00:00:00,16 x 24 cm,Bìa mềm,281,Nhà Xuất Bản Tài Chính,,,,
2,"The Bitcoin Standard - Quá Khứ Biến Động, Hiện Tại Bùng Nổ, Tương Lai Đột Phá",https://salt.tikicdn.com/cache/280x280/ts/product/3a/3e/5c/4937f3452e990d06ed23fa7b0467e81c.jpg,Kế toán – Kiểm toán – Thuế,Saifedean Ammous,Bitcoin có thể được hiểu là một phần mềm phân tán cho phép việc chuyển giá trị thông qua một loại tiền tệ được bảo vệ khỏi lạm phát ngoài dự kiến mà không cần phụ thuộc vào bên thứ ba. Hiểu theo cách ...,145800,1980 Books,2021-06-15 00:00:00,"14x 20,5cm",Bìa mềm,552,Nhà Xuất Bản Công Thương,Đỗ Hoàng Lan,,,
3,Incoterms 2020 - Quy Tắc Của Icc Về Sử Dụng Các Điều Kiện Thương Mại Quốc Tế Và Nội Địa (Song Ngữ Anh - Việt),https://salt.tikicdn.com/cache/280x280/ts/product/45/69/0d/2c0a6489a61114ac6143f27689664967.jpg,Kế toán – Kiểm toán – Thuế,Vũ Thu Phương,"INCOTERMS là một bộ các qui tắc thương mại quốc tế được công nhận và sử dụng rộng rãi trên toàn thế giới do Phòng thương mại Quốc tế (ICC) ban hành. Từ khi ra đời (năm 1936) đến nay, Incoterms đã trải...",250000,Nhà sách Lao Động,2020-01-01 10:44:03,<p>20x28x3cm</p>,Bìa mềm,488,Nhà Xuất Bản Tài Chính,,,,
4,Nguyên lý kế toán TBL9,https://salt.tikicdn.com/cache/280x280/ts/product/1c/51/05/fc540667ae1179039b8969b5d29f25d8.jpg,Kế toán – Kiểm toán – Thuế,PGS. TS Võ Văn Nhị,"Việc sử dụng thông tin kế toán để phục vụ cho yêu cầu quản lý và ra quyết định đang và ngày cảng trở nên cần thiết, phổ biến cho nhiều đối tượng khác nhau, đặc biệt cho các nhà đầu tư hiện tại, cho nh...",63000,Hương Huy,,,Bìa mềm,328,Nhà Xuất Bản Tài Chính,,2018,,
5,Combo 2 Cuốn: Kế Toán Tài Chính (Tập 1 & 2),https://salt.tikicdn.com/cache/280x280/ts/product/92/54/aa/c5b45e3ea25c42e146b4053e1d812183.jpg,Kế toán – Kiểm toán – Thuế,Trần Xuân Nam (Maastricht MBA),"Nhà xuất bản Tài Chính cho xuất bản bộ sách: ""KẾ TOÁN TÀI CHÍNH"". Do tác giả Trần Xuân Nam với hơn 30 năm kinh nghiệm làm giám đốc tài chính biên soạn. Hy vọng rằng, cuốn sách có ích cho tất cả những ...",492800,Nhà sách Lao Động,,<p>20X28CM</p>,Bìa mềm,1360,,,,,
6,"Đọc Và Phân Tích Báo Cáo Tài Chính, Báo Cáo Quyết Toán, Đơn Vị Hành Chính, Sự Nghiệp (Theo thông tư số 107/2017/TT-BTC ngày 10/10/2017 của Bộ tài chính)",https://salt.tikicdn.com/cache/280x280/ts/product/35/e8/28/a8cf83901d354a8195eb8f363aedc673.JPG,Kế toán – Kiểm toán – Thuế,Nguyễn Thị Thanh,"Cuốn sách gồm 3 chương:Chương 1: Báo cáo tài chính và báo cáo quyết toán đơn vị hành chính, sự nghiệp.Chương 2: Lý luận chung về phân tích báo cáo tài chính và báo cáo quyết toán đơn vị hành chính, sự...",63000,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,Bìa mềm,232,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,
7,Thuế Và Kế Toán Thuế Trong Doanh Nghiệp (2019),https://salt.tikicdn.com/cache/280x280/ts/product/3a/1d/1a/dce8cf58fab5bfde230066ce49e1120e.jpg,Kế toán – Kiểm toán – Thuế,"PGS TS Phạm Đức Cường, PGS TS Trần Mạnh Dũng",Thuế Và Kế Toán Thuế Trong Doanh Nghiệp (2019)...,190400,NXB Tài Chính,,,,,,,,,
8,Sách ( Combo 3 cuốn ) : Thương Vụ Nước Chanh,https://salt.tikicdn.com/cache/280x280/ts/product/99/73/6b/6d1e52da7263e4496e7bfa85461109d2.jpg,Kế toán – Kiểm toán – Thuế,Jacqueline Davies,       1: Thương vụ nước chanh - Cuộc chiến chưa bao giờ có hồi kết ?   Tác giả : Jacqueline Davies   Năm xuất bản : 2021   Kích thước ( cm ) : 15 x 20   Quy cách : Bìa mềm   Số trang : 165 ...,225000,Alphabooks,,,,,Nhà Xuất Bản Dân Trí,,,,
9,Chiến Lược Cạnh Tranh (Tái Bản 2016),https://salt.tikicdn.com/cache/280x280/media/catalog/product/f/0/f0aadac1-157a-4669-bd1f-2dda62089af1.u547.d20160411.t085747.jpg,Kế toán – Kiểm toán – Thuế,Michael E. Porter,"Chiến Lược Cạnh Tranh  Tác phẩm tiên phong “Chiến lược cạnh tranh” của Michael E. Porter - đã thay đổi cả lý thuyết, thực hành và giảng dạy chiến lược kinh doanh trên toàn thế giới. Hấp dẫn trong sự ...",200000,DT Books,2016-04-11 00:00:00,16  x 24 cm ,Bìa mềm,,Nhà Xuất Bản Thanh Niên,,,,
10,Kế Toán Quản Trị Áp Dụng Cho Các Doanh Nghiệp Việt Nam,https://salt.tikicdn.com/cache/280x280/ts/product/96/8a/bf/e8ab77faf82680577495949b70a7457f.jpg,Kế toán – Kiểm toán – Thuế,PGS. TS Võ Văn Nhị,Sách do nhà xuất bản Tài Chính xuất bản bao gồm 7 chương giới thiệu các nội dung kế toán quản trị truyền thống và kế toán quản trị hiện đạiĐể tăng cường hiệu quả hoạt động và phát triển hoạt động kin...,218000,TT Giới Thiệu Sách TP. HCM,2019-01-08 00:00:00,<p>20x28cm</p>,Bìa mềm,368,,,,,
11,Vùng Lợi Nhuận,https://salt.tikicdn.com/cache/280x280/ts/product/86/41/f9/587ca058a984811dfae293ae736a5404.jpg,Kế toán – Kiểm toán – Thuế,"Adrian J. Slywotzky,David J. Morrison","Nội dung tóm tắt: Vì sao những công ty tên tuổi như IBM, GM, Sears, Kodak, US Steel, United A dẫn đầu về thị phần nhưng lại không có lợi nhuận trong suốt thập niên 1980 - 1990?Vì sao Coca-Cola, Dis...",142500,Alphabooks,,16 x 24 cm,Bìa mềm,432,Nhà Xuất Bản Thế Giới,Alphabooks,,,
12,Cẩm Nang Đầu Tư Và Quản Lý Tài Chính Cá Nhân,https://salt.tikicdn.com/cache/280x280/ts/product/84/81/00/9df524a73aebf202355e44d33991e27d.jpg,Kế toán – Kiểm toán – Thuế,Phương Sĩ Duy,"CẨM NANG ĐẦU TƯ VÀ QUẢN LÝ TÀI CHÍNH CÁ NHÂN Kỹ năng tối ưu hóa hiệu quả đầu tư với quy tắc “Tam giác vàng quản lý tài chính” ""Tam giác vàng quản lý tài chính"" nghĩa là chi phí sinh hoạt chung chiế...",117800,Alphabooks,2021-06-15 00:00:00,13 x 20.5 cm,Bìa mềm,328,Nhà Xuất Bản Công Thương,Đặng Hồng Quân,,,
13,"Hướng Dẫn Thực Hành Lập Sổ Sách Kế Toán, Báo Cáo Tài Chính Và Báo Cáo Thuế GTGT Trên Excel (Tái Bản)",https://salt.tikicdn.com/cache/280x280/ts/product/66/6e/f1/a3c2e6dedaa238c8a53ee62b653c079e.jpg,Kế toán – Kiểm toán – Thuế,Ths. Đặng Văn Sáng,"Để giúp các doanh nghiệp nói chung, các doanh nghiệp vừa và nhỏ nói riêng có chương trình và tài liệu tham khảo để ứng dụng tin học vào công tác kế toán, tác giả đã biên soạn và phát hành cuốn sách:"" ...",270900,Hương Huy,2020-01-02 00:00:00,20 x 28 cm,Bìa mềm,985,Nhà Xuất Bản Tài Chính,,,,
14,Kế Toán Thuế Trong Doanh Nghiệp Và Kỹ Năng Quyết Toán Thuế,https://salt.tikicdn.com/cache/280x280/ts/product/2b/18/6f/9da84094b7a7ee39ba7a2b699366659c.jpg,Kế toán – Kiểm toán – Thuế," PGS TS Trần Mạnh Dũng,TS Vũ Thị Kim Anh ,TS Vũ Thị Kim Anh, PGS TS Hà Thị Thúy Vân",Mục Lục:   Chương 1: Tổng quan về kế toán thuế trong doanh nghiệp   Chương 2: Kế toán thuế và giá trị gia tăng   Chương 3: Kế toán thuế thu nhập doanh nghiệp   Chương 4: Kế toán thuế thu nhập cá n...,211560,Cty Văn Hóa HN,,,,,Nhà Xuất Bản Tài Chính,,,,
15,Tra Cứu 606 Câu Hỏi Đáp Về Nghiệp Vụ Kế Toán Phát Sinh Dành Cho Kế Toán Trưởng Doanh Nghiệp,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img863_5.jpg,Kế toán – Kiểm toán – Thuế,Quang Minh,"Tra Cứu 606 Câu Hỏi Đáp Về Nghiệp Vụ Kế Toán Phát Sinh Dành Cho Kế Toán Trưởng Doanh Nghiệp Nội dung cuốn sách bao gồm những phần chính sau: Phần thứ nhất: Hỏi đáp về hợp đồng, sử dụng, tiền lương, ...",250000,Pháp luật Sài Gòn - Hà Nội,2015-06-18 00:00:00,20 x 28 cm,Bìa mềm,423,,,,,
16,HBR Guide To - Tài Chính Dành Cho Sếp (Tái Bản 2017),https://salt.tikicdn.com/cache/280x280/ts/product/a6/fe/5b/62faef767f94992c9491a71210ec00d6.jpg,Kế toán – Kiểm toán – Thuế,Harvard Business Review Press,            HBR Guide To - Tài Chính Dành Cho Sếp (Tái Bản 2017)        Bạn sẽ bắt đầu từ đâu nếu sếp yêu cầu bạn lập bản phân tích hòa vốn? Bạn có thể chỉ ra điểm khác biệt giữa báo cáo kết quả...,82000,Alphabooks,2018-01-01 00:00:00,13 x 20.5 cm,Bìa mềm,216,,Nguyễn Minh Thiên Kim,,,
17,Luật Kế Toán Và Chế Độ Kế Toán Dành Cho Doanh Nghiệp Mới Nhất,https://salt.tikicdn.com/cache/280x280/ts/product/9b/11/54/372f67ef1bdf2bef4376460499e622cb.jpg,Kế toán – Kiểm toán – Thuế,Kim Phương,"Trong những năm gần đây cùng với sự phát triển không ngừng của nền kinh tế thì công tác kế toán của doanh nghiệp cũng từng bước đi vào phát triển ổn định, vững chắc góp phần không nhỏ vào công cuộc đổ...",250000,Nhà Sách Pháp Luật,,<p>20x28x3cm</p>,Bìa mềm,432,,,,,
18,Báo Cáo Tài Chính - Hướng Dẫn Từng Bước Hiểu Và Lập Báo Cáo Tài Chính (Tặng kèm bookmark Happy time),https://salt.tikicdn.com/cache/280x280/ts/product/a7/5a/de/f227b6e39cbf26109a9db5101f9ffb10.png,Kế toán – Kiểm toán – Thuế,Thomas R. Ittelson,"Báo cáo tài chính là gì?Báo cáo tài chính là văn bản cung cấp các thông tin kinh tế được trình bày dưới dạng các số liệu, bảng biểu thống kê phản ánh hoạt động kinh doanh của doanh nghiệp. Hệ thống b...",113760,BIZBOOKS,,,Bìa mềm,332,Nhà Xuất Bản Hồng Đức,Trương Thị Ý Nhi,,,
19,Combo 2 Cuốn: Thay Đổi Câu Hỏi Thay Đổi Cuộc Đời + Tư Duy Làm Việc Của Toyota Đã Làm Thay Đổi Cuộc Đời Tôi,https://salt.tikicdn.com/cache/280x280/ts/product/54/d3/22/7a2dbc8b4091f22821e2ee3653c2e6a8.jpg,Kế toán – Kiểm toán – Thuế,"Marileev Adams,Masahiko Hara","Bộ sách giúp bạn nâng cao khả năng tư duy, khả năng làm việc.Yếu tố nào khiến một nhân viên từng bước trở thành trưởng nhóm, trưởng phòng, thậm trí giám đốc điều hành? Những câu hỏi nào sẽ khiến bạn ...",159000,Tân Việt,2021-07-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,,Nhiều Nhà Xuất Bản,Mỹ linh + Quế Hương (Biên soạn),,,
20,"Hướng Dẫn Thực Hành Lập Sổ Sách Kế Toán, Báo Cáo Tài Chính Và Báo Cáo Thuế Gtgt Trên Excel",https://salt.tikicdn.com/cache/280x280/ts/product/ae/1f/e6/2c25294eb3c530d34c360e02740023e1.jpg,Kế toán – Kiểm toán – Thuế,Đặng Văn Sáng,"Để giúp các doanh nghiệp nói chung, các doanh nghiệp vừa và nhỏ nói riêng có chương trình và tài liệu tham khảo để ứng dụng tin học vào công tác kế toán, tác giả đã biên soạn và phát hành cuốn sách:"" ...",336690,Cty Hương Huy,,,,,Nhà Xuất Bản Tài Chính,,,,
21,"Chế Độ Kế Toán Doanh Nghiệp - Quyển 2: Báo Cáo Tài Chính Chứng Từ Và Sổ Sách Kế Toán, Báo Cáo Tài Chính Hợp Nhất",https://salt.tikicdn.com/cache/280x280/ts/product/e2/30/ab/e75208dca732a54156374876811420c3.jpg,Kế toán – Kiểm toán – Thuế,Bộ Tài Chính,Luật kế toán 2015   Nghị định số 174/2016/NĐ-CP ngày 30/12/2016 của Chính Phủ quy định chi tiết một số điều của luật kế toán   Thông tư số 200/2014/TT-BTC ngày 22/12/2014 của Bộ Tài Chính hướng dẫn ...,242730,Cty Hương Huy,,,,,Nhà Xuất Bản Tài Chính,,,,
22,Chế Độ Kế Toán Doanh Nghiệp (Quyển 1): Hệ Thống Tài Khoản Kế Toán,https://salt.tikicdn.com/cache/280x280/ts/product/03/15/55/130c76c2137b604c8e41ffc8700cb743.jpg,Kế toán – Kiểm toán – Thuế,"Nhiều Tác Giả,Nhiều Tác Giả,Nhiều tác giả,Nhiều Tác Giả ,Nhiều Tác giả,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhieu tac gia,nhiều tác giả,Nhiều Tác Gỉa","Chế Độ Kế Toán Doanh Nghiệp (Quyển 1): Hệ Thống Tài Khoản Kế Toán Bộ sách Chế Độ Kế Toán Doanh Nghiệp có mục tiêu giúp các nhà quản trị Doanh Nghiệp - Các Kế toán trưởng, Kế toán viên, các Sinh viên k...",115440,Cty Hương Huy,,,,,Nhà Xuất Bản Kinh Tế TPHCM,,,,
23,"Combo 2 Cuốn: Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế + Nghệ Thuật Lãnh Đạo- Chân Dung Những Ceo, Nhà Sáng Lập Và Những Người Thay Đổi Cuộc Chơi Vĩ Đại Nhất Thế Giới",https://salt.tikicdn.com/cache/280x280/ts/product/23/fc/47/2b5526682678445794069f02fb22c165.jpg,Kế toán – Kiểm toán – Thuế,"Marileev Adams,Masahiko Hara","Bộ sách mà nhà kinh doanh và lãnh đạo nào cũng nên đọcĐể trở thành một nhà lãnh đạo giỏi cần những yếu tố chính nào? Phải chăng là may mắn, động lực, tài năng, quá trình đào tạo, kinh nghiệm hay do n...",315200,Tân Việt,2021-07-01 00:00:00,16 x 24 cm,Bìa cứng,,Nhiều Nhà Xuất Bản,Thúy Hằng+ Lê Đồng Tâm(Biên soạn),,,
24,Thịnh Vượng Tài Chính Tuổi 30 (Tập 2) - Tái Bản,https://salt.tikicdn.com/cache/280x280/ts/product/46/1a/94/fbc48ffd7171372572199b9d8d5e28ac.jpg,Kế toán – Kiểm toán – Thuế,Ko Deukseong,"Thịnh Vượng Tài Chính Tuổi 30 (Tập 2)Nếu được đọc cuốn sách này sớm, con đường đến thành công của bạn sẽ bằng phẳng hơn.Đây không phải là cuốn sách dạy làm giàu hay liệt kê cách quản lý tài chính đơ...",62600,Thái Hà,2018-06-05 09:02:47,<p>14.5 x 20.5 cm</p>,Bìa mềm,248,,,,,
25,Chế Độ Kế Toán Đơn Vị Hành Chính Sự Nghiệp,https://salt.tikicdn.com/cache/280x280/ts/product/4c/e2/99/204d9c3c119ae3092ec8cc7d80c02a20.jpg,Kế toán – Kiểm toán – Thuế,Bộ Tài Chính,"Sách chế độ kế toán đơn vị hành chính sự nghiệp theo Thông tư 107/2017/TT-BTC ngày 10/10/2017, Bộ Tài Chính hướng dẫn chế độ kế toán hành chính, sự nghiệp.Thông tư 107/2017/TT-BTC thay thế các văn bả...",259500,NXB Tài Chính,,"<p><span style=""font-size: 16px;"">19x27x5cm</span></p>",Bìa mềm,663,Nhà Xuất Bản Tài Chính,,,,
26,"Sách 140 sơ đồ kế toán doanh nghiệp hệ thống tài khoản, danh mục và biểu mẫu chứng từ - sổ kế toán – mẫu báo cáo tài chính",https://salt.tikicdn.com/cache/280x280/ts/product/cf/1d/dd/fe3d947f6dbb8bb01e37a68e81f2fb15.jpg,Kế toán – Kiểm toán – Thuế,Vũ Thu Phương,"Mua Sách 140 sơ đồ kế toán doanh nghiệp hệ thống tài khoản, danh mục và biểu mẫu chứng từ - sổ kế toán – mẫu báo cáo tài chính trên TiKi với giá Ưu đãi nhất.(Theo Thông tư số 200/2014/TT-BTC ngày 22-...",240000,Trung tâm pháp luật Sài Gòn,,<p>20x18x3cm</p>,Bìa mềm,428,,,,,
27,QUYẾT TOÁN THUẾ - Lý thuyết và thực tế,https://salt.tikicdn.com/cache/280x280/ts/product/43/78/2a/8d014e37406305f6395e7992c3fd1d0f.jpg,Kế toán – Kiểm toán – Thuế,Đặng Phước Đức,QUYẾT TOÁN THUẾ- Lý thuyết và thực tếI.   GIỚI THIỆU CHUNGQuyết toán thuế là một công việc mà tất cả kế toán đều sẽ trải qua. Thỉnh thoảng tôi vẫn thấy những tâm sự bày tỏ lo lắng của các bạn mỗi kh...,285000,Liên kết với tác giả,2021-06-11 13:06:07,,Bìa mềm,218,Nhà Xuất Bản Tài Chính,,2021,,
28,Chế Độ Kế Toán Doanh Nghiệp - Quyển 1: Hệ Thống Tài Khoản Kế Toán (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/64/a0/db/7146fe682ce432ef25163fda20904aaa.jpg,Kế toán – Kiểm toán – Thuế,Bộ Tài Chính,"Chế Độ Kế Toán Doanh Nghiệp (Quyển 1): Hệ Thống Tài Khoản Kế Toán Bộ sách Chế Độ Kế Toán Doanh Nghiệp có mục tiêu giúp các nhà quản trị Doanh Nghiệp - Các Kế toán trưởng, Kế toán viên, các Sinh viên k...",139300,Hương Huy,,16 x 24 cm,Bìa mềm,550,Nhà Xuất Bản Tài Chính,,,,
29,Hướng Dẫn Thực Hành Sổ Kế Toán Và Lập Báo Cáo Tài Chính,https://salt.tikicdn.com/cache/280x280/ts/product/56/76/16/b3fc6ea09737fc307a14926d41042fa4.jpg,Kế toán – Kiểm toán – Thuế,TS Nguyễn Thị Xuân Hồng ,Hướng Dẫn Thực Hành Sổ Kế Toán Và Lập Báo Cáo Tài Chính...,141750,NXB Tài Chính,,,,,,,,,
30,"Chính Sách Thuế - Luật Quản Lý Thuế & Các Quy Định Pháp Luật Mới Nhất Về Thuế Giá Trị Gia Tăng, Thuế Thu Nhập Doanh Nghiệp, Thuế Thu Nhập Cá Nhân",https://salt.tikicdn.com/cache/280x280/ts/product/c5/69/8f/bd7b6dd8d16cd7906813f40b09063c81.jpg,Kế toán – Kiểm toán – Thuế,"Hữu Đại,Vũ Tươi","Nhằm tiếp tục đẩy mạnh cải cách, hoàn thiện thể chế, chính sách và công tác quản lý thuế, thời gian qua, ngành thuế Việt Nam tiếp tục sửa đổi bổ sung cũng như ban hành nhiều chính sách mới trong lĩnh ...",262500,Pháp luật Sài Gòn - Hà Nội,2020-01-01 09:54:49,20 x 28 cm,Bìa mềm,392,Nhà Xuất Bản Tài Chính,,,,
31,Hệ thống Tài Khoản Kế Toán - 2018 (Túi),https://salt.tikicdn.com/cache/280x280/ts/product/db/06/76/a55d0f714e089d2e1f7a675cff6c7548.jpeg,Kế toán – Kiểm toán – Thuế,Nguyễn Văn Hòa,"Ấn phẩm liệt kê chính xác các tài khoản kế toán theo Thông tư 200/2014/ TT-BTC, áp dụng cho mọi loại hình doanh nghiệp từ ngày 01/01/2015 trở đi.Bên cạnh đó còn nêu bật được những khác biệt so với th...",90000,Công ty TNHH Đầu Tư Sáng Tạo,,<p>19 x 34 (cm)</p>,,,,,,,
32,Chế Độ Kế Toán Doanh Nghiệp - Quyển 1: Hệ Thống Tài Khoản Kế Toán,https://salt.tikicdn.com/cache/280x280/ts/product/00/d1/43/06b18d5b053062166765b79c747a17f4.jpg,Kế toán – Kiểm toán – Thuế,Bộ Tài Chính,"Chế Độ Kế Toán Doanh Nghiệp - Quyển 1: Hệ Thống Tài Khoản Kế Toán Bộ sách Chế Độ Kế Toán Doanh Nghiệp có mục tiêu giúp các nhà quản trị Doanh Nghiệp - Các Kế toán trưởng, Kế toán viên, các Sinh viên k...",173130,Cty Hương Huy,,,,,Nhà Xuất Bản Tài Chính,,,,
33,HƯỚNG DẪN THỰC HÀNH KẾ TOÁN HÀNH CHÍNH SỰ NGHIỆP – 128 SƠ ĐỒ KẾ TOÁN HÀNH CHÍNH SỰ NGHIỆP,https://salt.tikicdn.com/cache/280x280/ts/product/b4/02/96/d7ff58880f373f971c8d9a77676fecf9.jpg,Kế toán – Kiểm toán – Thuế,Nhiều Tác Giả,Bộ Tài chính vừa ban hành Thông tư 107/2017/TT-BTC về việc hướng dẫn Chế độ kế toán hành chính sự nghiệp. Việc ra đời chế độ kế toán này đã làm thay đổi khá căn bản việc thực hiện công tác kế toán ở c...,245000,Nhà sách Lao Động,,<p>20x28x3cm</p>,Bìa mềm,400,,,,,
34,Dạy Con Về Tài Chính (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/48/92/d2/667be216a64bbfec28ad181fc8525d0e.jpg,Kế toán – Kiểm toán – Thuế,Joline Godfrey,"“Nếu có thể, chúng tôi sẽ mời Joline Godfrey đến nhà hàng tuần để dạy con chúng tôi cách quản lý tiền bạc. Đây là cuốn sách tuyệt vời. Godfrey có khả năng xuất sắc trong việc trợ giúp các bậc cha mẹ v...",71200,VanLangBooks,2021-05-01 00:00:00,13.5 x 21 cm,Bìa gập,208,Nhà Xuất Bản Thanh Hóa,Nguyễn Tư Thắng,,,
35,Combo Sách Kinh Tế Hay: Báo Cáo Tài Chính - Hướng Dẫn Từng Bước Hiểu Và Lập Báo Cáo Tài Chính + Tư Duy Kế Toán Phải Có Trong Kinh Doanh (Tặng kèm Bookmark thiết kế),https://salt.tikicdn.com/cache/280x280/ts/product/5e/3d/e3/5a3cb3b0c9cae4ebfc4d009e7298ffde.jpg,Kế toán – Kiểm toán – Thuế,"Thomas R. Ittelson,Takaharu Yasumoto","Combo Sách Kinh Tế Hay: Báo Cáo Tài Chính - Hướng Dẫn Từng Bước Hiểu Và Lập Báo Cáo Tài Chính + Tư Duy Kế Toán Phải Có Trong Kinh Doanh1, Báo Cáo Tài Chính - Hướng Dẫn Từng Bước Hiểu Và Lập Báo Cáo T...",209200,Nhiều công ty phát hành,,,Bìa mềm,,,,,,
