,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
0,,,,,,,,,,,,,,,,
1,Tổng ôn ngữ pháp Tiếng Anh cô Trang Anh- Sách luyện thi THPT Quốc gia môn tiếng anh ,https://salt.tikicdn.com/cache/280x280/ts/product/67/72/e0/d435b58aecea68173dd332c974c15b51.png,Ôn thi THPT quốc gia,Trang Anh, TIPS HỌC SÁCH TIẾNG ANH CÔ TRANH ANH: TỔNG ÔN NGỮ PHÁP HIỆU QUẢ: Bước 1: Kích hoạt mã ID phía cuối cuốn sáchBước 2: Xem bài giảng lý thuyết trực tuyến đính kèm trên hệ thống qua mã IDBước 3: Xem ví d...,188000,Aladanh,2021-01-27 13:08:55,,Bìa mềm,606,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,2021,,
2,FULL bộ 03 Sách ID ôn thi THPT quốc gia môn sinh học thầy Phan Khắc Nghệ: Sách Tự học theo chủ đề ( Sách luyện thi đại học môn sinh học),https://salt.tikicdn.com/cache/280x280/ts/product/63/77/c0/c5f09a1c8c838b0e9d6ae1c463a92243.jpg,Ôn thi THPT quốc gia,TS Phan Khắc Nghệ,       Bộ SÁCH SINH ÔN THI THPT QUỐC GIA : Combo 3 cuốn Sách ID Tự học môn sinh học thầy Phan Khắc Nghệ:   - Tặng kèm khóa học online luyện thi thpt quốc gia   - 100% câu hỏi bài tập luyện thi c...,329000,Aladanh,2021-04-01 00:10:55,,Bìa mềm,1200,Nhà Xuất Bản Hồng Đức,,2021,,
3,Sách Tăng tốc luyện đề dành cho kì thi đánh giá năng lực của Đại học Quốc gia Tp. Hồ Chí Minh,https://salt.tikicdn.com/cache/280x280/ts/product/2b/2d/38/c53289e641f32209a39d821b85318ec1.png,Ôn thi THPT quốc gia,Minh Tâm,Là cuốn sách DUY NHẤT cung cấp kiến thức/phương pháp/kĩ năng làm các dạng bài có trong đề thi đánh giá năng lực của ĐHQG HCM cùng nhiều đề thi tự luyện nhằm giúp 2K3 chinh phục điểm 800+ trong kì thi ...,180000,Công ty TNHH Dịch vụ giáo dục Việt Nam,2020-12-14 16:11:21,,Bìa mềm,460,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Phiên bản mới nhất,,
4,"Sách - Combo Đột phá 8+ Môn Vật lý tập 1,2 (Phiên bản 2020)",https://salt.tikicdn.com/cache/280x280/ts/product/49/ff/b7/f408fa7ee3b7de0aee6582c8c57ea303.jpg,Ôn thi THPT quốc gia,Nhiều tác giả,"Sách - Combo Đột phá 8+ Môn Vật lý tập 1,2 (Phiên bản 2020)Môn Vật lý nằm trong tổ hợp Khoa học tự nhiên và cũng là môn thi được rất nhiều bạn học sinh chọn làm tổ hợp xét tuyển chính, bao gồm tổ hợp...",334500,CCGROUP,,,Bìa mềm,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,
5,CẤP TỐC 789+ Môn Hoá - Tổng Ôn Toàn Diện Kiến Thức Thi THPTQG - Nắm chắc kiến thức trọng tâm hay thi nhất,https://salt.tikicdn.com/cache/280x280/ts/product/48/fd/46/c31df1082ed3c2dbbbfe461e33215107.png,Ôn thi THPT quốc gia,Nhiều Tác Giả,Cuốn sách này phù hợp với ai?CẤP TỐC 789+ Môn Hoá - đặc biệt phù hợp với những bạn đang: - Làm đề điểm thấp - Chỉ dừng lại ở điểm 5-6.- Muốn đột phá - tăng điểm nhanh chóng- Muốn tăng tốc độ làm đề ...,158000,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,240,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bản đặc biệt,,
6, Sách ID ôn thi THPT QG 2021 môn Toán Tuyển chọn 3000 bài tập Khảo sát hàm số và ứng dụng,https://salt.tikicdn.com/cache/280x280/ts/product/96/0e/8f/b1438474732c348a06686a5039c7dfb0.jpg,Ôn thi THPT quốc gia,Moon,TOÁN 12 - SÁCH ID TUYỂN CHỌN 3000 BÀI TẬP KHẢO SÁT HÀM SỐ VÀ ỨNG DỤNG:- Tặng kèm khóa học trực tuyến Toán 12 Ôn thi Thpt quốc gia về Hàm số và ứng dụng- Truy cập KHÔNG GIỚI HẠN lời giải chi tiết toàn ...,118000,Aladanh,,,Bìa mềm,650,Nhà Xuất Bản Hồng Đức,,2021,,
7,Sách ID 3000 bài tập Nâng cao luyện thi đại học môn Toán.,https://salt.tikicdn.com/cache/280x280/ts/product/de/cd/e6/fb01cce42fd5f3f7474912297bb9d5f8.jpg,Ôn thi THPT quốc gia,Moon,"Không chỉ là cuốn sách giúp em tốt nghiệp thpt, 3000 bài tập Nâng cao luyện thi đại học môn Toán sẽ giúp em nắm chắc 1 tấm vé vào ĐẠI HỌC với kiến thức tổng hợp lớp 12, các dạng bài nâng cao trong đề ...",125000,Aladanh,,,Bìa mềm,496,Nhà Xuất Bản Hồng Đức,,2021,,
8, Tuyển chọn 3000 câu hỏi bài tập Hóa học hữu cơ.,https://salt.tikicdn.com/cache/280x280/ts/product/14/b3/c2/a8a0b4ca9afadb6ac278a417329f8553.jpg,Ôn thi THPT quốc gia,Moon,       Tuyển chọn 3000 câu hỏi bài tập Hóa học hữu cơ.   => Giới thiệu sách   - Là 1 trong 4 đầu sách nằm trong bộ sách ID môn Hóa Học cho khối lớp 12 luyện thi THPTQG.   - Tập trung khai th...,119000,Aladanh,,,Bìa mềm,415,Nhà Xuất Bản Hồng Đức,,2021,,
9,Đột phá 8+ môn Sinh học (phiên bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/58/1f/55/8e217fc948dbb63fb9ff8f84b9959ba7.png,Ôn thi THPT quốc gia,Trương Thị Thanh Hằng,"Môn Sinh học thuộc tổ hợp Khoa học tự nhiên và cũng là môn thi quyan trọng với các bạn xét tuyển bằng nhóm B00 (Toán, Hóa, Sinh). Tiếp nối thành công của bộ sách Đột phá 8+ Sinh phiên bản 2018, lần t...",167000,CCBook,2020-08-24 16:08:46,,Bìa mềm,472,ĐHQG Hà Nội,,,,
