,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ,Chất liệu,Model,Trọng lượng,Size người mẫu mặc
0,,,,,,,,,,,,,,,,,,,,,,
1,"Từ Điển Đối Chiếu Thuật Ngữ Ngôn Ngữ Học (Việt - Anh, Anh - Việt)",https://salt.tikicdn.com/cache/280x280/ts/product/93/ea/16/2e31c52e829ef5ab9e24d755f67bd42c.jpg,Nhiều ngôn ngữ,Nguyễn Thiện Giáp,"Cuốn ""Từ Điển Thuật Ngữ Ngôn Ngữ Học Đối Chiếu (Anh - Việt, Việt - Anh)"" này gồm khoảng gần 7000 thuật ngữ tiếng Anh và cũng gần như chừng ấy thuật ngữ tiếng Việt, có thể được coi như là sự khai triển...",61750,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,2018-10-01 00:00:00,"13,5 x 21 cm",Bìa mềm,268,Nhà Xuất Bản Khoa Học Xã Hội,,,,,,,,,,
2,Từ Điển Hán - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/c8/cb/61/3319a782a67a711b5c9dcebd6b479016.jpg,Nhiều ngôn ngữ,Phan Văn Các,"Từ Điển Hán - Việt""Từ điển Hán - Việt"" là tài liệu tham khảo cần thiết đối với những người học và sử dụng tiếng Trung Quốc. Cuốn từ cung cấp một khối lượng từ phong phú, đa dạng. Trong đó đa phần là ...",310000,Nhà sách Minh Thắng,,,Bìa cứng,2024,Nhà Xuất Bản Dân Trí,,,,,,,,,,
3,Từ Điển Bách Khoa Việt Nam - Tập 3,https://salt.tikicdn.com/cache/280x280/ts/product/d4/5c/d0/3b8889a3d1fb64dfad599a0b0ac8fe15.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,878,,,,,,,,,,,
4,Từ Điển Nga - Việt (Bỏ Túi),https://salt.tikicdn.com/cache/280x280/ts/product/f5/52/7c/5ac29401ca829119d42ce640e7061b61.jpg,Nhiều ngôn ngữ,"PGS.TS KH Nguyễn Ngọc Hùng,ThS. Trần Bích Thư","Từ Điển Nga - Việt (Bỏ Túi) bao gồm những mục từ hiện đại, ngôn ngữ hội thoại cũng như quán từ thông dụng.Mỗi mục từ đều có những giải thích ngữ pháp cơ bản, một số lượng lớn các ví dụ, các tập hợp t...",96000,Huy Hoàng Bookstore,2018-01-10 00:00:00,11 x 18 cm,Bìa mềm,444,Nhà Xuất Bản Khoa Học Xã Hội,,,,,,,,,,
5,"Từ Điển Bằng Hình Ngành Cơ Khí, Điện Máy Và Vật Liệu Công Trình Anh - Việt - Đức",https://salt.tikicdn.com/cache/280x280/ts/product/fe/23/d1/e7460415e2f82d24da3f5ceeef3ac03c.jpg,Nhiều ngôn ngữ,PONS,"Từ điển tuyển chọn những từ vựng quan trọng nhất trong lĩnh vực cơ khí, điện máy và vật liệu công trình đáp ứng nhu cầu tra cứu và học tập.• Thuận tiện: Từ điển trình bày bằng ba ngôn ngữ: Anh-Việt-Đ...",312300,Nhân Trí Việt,2021-03-01 00:00:00,13.8 x 16.6 cm,Bìa mềm,360,Nhà Xuất Bản Tổng hợp TP.HCM,Lê Huy Lâm,,,,,,,,,
6,"Từ Điển An Toàn Thông Tin Anh-Việt, Việt-Anh",https://salt.tikicdn.com/cache/280x280/ts/product/1b/d6/23/1d9088dd83b5f348681308b81079d889.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Cuốn sách ""Từ điển an toàn thông tin Anh Việt - Việt Anh"" do ban Từ điển của NXB Khoa học và Kỹ thuật tổ chức biên soạn dựa trên những từ điển giải thích tiếng Anh mới nhất và những từ điển chuyên ngà...",165000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,848,,,,,,,,,,,
7,Từ Điển Bách Khoa Việt Nam - Tập 4,https://salt.tikicdn.com/cache/280x280/ts/product/f4/41/c3/423ade27664d35bb6cb76322635238e1.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,1167,,,,,,,,,,,
8,Từ Điển Bách Khoa Việt Nam - Tập 1,https://salt.tikicdn.com/cache/280x280/ts/product/52/a9/38/d499ab4acc7fc819700779d6130fd6fd.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,1204,,,,,,,,,,,
9,Văn Bia Hán Nôm Thời Mạc - Tư Liệu Và Khảo Cứu,https://salt.tikicdn.com/cache/280x280/ts/product/fc/10/d3/b2c825cceae1358b13fdb18471666bd7.jpg,Nhiều ngôn ngữ,Đinh Khắc Thuân,"Văn Bia Hán Nôm Thời Mạc - Tư Liệu Và Khảo CứuTác giả: Đinh Khắc ThuânNXB: NXB Đại học Quốc gia Hà NộiNăm XB: 3/2021 - Số trang: 752 - Sách Bìa CứngBộ ""Tùng thư văn bia Việt Nam"" này là kết quả củ...",475000,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,2021-03-24 20:28:06,,Bìa cứng,752,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Lần thứ nhất,,,,,,,,
