,Unnamed: 0,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Thần Số Học: Thấu Hiểu Nhân Tâm,https://salt.tikicdn.com/cache/280x280/ts/product/68/3f/47/0fc7c4b913ff75bb7b033ed039651a0c.jpg,TỬ VI - CHIÊM TINH,Bạn có từng tự hỏi bạn là ai và sinh ra trong cuộc đời để làm gì không?Bạn có từng đi tìm sứ mệnh của cuộc đời mình mà vẫn chưa thấy không?Bạn có từng thắc mắc mình thực sự muốn gì không?Nếu đang t...,84000.0,14.5 x 20.5 cm,238.0,Tống Khánh Thượng,,,,,Thần Số Học: Thấu Hiểu Nhân Tâm,https://salt.tikicdn.com/cache/280x280/ts/product/68/3f/47/0fc7c4b913ff75bb7b033ed039651a0c.jpg,TỬ VI - CHIÊM TINH,Tống Khánh Thượng,Bạn có từng tự hỏi bạn là ai và sinh ra trong cuộc đời để làm gì không?Bạn có từng đi tìm sứ mệnh của cuộc đời mình mà vẫn chưa thấy không?Bạn có từng thắc mắc mình thực sự muốn gì không?Nếu đang t...,84000.0,Thái Hà,2021-02-01 00:00:00,Bìa mềm,238.0,Nhà Xuất Bản Công Thương,14.5 x 20.5 cm,,
2,2,Sắc Hoa Niên - Tập 1,https://salt.tikicdn.com/cache/280x280/ts/product/e6/bf/d2/5c343e542479e1cc983d8cb54da19a9c.jpg,TỬ VI - CHIÊM TINH,"“Gửi tới chúng ta của tương lai, để mỗi lần đọc lại sẽ luôn mỉm cười, chỉ mong đừng là mỉm cười tiếc nuối...Một Song Ngư luôn đắm mình trong thi ca, một nhà làm nghệ thuật chân chính giao cảm mãnh liệt...",58100.0,13.5 x 20.5cm,360.0,Cô Vân Mạn Mạn,,,,,Sắc Hoa Niên - Tập 1,https://salt.tikicdn.com/cache/280x280/ts/product/e6/bf/d2/5c343e542479e1cc983d8cb54da19a9c.jpg,TỬ VI - CHIÊM TINH,Cô Vân Mạn Mạn,"“Gửi tới chúng ta của tương lai, để mỗi lần đọc lại sẽ luôn mỉm cười, chỉ mong đừng là mỉm cười tiếc nuối...Một Song Ngư luôn đắm mình trong thi ca, một nhà làm nghệ thuật chân chính giao cảm mãnh liệt...",58100.0,Asbooks,2020-03-02 00:00:00,Bìa mềm,360.0,Nhà Xuất Bản Thế Giới,13.5 x 20.5cm,,
3,3,Tiểu Vũ Trụ - Tô Màu Thế Giới 12 Chòm Sao,https://salt.tikicdn.com/cache/280x280/ts/product/e5/4d/2e/ca4d26fe46e5ce5d60c9ee995745d6be.jpg,TỬ VI - CHIÊM TINH,"Mỗi người được sinh ra với một hình hài, một tính cách sơ khai ban đầu được che chở bởi một chòm sao chiếu mệnh. Quá trình lớn lên, những người ta gặp được, những trải nghiệm vui buồn, những xúc cảm t...",79000.0,16 x 20 cm,152.0,Mèo Vũ Trụ,,,,,Tiểu Vũ Trụ - Tô Màu Thế Giới 12 Chòm Sao,https://salt.tikicdn.com/cache/280x280/ts/product/e5/4d/2e/ca4d26fe46e5ce5d60c9ee995745d6be.jpg,TỬ VI - CHIÊM TINH,Mèo Vũ Trụ,"Mỗi người được sinh ra với một hình hài, một tính cách sơ khai ban đầu được che chở bởi một chòm sao chiếu mệnh. Quá trình lớn lên, những người ta gặp được, những trải nghiệm vui buồn, những xúc cảm t...",79000.0,Asbooks,2021-03-01 00:00:00,Bìa mềm,152.0,Nhà Xuất Bản Thế Giới,16 x 20 cm,Minh họa: Cún,
4,4,Thần Số Học Ứng Dụng,https://salt.tikicdn.com/cache/280x280/ts/product/81/47/55/75dec2ab26549c43e2a08bcbfdf8c295.jpg,TỬ VI - CHIÊM TINH,"Mỗi cái tên, mỗi ngày tháng và mỗi con số đều mang những ý nghĩa riêng và có thể giúp bạn hiểu sâu sắc hơn về bản thân, các mối quan hệ và số phận của mình.Bạn có từng băn khoăn khi tình cờ nhìn thấy...",79980.0,13 x 20 cm,280.0,Joy Woodward,,,,,Thần Số Học Ứng Dụng,https://salt.tikicdn.com/cache/280x280/ts/product/81/47/55/75dec2ab26549c43e2a08bcbfdf8c295.jpg,TỬ VI - CHIÊM TINH,Joy Woodward,"Mỗi cái tên, mỗi ngày tháng và mỗi con số đều mang những ý nghĩa riêng và có thể giúp bạn hiểu sâu sắc hơn về bản thân, các mối quan hệ và số phận của mình.Bạn có từng băn khoăn khi tình cờ nhìn thấy...",79980.0,Booklife,2020-12-01 00:00:00,Bìa mềm,280.0,Nhà Xuất Bản Thanh Niên,13 x 20 cm,1980Books,
5,5,Sinh Trắc Vân Tay - Khám Phá Tiềm Năng Giải Mã Cuộc Đời,https://salt.tikicdn.com/cache/280x280/ts/product/68/f3/4b/fdc857477c1e5d38111abefa03262d85.jpg,TỬ VI - CHIÊM TINH,"Sinh Trắc Vân Tay Khám Phá Tiềm Năng Giải Mã Cuộc ĐờiVận mệnh của bạn nằm trên đôi bàn tay của bạn. Muốn lập trình vận mệnh của mình hãy giải mã những dấu vân tay. Bạn sẽ tìm ra được điểm mạnh, điểm ...",191300.0,15 x 24.5 cm,444.0,RICHARD UNGER,,,,,Sinh Trắc Vân Tay - Khám Phá Tiềm Năng Giải Mã Cuộc Đời,https://salt.tikicdn.com/cache/280x280/ts/product/68/f3/4b/fdc857477c1e5d38111abefa03262d85.jpg,TỬ VI - CHIÊM TINH,RICHARD UNGER,"Sinh Trắc Vân Tay Khám Phá Tiềm Năng Giải Mã Cuộc ĐờiVận mệnh của bạn nằm trên đôi bàn tay của bạn. Muốn lập trình vận mệnh của mình hãy giải mã những dấu vân tay. Bạn sẽ tìm ra được điểm mạnh, điểm ...",191300.0,BIZBOOKS,2021-01-12 00:00:00,Bìa mềm,444.0,Nhà Xuất Bản Hồng Đức,15 x 24.5 cm,Tôn Nữ Diệu Hạnh,
6,6,Mật Ngữ 12 Chòm Sao,https://salt.tikicdn.com/cache/280x280/media/catalog/product/_/m/_mg_3201_1.jpg,TỬ VI - CHIÊM TINH,"Mật Ngữ 12 Chòm Sao “Vòng tròn hoàng đạo” (đường đi của Mặt Trời), tiếng Anh là Horoscope, tiếng Hy Lạp là Zodiac (vòng tròn của các linh vật), là một khái niệm Chiêm tinh học xuất phát từ Babylon cổ...",53900.0,12.5 x 20.5 cm,295.0,Asbooks biên soạn,,,,,Mật Ngữ 12 Chòm Sao,https://salt.tikicdn.com/cache/280x280/media/catalog/product/_/m/_mg_3201_1.jpg,TỬ VI - CHIÊM TINH,Asbooks biên soạn,"Mật Ngữ 12 Chòm Sao “Vòng tròn hoàng đạo” (đường đi của Mặt Trời), tiếng Anh là Horoscope, tiếng Hy Lạp là Zodiac (vòng tròn của các linh vật), là một khái niệm Chiêm tinh học xuất phát từ Babylon cổ...",53900.0,Asbooks,2013-02-04 00:00:00,Bìa mềm,295.0,,12.5 x 20.5 cm,,
7,7,Chiêm Tinh Học Nhập Môn,https://salt.tikicdn.com/cache/280x280/ts/product/9f/8d/53/4d99a68118f302dfba16e3faa7360984.jpg,TỬ VI - CHIÊM TINH,"Chiêm Tinh Học Nhập MônBạn cảm thấy mình không giống một Xử Nữ, một Nhân Mã, một Kim Ngưu... cho lắm?Bạn muốn biết sau này mình có giàu không, bao giờ mình có người yêu, mình sẽ yêu người thế nào?Tất ...",82400.0,14.5 x 20.5,176.0,Chiêm tinh số,,,,,Chiêm Tinh Học Nhập Môn,https://salt.tikicdn.com/cache/280x280/ts/product/9f/8d/53/4d99a68118f302dfba16e3faa7360984.jpg,TỬ VI - CHIÊM TINH,Chiêm tinh số,"Chiêm Tinh Học Nhập MônBạn cảm thấy mình không giống một Xử Nữ, một Nhân Mã, một Kim Ngưu... cho lắm?Bạn muốn biết sau này mình có giàu không, bao giờ mình có người yêu, mình sẽ yêu người thế nào?Tất ...",82400.0,Asbooks,2019-01-08 00:00:00,Bìa mềm,176.0,,14.5 x 20.5,,
8,8,Chiêm Tinh Học - Vận Dụng Trí Tuệ Về Các Vì Sao Vào Đời Sống,https://salt.tikicdn.com/cache/280x280/ts/product/29/e1/f8/f1ca47d1a6f41396c3df7ac01f08fab5.jpg,TỬ VI - CHIÊM TINH,"Chiêm tinh học - Vận dụng trí tuệ về các vì sao vào đời sốngChiêm tinh học - Vận dụng trí tuệ về các vì sao vào đời sống là cuốn sách giới thiệu tới bạn đọc chiêm tinh là gì thông qua các định nghĩa, ...",258700.0,19.3 x 23.3 cm,256.0,Carole Taylor,,,,,Chiêm Tinh Học - Vận Dụng Trí Tuệ Về Các Vì Sao Vào Đời Sống,https://salt.tikicdn.com/cache/280x280/ts/product/29/e1/f8/f1ca47d1a6f41396c3df7ac01f08fab5.jpg,TỬ VI - CHIÊM TINH,Carole Taylor,"Chiêm tinh học - Vận dụng trí tuệ về các vì sao vào đời sốngChiêm tinh học - Vận dụng trí tuệ về các vì sao vào đời sống là cuốn sách giới thiệu tới bạn đọc chiêm tinh là gì thông qua các định nghĩa, ...",258700.0,Công Ty Cổ Phần Văn Hóa Đông A,2020-08-01 00:00:00,Bìa cứng,256.0,Nhà Xuất Bản Dân Trí,19.3 x 23.3 cm,AJ,
9,9,Đàn Ông Sao Hỏa Đàn Bà Sao Kim - Tặng kèm 1 bookmar hình ngẫu nhiên như hình,https://salt.tikicdn.com/cache/280x280/ts/product/51/25/cd/c55eab4e496101676c17b75f41131cc9.png,TỬ VI - CHIÊM TINH,"Đàn Ông Sao Hỏa Đàn Bà Sao KimCuốn sách này thực sự đã giúp đỡ cho hàng triệu độc giả, trong đó có tôi và chắc chắn cũng sẽ có bạn. Nếu không có những ý niệm mới mẻ này thì chưa chắc tôi đã có được c...",150400.0,"<p>14,5x20,5</p>",485.0,John Gray,,,,,Đàn Ông Sao Hỏa Đàn Bà Sao Kim - Tặng kèm 1 bookmar hình ngẫu nhiên như hình,https://salt.tikicdn.com/cache/280x280/ts/product/51/25/cd/c55eab4e496101676c17b75f41131cc9.png,TỬ VI - CHIÊM TINH,John Gray,"Đàn Ông Sao Hỏa Đàn Bà Sao KimCuốn sách này thực sự đã giúp đỡ cho hàng triệu độc giả, trong đó có tôi và chắc chắn cũng sẽ có bạn. Nếu không có những ý niệm mới mẻ này thì chưa chắc tôi đã có được c...",150400.0,BIZBOOKS,2019-01-18 00:35:27,Bìa mềm,485.0,,"<p>14,5x20,5</p>",nguyễn thanh nhàn,
