,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang,Nhà xuất bản,Kích thước,Dịch Giả,Phiên bản
0,,,,,,,,,,,,,,
1,Người tình Havana,https://salt.tikicdn.com/cache/280x280/ts/product/77/e9/42/e37e4d64caec99c6f5462c31f4c637df.jpg,Chăm sóc sức khỏe,Đinh Hằng,"Tình yêu quan trọng nhất và cũng khó học nhất trên cõi đời này là gì? Là tình yêu dành cho người bạn đời, tình yêu cuộc sống hay tình yêu dành cho chính bản thân mình?  Cô gái dữ dội và mạnh mẽ của ...",90000,NXB Hội Nhà Văn,2020-12-04 17:47:13,Bìa mềm,260,Nhà Xuất Bản Hội Nhà Văn,,,
2,Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/3f/7c/17/2252a06002e2e843a3a70e758f54a8d8.jpg,Chăm sóc sức khỏe,Đặng Hoàng Xa,"Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020)Tây Tạng là một khu vực cao nguyên tại châu Á, ở phía bắc và đông của dãy núi Himalaya. Đây là quê hương của người Tạng cũng như một số dân tộ...",125400,Omega Plus,2020-04-01 00:00:00,Bìa mềm,320,Nhà Xuất Bản Thế Giới,"14 x 20,5 cm",,
3,Japonisme – Những Điều Rất Nhật Bản,https://salt.tikicdn.com/cache/280x280/ts/product/b3/b5/b2/011eb62533adf9d6d67c6a42d2ceb5e5.jpg,Chăm sóc sức khỏe,Erin Niimi Longhurst,"Japonisme – những điều Rất Nhật Bản là một cuốn sách mang đầy hơi thở của xứ sở hoa anh đào, là nguồn cảm hứng vô tận để bạn khám phá nghệ thuật kiếm tìm hạnh phúc, sự đủ đầy cho Kokoro (trái tim và t...",119200,Bloom Books,2019-09-01 00:00:00,Bìa mềm,280,,,,
4,Thế Giới Rộng Lớn Đừng Đi Một Mình,https://salt.tikicdn.com/cache/280x280/ts/product/60/5f/0c/1322d346b88a6940b8c93d105dec840d.jpg,Chăm sóc sức khỏe,Lý Thành Cơ,"""Sợ thì sợ, nhưng nếu cứ sống mãi trong vùng sợ, liệu chúng ta có biết được tuổi trẻ của mình dài bao nhiêu?""Càng lớn, con người càng đem theo bên mình nhiều nỗi sợ. Sợ thất nghiệp, thất tình, sự ngh...",75900,Skybooks,2019-01-05 00:00:00,Bìa mềm,208,,14.5 x 20.5 cm,,
5,Nice To Meet You!” – Xin Chào! Bạn Đi Cùng Đường Với Tôi Chứ?,https://salt.tikicdn.com/cache/280x280/ts/product/15/6a/c1/50ffe2268c95ddaa53a9ccb129484197.jpg,Chăm sóc sức khỏe,Mai Lan,Nice To Meet You!” – Xin Chào! Bạn Đi Cùng Đường Với Tôi Chứ?“Nice to meet you!” kể về những gì một cô gái hai mươi tư tuổi – Mai Lan – đã trải qua trong thời gian một năm sống cuộc đời chỉ như mình ...,71200,Bloom Books,2018-08-25 12:34:31,Bìa mềm,240,,<p>13.5 x 20 cm</p>,,
6,Cô Đơn Trên Everest (Du Ký),https://salt.tikicdn.com/cache/280x280/ts/product/89/8f/ca/e0c2888a93b4814874ff51d48c57cd71.jpg,Chăm sóc sức khỏe,Di Li,"""Du ký của Di Li cuốn hút bởi rất nhiều chi tiết ngập tràn thông tin mới lạ, chính điều đó đã làm nên những câu chuyện. Di Li kể chuyện hấp dẫn, tỉ mỉ và thủ thỉ như một người bạn. Qua cách mà cô chia...",103320,Liên Việt,2021-01-01 11:40:03,Bìa mềm,323,Nhà Xuất Bản Hội Nhà Văn,13 x 20.5 cm,,
7,Sự Thật Ta Nắm Giữ - Một Hành Trình Xuyên Nước Mỹ,https://salt.tikicdn.com/cache/280x280/ts/product/d8/26/aa/b9a921a949a9254b781e158c47f8e1d1.jpg,Chăm sóc sức khỏe,Kamala Harris,"Được viết bởi một nhà lãnh đạo chính trị quyền lực bậc nhất Hoa Kỳ, nhưng cuốn sách không hề khiến độc giả ngợp trong những vấn đề chính trị khô khan. Như tác giả cũng khẳng định, đây không phải cương...",131300,Tân Việt,2021-07-15 00:00:00,Bìa mềm,368,Nhà Xuất Bản Dân Trí,15 x 23 cm,Khánh Vân,
8,Dấu Yêu Cambridge,https://salt.tikicdn.com/cache/280x280/ts/product/71/ff/70/2fde5c00699e0ab1fc19ae35f12581ef.jpg,Chăm sóc sức khỏe,Ngân Jones,"Được nhận vào một trong những trường đại học danh giá nhất thế giới, mục tiêu hàng đầu của Ni, cô nàng sinh viên đến từ Việt Nam, dĩ nhiên là học cho ra trò hòng giành kết quả thật ngon lành. Thế nhưn...",76000,NXB Kim Đồng,2020-10-15 00:00:00,Bìa mềm,316,Nhà Xuất Bản Kim Đồng,13.5 x 20.5 cm,,
9,"Đường Xanh Viễn Xứ - Tự Truyện Của Một ""Dân Chăn Mèo"" Việt Trên Đất Úc",https://salt.tikicdn.com/cache/280x280/ts/product/77/21/fc/df65bd13412e5565017d1f7355891b6c.jpg,Chăm sóc sức khỏe, Tô Giang,"“Thứ cây này có linh hồn, nó sẽ kéo tất cả dân chơi trong đó có “dân chăn mèo” như tôi xuống và nhấn chìm vào bóng tối cuộc đời...”Tự truyện của một người đàn ông tìm kiếm cuộc đổi đời. Ở xứ người, sốn...",109000,Nhã Nam,2021-08-01 00:00:00,Bìa mềm,252,Nhà Xuất Bản Hội Nhà Văn,14 x 20.5 cm,,
10,Đà Lạt Bên Dưới Sương Mù,https://salt.tikicdn.com/cache/280x280/ts/product/1c/93/3a/cdd513b0baba761ba73b129e1440d029.jpg,Chăm sóc sức khỏe,Nguyễn Vĩnh Nguyên,"Một Đà Lạt thời vàng son trong đời sống văn hóa đã từng được Nguyễn Vĩnh Nguyên tái hiện qua cuốn du khảo Đà Lạt, một thời hương xa.Lần này, là một cách tiếp cận khác, hành trình khác. Phần chìm, phầ...",172000,PHANBOOK,2019-01-01 10:41:29,Bìa mềm,399,,,,
