,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng, người dịch
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Em Đồng Ý Ly Hôn,https://www.vinabook.com/images/thumbnails/product/240x/350222_p90176mp72551mbiatruoc.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Chúy 
                                                                                                                                            Chúy - tên thật là Trần Diệu Thúy - tác giả của Gom nắng cho em (2013) và những trang viết bất tận về người phụ nữ. “Cuộc sống như đang chạy qua cơ thể tôi. Và nếu tôi không tìm cách để ghi lại, tôi nghĩ, có thể mình sẽ phải từ bỏ ",65.000,,,,,,,,,,,,, 198.00 gam , 13 x 20.5 cm , 1130000090176 , 06/12/2016 , Tiếng Việt , Alpha books , Nxb Lao động , 220 , Chúy , Bìa mềm ,
2,Nội Tình Của Ngoại Tình,https://www.vinabook.com/images/thumbnails/product/240x/330428_p86629mnoitinhcuangoaitinh.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Esther Perel     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nội tình của ngoại tình không hẳn là một quyển sách chỉ nói về sự phản bội trong tình cảm. Một mối quan hệ bất chính dạy chúng ta rất nhiều thứ về hôn nhân - những gì chúng ta kỳ vọng, những gì chúng ta mong muốn, những gì chúng cảm thấy mình xứng đáng phải có. Các mối quan hệ bất chính đưa ra một khung cửa độc nhất để nhìn vào thái độ cá nhân lẫn thái độ văn hóa mà chúng ta có về tình yêu, dục vọng và cam kết tình cảm. Thông qua việc xem xét và đánh giá tình yêu vụng trộm dưới nhiều góc độ khác nhau, tôi mong các bạn độc giả cùng tham gia khám phá về các mối quan hệ hiện đại trong rất nhiều biến thể khác nhau của nó với sự chân thành, sáng suốt và cả tranh cãi.Ngày nay một cuộc đối thoại về các mối quan hệ bất chính dễ mang tính chia cắt, phán xét, và có lối suy nghĩ thiển cận. Xét dưới góc một nền văn hóa, chúng ta chưa khi nào cởi mở về tình dục hơn ngày nay, nhưng sự bội bạc vẫn còn chìm khuất đằng sau một đám mây của sự hổ thẹn và giấu giếm. Tôi hy vọng quyển sách này sẽ giúp xua đi sự im lặng ấy và mở ra một lối suy nghĩ và diễn đạt mới mẻ cho một trong những điều xưa cổ nhất trong cuộc sống của con người. Rất nhiều người đã viết ra cách ngăn ngừa và chữa lành sau khi sự đã xảy ra; nhưng ít ai viết về ý nghĩa và động cơ của các mối quan hệ bất chính. Càng ít hơn nữa những người nói về những điều mà chúng ta có thể học được từ các mối quan hệ và làm thế nào để kiến thức ấy có thể biến đổi và hoàn thiện các mối quan hệ của chúng ta.Trong quá trình hành nghề tâm lý trị liệu của mình, suốt sáu năm qua tôi vẫn luôn tập trung vào những cặp đang giải quyết việc bị phản bội. Thông qua họ, tôi đã đo lường những tầng sâu của chủ đề này. Vì đã gặp mặt họ khi đi cùng với nhau hoặc khi đi một mình, tôi đã thu được một cái nhìn khác lạ về trải nghiệm của người lầm lạc, chứ không chỉ niềm đau của người bị phản bội.Các mối quan hệ ngoài luồng thì luôn bí mật, và quyển sách này chứa nhiều bí mật.      - Esther PerelMời bạn đón đọc. ",220.000,,,,,,,,,,,,, 506.00 gam , 14 x 20.5 cm , 8935278603382 , 06/03/2019 , Tiếng Việt , Saigon Books , NXB Văn hóa - Văn nghệ , 428 , Esther Perel , Bìa mềm ," Trung Uyên , Nhã Thư "
3,Làm Sao Hợp Với Nửa Kia?,https://www.vinabook.com/images/thumbnails/product/240x/333570_p87010mscan0001.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Michelle Skeen     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi sống với một người bạn đời khó chịu - người liên tục chỉ trích bạn bởi các tiêu chuẩn không thực tế - bạn có thể cảm thấy tự ti và đau khổ. Bạn bắt đầu tự hỏi liệu bạn có xứng đáng với người bạn đời của mình hay không và làm thế nào để xử lý những xung đột khiến mối quan hệ rơi vào bế tắc,… Cuốn sách này là dành cho bạn.Làm Sao Hợp Với Nửa Kia? cung cấp những kĩ năng và kiến thức cần thiết để bạn thực hiện một số thay đổi trong mối quan hệ. Thông qua một loạt bài tập, bạn sẽ hiểu điều gì đang thúc đẩy hành vi của người bạn đời và điều gì khiến bạn lao vào những cuộc chiến không đáng có, từ đó, bạn sẽ biết cách giải quyết tận gốc vấn đề trước khi cùng nhau tái lập hạnh phúc.Mời bạn đón đọc. ",73.000,,,,,,,,,,,,, 220.00 gam , 13.5 x 21 cm , 8935074118059 , 04/2019 , Tiếng Việt , Văn Lang , Nxb Thanh Hóa , 184 , Michelle Skeen , Bìa mềm , Thế Anh 
4,9 Nguyên Tắc Làm Một Người Chồng Tốt,https://www.vinabook.com/images/thumbnails/product/240x/359281_p91457m9nguyentaclammotnguoichongtot1414.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Trác Nhã     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Hôn nhân là nấm mồ của tình yêu” – câu nói này như một lời
cảnh tỉnh cho những người chưa lập gia đình về cuộc sống hôn nhân không có màu
hồng như thời còn yêu đương nồng đậm. Điều này khiến không ít người sắp kết hôn
nghi ngại về một tương lai “cơm không lành, canh chẳng ngọt”.   Để có một cuộc sống hôn nhân viên mãn, hạnh phúc thì ngoài một
tình yêu đủ lớn còn  phải có sự quan tâm
chia sẻ, cùng vun đắp tình cảm từ cả hai phía. Người đàn ông kiếm tìm hạnh phúc
hãy bắt đầu từ việc làm một người chồng tốt. Làm một người chồng tốt quan trọng
ở chỗ “làm”, trong quá trình người chồng thay đổi, hoàn thiện bản thân, cũng sẽ
tạo ra ảnh hưởng lớn cho người vợ, người vợ sẽ cố gắng thay đổi để báo đáp chồng.
Vậy làm gì để trở thành một người chồng tốt? Câu trả lời sẽ có trong cuốn 9 Nguyên tắc trở thành một người
chồng tốt của tác giả Trác Nhã. Trong cuốn sách này, xuất phát từ phía người chồng,
tác giả đưa ra 9 nguyên tắc làm một người chồng tốt bao gồm: trách nhiệm, tán
thưởng, thấu hiểu, tôn trọng, khoan dung, ân cần, thành thật, lạc quan và làm mới. Cuốn sách chính là “bí kíp” giúp các cặp đôi có một cuộc sống
hôn nhân hạnh phúc viên mãn. Bên cạnh đó, sẽ là giải pháp cho những cặp vợ chồng
đang gặp vấn đề trong cuộc sống làm mới đời sống hôn nhân của mình, mang lại
cho tình yêu nhiều điều mới mẻ.Mời bạn đón đọc. ",119.000,,,,,,,,,,,,, 500.00 gam , 13 x 19 cm , 8936056796180 , 20/08/2020 , Tiếng Việt , Quảng Văn , NXB Phụ Nữ , 384 , Trác Nhã , Bìa mềm ," Thu Trần , Hân Vũ "
5,Hai Mặt Của Gia Đình,https://www.vinabook.com/images/thumbnails/product/240x/356841_p91043mhai.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Choi Kwanghyun     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tại sao chúng ta lại chịu tổn thương bởi gia đình – những người gần chúng ta nhất?Tại sao dù ở cạnh gia đình nhưng bạn vẫn cảm thấy xa cách và cô đơn?Vì sao chúng ta luôn bộc phát cảm xúc khi đứng trước gia đình mình. Vì sao nỗi đau của gia đình nơi bạn sinh ra và lớn lên lại lặp lại trong gia đình hiện tại? Nhiều khi những tổn thương đến từ gia đình nơi chúng ta sinh ra và lớn lên lại chính là nguyên nhân của các vấn đề trong gia đình hiện tại.Gia đình trở thành nơi tiếp thêm sức mạnh và cũng là nơi khiến đôi vai chúng ta thêm nặng trĩu, là nơi ẩn náu của những mâu thuẫn tinh vi đằng sau những phút giây thân mật, là nơi tràn đầy thương yêu nhưng có cả sự ghét bỏ. Gia đình lúc nào cũng có hai mặt như vậy.Choi Kwang Huyn – một nhà tâm lý học hàng đầu Hàn Quốc, người đã tham vấn tâm lý cho rất nhiều trường hợp có khúc mắc về tổn thương tâm lý xuất phát từ gia đình sẽ chỉ ra nguyên nhân của những tổn thương, những nỗi đau mà chúng ta phải chịu từ gia đình mình, đồng thời đưa ra cách giải quyết đối với các vấn đề gia đình nhức nhối hiện tại.Cuốn sách cho ta cái nhìn mới về mối quan hệ gia đình. Qua những câu chuyện của các gia đình khác nhau, người đọc lần lượt sẽ thấy được sự tương đồng và có thêm hiểu biết về những khái niệm như: ngoại tình, chứng nghiện một điều gì đó, lựa chọn người bạn đời tương đồng, chuyển di nỗi đau…từ đó tìm được cách chấp nhận và xoa dịu những tổn thương trong lòng mỗi người.Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 352.00 gam , 14.5 x 20.5 cm , 8936186543357 , 09/03/2020 , Tiếng Việt , AZ books , NXB Thanh Niên , 288 , Choi Kwanghyun , Bìa mềm , Minh Thùy 
6,Đàn Ông Sao Hỏa - Đàn Bà Sao Kim (Tái Bản),https://www.vinabook.com/images/thumbnails/product/240x/362299_p92402m201910301106571.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    John Gray 
                                                                                                                                            John Gray
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Người ta thường nói rằng đàn ông và đàn bà là “hai thái cực” hoàn toàn khác nhau, vậy nên giữa nam giới và nữ giới luôn luôn có những sự khác biệt và thậm chí là đối lập rõ rệt. Nhưng, thực ra đàn ông và đàn bà có rất nhiều điểm chung, hiểu được điều này phụ nữ sẽ bớt nặng lòng.“Có điều gì khác biệt trong vùng não cảm xúc của đàn ông và đàn bà? Họ có thể đọc được cảm xúc của nhau và hiểu nhau đến đâu? Tại sao người ta thường đã phải cáu kỉnh, mệt mỏi, buồn phiền trong công việc, mà khi trở về nhà lại không tìm được sự chia sẻ của bạn đời? Mỗi khi người phụ nữ cáu giận, liệu có phải chỉ do lỗi của đàn ông? Còn khi người đàn ông cô đơn và muốn ở một mình, vì sao người phụ nữ lại luôn nghĩ lỗi là tại họ?Đàn ông và đàn bà, hai cá thể độc lập, hai xu hướng giải quyết vấn đề trái ngược nhau, hai thái cực của sự phức tạp và đơn giản. Một người đàn ông nghĩ và hành động một cách nhất quán. Người phụ nữ thì không hiểu được điều đó và quy về vấn đề của trái tim, cho rằng anh ta không hiểu và không quan tâm đến cô”.Những mâu thuẫn mà John Gray chỉ ra trong cuốn sách rất thường gặp trong cuộc sống hiện đại, khi con người càng cố gắng vươn tới sự toàn vẹn và hoàn hảo. Đặc biệt, khi nền tảng kinh tế và nhiều chuẩn mực trong xã hội thay đổi, mối quan hệ giữa người với người cũng thay đổi theo, trong đó có quan hệ vợ chồng.Mời bạn đón đọc. ",188.000,,,,,,,,,,,,, 550.00 gam , 14.5 x 20.5 cm , 8935246923429 , 2019 , Tiếng Việt , BIZBooks , NXB Hồng Đức , 488 , John Gray , Bìa mềm , Nguyễn Thanh Nhàn 
7,Gia Đình Mình Hòa Hợp Là Được,https://www.vinabook.com/images/thumbnails/product/240x/330364_p86602mgiadinh.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Libby Purves      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Gia đình mình hòa hợp là được tên gốc là “How not to be a perfect family”, nằm trong bộ 03 cuốn của tác giả Libby Purves viết về chủ đề xây dựng cuộc sống gia đình, làm mẹ và nuôi dạy con cái. Cuốn sách ra đời năm 1994, tuy khá lâu đời nhưng vẫn mang không ít bài học/ý nghĩa hay đối với người làm cha mẹ hiện nay. + Các nội dung chính được tác giả khai thác bao gồm: - Việc gìn giữ hôn nhân giữa người chồng – người vợ (cách phân chia công việc gia đình, duy trì tình cảm vợ chồng để hạn chế bị ảnh hưởng của cuộc sống thường nhật);- Vai trò của người cha (phân tích tình cảm/trách nhiệm của người cha dành cho con gái, con trai);- Vai trò người mẹ (phân tích tình cảm/trách nhiệm của người mẹ dành cho con gái, con trai);- Cách xử lý, dẫn dắt mối quan hệ giữa con cái trong gia đình;- Các quy tắc, quy định trong gia đình (cách đặt ra/thực hiện các quy định hợp lý, tránh bất công giữa cha mẹ - con cái, nổi bật: đồ đạc trong nhà, lãnh thổ của các con);- Vai trò của đại gia đình (mẹ vợ/chồng, bố vợ/chồng, ông bà, những người họ hàng độc thân);- Vấn đề tiền nong trong gia đình (giữa vợ chồng, cách trao đổi về tiền với con cái; tình huống gia đình gặp khó khăn về tài chính);- Những điều cần làm để hỗ trợ con về việc trường lớp.Tác giả nhấn mạnh ý trong cả 03 cuốn: Không có gì là hoàn hảo, nên không cần gắng sức để xây dựng nên một cuộc sống gia đình hoàn hảo, điều quan trọng là cần biết cách chấp nhận (trong chừng mực) và xử lý các điểm “chưa hoàn hảo” của gia đình để tạo cảm giác thoải mái, sự hòa hợp êm ấm giữa các thành viên. Mời bạn đón đọc. ",129.000,,,,,,,,,,,,, 396.00 gam , 15 x 19 cm , 8935251405606 , 06/03/2019 , Tiếng Việt , Alpha books , NXB Phụ Nữ , 332 , Libby Purves , Bìa mềm , Hoàng Phương Thúy 
8,Giúp Chồng Thành Công,https://www.vinabook.com/images/thumbnails/product/240x/317398_p84916mscan0001.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Dale Carnegie    
                                                                                                                                                Dale Breckenridge Carnegie (24/11/1888 – 1/11/1955) là một nhà văn và nhà thuyết trình Mỹ và là người phát triển các lớp tự giáo dục, nghệ thuật bán hàng, huấn luyện đoàn thể, nói trước công chúng và các kỹ năng giao tiếp giữa mọi người. Ra đời trong cảnh nghèo đói tại ",110.000,,,,,,,,,,,,, 330.00 gam , 14.5 x 20.5 cm , 8935246919187 , 09/2018 , Tiếng Việt , Mcbooks , NXB Hồng Đức , 268 , Dale Carnegie , Bìa mềm , Nguyễn Hiến Lê 
9,Pháp Môn Hạnh Phúc - Gia Đình,https://www.vinabook.com/images/thumbnails/product/240x/324545_p85808mphapmonhanhphuc13x19cmgiadinhfinal1.jpg,Hạnh phúc gia đình,,"  Thông tin tác giả    Đại Sư Tinh Vân 
                                                                                                                                            Hòa thượng Tinh Vân sinh năm 1927, tỉnh Giang Tô, Trung Quốc. Thầy xuất gia năm 12 tuổi, được thọ ký là người truyền nhân đời thứ 48 của dòng thiền Lâm Tế. Bằng hoài bão lớn của cuộc đời mình, hòa thượng Tinh Vân đã cống hiến cả đời để đẩy mạnh sự nghiệp hoằng ",59.000,,,,,,,,,,,,, 242.00 gam , 13 x 19 cm , 8935280901919 , 12/2018 , Tiếng Việt , Thái Hà , Nxb Lao động , 228 , Đại Sư Tinh Vân , Bìa mềm , Nguyễn Phố 
