tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa,dịch giả
Phân Tích Dữ Liệu Với R,https://www.vinabook.com/images/thumbnails/product/240x/167563_p60786mtruoc001.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Nguyễn Văn Tuấn 
                                                                                                                                            Nguyễn Văn Tuấn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách bạn đang cầm trên tay là một nổ lực nhằm giới thiệu các phương pháp phân tích mô hình và thống kê phổ biến. các phương pháp gồm mô hình hồi qui tuyết tính, hồi qui logistic, phân tích tổng hợp (meta - anlysis), mô hình phân tích sống còn (survival anlysis), phương pháp phân tích chuỗi dữ liệu theo thời gian (time series data) phương pháp bayes, phương pháp bootstrap, v.v.. Với một nội dung khá rộng như thế, cuốn sách này sẽ giúp ích cho các nhà nghiên cứu, giảng viên cao đẳng và đại học, sinh viên, hay bất cứ ai muốn học về thống kê và phương pháp phân tích dữ liệu.Ngôn ngữ được sử dụng trong sách là R. Có nhiều lý do R được chọn làm ngôn ngữ để thực hiên các phương pháp trên, kể cả sự miễn phí và năng lực khoa học. Không giống như các phần miềm thương mại khác đều tốn khá  nhiều tiền, R hoàn toàn miễn phí. Bất cứ ai ở bất cứ nơi nào trên thế giới có truy cập mạng internet điều có thể tải R về máy tính, tốn vài phút cài đặt , và bắt đầu sử dụng. Trước đây, chỉ có một thiểu số nhà nghiên cứu (chủ yếu là các nước tiên tiến) mới có điều kiện sử dụng phần mềm thống kê, nhưng từ ngày có R thì bất cứ ai cũng đều có điều kiện áp dụng những phương pháp phân tích tinh vi nhất và hiện đại nhất cho nghiên cứu khoa học và phân tích dữ liệu. Do đó, sự ra đời của R đã làm cuộc cách mạng thống kê ở qui mô toàn cầu. R còn ""dân chủ hóa"" việc tiếp cận các phương pháp phân tích dữ liệu tiên tiến nhất trên thế giới.Mời bạn đón đọc. ",250.0, 18 x 25 cm , 09/12/2014 , NXBTH TPHCM , Nxb Tổng hợp TP.HCM ,520.0, Nguyễn Văn Tuấn , Bìa mềm ,
Cấu Trúc Dữ Liệu Và Thuật Toán (Phân Tích Và Cài Đặt Trên C/C++) - Tập 2,https://www.vinabook.com/images/thumbnails/product/240x/315562_p84662mscan0001.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Trần Thông Quế     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cấu trúc dữ liệu và Thuật toán (Data Structure and Algorithms) là môn học bắt buộc không những với mỗi sinh viên ngành Công nghệ Thông tin mà còn là môn học bắt buộc và môn thi quốc gia đầu vào bắt buộc với các nghiên cứu viên của ngành học đó. Nó là một trong các môn học khó của ngành CNTT, đặc biệt càng khó đối với hầu hết các sinh viên khi phải cài đặt một thuật toán hay một bài toán nào đó thuộc môn học này.Bất cứ sự thành công nào của một dự án Tin học đều là kết quả của việc kết hợp khéo léo giữa Cấu trúc dữ liệu và Thuật toán. Khẳng định này được chứng tỏ trong một công thức rất ngắn gọn mang tính triết lý đương đại nghề nghiệp:Big Data + Big Community = Big ResultViệc cài đặt các thuật toán cơ bản hoặc nổi tiếng hoặc khó được thực hiện trên các ngôn ngữ chuyên nghiệp đương đại là C/C++ nhằm giải đáp câu hỏi tồn tại trong đầu những người học là: Thực thi các thuật toán ấy trên máy tính điện tử như thế nào và sẽ cho kết quả ra sao?Mời bạn đón đọc. ",55.0, 16 x 24 cm , 09/2018 , NXB Thông Tin và Truyền Thông , Nxb Thông tin & truyền thông ,168.0, Trần Thông Quế , Bìa mềm ,
Chiến Lược Dữ Liệu,https://www.vinabook.com/images/thumbnails/product/240x/327201_p86170mcoverchienluocdulieuba1.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Bernard Marr     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Dữ liệu đang thay đổi cách chúng ta sống và làm việc với tốc độ chưa từng có. Nó là tất cả dấu vết ta để lại khi lướt web, mua hàng qua thẻ tín dụng, gửi e-mail, chụp ảnh, đọc báo trực tuyến, thậm chí dạo phố khi mang theo điện thoại di động hoặc đi trong khu vực có hệ thống .Nhờ vào dữ liệu, nhà bán lẻ Target tại Mỹ đã dự đoán đúng một thiếu nữ đang mang thai dựa trên thói quen mua hàng của cô ấy; Google có thể hiển thị chính xác quảng cáo phù hợp với bạn; Facebook biết bạn của bạn là ai, bạn đang trong mối quan hệ với người nào, dự đoán được mối quan hệ này kéo dài trong bao lâu, khi nào bạn sẽ có một mối quan hệ tình cảm, thậm chí cho biết mức độ thông minh của bạn…Tuy nhiên, hiện có chưa đến 0,5% dữ liệu được phân tích và sử dụng. Nhận thấy mảnh đất màu mỡ này, Bernard Marr đã cho ra đời Chiến Lược Dữ Liệu - nơi hội tụ những kiến thức về dữ liệu được đơn giản hóa với nhiều ví dụ dễ hiểu - cung cấp cho bạn cách thức tối đa hóa sức mạnh của dữ liệu bên cạnh việc tránh những rắc rối liên quan đến pháp lý, danh tiếng và tài chính.Tầm quan trọng của chiến lược dữ liệu ngày càng được khẳng định qua thành công của các doanh nghiệp hoạt động trên nền tảng dữ liệu như Alphabet, Facebook, Narrative Science, Amazon, Apple… Việc có một chiến lược dữ liệu mạnh và lộ trình khoa học đã trở thành một phần tất yếu trong ADN của mỗi tổ chức. Nó xứng đáng nhận được sự quan tâm ngang với chiến lược marketing, khách hàng, sản phẩm hay thu hút nhân tài của doanh nghiệp.Chiến Lược Dữ Liệu không chỉ phù hợp cho người bước đầu làm quen với dữ liệu,mà còn cung cấp nhịp điệu bao quát về những thay đổi đang diễn ra trên thị trường và trang bị nền tảng ban đầu cho người đang chịu trách nhiệm về mảng dữ liệu của doanh nghiệp.Mời bạn đón đọc. ",158.0, 16 x 24 cm , 21/02/2019 , Trí Việt , Nxb Tổng hợp TP.HCM ,272.0, Bernard Marr , Bìa mềm , Huỳnh Hữu Tài 
Cơ Sở Dữ Liệu Mờ Và Xác Xuất,https://www.vinabook.com/images/thumbnails/product/240x/251736_p74387mcosodulieumou547d20161111t114233362537.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Nguyễn Hòa      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ sở dữ liệu là nền tảng cho các hệ thống tính toán và xử lý thông tin. Cơ sở dữ liệu là một môn cơ bản trong ngành Khoa học Máy tính nói riêng và Công nghệ Thông tin nói chung ở cả bậc Đại học và Sau Đại học. Nghiên cứu và ứng dựng cơ sở dữ liệu bao gồm việc phát triển mô hình, xây dựng hệ quản trị và triển khai ứng dụng trong các hệ thống cụ thể. Nội dung cuốn sách gồm có: Chương 1: Giới thiệu; Chương 2: Tổng quan về cơ sở dữ liệu mờ và xác suất; Chương 3: Cơ sở toán học của FPOB; Chương 4: Lược đồ và thể hiện của FPOB; Chương 5: Các phép toán đại số trên FPOB; Chương 6: Tóm lược sự phát triển và ứng dụng của FPOB.Mời bạn đón đọc. ",55.0, 19 x 27 cm , 03/2016 , Thăng Long , Nxb Đại học Quốc gia TPHCM ,184.0, Nguyễn Hòa , Bìa mềm ,
An Toàn Thông Tin,https://www.vinabook.com/images/thumbnails/product/240x/313717_p84462m1batrc.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Lê Vǎn Phùng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     An toàn thông tin” giới thiệu tổng quan nhất về ATTT, cơ sở toán học, mã hóa thông tin, vấn đề xác nhận và chữ ký số, quản lý khóa và ẩn-giấu tin trong ATTT. ATTT là một hướng tiếp cận không mới nhưng đang được thu hút ngày càng tăng (đến mức bùng nổ) sự quan tâm của các nhà nghiên cứu và phát triển nhờ vào những ứng dụng thực tiễn, có tính thời sự đặc biệt của chúng trong an ninh quốc phòng, kinh tế -xã hội,…Mời bạn đón đọc. ",99.0, 16 x 24 cm , 06/2018 , NXB Thông Tin và Truyền Thông , Nxb Thông tin & truyền thông ,368.0, Lê Vǎn Phùng , Bìa mềm ,
Phân Tích Dữ Liệu Với R - Hỏi Và Đáp,https://www.vinabook.com/images/thumbnails/product/240x/295505_p80395mphantich.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Nguyễn Văn Tuấn 
                                                                                                                                            Nguyễn Văn Tuấn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách bạn đang cầm trên tay là một công trình biên soạn tương đối đặc thù. Sự đặc thù là ở hình vấn đáp, vốn chưa được áp dụng trong các sách về khoa học dữ liệu trên thế giới. Khi biên soạn cuốn sách, chúng tôi tự đặt mình trong tình huống của một nhà khoa học bận rộn và đang cần một phương pháp hoặc một công cụ để giải pháp về một vấn đề cụ thể. Thay vì đọc những chi tiết về lý thuyết đằng sau phương pháp, nhà khoa học cần hiểu ý tưởng phương pháp, có thể áp dụng ngay vào vấn đề, và quan trọng nhất là dành thời gian để diễn giải kết quả.Mục tiêu của chúng tôi là giúp cho các nhà khoa học tiếp cận với các phương pháp hiện đại và các mô hình thống kê phổ biển có thể áp dụng trong việc kiểm định các giả thuyết khoa học về thiên văn. Qua kiểm định giả thuyết khoa học, giới khoa học có thể đi đến những khám phá hào hứng. Chúng tôi chọn R là ngôn ngữ máy tính để triển khai các phương pháp phân tích dữ liệu, vì R là một nhu liệu máy tính hoàn toàn miễn phí và được sử dụng khắp thế giới. Với R, các nhà khoa học có thể tiếp cận các phương pháp phân tích hiện đại, và qua đó giúp “dân chủ hóa” những phương pháp khoa học mà có thời chỉ được các nhà khoa học ở những nước phương Tây tiếp cận. Bây giờ, tôi mời các bạn cùng khám phá thống kê học qua những câu hỏi và câu trả lời trong cuốn sách bạn đang cầm trên tay.- Nguyễn Văn TuấnMời bạn đón đọc. ",180.0, 18 x 25 cm , 06/2018 , NXBTH TPHCM , Nxb Tổng hợp TP.HCM ,404.0, Nguyễn Văn Tuấn , Bìa mềm ,
Giáo Trình Học Nhanh SQL Server 2008 - Tập 2,https://www.vinabook.com/images/thumbnails/product/240x/134160_xx560.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Trịnh Thế Tiến     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Giáo Trình Học Nhanh SQL Server 2008 - Tập 2Bộ sách ""Giáo trình học nhanh SQL Server 2008"" được biên soạn dành cho 
các nhà phát triển và các nhà quản trị cơ sở dữ liệu, những người đang 
công tác trong lĩnh vực quản lý dữ liệu doanh nghiệp và cho tất cả những
 ai quan tâm đến SQL Server 2008. 
Với cách thiết kế và bố cục rõ ràng theo từng chủ điểm cụ thể, bộ sách 
tập trung trình bày những tính năng chính của SQL Server 2008 nhằm mục 
đích giúp bạn đọc tăng cường kiến thức đồng thời nâng cao kỹ năng sử 
dụng sản phẩm mới rất tuyệt vời này. Bộ sách được chia thành 2 tập với 
bốn phần chính sau đây: 
Phần 1: Tổng quan về SQL Server 2008 
Phần 2: Nền dữ liệu Enterprise 
Phần 3: Sự phát triển trong SQL Server 2008 
Phần 4: Trí tuệ kinh doanh trong SQL Server 
Hy vọng với nội dung trình bày ngắn gọn trong từng phần nêu trên cùng 
những hình ảnh minh hoạ, bạn đọc sẽ nhận thấy bộ sách này thật sự là một
 tài liệu không thể thiếu để tìm hiểu về SQL Server, đặc biệt là những 
giá trị và tính năng chính góp phần làm cho SQL Server 2008 trở thành 
một nền dữ liệu doanh nghiệp thực thụ. Mời bạn đón đọc. ",81.0, 16 x 24 cm , 2009 , Nhân Văn , NXB Hồng Đức ,450.0, Trịnh Thế Tiến , Bìa mềm ,
Nhập Môn Cơ Sở Dữ Liệu,https://www.vinabook.com/images/thumbnails/product/240x/49203_55746.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Andrew J. (Andy) Oppel     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả      Nhập Môn Cơ Sở Dữ LiệuCơ sở dữ liệu là một chuyên ngành quan trọng đã có lịch sử phát triển trên 30 năm của lĩnh vực công nghệ thông tin. Ngày nay, hệ thống cơ sở dữ liệu là một thành phần không thể thiếu của hệ thống kinh doanh. Hàng ngày, chúng ta sử dụng cơ sở dữ liệu theo hau cách trực tiếp và gián tiếp - từ giao dịch ngân hàng, đặt vé du lịch, tìm kiếm việc làm, mua sắm trực tuyến, ngoại tuyến cho đến hầu hết mọi giao dịch khác đều được lưu trữ và phục vụ bởi cơ sở dữ liệu.Cuốn sách Nhập môn Cơ sở dữ liệu hướng đến việc nghiên cứu những kỹ thuật thiết kế cơ sở dữ liệu tiêu chuẩn làm việc trên mọi cơ sở dữ liệu, dành cho những cá nhân muốn tham khảo để xây dựng nền tảng thiết kế và quản lý cơ sở dữ liệu. Sách được thiết kế dành cho những đối tượng mới hoặc tương đối mới tiếp xúc với công nghệ cơ sở dữ liệu cũng như những người muốn tìm hiểu sâu để có một nền tảng kiến thức vững chắc liên quan tới các vấn đề chuẩn hóa dữ liệu, thiết kế và quản lý cơ sở dữ liệu.Mời bạn đón đọc. ",150.0, 19 x 27 cm , 2013 , Alpha books , NXB Tri thức ,440.0, Andrew J. (Andy) Oppel , Bìa mềm , FPT Polytechnic 
"Làm Kỹ Xảo Hình Và Tiếng Với Canopus, Boris Red, Premiere (Kèm Đĩa CD)",https://www.vinabook.com/images/thumbnails/product/240x/32803_39344.jpg,Cơ sở dữ liệu, Mục lục:Phần 1: Chuyển đổi phim với CanopusPhần 2: Kỹ xảo hình và tiếng với Adobe Premiere ProPhần 3: Làm việc với Boris Red và Adobe Premiere ProPhần 4: Adobe Premiere CS3Mời bạn đón đọc.  ,85.0, 19 x 27 cm , 09/2009 , Thuận tâm huy , NXB Hồng Đức ,272.0,, Bìa mềm ,
Microsoft SQL Server 2008 - Quản Trị Cơ Sở Dữ Liệu (Tập 2),https://www.vinabook.com/images/thumbnails/product/240x/35161_41704.jpg,Cơ sở dữ liệu,"  Thông tin tác giả    Phạm Hữu Khang (Chủ Biên)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tiếp theo tập 1, tập 2 gồm 5 chương với nội dung chứa đựng kỹ thuật thiết lập cấu hình tự động hóa các tác vụ quản trị cơ sở dữ liệu theo định kỳ thay vì thực hiện trực tiếp bằng cách tìm hiểu chương 10.Bạn cũng có thể đồng bộ hóa dữ liệu từ máy chủ trong mạng cục bộ hay Internet về máy chủ trung tâm hay ngược lại nhằm cập nhật kịp thời mọi thay đổi dữ liệu giữa các cơ sở dữ liệu SQL Server với nhau bằng những kiến thức được trình bày trong chương 11.Bằng cách kết hợp với ứng dụng Web, SQL Server 2008, chương 12 giúp bạn kết xuất dữ liệu đến người sử dụng thông qua trình duyệt Web bằng các báo cáo chi tiết hay tóm tắt với loại ứng dụng Intranet.Bảo mật cơ sở dữ liệu là vấn đề quan trọng nhất đối với nhà quản trị cơ sở dữ liệu",49.0, 16 x 24 cm , 03/2010 , Minh khai , Nxb Lao động - Xã hội ,200.0, Phạm Hữu Khang (Chủ Biên) , Bìa mềm ,
