,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng, ngôn ngữ, người dịch
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Giáo Trình Gia Công Trên Máy CNC - Dùng Cho Trình Độ Trung Cấp Nghề,https://www.vinabook.com/images/thumbnails/product/240x/32766_39307.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Bùi Thanh Trúc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Minh Đạo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách phục vụ cho các trường Trung cấp nghề cũng như các trường Đại học, Cao đẳng, Trung cấp chuyên nghiệp có đào tạo nghề cắt gọt kim loại. Mục lục:Phần thứ nhất: Gia công trên máy tiện CNCKhái quát chung về kỹ thuật CNCTrang bị đồ gá trên máy tiện CNCKiểm tra sửa lỗi và chạy thử chương trình",30.000,,,,,,,,,,,,, 220.00 gam , 14.5x20.5 cm , 8935206502763 , 03/2010 , Kinh Đô 2 , Nxb Lao động , 208 ," Bùi Thanh Trúc , Phạm Minh Đạo ", Bìa mềm ,,
2,Gia Công Kim Loại,https://www.vinabook.com/images/thumbnails/product/240x/257283_p75286m032.jpg,Cơ khí - Chế tạo máy,," Trong các ngành sản xuất công nghiệp, nông nghiệp, giao thông vận tải",42.000,,,,,,,,,,,,, 198.00 gam , 16 x 24 cm , 8935075936850 , 09/2015 , Thăng Long , Nxb Lao động - Xã hội , 120 ,, Bìa mềm , Tiếng Việt ,
3,Giáo Trình Lập Chương Trình Gia Công Sử Dụng Chu Trình Tự Động Bù Dao Tự Động Trên Máy CNC (Dùng Cho Trình Độ Cao Đẳng Nghề),https://www.vinabook.com/images/thumbnails/product/240x/33241_39782.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Bùi Thanh Trúc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Minh Đạo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đây là giáo trình được xây dựng và soạn thảo trên cơ sở chung trình khung quốc gia về đào tạo nghề Cắt gọt kim loại ban hành kèm theo Quyết định số 30/2008/QĐ-BLĐTBXH ngày 04/04/2008 của Bộ trường Bộ Lao động - Thương binh và Xã hội. Với giáo trình này, người dạy và người học có thể nhanh chóng truyền đạt và tiếp thu đầy đủ những kiến thức về lập chương trình gia công sử dụng chu trình tự động trên máy tiện và máy phay CNC. Giúp cho người học có khả năng ứng dụng công nghệ hiện đại trong ngành Cắt gọt kim loại nhằm nâng cao hiệu quả để chế tạo các chi tiết cơ khí đặc biệt là chế tạo các khuôn mẫu chính xác.Mời bạn đón đọc. ",27.000,,,,,,,,,,,,, 190.00 gam , 14.5 x 20.5 cm , 8935206502770 , 04/2010 , Kinh Đô 2 , Nxb Lao động , 192 ," Bùi Thanh Trúc , Phạm Minh Đạo ", Bìa mềm ,,
4,Hỏi Đáp Về Sửa Chữa Mô Tơ,https://www.vinabook.com/images/thumbnails/product/240x/30064_36577.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Lê Đức Trung 
                                                                                                                                            Lê Đức Trung
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Đặc điểm của cuốn sách trình bày các nội dung kỹ thuật từ đơn giản đến phức tạp, từ dễ đến khó… trực quan dễ hiểu, có tính dụng cao, thích hợp với mọi đối tượng công nhân kỹ thuật điện trong việc tự học. Cuốn sách cũng có thể làm tài liệu tham khảo bổ ích cho các trường trung học chuyên nghiệp và dạy nghề về lĩnh vực điện. Mục lục:  Chương 1: Hỏi đáp về bảo dưỡng và sửa chữa Môtơ 1 pha Chương 2: Hỏi đáp về bảo dưỡng và sửa chữa động cơ điện KĐB 3 pha Chương 3: Hỏi đáp về bảo dưỡng và sửa chữa động cơ điện 1 chiều. Chương 4: Hỏi đáp về thí nghiệm kiểm tra sửa chữa máy điện  Mời bạn đón đọc. ",48.000,,,,,,,,,,,,, 330.00 gam , 14.5 x 20.5 cm , 8935075917415 , 09/2009 , Thăng Long , Nxb Lao động - Xã hội , 316 , Lê Đức Trung , Bìa mềm ,,
5,Thế Giới Phi Thường Của Máy Móc Và Kỹ Thuật,https://www.vinabook.com/images/thumbnails/product/240x/362649_p92516mmaymoc.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Colin Stuart     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thế giới phi thường của máy móc
và kỹ thuật là tựa sách thứ
3 thuộc lĩnh vực KỸ THUẬT, nằm trong loạt sách Giáo dục STEM, là phương thức
giáo dục tổng hợp gồm Khoa học - Công nghệ - Kỹ thuật - Toán học. Hãy cùng khám phá cách cách làm cho kẹp giấy bay lơ lửng trong không
khí, thiết kế nhà chọc trời, xây dựng tàu ngầm siêu hạng, thí nghiệm với bánh
răng và lò xo, và còn nhiều hơn thế nữa! Với hơn 30 thí nghiệm thần sầu tại nhà, các thông tin thực tế và số liệu
thống kê khó tin cùng minh họa ấn tượng, cuốn sách STEM tuyệt vời này sẽ giúp bạn
tinh thông rành rẽ mọi điều về kỹ thuật.

HÃY SẴN SÀNG KHÁM PHÁ THẾ GIỚI TUYỆT ĐỈNH CỦA KỸ
THUẬT!Mời bạn đón đọc. ",70.000,,,,,,,,,,,,, 160.00 gam , 19 x 26 cm , 8934974169871 , 20/10/2020 , NXB Trẻ , Nxb Trẻ , 80 , Colin Stuart , Bìa mềm , Tiếng Việt , Vũ Kim Ngân 
6,Cơ Sở Phương Pháp Phần Tử Hữu Hạn Trong Truyền Nhiệt,https://www.vinabook.com/images/thumbnails/product/240x/213637_p68759muntitled.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Trịnh Văn Quang      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Môn học Cơ sở truyền nhiệt trong chương trình đại học của các nước tiên tiến hiện nay chỉ mới dừng ở phương pháp Sai phân hữu hạn, còn phương pháp Phần tử hữu hạn (PTHH) chưa được đề cập đến. Vì thế, trong tính nhiệt, phương pháp PTHH còn là mới. Trên cơ sở một số bài giảng cho chương trình cao học ngành cơ khí, qua kinh nghiệm sử dụng phương pháp số trong các đề tài nghiên cứu giải các bài toán nhiệt thực tế, cũng như tham khảo các tài liệu trong và ngoài nước, chúng tôi biên soạn cuốn ""Cơ Sở Phương Pháp Phần Tử Hữu Hạn Trong Truyền Nhiệt"".Cuốn sách bao gồm 5 chương:- Chương 1: trình bày khái quát về các phương thức truyền nhiệt và tóm tắt các kết quả giải bài toán dẫn nhiệt bằng phương pháp giải tích- Chương 2: nêu các khái niệm cơ bản về các loại PTHH và các đại lượng đặc trưng của chúng- Chương 3: đề cập đến phương pháp thiết lập phương trình ma trận đặc trưng của PTHH trong dẫn nhiệt ổn định. Đây là phần lý thuyết toán quan trọng nhất trong phương pháp PTHH để tính nhiệt- Chương 4: đi vào giải một số bài toán dẫn nhiệt ổn định bằng phương pháp PTHH- Chương 5: thiết lập phương trình đặc trưng trong dẫn nhiệt không ổn định, các cách rời rạc theo thời gian của bài toán, từ đó giải một số bài toán dẫn nhiệt không ổn định bằng phương pháp PTHH.Cuốn sách có thể được tham khảo làm tài liệu giảng dạy cho chương trình cao học ngành cơ khí, động lực, chương trình đại học chuyên ngành nhiệt - lạnh, năng lượng và cũng có thể phục vụ cho công tác nghiên cứu về nhiệt trong các lĩnh vực xây dựng công trình, luyện kim",85.000,,,,,,,,,,,,, 440.00 gam , 19 x 27 cm , 9786047705474 , 03/2013 , Tác giả Trịnh Văn Quang , Nxb Thế giới ,, Trịnh Văn Quang , Bìa mềm , Tiếng Việt ,
7,Sức Bền Vật Liệu - Toàn Tập,https://www.vinabook.com/images/thumbnails/product/240x/27034_33526.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Đặng Việt Cương 
                                                                                                                                            Đặng Việt Cương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sức bền vật liệu là môn khoa học bán thực nghiệm thuốc khối kỹ thuật cơ sở trong các trường đại học kỹ thuật ở nước ta và trên thế giới. Mục đích của nó là tiếp tục cung cấp cho các kỹ sư tương lai những kiến thức tính toán công trình về độ bền, độ cứng và độ ổn định trong và ngoài giới hạn đàn hồi trên nền các môn khoa học cơ bản: Toán, Vật lý, Cơ học lý thuyết, Cơ học chất lỏng và các khoa học thực nghiệm, v.v",136.000,,,,,,,,,,,,, 770.00 gam , 16 x 24 cm , 8935048980859 , 09/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 588 , Đặng Việt Cương , Bìa mềm ,,
8,Các Phương Pháp Gia Công Tinh,https://www.vinabook.com/images/thumbnails/product/240x/27014_33484.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Trần Văn Địch 
                                                                                                                                            Trần Văn Địch
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sự phát riển của nền kinh tế quốc dân đòi hỏi ngành cơ khí phải nhanh chóng chế tạo ra số lượng lớn máy móc và thiết bị với công suất và tốc độ cao. Công suất và tốc độ của máy phụ thuộc vào độ chính xác và chất lượng bề mặt gia công. Do đó, nhiệm vụ đặt ra là phải xây dựng được các phương pháp và điều kiện gia công chi tiết để đạt độ chính xác và chất lượng bề mặt hợp lý.Tính chất sử dụng của chi tiết không chỉ phụ thuộc vào tính chất cơ lý của vật liệu, mà còn phụ thuộc vào trạng thái của lớp bề mặt. Thực tế cho thấy các chi tiết được chế tạo từ một loại vật liệu như nhau nhưng theo các phương pháp công nghệ và chế độ cắt khác nhau sẽ có tính chất của lớp bề mặt khác nhau. Tuổi thọ của các chi tiết này có thể khác nhau hàng chục lần.Chất lượng bề mặt của chi tiết được hình thành trong quá trình thực hiện các nguyên công có tính đến yếu tố di truyền công nghệ (tính in dập). Tuy nhiên, quan trọng nhất là các nguyên công gia công tinh, bởi vì ở các nguyên công này các đặc tính chất lượng của lớp bề mặt được hình thành rõ nét. Điều này nói lên tần quan trọng của các phương pháp gia công tinh trong quy trình công nghệ và sự cần thiết phải xác định phương pháp gia công hợp lý với chế độ cắt tối ưu.Trong sản xuất đã và đang ứng dụng nhiều phương pháp gia công tinh khác nhau. Các phương pháp này có thể tập trung lại thành bốn nhóm chính là: gia công bằng dụng cụ cắt có lưỡi, gia công bằng các hạt mài kết dính, gia công bằng các hạt mài tự do và gia công bằng biến dạng dẻo bề mặt.Mỗi một phương pháp có đặc thù riêng với khả năng công nghệ và phạm vi ứng dụng nhất định.Để nâng cao hiệu quả của các nguyên công gia công tinh cần phải đẩy mạnh công tác nghiên cứu để tìm ra những điều kiện công tối ưu và sử dụng các thiết bị hợp lý.Mục lục:Lời nói đầuChương 1. Chất lượng bề mặt chi tiết máyChương 2. Gia công tinh bề mặt chi tiết máy bằng dụng cụ có lưỡiChương 3. Mài bằng các loại đá màiChương 4. Mài khônChương 5. Mài nghiền bề mặt chi tiết máyChương 6. Mài siêu tinh xácChương 7. Mài bằng đai màiChương 8. Gia công điện hoáChương 9. Gia công tinh bằng hạt mài tự doChương 10. Đánh bóng bề mặt chi tiết máyChương 11. Gia công chi tiết bằng biến dạng dẻo lớp bề mặtChương 12. Hiệu quả kinh tế của các phương pháp gia công tinhTài liệu tham khảo.Mời bạn đón đọc. ",36.000,,,,,,,,,,,,, 330.00 gam , 16 x 24 cm , 8935048961551 , 06/2006 , NXB KHKT , NXB Khoa học và kỹ thuật , 248 , Trần Văn Địch , Bìa mềm ,,
9,Nguyên Lý Cắt Kim Loại,https://www.vinabook.com/images/thumbnails/product/240x/27016_33486.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Trần Văn Địch 
                                                                                                                                            Trần Văn Địch
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Phần lớn các chi tiết máy từ nhiều loại vật liệu khác nhau đều được tạo hình bằng các phương pháp gia công cơ là gia công bằng cắt gọt, đặc biệt trong những trường hợp khi cần có chi tiết với độ chính xác cao và độ nhám bề mặt thấp. Để phương pháp gia công cơ đạt năng suất cao, giá thành hạ và chất lượng đạt yêu cầu cần phải biết những quy luật cơ bản của quá trình cắt gọt, trên cơ sở đó có thể điều khiển được những hiện tượng xảy ra trong vùng cắt và lựa chọn được thông số công nghệ tối ưu.Cần nhớ rằng, gia công bằng cắt gọt có tính vạn năng và tính linh hoạt cao hơn so với các phương pháp tạo hình khác, đặc biệt là trong sản xuất đơn chiếc và hàng loạt nhỏ.Những quy luật cơ bản của quá trình cắt gọt được xếp vào nội dung của môn học ""Nguyên lý cắt kim loại"". Chính vì vậy tác giả biên soạn cuốn sách này dùng làm tài liệu học tập cho sinh viên cơ khí ở các trường kỹ thuật. Cuốn sách còn được dùng làm tài liệu tham khảo cho các kỹ sư chế tạo máy ở các cơ sở sản xuất khi thiết kế quy trình công nghệ gia công cơ sở các chi tiết máy.Nội dung cuốn sách gồm những phần chính sau đây:1. Vật liệu dụng cụ cắt.2. Các thông số hình học của quá trình cắt.3. Cơ sở vật lý của quá trình cắt.4. Đặc điểm của các nguyên công cắt gọt (tiện, bào, phay, khoan, khoét, doa, cắt ren, chuốt, cắt răng, mài,",63.000,,,,,,,,,,,,, 410.00 gam , 16 x 24 cm , 8935048983188 , 12/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 304 , Trần Văn Địch , Bìa mềm ,,
