,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nguyên Tố - Khám Phá Các Nguyên Tử Trong Vũ Trụ Qua Hình Ảnh,https://www.vinabook.com/images/thumbnails/product/240x/256186_p75522mimg807.jpg,Hóa học,,"  Thông tin tác giả    Theodore Gray     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Theodore Gray say mê bảng tuần hoàn. Và bộ sưu tập các nguyên tố của ông sáng ngang với bất kỳ viện bảo tàng nào. Với sự hóm hĩnh đặc trưng và kiến thức uyên bác. Và trên hết là những bức ảnh lộng lẫy, ông đã cho thấy những ví dụ hấp dẫn - trải dài từ những điều tầm thường đến những ngã rẽ quanh co - về các tính chất và ứng dụng của mỗi nguyên tố. Cuốn sách lộng lẫy này vượt xa một cuốn cẩm nang nguyên tố: về cơ bản nó sẽ nâng tầm nhận thức của bạn về những vật chất tạo nên vũ trụ của chúng ta."" - Oliver Sacks, tác giả của Awakenings, Musicophillia, Uncle Tungsten, và nhiều sách khác.""Ngoài việc là một nhà văn phổ biến khoa học hạng nhất. Theodore Gray còn là một nhà sưu tập và nhiếp ảnh đầy say mê đối với nguyên tố. Ông đã ghép nối được một cuốn sách trang nhã về các nguyên tố có sức lôi cuốn tất cả những ai hứng thú với hóa học và khoa học nói chúng. Văn phong rõ ràng, hấp dẫn và chính xác. Tôi đánh giá cao cuốn sách này."" - Eric Scerri tác giả  của The Periodic Table, Its Story anh Its Significance Mời bạn đón đọc. ",275.000,,,,,,,,,,,,, 1034.00 gam , 25 x 25 cm , 8934974148074 , 05/2017 , Tiếng Việt , Nguyễn Hữu Hiếu , NXB Trẻ , Nxb Trẻ , 240 , Theodore Gray , Bìa mềm 
2,Tuyệt Đỉnh Tinh Tuyển Luyện Đề Thi THPT Quốc Gia Môn Hóa Học - Tập 2,https://www.vinabook.com/images/thumbnails/product/240x/181548_p63648mbiatruoc.jpg,Hóa học,,"  Thông tin tác giả    Chu Thị Hạnh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sách được biên soạn theo câu trúc đề chuẩn năm 2015 của BỘ GIÁO DỤC. Nội dung sách gồm 10 đề luyện giải Hóa học (từ đề số 11 - 10). Các dạng bài tập ở hình thức trắc nghiệm và có kết cấu đề tương tự như một bài thi THPT Quốc gia.Phần lời Giải Chi Tiết nhắc lại các phương pháp, kiến thức cần nhớ giúp cho các bạn học sinh trung bình, khá và giỏi đều ôn tập lại được.Đây là cuốn sách giúp các bạn tổng ôn tập một cách đầy đủ, có hệ thống, tiết kiệm 90% thời gian ôn tập, để có thể đạt được kết quả cao trong các kì thi.Mời bạn đón đọc. ",95.000,,,,,,,,,,,,, 506.00 gam , 17 x 24 cm , 8936049889516 , 05/2015 , Tiếng Việt ,, Mcbooks , NXB Hồng Đức , 360 , Chu Thị Hạnh , Bìa mềm 
3,Từ Điển Usborne Hóa Học Minh Họa (Sách Song Ngữ),https://www.vinabook.com/images/thumbnails/product/240x/284717_p78719mimg354.jpg,Hóa học,," Được thành lập bởi Peter Usborne năm 1973, Usborne hiện là Nhà xuất bản sách thiếu nhi lớn nhất và thành công nhất tại Anh. Tính đến nay, Nhà xuất bản danh tiếng này đã cho ra đời hơn 2000 đầu sách thuộc nhiều thể loại khác nhau dành cho trẻ em ở mọi nhóm tuổi.Các đầu sách Usborne được tạo ra không chỉ bởi sự tham gia của các nhà văn, biên tập viên hay nhà thiết kế Anh quốc mà còn được đóng góp từ các họa sĩ, tác giả chọn lọc từ nhiều quốc gia khác nhau. Điều đó cho thấy tầm vóc toàn cầu, sự khác biệt và nguyên nhân sự ưa chuộng rộng rãi mà Usborne có được.Trải qua nhiều thế hệ, các độc giả trở nên quen thuộc với nhiều series sách được Usborne ấn hành như: That’s not my…, Stickers Dolly Dressing, hay Farmyard Tales… Đồng thời, người ta cũng đã thống kê được hiện nay, các đầu sách của Nhà xuất bản Usborne đã được mua bản quyền và phát hành trên toàn thế giới với 55 ngôn ngữ khác nhau.NXB Giáo dục Việt Nam đã phối hợp với NXB Usborne biên dịch và phát hành bộ sách Từ điển minh họa dành cho các cấp học phổ thông bao gồm nhiều lĩnh vực khác nhau như: Toán, Lý, Hóa, Sinh",160.000,,,,,,,,,,,,, 594.00 gam , 17 x 24 cm , 9786040093967 , 01/2017 ," Tiếng Anh, Tiếng Việt "," Đinh Thị Thu Thủy , Ngô Tuấn Cường ", CTCP Sách Dịch , NXB Giáo Dục , 254 ,, Bìa mềm 
4,Nguyên Tử Diệu Kỳ Và Mê Cung Vật Chất,https://www.vinabook.com/images/thumbnails/product/240x/362647_p92515mnguyentu.jpg,Hóa học,,"  Thông tin tác giả    Colin Stuart     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     NGUYÊN TỬ DIỆU KỲ VÀ MÊ CUNG VẬT CHẤT là tựa sách đầu tiên
thuộc lĩnh vực KHOA HỌC, nằm trong loạt sách Giáo dục STEM, là phương thức giáo
dục tổng hợp gồm Khoa học - Công nghệ - Kỹ thuật - Toán học. Hãy cùng khám phá
cách xây dựng mô hình nguyên tử bằng kẹo dẻo, cách nhấc một viên nước đá mà
không cần chạm tay đến nó, cách chế tạo núi lửa, cách lấy DNA của trái chuối
cùng nhiều thí nghiệm khác. Với hơn 30 thí nghiệm độc đáo tự làm, cùng các
thông tin và dữ liệu thú vị đi kèm nhiều hình ảnh minh họa tuyệt vời, cuốn sách
khoa học STEM kỳ thú này sẽ đem lại cho bạn cảm hứng khám phá xem thế giới kỳ
diệu đến chừng nào. HÃY SẴN SÀNG CHO MỘT CHUYẾN PHIÊU LƯU KHOA HỌC BÙNG NỔ NÀO!Mời bạn đón đọc. ",70.000,,,,,,,,,,,,, 157.00 gam , 19 x 26 cm , 9786041170445 , 20/10/2020 , Tiếng Việt , Nguyễn Thị Kim Oanh , NXB Trẻ , Nxb Trẻ , 80 , Colin Stuart , Bìa mềm 
5,Cuộc Sống Diệu Kỳ Của Các Nguyên Tố,https://www.vinabook.com/images/thumbnails/product/240x/241231_p72890mbiatruoc.jpg,Hóa học,,"  Thông tin tác giả    Bunpei Yorifuji     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hãy thử tưởng tượng thay vì một bảng tuần hoàn khô khan toàn những ký hiệu và con số khó nhớ, chúng ta có hình ảnh các nhân vật hoạt hình ngộ nghĩnh dễ thương. Mỗi nguyên tố sẽ có một nhân vật đại diện với dáng vẻ chẳng lẫn vào nhau: nguyên tử khối sẽ thể hiện qua độ béo gầy, tính chất thì nhìn thấy được qua kiểu tóc, còn công dụng thì sẽ được vẽ qua bộ quần áo. Nếu vậy hẳn là môn hóa học khó nuốt sẽ trở nên đáng yêu và hấp dẫn hơn nhiều phải không?Cuốn sách Cuộc Sống Diệu Kỳ Của Các Nguyên Tố thực sự là một sự kết hợp hoàn hảo giữa kiến thức khoa học kỳ thú và nghệ thuật vẽ truyện tranh đầy màu sắc. Dưới bàn tay khéo léo của họa sĩ Bunpei Yorifuji, thế giới siêu nhỏ của những hạt cơ bản trở nên sống động và gần gũi hơn bao giờ hết.Mời bạn đón đọc. ",109.000,,,,,,,,,,,,, 330.00 gam , 14 x 17 cm , 9786047728282 , 28/12/2017 , Tiếng Việt , Voldy , AZ books , Nxb Thế giới , 210 , Bunpei Yorifuji , Bìa mềm 
6,Chiếc Nút Áo Của Napoleon,https://www.vinabook.com/images/thumbnails/product/240x/217794_p69250mbt.jpg,Hóa học,,"  Thông tin tác giả    Jay Burreson     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Penny Le Couteur     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     17 Phân Tử Thay Đổi Lịch SửTháng 12 năm 1812, Napoleon cùng gần 700.000 ngàn tinh binh đã tiếp tục xâm lược nước Nga. Tuy nhiên, đội quân bất diệt này lại chịu một thất bại vô cùng thảm hại: chỉ còn khoảng 250.000 người quay trở về châu Âu.Một trong những lý do chính yếu dẫn đến thất bại của đội quân bất diệt này lại chính là những bộ đồng phục của tất cả các binh sĩ, hay đúng hơn là những nút áo trên những bộ đồng phục ấy, từ những tướng lĩnh cao nhất đến những binh sĩ nhỏ nhất. Những chiếc nút áo được làm bằng thiếc và Napoleon đã không ngờ rằng thiếc lại có thể biến thành bột vụn ở nhiệt độ dưới -30°C, một nhiệt độ bình thường của ""mùa đông Nga"". Vì phải chịu lạnh do không thể ""cài nút áo"" được, đội quân bất diệt ngày càng suy yếu đi và thất bại thảm hại dưới cái lạnh khủng khiếp trong cuộc xâm lược này.Hầu hết các nhà sử học đều chưa tin rằng những chiếc nút áo được làm bằng thiếc lại dẫn đến sự thất bại của Napoléon, nhưng ít nhất sự giải thích ấy cũng cho thấy mức độ mà những vật dụng hàng ngày, những nguyên tố và tính chất của chúng có thể ảnh hưởng và thay đổi lịch sử của nhân loại.Trong quyển sách này, Penny Le Couteur và Jay Burreson đề cập đến 17 loại phân tử hóa học có trong tự nhiên như trong tiêu, vitamin C, đường, tơ tằm, thuốc nhuộm, penicillin, cà phê, thuốc lá,",132.000,,,,,,,,,,,,, 484.00 gam , 14 x 20 cm , 8934974140993 , 06/06/2016 , Tiếng Việt , Nguyễn Vĩnh Khanh , NXB Trẻ , Nxb Trẻ , 492 ," Jay Burreson , Penny Le Couteur ", Bìa mềm 
7,Tuyệt Đỉnh Tinh Tuyển Luyện Đề Thi THPT Quốc Gia Môn Hóa Học - Tập 1,https://www.vinabook.com/images/thumbnails/product/240x/181541_p63647mbiatruoc.jpg,Hóa học,,"  Thông tin tác giả    Chu Thị Hạnh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sách được biên soạn theo câu trúc đề chuẩn năm 2015 của BỘ GIÁO DỤC. Nội dung sách gồm 10 đề luyện giải Hóa học (từ đề số 11 - 10). Các dạng bài tập ở hình thức trắc nghiệm và có kết cấu đề tương tự như một bài thi THPT Quốc gia.Phần lời Giải Chi Tiết nhắc lại các phương pháp, kiến thức cần nhớ giúp cho các bạn học sinh trung bình, khá và giỏi đều ôn tập lại được.Đây là cuốn sách giúp các bạn tổng ôn tập một cách đầy đủ, có hệ thống, tiết kiệm 90% thời gian ôn tập, để có thể đạt được kết quả cao trong các kì thi.Mời bạn đón đọc. ",99.000,,,,,,,,,,,,, 594.00 gam , 17 x 24 cm , 8936049889509 , 05/2015 , Tiếng Việt ,, Mcbooks , NXB Hồng Đức , 420 , Chu Thị Hạnh , Bìa mềm 
8,Sổ Tay Kiến Thức Hóa Học - Trung Học Phổ Thông,https://www.vinabook.com/images/thumbnails/product/240x/35060_41603.jpg,Hóa học,,"  Thông tin tác giả    Ngô Ngọc An 
                                                                                                                                            Ngô Ngọc An
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Để giúp các em học sinh hệ thống hóa kiến thức cơ bản và nâng cao chất lượng học tập môn Hóa học, bộ sách ""Sổ tay kiến thức Hóa học - Trung học phổ thông"" được biên soạn gồm các phần sau:Phần I: Hóa học đại cươngChương 1: Cấu trúc nguyên tửChương 2: Bảng tuần hoàn và định luật tuần hoàn các nguyên tố hóa họcChương 3: Phản ứng hóa họcChương 4: Dung dịchPhần II: Hóa học vô cơChương 5: Nhóm HalogenChương 6: Nhóm oxiChương 7: Nitơ và photphoChương 8: Nhóm cacbon",31.500,,,,,,,,,,,,, 220.00 gam , 11 x 18 cm , 8934980832004 , 06/2009 ,,, CTCP Sách Dịch , NXB Giáo Dục , 320 , Ngô Ngọc An , Bìa mềm 
9,Sổ Tay Kiến Thức Hóa Học - Trung Học Cơ Sở,https://www.vinabook.com/images/thumbnails/product/240x/35058_41601.jpg,Hóa học,,"  Thông tin tác giả    Ngô Ngọc An 
                                                                                                                                            Ngô Ngọc An
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Để giúp các em học sinh hệ thống hóa kiến thức cơ bản và nâng cao chất lượng học tập môn Hóa học, bộ sách ""Sổ tay kiến thức Hóa học - Trung học cơ sở"" được biên soạn gồm các phần sau:Phần I: Hóa học đại cươngChương 1: Những khái niệm và một số định luật cơ bản của toán họcChương 2: Phản ứng hóa họcChương 3: Sơ lược về bảng tuần hoàn các nguyên tố hóa họcChương 4: Các loại lượng chất vô cơ",14.800,,,,,,,,,,,,, 110.00 gam , 11 x 18 cm ,, 06/2009 ,,, CTCP Sách Dịch , NXB Giáo Dục , 152 , Ngô Ngọc An , Bìa mềm 
