tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Bí Quyết Hội Họa - Vẽ Tranh Phong Cảnh,https://www.vinabook.com/images/thumbnails/product/240x/367180_p94187mimage237446.jpg,Âm nhạc,"  Thông tin tác giả    Từ Hảo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Diêu Tùng Tùng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bạn đam mê hội họa và muốn bắt đầu học vẽ?Bạn gặp khó khăn trong việc tìm ra sách học phù hợp?Bạn bối rối không biết nên bắt đầu từ đâu?Bộ sách Bí Quyết Hội Họa sẽ là người bạn đồng hành tuyệt vời, giúp bạn có khởi đầu thuận lợi trên con đường học vẽ của mình. Bộ sách được thiết kế với từng cấp độ từ cơ bản đến nâng cao, mang đến cho bạn những kiến thức nền tảng cũng như định hướng để tiếp tục đào sâu đam mê.VẼ TRANH PHONG CẢNH trong bộ sách này sẽ giúp bạn tiếp cận với những kiến thức cơ bản về màu sắc và các kỹ thuật vẽ màu. Thông qua những bài tập đơn giản với hướng dẫn cụ thể, dễ hiểu bạn sẽ nắm được những quy luật cơ bản khi vẽ phong cảnh, từ đó sáng tạo ra những bức tranh phong cảnh độc đáo của riêng mình. ",85.0, 27 x 19 cm , 22/06/2021 ," Mai Đỗ , Thu Hường ", Văn Lang , Nxb Thanh Hóa ,56.0," Từ Hảo , Diêu Tùng Tùng ", Bìa mềm 
Học Đệm Piano Cơ Bản - Phần 3 (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/357550_p91118mtibanhocdem.jpg,Âm nhạc,"  Thông tin tác giả    Song Minh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ở Việt Nam hiện nay, piano ngày càng phổ biến và là một trong những nhạc cụ được nhiều người theo học. Song song với việc chơi các tác phẩm cổ điển thì việc tự đệm đàn hát dần trở thành nhu cầu phát sinh một cách tự nhiên của nhiều người chơi nhạc. Nhằm cung cấp cho độc giả bộ tài liệu tham khảo đáng tin cậy, chúng tôi xin giới thiệu bộ sách Học đệm piano cơ bản (gồm 3 phần).Đây là bộ sách có phương pháp trình bày khá cụ thể và dễ học, với lượng kiến thức cơ bản có thể giải quyết được đòi hỏi cấp thiết của người học đệm piano. Học viên có thể luyện tập từ bất kỳ phần nào vì các bài tập trong mỗi cuốn sách đều khởi đầu từ trình độ cơ bản và được sắp xếp từ dễ đến khó.Mời bạn đón đọc. ",145.0, 20.5 x 29.5 cm , 10/04/2020 ,, Huy Hoàng , NXB Dân Trí ,184.0, Song Minh , Bìa mềm 
Phương Pháp Học Ghi-ta (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/354620_p90751mtibn.jpg,Âm nhạc,"  Thông tin tác giả    Tạ Tấn      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Cây đàn Ghi-ta đã có từ lâu đời, trải qua nhiều thế kỷ được nghiên cứu cải tiến và hoàn chỉnh.Các phương pháp tập luyện Ghi-ta đã có sự thông nhất ở nhiều nước trên thế giới.Để phục vụ các bạn ham thích học ghita ở nước ta, sau nhiều năm làm công tác giảng dạy và biểu diễn, tác giả đã biên soạn cuốn: Phương Pháp Học Ghi-ta nhằm cung cấp tài liệu cho các bạn cần học tập và cũng có thể dùng làm tài liệu hướng dẫn.""Mời bạn đón đọc. ",98.0, 19 x 27 cm , 18/01/2020 ,, Huy Hoàng , NXB Dân Trí ,260.0, Tạ Tấn , Bìa mềm 
Đêm Gành Hào Nghe Điệu Hoài Lang,https://www.vinabook.com/images/thumbnails/product/240x/351733_p90395mdemganh.jpg,Âm nhạc,"  Thông tin tác giả    Vũ Đức Sao Biển 
                                                                                                                                            Vũ Đức Sao Biển
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đêm Gành Hào nghe điệu hoài lang là tuyển tập 100 bài tình ca của nhạc sĩ Vũ Đức Sao Biển. Tuyển tập tình ca Vũ Đức Sao Biển ca ngợi tình yêu với quê hương, đất nước, tình yêu lứa đôi. Trong đó có nhiều bài hát là những tác phẩm bất hủ qua năm tháng như: Thu hát Cho Người, Đêm Gành Hào Nghe Điệu Hoài Lang, Điệu Buồn Phương Nam",60.0, 20 x 28 cm , 18/11/2019 ,, NXB Trẻ , Nxb Trẻ ,130.0, Vũ Đức Sao Biển , Bìa mềm 
45 Ngày Biết Đệm Đàn Guitar,https://www.vinabook.com/images/thumbnails/product/240x/366302_p93809mimage231204.jpg,Âm nhạc,  Thông tin tác giả    Song Minh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Gồm 45 bài học được biên soạn theo trình độ từ dễ đến khó với phương pháp diễn giải tỉ mỉ và khoa học. ,98.0, 29.5 x 20.5 cm , 2021 ,, Huy Hoàng , NXB Dân Trí ,187.0, Song Minh , Bìa cứng 
1000 Hợp Âm Cho Đàn Guitare (2020),https://www.vinabook.com/images/thumbnails/product/240x/364233_p92961m1000hopamchodanguitaretb2019xp011592791265jp1597117169.jpg,Âm nhạc,"  Thông tin tác giả    Patrick Moulou      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hợp âm guitare là tập hợp những nốt nhạc được sắp xếp theo một trật tự nhất định, trong một bản nhạc, hợp âm như là một thứ gia vị làm cho âm thanh trở nên sống động hơn.Sách “1000 HỢP ÂM CHO ĐÀN GUITARE” nói về các hợp âm (gam) đối với đàn guitare cũng quan trọng như các nốt nhạc của một giai điệu. Không thể chơi guitare mà không biết hợp âm.Sách giới thiệu 100 thế bấm các hợp âm thường dùng nhất. Mỗi hợp âm được ghi 4 thế bấm khác nhau trên cần đàn, trừ một số hợp âm trưởng và hợp âm 7 được cho 8 thế bấm.“Việc luyện tập nghiêm túc chính là chìa khóa của mọi thành công. Hãy tập đàn 15 phút mỗi ngày để chinh phục từng hợp âm, sau đó bạn có thể chuyển gam và bắt đầu tạo cho mình một bản nhạc yêu thích rồi nhé!Mời bạn đón đọc! ",73.0, 19 x 27 cm , 30/12/2020 , Thiên Kim , Văn Lang , Nxb Văn Hóa ,104.0, Patrick Moulou , Bìa mềm 
"Rock Hà Nội, Bolero Sài Gòn",https://www.vinabook.com/images/thumbnails/product/240x/351249_p90320mscan0001.jpg,Âm nhạc,"  Thông tin tác giả    Nguyễn Trương Quý 
                                                                                                                                            Nguyễn Trương Quý
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nhạc Tiền chiến, nhạc Vàng, nhạc Đỏ, nhạc Rock hay Bolero - Mỗi dòng đều có quá trình du nhập, tiếp biến và phát triển riêng ở Việt Nam. Mỗi hiện tượng âm nhạc từ đáp ứng nhu cầu đại chúng đến trung lưu trí thức đều khởi sinh và phát triển gắn với những khúc quanh của thời cuộc, phóng chiếu những đặc thù bối cảnh.Từ việc khảo cứu và phục dựng lại đời sống của các thể loại âm nhạc, các nhạc sĩ và bài hát làm nên diện mạo của tân nhạc Việt Nam, tác giả Jason Gibbs với cái nhìn khá mới mẻ và phi truyền thống của mình, đã tìm thấy mạch ngầm của văn hóa Việt Nam, dẫu lịch sử các giai đoạn được đề cập trong cuốn sách này đầy những thằng trầm, biến cố.Rock Hà Nội, Bolero Sài Gòn - Câu chuyện tân nhạc Việt Nam hé mở những hiện tượng và cột mốc của âm nhạc dưới góc nhìn độc đáo, tỉ mỉ và mê say của một nhà nghiên cứu độc lập người Mỹ.Mời bạn đón đọc. ",218.0, 14 x 20.5 cm , 07/11/2019 , Jason Gibbs , Phanbook , Nxb Đà Nẵng ,420.0, Nguyễn Trương Quý , Bìa mềm 
40 Nhạc Phẩm Nổi Tiếng Soạn Cho Guitar Cổ Điển,https://www.vinabook.com/images/thumbnails/product/240x/339979_p87797mscan0001.jpg,Âm nhạc,"  Thông tin tác giả    Trần Thế Kỷ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong tuyển tập này các bạn sẽ tìm thấy nhiều nhạc phẩm Việt Nam cũng như ngoại quốc được yêu mến qua nhiều thế hệ như: Biệt Ly, Con Thuyền Không bến, Besame Mucho, Love Story",24.0, 21 x 29 cm , 07/2007 ,, Nhà sách Hoa Sen , Nxb Văn Nghệ TP.HCM ,96.0, Trần Thế Kỷ , Bìa mềm 
Lam Phương - Trăm Nhớ Ngàn Thương,https://www.vinabook.com/images/thumbnails/product/240x/351240_p90244mscan0014.jpg,Âm nhạc,"  Thông tin tác giả    Nguyễn Thanh Nhã     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Quyển sách này chắc chắn sẽ là một món quà tinh thần không thể thiếu đối với những ai yêu mến Lam Phương và yêu nhạc của ông.Quyển sách được ra mắt cùng chuỗi liveshow TRĂM NHỚ NGÀN THƯƠNG kỷ niệm 70 năm âm nhạc Lam Phương. Liveshow tại Hà Nội vào tháng 11, Sài Gòn vào tháng 12 và Kiên Giang tháng 1/2020.Dấu chân trên hành trình đời sống và tình cảm đầy đa đoan đã để lại trong những ca khúc Lam Phương những bộc bạch chân tình và tha thiết. Khán giả đại chúng Sài Gòn từng yêu nhạc Lam Phương có lẽ vì tìm thấy một phần bóng dáng, tâm tư, những bể dâu của cuộc đời mình trong đó. Và có khi vì thấy cả những kỷ niệm của mình đã được người nhạc sĩ tài hoa và từng trải này chạm vào một cách bặt thiệp, đầy tinh tế.Lam Phương tên thật là Lâm Đình Phùng; sinh năm 1937, tại Rạch Giá, Kiên Giang. Ông là một trong những nhạc sĩ tiêu biểu của tân nhạc miền Nam Việt Nam với gần 160 tác phẩm đã phổ biến. Tiêu biểu có thể kể đến những ca khúc đi vào lòng người của ông như: Duyên kiếp, Chuyến đò vỹ tuyến, Kiếp nghèo, Thành phố buồn, Lầm, Say,",198.0, 14 x 20.5 cm , 07/11/2019 ,, Phanbook , NXB Phụ Nữ ,260.0, Nguyễn Thanh Nhã , Bìa mềm 
Phương Pháp Hồng - Năm Thứ Hai Với Đàn Piano - Tập 2 (Tái Bản 2019),https://www.vinabook.com/images/thumbnails/product/240x/345164_p88387mphuongphap.jpg,Âm nhạc,"  Thông tin tác giả    Ernest Van De Velde     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     File Audio đánh mẫu tặng kèm trên websiteMéthode Rose là giáo trình dạy piano nổi tiếng của Pháp có từ thế kỷ XIX. Méthode Rose đã được biên soạn ra tiếng Anh, Tây Ban Nha, Bồ Đào Nha, Nhật và nhiều ngôn ngữ khác. Ngoài ra, Méthode Rose cũng đã được in thành sách chữ nổi Braille dành cho người khiếm thị. Đặc biệt File Audio tặng kèm giúp người học có thể nghe trước âm thanh của tất cả các tiểu phẩm trong sách.Với thiết kế gáy xoắn, khổ ngang cùng nốt nhạc to, cuốn sách rất thuận tiện khi đặt trên giá nhạc để thị tấu.Mời bạn đón đọc. ",120.0, 29.5 x 20.5 cm , 08/2019 , Trịnh Minh Thanh , Huy Hoàng , NXB Dân Trí ,152.0, Ernest Van De Velde , Bìa mềm 
