,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, nhà phát hành, nhà xuất bản, số trang, định dạng, ngôn ngữ, tác giả
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Hướng Dẫn Thực Hiện Kế Toán Nhà Nước Và Nghiệp Vụ Kho Bạc (TABMIS) - Chế Độ Kiểm Soát Thu Chi, Thanh Toán Qua Kho Bạc Và Hệ Thống Mục Lục Ngân Sách Nhà Nước Mới Nhất 2013",https://www.vinabook.com/images/thumbnails/product/240x/47396_53939.jpg,Luật Doanh nghiệp – thương mại,," Kế toán nhà nước áp dụng cho Hệ thống thông tin quản lý Ngân sách và nghiệp vụ Kho bạc đóng vai trò rất quan trọng trong hoạt động của Kho bạc nhà nước. Bởi lẽ đây là công việc thu thập, xử lý, kiểm tra, phân tích và cung cấp thông tin về tình hình phân bổ dự toán kinh phí NSNN; tình hình thu, chi Ngân sách nhà nước; các loại tài sản của nhà nước do KBNN đang quản lý và các hoạt động nghiệp vụ KBNN. Trong thời gian qua, để giúp công tác kế toán nhà nước tại Kho bạc được thực hiện tốt và có nghiệp vụ phù hợp với chức năng, nhiệm vụ được giao của từng cấp ngân sách, Nhà nước ta đã ban hành một số văn bản như: Thông tư số 08/2013/TT-BTC ngày 10-01-2013 của Bộ tài chính về hướng dẫn thực hiện kế toán nhà nước áp dụng cho hệ thống thông tin quản lý ngân sách và nghiệp vụ kho bạc (TABMIS); Thông tư số 15/2013/TT-BTC ngày 05-02-2013 của Bộ tài chính về việc hướng dẫn hệ thống chỉ tiêu và mẫu biểu báo cáo thống kê sử dụng tại các sở tài chính; ",325.000,,,,,,,,,,,,, 858.00 gam , 20 x 28 cm , 113000053939 , 06/2013 , 45 Đinh Tiên Hoàng , Nxb Lao động , 424 , Bìa mềm ,,
2,Quy Định Mới Nhất Về Hóa Đơn Chứng Từ Thế 2011 Và Giải Đáp Vướng Mắc,https://www.vinabook.com/images/thumbnails/product/240x/35698_42241.jpg,Luật Doanh nghiệp – thương mại,," Quy định mới nhất về hóa đơn chứng từ thuế 2011 và giải đáp vướng mắc Thông tư này hướng dẫn việc in, phát hành, sử dụng hóa đơn bán hàng hóa, cung ứng dịch vụ; xử phạt vi phạm hành chính về hóa đơn; nhiệm vụ, quyền hạn của cơ quan quản lý thuế các cấp và các cơ quan, tổ chức có liên quan đến  việc in, phát hành, sử dụng hóa đơn; quyền, nghĩa vụ và trách nhiệm của  cơ quan, tổ chức, cá nhân trong việc in, phát hành, sử dụng hóa đơn.Kể  từ ngày 01/01/2011 cơ quan thuế sẽ không bán hóa đơn mà các cơ quan, tổ  chức v.v",60.000,,,,,,,,,,,,, 319.00 gam , 16 x 24 cm , 8935206504606 , 09/2010 , Kinh Đô 2 , NXB Tài Chính , 224 , Bìa mềm ,,
3,Tranh Chấp Điển Hình Trong Quản Trị Doanh Nghiệp,https://www.vinabook.com/images/thumbnails/product/240x/241779_p72915mimg993.jpg,Luật Doanh nghiệp – thương mại,," Trên cơ sở phân tích, bình luận các bản án, quyết định liên quan đến tranh chấp trong quản trị doanh nghiệp đã được các cơ quan có thẩm quyền xem xét, xét xử, xử lý theo pháp luật từ những năm trước, nhóm tác giả đã đưa ra những phân tích, bình luận, hướng giải quyết căn cứ vào văn bản pháp luật hiện hành và mới được ban hành (Luật doanh nghiệp năm 2014, Luật đầu tư năm 2014, Bộ luật dân sự năm 2015, Bộ luật tố tụng dân sự năm 2015…) nhằm giúp cho doanh nghiệp, doanh nhân và các sinh viên luật, kinh tế nắm được những quy định pháp luật mới nhất điều chỉnh các quan hệ pháp luật liên quan đến các tình huống, vụ việc tương tự xảy ra trong quá trình quản trị kinh doanh. Ngoài ra, trong quá trình phân tích, đánh giá vụ việc căn cứ theo pháp luật hiện hành, nhóm tác giả cũng đưa ra một số khuyến nghị nhằm đề xuất việc hoàn thiện pháp luật điều chỉnh các quan hệ có liên quan… Do các bản án dẫn ra trong sách chủ yếu nhằm mục đích tham khảo nên tên các nhân vật đã được chúng tôi thay đổi. Cuốn sách sẽ là tài liệu tham khảo hữu ích về giải quyết tranh chấp trong quản trị doanh nghiệp cho bạn đọc quan tâm đến lĩnh vực này.Mời bạn đón đọc. ",68.000,,,,,,,,,,,,, 264.00 gam , 14.5 x 20.5 cm , 8935211186729 , 11/2016 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 260 , Bìa mềm , Tiếng Việt ,
4,Luật Quản Lý Ngoại Thương,https://www.vinabook.com/images/thumbnails/product/240x/270657_p76980m013.jpg,Luật Doanh nghiệp – thương mại,," Chương I : NHỮNG QUY ĐỊNH CHUNGĐiều 1. Phạm vi điều chỉnhLuật này quy định về biện pháp quản lý ngoại thương, phát triển hoạt động ngoại thương; giải quyết tranh chấp về áp dụng biện pháp quản lý ngoại thương.Điều 2. Đối tượng áp dụng1. Cơ quan quản lý nhà nước.2. Thương nhân tham gia hoạt động ngoại thương.3. Tổ chức, cá nhân trong nước và nước ngoài khác có liên quan.Điều 3. Giải thích từ ngữTrong Luật này, các từ ngữ dưới đây được hiểu như sau:1. Hoạt động ngoại thương là hoạt động mua bán hàng hóa quốc tế được thực hiện dưới các hình thức xuất khẩu, nhập khẩu; tạm nhập, tái xuất; tạm xuất, tái nhập; chuyển khẩu; quá cảnh và các hoạt động khác có liên quan đến hoạt động mua bán hàng hóa quốc tế theo quy định của pháp luật và điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.2. Các biện pháp kỹ thuật là các biện pháp áp dụng với hàng hóa xuất khẩu, nhập khẩu theo quy định của pháp luật về chất lượng sản phẩm, hàng hóa, tiêu chuẩn và quy chuẩn kỹ thuật, an toàn thực phẩm, đo lường.3. Các biện pháp kiểm dịch bao gồm các biện pháp kiểm dịch động vật và các sản phẩm từ động vật, kiểm dịch thực vật và kiểm dịch y tế biên giới theo quy định của pháp luật về bảo vệ và kiểm dịch thực vật, thú y, phòng, chống bệnh truyền nhiễm.4. Khu vực hải quan riêng là khu vực địa lý xác định trên lãnh thổ Việt Nam được thành lập theo quy định của pháp luật Việt Nam và điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên; có quan hệ mua bán, trao đổi hàng hóa với phần lãnh thổ còn lại và nước ngoài là quan hệ xuất khẩu, nhập khẩu.5. Thương nhân nước ngoài không có hiện diện tại Việt Nam là thương nhân nước ngoài không có hoạt động đầu tư, kinh doanh tại Việt Nam theo các hình thức được quy định trong pháp luật về đầu tư, thương mại, doanh nghiệp; không có văn phòng đại diện, chi nhánh tại Việt Nam theo quy định của pháp luật về thương mại, doanh nghiệp.Điều 4. Nguyên tắc quản lý nhà nước về ngoại thương1. Nhà nước quản lý ngoại thương theo quy định của pháp luật Việt Nam và điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.2. Bảo đảm minh bạch, công khai, bình đẳng, đơn giản hóa thủ tục hành chính; bảo đảm quyền và lợi ích hợp pháp của Nhà nước, thương nhân thuộc các thành phần kinh tế; thúc đẩy phát triển sản xuất trong nước và xuất khẩu, gắn với quản lý nhập khẩu.3. Bảo đảm thực hiện đầy đủ các nguyên tắc đối xử tối huệ quốc, đối xử quốc gia trong hoạt động ngoại thương theo pháp luật Việt Nam và điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên",19.000,,,,,,,,,,,,, 110.00 gam , 13 x 19 cm , 8935211192737 , 07/2017 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 112 , Bìa mềm , Tiếng Việt ,
5,Luật Hỗ Trợ Doanh Nghiệp Nhỏ Và Vừa,https://www.vinabook.com/images/thumbnails/product/240x/270770_p76979m019.jpg,Luật Doanh nghiệp – thương mại,," Chương I : NHỮNG QUY ĐỊNH CHUNGĐiều 1. Phạm vi điều chỉnhLuật này quy định về nguyên tắc, nội dung, nguồn lực hỗ trợ doanh nghiệp nhỏ và vừa; trách nhiệm của cơ quan, tổ chức và cá nhân liên quan đến hỗ trợ doanh nghiệp nhỏ và vừa.Điều 2. Đối tượng áp dụng1. Doanh nghiệp được thành lập, tổ chức và hoạt động theo quy định của pháp luật về doanh nghiệp, đáp ứng các tiêu chí xác định doanh nghiệp nhỏ và vừa theo quy định của Luật này.2. Cơ quan, tổ chức và cá nhân liên quan đến hỗ trợ doanh nghiệp nhỏ và vừa.Điều 3. Giải thích từ ngữTrong Luật này, các từ ngữ dưới đây được hiểu như sau:1. Doanh nghiệp nhỏ và vừa do phụ nữ làm chủ là doanh nghiệp nhỏ và vừa có một hoặc nhiều phụ nữ sở hữu từ 51% vốn điều lệ trở lên, trong đó có ít nhất một người quản lý điều hành doanh nghiệp đó.2. Doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo là doanh nghiệp nhỏ và vừa được thành lập để thực hiện ý tưởng trên cơ sở khai thác tài sản trí tuệ, công nghệ, mô hình kinh doanh mới và có khả năng tăng trưởng nhanh.3. Chuỗi giá trị là mạng lưới liên kết tạo ra giá trị gia tăng cho sản phẩm hoặc dịch vụ, bao gồm các giai đoạn tiếp nối nhau từ hình thành ý tưởng, thiết kế, sản xuất, phân phối sản phẩm đến người tiêu dùng.4. Chuỗi phân phối sản phẩm là mạng lưới các trung gian thực hiện phân phối sản phẩm của doanh nghiệp nhỏ và vừa đến người tiêu dùng do các doanh nghiệp, tổ chức đầu tư, kinh doanh thực hiện",10.000,,,,,,,,,,,,, 44.00 gam , 13 x 19 cm , 8935211192676 , 07/2017 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 36 , Bìa mềm , Tiếng Việt ,
6,Cẩm Nang Tra Cứu Pháp Luật Về Cạnh Tranh,https://www.vinabook.com/images/thumbnails/product/240x/236567_p72282mimg102.jpg,Luật Doanh nghiệp – thương mại,,"  Thông tin tác giả    Phạm Hoài Huấn     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Nguyễn Đình Thái     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Các cuốn cẩm nang này được xây dựng trên cơ sở rà soát và tập hợp các văn bản pháp lý điều chỉnh đối với các lĩnh vực chính yếu ở Việt Nam với các tiêu chí: Tổng hợp toàn bộ các văn bản hướng dẫn thi hành của luật được đề cập và loại bỏ các văn bản không còn giá trị pháp lý tính đến ngày sách được xuất bản.Điều đáng chú ý là, bộ Cẩm nang tra cứu pháp luật này không chỉ là sự tập hợp đơn thuần các văn bản pháp luật có liên quan, mà quan trọng hơn, đã chỉ rõ được điều nào trong luật được hướng dẫn thi hành và được hướng dẫn bởi những nghị định nào, tiếp đến các điều trong nghị định lại được hướng dẫn bởi điều nào trong các thông tư. Nói cách khác, toàn bộ các quy định của pháp luật được đưa về một chỗ duy nhất, để thuận tiện cho việc tra cứu và áp dụng.Mời bạn đón đọc. ",52.000,,,,,,,,,,,,, 242.00 gam , 14.5 x 20.5 cm , 8935211184381 , 08/2016 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 228 , Bìa mềm , Tiếng Việt ," Phạm Hoài Huấn , Nguyễn Đình Thái "
7,Luật Doanh Nghiệp Việt Nam: Tình Huống - Dẫn Giải - Bình Luận,https://www.vinabook.com/images/thumbnails/product/240x/236894_p72262mimg958.jpg,Luật Doanh nghiệp – thương mại,," Cuốn sách Luật doanh nghiệp Việt Nam: Tình huống – Dẫn giải – Bình luận giúp bạn đọc có thêm tài liệu tham khảo hữu ích về Luật doanh nghiệp năm 2014. Việc này sẽ giúp các doanh nghiệp, các cơ quan quản lý và toàn thể người dân có thể áp dụng và thi hành Luật một cách hiệu quả nhất ngay khi Luật doanh nghiệp năm 2014 chính thức có hiệu lực. Các quy định trong Luật được giải thích, bình luận từ nhiều chiều, có so sánh, đối chiếu với các quy định của pháp luật về doanh nghiệp hoặc có liên quan đến doanh nghiệp ở trong nước cũng như nước ngoài để thấy được những điểm kế thừa, điểm mới và hoàn thiện của các quy định này; việc áp dụng và thực thi các quy định của Luật như thế nào cho hiệu quả nhất. Sự giải thích, bình luận điều luật trở nên sáng rõ hơn thông qua các tình huống, các bản án mà Toà án Việt Nam các cấp đã xét xử trong thực tế.Mời bạn đón đọc. ",73.000,,,,,,,,,,,,, 440.00 gam , 14.5 x 20.5 cm , 8935211173262 , 09/2016 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 432 , Bìa mềm , Tiếng Việt ,
8,Luật Phá Sản Năm 2014 Và Văn Bản Hướng Dẫn Thi Hành,https://www.vinabook.com/images/thumbnails/product/240x/255796_p72240mscan0001.jpg,Luật Doanh nghiệp – thương mại,," Cuốn sách gồm:1. Luật phá sản năm 20142. Nghị định số 22/2015/NĐ-CP ngày 16-2-2015 của Chính phủ quy định chi tiết thi hành một số điều của Luật phá sản về quản tài viên và hành nghề quản lý, thanh lý tài sản.Mời bạn đón đọc. ",30.000,,,,,,,,,,,,, 198.00 gam , 13 x 19 cm , 8935211188679 , 02/2017 , NXB Chính Trị Quốc Gia , NXB Chính Trị Quốc Gia , 220 , Bìa mềm , Tiếng Việt ,
9,Pháp Luật Về Doanh Nghiệp - Các Vấn Đề Pháp lý Cơ Bản,https://www.vinabook.com/images/thumbnails/product/240x/221504_p69811mba1.jpg,Luật Doanh nghiệp – thương mại,,"  Thông tin tác giả    Trương Nhật Quang     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách này được viết chủ yếu dành cho luật sư, người tham gia công tác giảng dạy và sinh viên luật mong muốn hiểu biết các vấn đề pháp lý cơ bản từ góc độ lý luận và thực tiễn liên quan đến việc thành lập, tổ chức quản lý và hoạt động của doanh nghiệp. Cuốn sách cũng được dành cho người quản lý doanh nghiệp và những ai quan tâm muốn tìm hiểu khía cạnh pháp lý của các chủ đề trên. Khi viết cuốn sách này, tác giả không có ý định mô tả và liệt kê các quy định của pháp luật về doanh nghiệp. Thay vào đó, cuốn sách tập trung vào việc trình bày các vấn đề pháp lý cơ bản liên quan đến các chủ đề trên, đặc biệt đối với hai loại hình doanh nghiệp thông dụng ở Việt Nam là CTTNHH và CTCP (bao gồm cả công ty đại chúng). Cuốn sách trình bày các quy định của pháp luật về doanh nghiệp đang có hiệu lực tại thời điểm 31 tháng 12 năm 2015. Đây là thời điểm mà Luật Doanh nghiệp 2014 và Luật Đầu tư 2014 bắt đầu có hiệu lực. Mặc dù vậy, cuốn sách cũng trình bày một số thay đổi luật sau thời điểm ngày 31 tháng 12 năm 2015.Mời bạn đón đọc. ",500.000,,,,,,,,,,,,, 1056.00 gam , 16 x 24 cm , 9786048827779 , 07/2016 , ArtBook , NXB Dân Trí , 730 , Bìa mềm , Tiếng Việt , Trương Nhật Quang 
