tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Bác Sĩ Của Con,https://www.vinabook.com/images/thumbnails/product/240x/196079_p66153mbt.jpg,Nhi khoa,"  Thông tin tác giả    Shelly Vaziri Flais     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Steven P. Shelov     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Người ta thường nói rằng nuôi dạy một đứa trẻ hạnh phúc, khỏe mạnh và ngoan ngoãn là một trong những nỗ lực khó khăn và đòi hỏi nhiều cố gắng nhất của toàn nhân loại. May mắn thay, đó cũng là một trong những nỗ lực được tưởng thưởng lớn nhất trong đời. Còn điều gì kỳ diệu và phấn khích hơn sự chào đời của một đứa trẻ? Tuy nhiên, chăm sóc trẻ mới sinh là một nhiệm vụ khắt khe 24/24, là quá trình học hỏi cho cả bạn và bé; mặc dù vậy, chẳng mấy chốc bạn sẽ học được cách diễn giải tiếng khóc, miệng cười toe toét, nét mặt nhăn nhó, và những dấu hiệu khác của con mình. Bạn sẽ dần trở nên tự tin vào đánh giá và các kỹ năng làm cha mẹ của mình. Điều đáng kinh ngạc là, từ lúc chào đời, trẻ nhỏ đã học tập ở tốc độ còn nhanh hơn cha mẹ mình – không chỉ về cách giải thích các dấu hiệu từ cha mẹ mà còn về cái thế giới to lớn, mới mẻ mà các bé vừa bước vào.Khoa học hiện đại không ngừng khẳng định những điều mà các bậc cha mẹ vốn đã hiểu rõ: trẻ em phát triển mạnh mẽ khi có tình yêu thương và sự chú ý. Nền tảng được xây dựng cho trẻ trong những năm đầu đời quyết định phần lớn những giá trị và thành công ở tuổi trưởng thành. Nhưng như mọi bậc cha mẹ sẽ nói với bạn, thi thoảng bạn sẽ gặp phải một tình huống mà bạn cần được giúp đỡ. Quan trọng là phải nhận thức được rằng bạn không chỉ có một mình. Với những người mới bắt đầu, bác sĩ nhi là người bạn có thể tìm đến để xin lời khuyên về mọi việc, từ dỗ dành một đứa trẻ bị đau bụng cho tới việc xử lý những chuyện không thể tránh khỏi như: cơn nhiễm lạnh, đau tai, viêm họng và những trận ốm vặt khác thường thấy ở trẻ nhỏ. Hình thành một mối quan hệ cộng tác với bác sĩ nhi có thể giúp bạn vượt qua những lúc khó khăn và củng cố lại đánh giá của bạn khi bạn gây dựng sự tự tin trong các kỹ năng làm cha mẹ của mình.Đảm bảo cho sức khỏe và hạnh phúc của con là một trong những trách nhiệm cơ bản của người cha, người mẹ. Lúc này hay lúc khác, cha mẹ nào cũng phải đánh giá các triệu chứng của con và quyết định phải hành động thế nào. Trong mấy tháng đầu, sẽ là một ý tưởng tốt khi gọi cho bác sĩ nhi nếu bạn lo lắng mình đang bỏ sót điều gì đó. Không lâu sau, bạn sẽ có khả năng phán đoán xem mình có thể xử lý được vấn đề đó không hay nên tìm tới sự chăm sóc của bác sĩ nhi. Cuốn sách này được thiết kế để giúp bạn phân biệt những vấn đề nhỏ nhặt hàng ngày với những vấn đề nghiêm trọng hơn. Nó gợi ý ra các bước tự hành động cho mỗi vấn đề. Tuy nhiên, cũng rất cần phải nhấn mạnh rằng không sách vở nào có thể thay thế được sự phán đoán nhạy bén của bạn cũng như chuyên môn của bác sĩ nhi – cả hai đều là những yếu tố quan trọng trong việc đảm bảo những điều tốt nhất cho con bạn.Mời bạn đón đọc. ",82.0, 18.5 x 23 cm , 09/2015 , Thanh Huyền , Thái Hà , Nxb Lao động ,316.0," Shelly Vaziri Flais , Steven P. Shelov ", Bìa mềm 
Trái Tim Của Bé,https://www.vinabook.com/images/thumbnails/product/240x/362372_p92416mbe.jpg,Nhi khoa,"  Thông tin tác giả    BS. Ngô Bảo Khoa     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Trái tim của bé"" là một tài liệu hữu ích của Bác sĩ Ngô Bảo Khoa dành cho ba mẹ và những
gia đình có trẻ bị bệnh tim bẩm sinh hoặc bệnh tim thứ phát. Sách cung cấp những
kiến thức đầy đủ và mới nhất về căn bệnh tim ở trẻ nhỏ giúp phụ huynh hiểu rõ
cơ chế bệnh sinh, những quan sát, dự đoán cũng như cách phòng ngừa và chữa trị
cơ bản.Mời bạn đón đọc. ",120.0, 15.5 x 23 cm , 29/09/2020 ,, NXB Trẻ , Nxb Trẻ ,194.0, BS. Ngô Bảo Khoa ,
Thảo Dược Chữa Bệnh Nhi Khoa,https://www.vinabook.com/images/thumbnails/product/240x/251708_p74359m5nhikhoau2469d20170106t134431363543.jpg,Nhi khoa,"  Thông tin tác giả    BS. Nông Thuý Ngọc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Nguyễn Văn Đức 
                                                                                                                                            Nguyễn Văn Đức
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Kế thừa những di sản quý báu của các thầy thuốc đông y các thời đại trong nước và thế giới, trên cơ sở nghiên cứu, thu thập rộng rãi các sách báo và tài liệu có giá trị trong kho tàng y dược học đồ sộ qua các thời kỳ, nhóm tác giả đã tập hợp và biên soạn, cho ra mắt quyển sách Thảo Dược Chữa Bệnh Nhi Khoa giúp người dùng dễ dàng tìm hiểu và áp dụng.Mời bạn đón đọc. ",50.0, 13 x 20.5 cm , 11/2016 ,, Thăng Long , Nxb Quân đội nhân dân ,200.0," BS. Nông Thuý Ngọc , Nguyễn Văn Đức ", Bìa mềm 
Nhà Có Em Bé,https://www.vinabook.com/images/thumbnails/product/240x/271883_p77165m028.jpg,Nhi khoa,"  Thông tin tác giả    Nhan Bồi Kim     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trẻ em là sợi dây gắn kết mọi thành viên trong gia đình!Năm đầu đời là một năm diễn ra rất nhiều biến đổi kì thú ở trẻ.Cuốn sách tổng hợp kiến thức chăm sóc, giáo dục trẻ theo từng ngày, từng tháng, với từng cách làm cụ thể này sẽ giúp bố mẹ chăm sóc bé một cách khoa học và hợp lí nhất.Bắt đầu từ thời khắc trẻ chào đời, mọi hoạt động của bạn đều xoay quanh trẻ, cuộc sống của trẻ cũng chính là cuộc sống của bạn, tuy nhiên, cùng với việc chăm sóc con cái, bạn cũng không nên coi nhẹ sức khỏe thể chất và tinh thần của bản thân. Cuốn sách giới thiệu cho bạn phương pháp chăm sóc trẻ chuyên nghiệp, dạy bạn làm thế nào sắp xếp thời gian, tìm ra sự cân bằng tốt nhất trong cuộc sống.Hãy nhìn nhận chăm sóc trẻ là một quá trình lâu dài nhưng không mệt mỏi, mà là chuyến du lịch tràn đầy niềm vui và bất ngờ. Bé chào đời mới chỉ là sự khởi đầu mà thôi, bạn hãy học cách thả lỏng và trở thành “cao thủ” nuôi dạy con cái nhé!Mời bạn đón đọc. ",185.0, 17 x 23 cm , 09/2017 , Tuệ Văn , Minh Long , NXB Phụ Nữ ,652.0, Nhan Bồi Kim , Bìa mềm 
Các Bệnh Trẻ Em Thường Gặp (Tái Bản 2015),https://www.vinabook.com/images/thumbnails/product/240x/175901_p62963mbiatruoc.jpg,Nhi khoa,"  Thông tin tác giả    Bs. Sĩ Minh 
                                                                                                                                            Bs. Sĩ Minh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trẻ em là mầm non tương lai của đất nước, chỉ khi mầm non phát triển mạnh khỏe thì đất nước mới hưng thịnh, vững bền. Xã hội ngày càng hiện đại, trẻ em ngày càng được hưởng sự chăm sóc tận tình, chu đáo của người lớn, nhưng do cơ địa yếu ớt, dễ bị tổn thương, vẫn không thể tránh khỏi những căn bệnh thường gặp hàng ngày.Bệnh thường gặp ở trẻ em phần lớn không phải bệnh nguy hiểm, một số chỉ là do phát sinh từ thói quen sinh hoạt hoặc cách nuôi nấng không phù hợp của cha mẹ như trẻ biếng ăn, trẻ hay khóc quấy hoặc rối loạn tiêu hóa,",45.0, 13 x 19 cm , 16/03/2015 ,, PandaBooks , Nxb Lao động ,284.0, Bs. Sĩ Minh , Bìa mềm 
Hear Our Stories - Hãy Lắng Nghe Câu Chuyện Của Chúng Tôi,https://www.vinabook.com/images/thumbnails/product/240x/299860_p81564mhear.jpg,Nhi khoa,"  Thông tin tác giả    Nhiều tác giả     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nếu bạn cầm trên tay cuốn sách này, là bạn sẽ bước chân vào 22 câu chuyện nhỏ của 22 bệnh nhân mắc bệnh hiếm. Có lẽ trong đầu bạn lúc này hiện lên ngay câu hỏi, bệnh hiếm là gì? Tôi sẽ không tiết lộ ngay, cánh cửa sẽ dần dần mở ra qua từng chương, từng câu chuyện. Nhưng tôi sẽ tiết lộ với các bạn một chút về lý do tại sao Hear Our Stories đang nằm trên  tay bạn.Tôi là một bà mẹ có con mắc bệnh hiếm, bạn sẽ đọc câu chuyện cụ thể về căn bệnh của con tôi ở chương Hai. Như hầu hết các bạn, trước đây, tôi có rất nhiều hoài bão, ước mơ. Tôi có một con đường sự nghiệp rộng mở, một gia đình hạnh phúc và như bao bố mẹ khác, tôi luôn nghĩ mai này con tôi sẽ xinh đẹp, giỏi giang.Và rồi đời không như là mơ, mọi thứ không đi theo cái quỹ đạo mà tôi vẽ ra. Con không khỏe mạnh, là bố mẹ, chúng tôi đi từ sốc, thất vọng, khóc lóc đến học cách chấp nhận sự thật, cùng con vượt qua khó khăn. Chấp nhận con bị một loại bệnh hiếm, không có thuốc chữa đã khó, nhưng chấp nhận sự thật là bệnh của con là do gen của cha mẹ gây nên, và các anh chị em của con cũng có tỷ lệ mắc bệnh càng khó hơn. Đó là cái cảm giác tự ti, sợ hãi mọi người biết chuyện sẽ xa lánh  các con.Câu chuyện mở ra vào khoảng tháng 9 năm 2015, trong một lần tôi lên mạng tìm thông tin về bệnh của con, tôi tìm được thông tin về Hội nghị Di truyền Người châu Á - Thái Bình Dương lần thứ 11, từ 16-19/9/2015, tại khách sạn Sheraton Hà Nội, do Bệnh viện Nhi Trung ương và Hội Di truyền người châu Á – Thái Bình Dương đồng tổ chức. Hội nghị quy tụ 65 giảng viên quốc tế và 200 đại biểu đến từ 20 nước và vùng lãnh thổ: Canada, Mỹ, Pháp, Anh, Australia, Nga, Nhật Bản, Hồng Kông, Đài Loan, Hàn Quốc, Singapore, Phillipines, Malaysia, Thái Lan, Trung Quốc và các nước khác trong khu vực châu Á – Thái Bình Dương.Tôi đã liên hệ với ban tổ chức và được tham dự với tư cách là thành viên Hội cha mẹ bệnh nhân bệnh hiếm Việt Nam. Tại hội nghị, được tiếp xúc, trao đổi với nhiều chuyên gia, bác sĩ về vấn đề gen di truyền, tôi thấy mọi việc không còn đáng sợ như trước đây tôi vẫn nghĩ. Sau khi tham dự hội nghị, tôi tích cực tham gia các công tác xã hội cùng Hội cha mẹ bệnh nhân bệnh hiếm. Tôi nhận thấy rằng, nếu nhiều người hiểu về bệnh hiếm, các bé mắc bệnh hiếm sẽ có cơ hội có một cuộc sống tốt hơn.Bệnh hiếm là bệnh có ít người bị, nhưng số lượng bệnh hiếm thì rất nhiều, có hơn 7.000 bệnh, thế nên tổng số bệnh nhân bệnh hiếm lại không phải là hiếm, đó là một con số không nhỏ.Nếu nhiều bác sĩ, đặc biệt các bác sĩ ở các bệnh viện tuyến dưới hiểu về bệnh hiếm, họ có thể sàng lọc nhanh chóng hơn, các bé được chuyển tuyến nhanh, điều trị kịp thời sẽ giảm rất nhiều những di chứng sau này.Nếu những người làm về chính sách y tế, bảo hiểm, giáo dục hiểu về bệnh hiếm, các bé mắc bệnh hiếm sẽ có cơ hội được dùng thuốc có hỗ trợ chi trả của bảo hiểm, có cơ hội được đến trường như bao trẻ em bình thường khác.Nếu nhiều người bình thường hiểu về bệnh hiếm, con họ không bị bệnh hiếm, họ có thể giúp đỡ hàng xóm, đồng nghiệp, bạn bè, những người có con mắc bệnh hiếm nhưng chưa tìm ra được nguyên nhân, vẫn đang điều trị khắp nơi. Hiểu biết của họ sẽ giúp hàng xóm, đồng nghiệp, bạn bè lựa chọn con đường chính xác hơn khi điều trị  cho con.Trăn trở với suy nghĩ làm sao để nhiều người biết hơn về bệnh hiếm, năm 2016, sau khi bàn bạc với các bác sĩ khoa Nội tiết, Chuyển hóa và Di truyền Bệnh viện Nhi Trung ương và một số cha mẹ khác, chúng tôi đã viết dự án Hear Our Stories và tham gia giải thưởng Patient Advocacy Leadership (PAL) Awards của công ty đa quốc gia Sanofi Genzyme (các bạn có thể tìm hiểu thêm thông tin về giải thưởng tại trang web http:// palawards.com/).Qua hơn sáu tháng tuyển chọn từ 27 dự án đến từ các nước trên toàn thế giới, Hear Our Stories là một trong sáu dự án được nhận giải thưởng. Giải thưởng hỗ trợ nhóm tác giả phát triển dự án nâng cao nhận thức cộng đồng về các bệnh rối loạn chuyển hóa, phần lớn các bệnh này thuộc nhóm bệnh hiếm.Để hoàn thành dự án, dưới sự quan tâm, chỉ đạo sát sao của GS. TS. Lê Thanh Hải, Giám đốc Bệnh viện Nhi Trung ương, “đội mạnh” đã được thành lập bao gồm: bác sĩ Vũ Chí Dũng, trưởng khoa và bác sĩ Nguyễn Ngọc Khánh, khoa Nội tiết, Chuyển hóa và Di truyền Bệnh viện Nhi Trung ương; nữ nhiếp ảnh gia cừ khôi, tác nghiệp trên mọi mặt trận Kim Chê; người kết nối các gia đình bệnh nhân nhiệt tình quên cả thời gian, thời tiết Mai Hương; và cuối cùng là tôi, bút danh Thơ Trang, người dẫn chuyện.Hear Our Stories là một cuốn “Sách – truyện”, bao gồm chín chương. Chương Một sẽ là “sách” với những thuật ngữ chuyên môn y học, giới thiệu đến các bạn khái niệm chung về bệnh hiếm. Từ chương Hai đến chương Tám, mỗi chương sẽ giới thiệu về một nhóm bệnh hiếm khác nhau. Trong mỗi chương này, các bạn sẽ gặp những câu chuyện của các gia đình có con mắc bệnh hiếm. Các bạn sẽ dần dần hiểu về từng nhóm bệnh theo “ngôn ngữ dân dã”, “sự hiểu biết của các gia đình” qua lời kể của người dẫn chuyện, đôi khi không hoàn toàn chính xác. Và ở cuối chương sẽ là phần “sách”, “Ý kiến y khoa” là những thông tin, thuật ngữ chính xác từ các bác sĩ đầu ngành trong lĩnh vực bệnh hiếm.Trong quá trình thực hiện dự án, phỏng vấn 22 gia đình, tôi đã khóc rất nhiều, khi viết xong, gửi lại cho các gia đình, cũng đã có rất nhiều giọt nước mắt rơi, bản thân những người trong cuộc không nghĩ rằng họ đã vượt qua được những giai đoạn khó khăn như vậy. Tôi nghĩ có thể các bạn cũng sẽ đồng cảm mà khóc cùng tôi, cùng các nhân vật trong truyện. Ôi truyện gì mà toàn khóc với lóc, đọc xong mệt đầu lắm, nhưng bản thân tôi, sau mỗi lần phỏng vấn, tôi lại học hỏi được từ mỗi gia đình, mỗi nhân vật một điều gì đó.Mỗi lần viết xong một câu chuyện, tôi lại càng cảm thấy mình may mắn được sống cuộc đời này, tôi muốn góp sức nhỏ của mình làm những điều tốt đẹp, ít nhất là cho những người sống quanh tôi, to tát hơn một chút là cho xã hội. Hy vọng rằng, sau khi đọc quyển sách này, ngoài việc trang bị thêm được những kiến thức y khoa, các bạn cũng sẽ cảm thấy tràn đầy năng lượng tích cực giống tôi, sẽ thấy cuộc sống nhẹ nhàng, tươi đẹp hơn.Mời bạn đón đọc. ",129.0, 20 x 20 cm , 03/2018 ,, Thái Hà , Nxb Lao động ,248.0, Nhiều tác giả , Bìa mềm 
Giáo Trình Phòng Bệnh Cho Trẻ Mầm Non,https://www.vinabook.com/images/thumbnails/product/240x/163949_p60302mbatruoc.jpg,Nhi khoa,"  Thông tin tác giả    Phạm Thị Nhuận     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trẻ em là hạnh phúc của mỗi gia đình, là tương lai của đất nước. Công tác phòng bệnh và chăm sóc sức khỏe ban đầu cho trẻ là trách nhiệm của mỗi gia đình, nhà trường và toàn xã hội.Giáo trình phòng bệnh cho trẻ nầm non cung cấp những kiến thức cơ bản về một số bệnh truyền nhiễm, bệnh thường gặp ở trẻ em và những biện pháp phòng bệnh, chăm sóc sức khỏe ban đầu ở trẻ, cách phòng tránh và xử lý kịp thời một số tai nạn thường xảy ra với trẻ theo phương châm ""Phòng bệnh hơn chữa bệnh, phòng tai nạn hơn xử lý tai nạn"".Mời bạn đón đọc . ",49.0, 19 x 26.5 cm , 11/2014 ,, NXB Văn Hóa Văn Nghệ , NXB Văn hóa - Văn nghệ ,188.0, Phạm Thị Nhuận , Bìa mềm 
Giải Đáp Những Bệnh Thường Gặp Ở Trẻ Em,https://www.vinabook.com/images/thumbnails/product/240x/32770_39311.jpg,Nhi khoa,"  Thông tin tác giả    Nguyễn Thị Bích Hạnh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Trần Thị Bích Ngân     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách được biên soạn với mục tiêu giúp các thầy cô giáo ở trường mầm non có thêm kiến thức cơ bản về việc nhận diện ban đầu những tai nạn thương tích và bệnh ở trẻ em, từ đó có và biết cách áp dụng những biện pháp sơ cứu  ban đầu để phòng tránh được thương tích và tai biến cho trẻSách gồm 6 phần:Phần 1: Quy định về hoạt động y tế trong các cơ sở giáo dục mầm nonPhần 2: Hướng dẫn các biện pháp giúp trẻ biết tự bảo vệ và chăm sóc bản thânPhần 3: Các biện pháp xử trí khi trẻ bị động vật cắnPhần 4: Các biện pháp xử trí tai nạn gây thương tích ở trẻPhần 5: Các biện pháp xử trí khi trẻ bị bệnhPhần 6: Các biện pháp sơ cấp cứuMời bạn đón đọc  ",45.0, 17x24 cm , 04/2010 ,, Kinh Đô 2 , Nxb Y học ,207.0," Nguyễn Thị Bích Hạnh , Trần Thị Bích Ngân ", Bìa mềm 
Toàn Tập Triệu Chứng & Điều Trị Bệnh Trẻ Em,https://www.vinabook.com/images/thumbnails/product/240x/48557_55100.jpg,Nhi khoa,"  Thông tin tác giả    Dr. Bernard Valman 
                                                                                                                                            Dr. Bernard Valman
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đây là cuốn sách rất cần thiết và hữu ích cho tất cả các bậc cha mẹ để giúp chăm sóc sức khỏe đứa con thân yêu của mình (từ lúc mới sinh cho đến 14 tuổi). Sách trình bày cặn kẽ về các loại bệnh thường gặp ở trẻ em, với hình ảnh minh họa cụ thể, sinh động và hướng dẫn một cách khoa học, dễ hiểu về cách nhận biết các triệu chứng bệnh và cách chăm sóc điều trị thích hợp nhất cho trẻ. Ngoài ra, sách còn cung cấp địa chỉ và điện thoại liên lạc của các bệnh viện nhi khoa trong toàn quốc.Mời bạn đón đọc. ",96.0, 16 x 24 cm , 06/2013 , Nguyễn Lân Đính , Trí Việt , NXB Phụ Nữ ,216.0, Dr. Bernard Valman , Bìa cứng 
Cách Nhận Biết Triệu Chứng Và Điều Trị Bệnh Sởi Ở Trẻ Em,https://www.vinabook.com/images/thumbnails/product/240x/150043_p58582mxx580.jpg,Nhi khoa,"  Thông tin tác giả    Quang Bình 
                                                                                                                                            Quang Bình
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sau nhiều năm vắng bóng, hiện nay dịch sởi bùng phát tại hầu hết các tỉnh thành trong cả nước với hàng ngán trẻ bị mắc bệnh; và đã có hơn trăm ca tử vong. Điều đáng lo ngại là nhiều trẻ dưới 9 tháng tuổi - lứa tuổi đang có miễn dịch từ mẹ, chưa đến độ tuổi tiêm phòng vắc-xin sởi cũng mắc bệnh. Với tình hình diễn biến phức tạp của bệnh sởi, nhiều người có con nhỏ đang như ngồi trên lửa. Đặc biệt, với những bà mẹ có con dưới 9 tháng tuổi chưa được tiêm phòng sởi, nỗi lo ngại càng nhân lên gấp bội. Bởi sởi là bệnh truyền nhiễm do vi-rút gây ra, rất khó tránh vì có thể gặp ở mọi nơi và có tốc độ lây lan rất nhanh. Những trẻ chưa có hoặc không đủ đáp ứng miễn dịch với sởi thường rất dễ mắc bệnh khi tiếp xúc với nguồn lây từ người ho, hắt xì, hay nói chuyện những giọt nước nhỏ xíu có chứa siêu vi sẽ bắn ra không khí, trẻ có thể hít phải hoặc sờ vào những nơi có vi-rút vá đưa tay lên miệng sẽ bị lây bệnh.Mời bạn đón đọc. ",18.0, 13 x 19 cm , 06/2014 ,, Quang Minh , NXB Thời Đại ,80.0, Quang Bình , Bìa mềm 
