tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa,dịch giả
Kỹ Thuật Trồng Mai - Tái bản 02/2013,https://www.vinabook.com/images/thumbnails/product/240x/291327_p79816mxx226.jpg,Cây – cá cảnh,"  Thông tin tác giả    Việt Chương 
                                                                                                                                            Việt Chương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tập sách Kỹ Thuật Trồng Mai đề cập đến cái thú chơi Mai và tìm hiểu 
cái đẹp đặc sắc của cây Mai ra sao cho người thưởng ngoạn. Đồng thời 
cũng đề cập đến một số kinh nghiệm kỹ thuật trồng Mai cho người trồng.Mục lục:TựaThú chơi Mai của người xưaCách chọn một cây Mai đẹpThử tìm hiểu hoạ pháp cây MaiGiống MaiI. Mai vàng năm cánhII. Mai vàng nhiều cánhIII. Bạch MaiIV. Mai đỏ - Mai xanhV. Mai Tứ QuýVI. Mai chiếu thuỷVẻ đẹp của cây Mai ghép và BonsaiMai kiểngChọn đất trồng MaiBón phân cho MaiKỹ thuật trồng MaiChăm sóc cây MaiCho Mai ra hoa đúng vào dịp TếtChưng Mai ngày TếtMời bạn đón đọc.   ",32.0, 13 x 19 cm , 02/2013 , Văn Lang , Nxb Mỹ thuật ,100.0, Việt Chương , Bìa mềm ,
Làm Vườn Cho Người Mới Bắt Đầu,https://www.vinabook.com/images/thumbnails/product/240x/359740_p91624manh2d9c2e1aba5b7f4ba7afaada9515f013d4master.jpg,Cây – cá cảnh,"  Thông tin tác giả    Abigail Wheatley     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Emily Bone     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách này sẽ giúp các bạn biết cách trồng nhiều loại cây
quanh nhà hoặc ngay trong nhà mà không nhất thiết phải có một khu vườn. Với các
bước hướng dẫn từ đơn giản đến chi tiết, bạn có thể trồng hoa, thảo mộc, các loại
rau như cà chua, khoai tây, các loại sen đá… hoặc thậm chí là trồng ngô ngọt
hay làm một bồn thủy sinh nho nhỏ tại nhà. Những phương pháp sang chậu, tự ủ
phân bón, trồng củ hoa trong bình… hóa ra lại dễ dàng đến bất ngờ! Ngoài ra, qua các đường link liên kết với trang web của
Usborne trong sách, bạn sẽ tìm thấy nhiều mẹo vặt và ý tưởng làm vườn thú vị
giúp tạo thêm cảm hứng làm vườn mỗi ngày nữa đấy! Hãy bắt đầu thực hành theo cuốn sách này để có những hoạt động
tích cực, hòa mình vào thiên nhiên và tự cung cấp những thực phẩm an toàn cho
gia đình bạn nhé! ----- Để có thêm nhiều liên kết dẫn tới các trang web giúp bạn có
thể xem được cảnh tượng những bông hoa nở rực rỡ, thử tham gia các hoạt động trồng
cây trực tuyến và tìm hiểu thêm được nhiều kiến thức về việc làm vườn hơn nữa,
bạn hãy truy cập vào trang web Usborne Quicklinks tại địa chỉ
www.usborne.com/quicklinks và gõ từ khóa “gardening for beginners” nhé!Mời bạn đón đọc. ",60.0, 19 x 24 cm , 28/08/2020 , Đinh Tị , Nxb Hà Nội ,64.0," Abigail Wheatley , Emily Bone ", Bìa mềm , Thùy Dương 
Nghệ Thuật Chơi Bonsai,https://www.vinabook.com/images/thumbnails/product/240x/299828_p81542mnghethuat.jpg,Cây – cá cảnh,"  Thông tin tác giả    Hoài Anh 
                                                                                                                                            Hoài Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Người chơi bonsai phải biết tạo ra các thế cây, hiểu được ý nghĩa của các thế cây bonsai là một điều rất lý thú.Bonsai phải được bàn tay nghệ thuật của con người tác động và để hình thành một thân cây, đó là một dáng đứng, một điệu vươn của cây có bố cục chặt chẽ, đẹp đẽ, hình thành nên một tác phẩm nghệ thuật độc đáo có sức sống và toát lên một chủ đề một ý tưởng nhất định.Nghệ thuật chơi bonsai là một tài liệu tham khảo giúp bạn đọc có thêm nhiều hiểu biết hơn về bonsai, về cách chơi, cũng như kỹ thuật trồng và chăm sóc cây, nhằm tạo ra những tác phẩm nghệ thuật có giá trị.Mời bạn đón đọc. ",30.0, 13.5 x 20.5 cm , 2011 , Huy Hoàng , Nxb Văn hóa Thông tin ,164.0, Hoài Anh , Bìa mềm ,
Trồng Hoa Quanh Nhà (Tái Bản 2016),https://www.vinabook.com/images/thumbnails/product/240x/233729_p71803mimg067.jpg,Cây – cá cảnh,"  Thông tin tác giả    Thiên Kim 
                                                                                                                                            Thiên Kim
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mỗi loài hoa là một thế giới, trồng hoa tựa như khi ta đang yêu vậy!Chúng ta dành cho hoa cỏ sự chăm sóc tận tâm nhất, hoa cỏ cũng sẽ báo đáp chúng ta vẻ đẹp thanh tao nhất.Trong mỗi đóa hoa là cả một thế giới, cũng giống như lúc ta đang yêu, điều ta nhìn thấy là nét đẹp của người yêu, là sự ban tặng, sẻ chia những tình cảm nồng ấm nhất!Bất luận là chúng ta bắt đầu từ một hạt giống, hay từ một nhành cây, thì sự sống của hạt giống hay nhành cây ấy cũng nằm trong tay bạn, nó sẽ lớn lên khoẻ mạnh, hay yếu ớt cũng từ đôi tay bạn, tựa như khi ta nuôi trẻ, chúng sẽ lớn lên hàng ngày, niềm vui cuộc sống sẽ là thu hoạch lớn nhất.Nhưng, cho dù đang yêu hay nuôi trẻ nhỏ, thì ngoài tình yêu, chúng ta còn cần phải có những hiểu biết cần thiết. Sự sống của thực vật không thể thiếu bất cứ yếu tố nào, đương nhiên bạn cũng cần phải dành chút thời gian để hiểu rõ về chúng.Mời bạn đón đọc. ",65.0, 13 x 19 cm , 03/2016 , Văn Lang , Nxb Thanh Hóa ,128.0, Thiên Kim , Bìa mềm ,
Kỹ Thuật Trồng Mai (Tái Bản 2015),https://www.vinabook.com/images/thumbnails/product/240x/229686_p71237mbiatruoc.jpg,Cây – cá cảnh,"  Thông tin tác giả    Việt Chương 
                                                                                                                                            Việt Chương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cây mai vàng ở Miền Nam, hay cây đào ở miền Bắc là một biểu tượng cho cái Tết cổ truyền, đại diện cho mùa xuân. Cho dù, ngày xuân còn có rất nhiều loại hoa khoe hương thắm sắc, cây mai, cây đào vẫn chiếm giữ một vị trí quan trọng trong lòng của người thưởng hoa, nó gần như mang tính quốc hồn quốc túy trong lòng của người dân Việt.Trong tập sách nhỏ này, tác giả giới thiệu về thú chơi mai và tìm hiểu cái đẹp đặc sắc của cây Mai. Đồng thời cũng đề cập đến một số kinh nghiệm kỹ thuật trồng Mai cho người trồng.Mời bạn đón đọc. ",45.0, 13 x 19 cm , 06/2015 , Văn Lang , Nxb Thanh Hóa ,128.0, Việt Chương , Bìa mềm ,
Kỹ Thuật Trồng Bonsai,https://www.vinabook.com/images/thumbnails/product/240x/294813_p80344m21256.jpg,Cây – cá cảnh,"  Thông tin tác giả    Trần Văn Huân 
                                                                                                                                            Trần Văn Huân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cùng với sự phát triển của xã hội, nhu cầu của con người ngày càng được nâng cao. Việc trồng và thưởng thức cây bonsai do đó cũng trở thành một thú chơi phổ biến bên cạnh việc tạo ra thu nhập.Nhưng, để có được những cây kiểng bonsai vừa ý, đẹp và có giá trị đòi hỏi chúng ta phải thực hiện được một quá trình hoàn hảo gồm nhiều giai đoạn: làm vườn, kỹ thuật chuyên môn, nghệ thuật, triết học và trồng bonsai",65.0, 13x19 cm , 06/2006 , Văn Lang , Nxb Mỹ thuật ,252.0, Trần Văn Huân , Bìa mềm ,
Bonsai,https://www.vinabook.com/images/thumbnails/product/240x/152884_p58975mbonsai.jpg,Cây – cá cảnh,"  Thông tin tác giả    Kunio Kobayashi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi Bonsai bắt đầu phổ biến trên toàn thế giới qua cuộc Triển lãm Quốc tế Osaka năm 1970, Liên đoàn Bonsai Thế giới (WBFF) và Hiệp hội Bonsai Châu Á - Thái Bình Dương (ASPAC) lần lượt được thành lập, “Bonsai” đã trở thành một từ quốc tế. Ngày nay, có khoảng 120 loài cây được sử dụng trong việc tạo ra bonsai, và nhiều hơn một chút nếu tính cả các giống cây trồng. Bonsai (Hán-Việt: bồn tài) là loại cây cảnh nhỏ có dáng cổ thụ trồng trong chậu cảnh. Cái khác biệt giữa sự thưởng thức một cây cảnh thường và thưởng ngoạn bonsai, là trong cây cảnh thường, người ta tập trung nhiều hơn vào việc ngắm hoa và lá. Ở Bonsai, sự thưởng ngoạn nằm ở vẻ đẹp của toàn cây và sự hòa điệu của cây với chậu cảnh. Bonsai là một hình thức nghệ thuật cũng như nghệ thuật hội họa và nghệ thuật điêu khắc, nhưng tác phẩm của nghệ sĩ Bonsai chưa bao giờ hoàn tất, vì nó là tác phẩm sống và vẫn tiếp tục sinh trưởng qua thăng trầm, thử thách. Mỗi Bonsai là một tác phẩm duy nhất, không bao giờ có hai cây hoàn toàn giống nhau, kể cả chậu. Các nghệ sĩ Bonsai không chỉ tạo ra một cây cảnh mà còn cho nó một linh hồn. Giá trị của Bonsai không nằm trong chất liệu từ đó nó được tạo ra, mà nằm trong tâm hồn của người tạo ra nó và cả người thưởng ngoạn nó. Mời bạn đón đọc. ",145.0, 16 x 24 cm , 2014 , Văn Lang , Nxb Mỹ thuật ,224.0, Kunio Kobayashi , Bìa mềm ,
"Trồng Mai - Kỹ Thuật Bón Tưới, Phòng Trừ Sâu Rầy - Bệnh Hại",https://www.vinabook.com/images/thumbnails/product/240x/175661_p62892mtrongmai.jpg,Cây – cá cảnh,"  Thông tin tác giả    Phúc Quyên     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Việt Chương 
                                                                                                                                            Việt Chương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Từ xa xưa, như một tập tục, cứ đến ngày 30 tết, dù nghèo hay giàu, dù sang hay hèn, trên bàn thờ ông Vải của nhà nào cũng bày bình hoa mai chưng cúng suốt ba ngày tết. Nhiều nhà còn chọn những cây mai có dáng thế đẹp mà cành nào cũng oằn sai những nụ hoa chớm nở chưng trong phòng khách với mơ ước những cây mai đó sẽ đem lại sự may mắn và hạnh phúc cho gia đình.Hoa mai với sắc vàng tươi tắn, rực rỡ đối với người dân Nam bộ từ ngàn đời nay tượng trưng cho sự may mắn, thịnh vượng và hạnh phúc tràn đầy.Phòng trừ sâu rầy và bệnh hại cho cây mai là công việc mà bất cứ người trồng mai nào thời nay cũng phải đặc biệt quan tâm tới, nhằm tạo ra những cây mai đẹp và hoàn thiện nhất. Nhưng, điều này lại khác biệt với người trồng mai thời xưa.Ngày nay, cây mai đã trở thành một thứ hàng hóa để đem ra mua bán như các hàng hóa khác ngoài chợ. Vì vậy nghề trồng mai ngày nay được xem là một nghề dễ hái được nhiều tiền.Muốn trồng được những cây mai đẹp đạt giá bán cao ngất ngưỡng như vậy, người làm vườn, tức là nghệ nhân hoa kiểng phải dày công chăm sóc tưới bón, và hằng ngày quan tâm đến việc phòng trị các loài sâu rầy và bệnh hại cho cây.Mời bạn đón đọc. ",35.0, 13 x 19 cm , 03/2015 , Văn Lang , Nxb Mỹ thuật ,120.0," Phúc Quyên , Việt Chương ", Bìa mềm ,
Bonsai Cho Mọi Nhà (Tái Bản 2014),https://www.vinabook.com/images/thumbnails/product/240x/219048_p69488mbt.jpg,Cây – cá cảnh,"  Thông tin tác giả    Penelope O'sullivan     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nắm bắt bí quyết tạo dáng và chăm sóc bonsai để có một chậu cảnh độc đáo sẽ khiến nơi bạn ở thật sự sinh động vì đã được thiên nhiên hiện diện, hòa điệu vào không gian sống của riêng mình.Bonsai cho mọi nhà hướng dẫn phương pháp tạo dáng các kiểu bonsai với nhiều hình ảnh minh họa phong phú, nổi bật nét tinh tế của một chậu bonsai đạt đỉnh cao nghệ thuật.Mời bạn đón đọc. ",55.0, 13.5 x 20.5 cm , 03/2014 , Văn Lang , Nxb Mỹ thuật ,196.0, Penelope O'sullivan , Bìa mềm , Nguyễn Kim Dân 
Kỹ Thuật Trồng Bonsai (Tái Bản 2013),https://www.vinabook.com/images/thumbnails/product/240x/233150_p71755m001.jpg,Cây – cá cảnh,"  Thông tin tác giả    Trần Văn Huân 
                                                                                                                                            Trần Văn Huân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Văn Tích Lượm 
                                                                                                                                            Văn Tích Lượm
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cùng với sự phát triển của xã hội, nhu cầu của con người ngày càng được nâng cao. Việc trồng và thưởng thức cây bonsai do đó cũng trở thành một thú chơi phổ biến bên cạnh việc tạo ra thu nhập.Nhưng, để có được những cây kiểng bonsai vừa ý, đẹp và có giá trị đòi hỏi chúng ta phải thực hiện được một quá trình hoàn hảo gồm nhiều giai đoạn: làm vườn, kỹ thuật chuyên môn, nghệ thuật, triết học và trồng bonsai",95.0, 13 x 19 cm , 12/2013 , Văn Lang , Nxb Mỹ thuật ,256.0," Trần Văn Huân , Văn Tích Lượm ", Bìa mềm ,
