,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, số trang, tác giả, định dạng, nhà xuất bản
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Một Người Việt Trầm Lặng (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/359441_p91548mmotnguoiviettramlang92k01.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Jean-Claude Pomonti 
                                                                                                                                            Jean-Claude Pomonti từng là phóng viên thường trú của tờ Le Monde (Pháp) ở Sài Gòn trong thời kỳ chiến tranh Việt Nam. Chứng kiến quá nhiều tổn thất cho người dân vô tội Việt Nam, đồng thời cùng đứng trên quan điểm của chính phủ Pháp, không tán thành việc Mỹ mở rộng và ",76.000,,,,,,,,,,,,, 242.00 gam , 13 x 20.5 cm , 8935086852286 , 25/08/2020 , Tiếng Việt , Nguyễn Văn Sự , Trí Việt , 208 , Jean-Claude Pomonti , Bìa mềm ,
2,Nhân Vật Nổi Tiếng Thế Giới - Các Lãnh Tụ Lẫy Lừng,https://www.vinabook.com/images/thumbnails/product/240x/359280_p91456mnvntlanhtu.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Eleonora Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Renzo Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mong muốn được sống tử tế và sống có ích là điều then chốt tạo
nên một cuộc sống hạnh phúc cho bạn trong tương lai. Các nhà lãnh đạo tự cổ chí
kim đều mang trong mình những tố chất khơi gợi cảm hứng ấy và truyền cho bạn động
lực bước lên những nấc thang mới. Cuốn sách này không chỉ là tiểu sử khô cứng của 300 vị lãnh
tụ từ Đông sang Tây, sách tập trung mô tả những điểm nhấn xuất sắc trong cuộc đời
họ. Những điểm sáng ấy sẽ trở thành trời sao lấp lánh soi cho bạn nhìn rõ con
đường của mình trong tương lai. Học hỏi những nhà lãnh đạo xuất sắc của toàn nhân loại vô
cùng hữu ích cho sự trưởng thành của bạn! Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 1320.00 gam , 24 x 31 cm , 8935235223707 , 20/08/2020 , Tiếng Việt , Cao Thu Thủy , Nhã Nam , 126 ," Eleonora Barsotti , Renzo Barsotti ", Bìa cứng , Nxb Hà Nội 
3,Nhân Vật Nổi Tiếng Thế Giới - Văn Hóa Và Nghệ Thuật,https://www.vinabook.com/images/thumbnails/product/240x/359277_p91453mnvntvhnt.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Renzo Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Eleonora Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Các hoạt động nghệ thuật và văn hóa giúp chúng ta giải tỏa
căng thẳng trong cuộc sống và còn từng bước vun đắp tâm hồn ta. Cuốn sách này giới thiệu hơn 300 người nổi tiếng trong nhiều
lĩnh vực văn hóa, nghệ thuật, ca hát, biểu diễn. Ta sẽ hiểu kỹ hơn về cuộc đời,
sự nghiệp, những thăng trầm của họ trước và sau ánh đèn sân khấu. Những điểm
chung của họ như tinh thần luôn tự làm mới mình, nhiệt huyết cống hiến cho công
chúng, sự học hỏi không ngừng… sẽ là nguồn động viên lớn cho mỗi chúng ta!Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 1300.00 gam , 24 x 31 cm , 8935235223691 , 03/2020 , Tiếng Việt , Cao Thu Thủy , Nhã Nam , 126 ," Renzo Barsotti , Eleonora Barsotti ", Bìa cứng , Nxb Hà Nội 
4,Bộ Sách Chân Dung Những Người Thay Đổi Thế Giới - Walt Disney Là Ai? (Tái Bản 2019),https://www.vinabook.com/images/thumbnails/product/240x/349898_p90130mtibanwalt.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nancy Harrison     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Whitney Stewart     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Nếu bạn dám mơ, bạn sẽ làm được.”- Một cậu bé thích những trò chơi khăm.- Một tài xế lái xe cứu thương ở Pháp trong Chiến tranh thế giới thứ nhất.- Người sáng tạo ra chuột Mickey- Tất cả những điều trên!Và còn điều gì nữa?Cùng tìm hiểu về người đã tạo ra giấc mơ của trẻ em trên toàn thế giới – Walt DisneyMời bạn đón đọc. ",49.000,,,,,,,,,,,,, 132.00 gam , 13 x 19 cm , 8935251413830 , 03/11/2019 , Tiếng Việt , Hương Giang , Alpha books , 108 ," Nancy Harrison , Whitney Stewart ", Bìa mềm , NXB Dân Trí 
5,Nhân Vật Nổi Tiếng Thế Giới - Khoa Học Và Phát Minh,https://www.vinabook.com/images/thumbnails/product/240x/359278_p91454mnvntkhoahoc.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Renzo Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Eleonora Barsotti     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nhắc đến khoa học, hẳn chúng ta sẽ nghĩ ngay đến kiến thức.
Nhưng cuốn sách này không chỉ chứa những kiến thức khô cứng. Sách mở ra cho bạn
thấy nhân sinh quan tươi sáng và tinh thần vươn lên của các vĩ nhân, sách còn kể
lại những trải nghiệm xây đắp nên sự vĩ đại của họ. Cuốn sách này miêu tả ngắn gọn cuộc đời và ý chí của hơn 300
vĩ nhân ghi dấu bằng các kỷ lục xuất sắc trong nhiều lĩnh vực khoa học. Việc học
hỏi tri thức sẽ diễn ra rất tự nhiên khi bạn rung động và cảm phục những tấm
gương xuất sắc của nhân loại. Khoa học là để phụng sự cuộc sống, hãy cảm nhận hơi thở khoa
học trong từng giây phút cuộc đời các vĩ nhân!Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 1265.00 gam , 24 x 31 cm , 8935235223684 , 03/2020 , Tiếng Việt , Cao Thu Thủy , Nhã Nam , 126 ," Renzo Barsotti , Eleonora Barsotti ", Bìa cứng , Nxb Hà Nội 
6,Lời Non Nước,https://www.vinabook.com/images/thumbnails/product/240x/356862_p91035mloi.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Đào Thản 
                                                                                                                                            Đào Thản
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Lời non nước - là những lời hay ý đẹp, luận định, luận điểm, quan niệm mang tính chất triết lí về sự đời, về thực tế cuộc sống và chiến đấu của Hồ Chủ tịch, được PGS. Đào Thản sưu tầm và tuyển chọn, xin trân trọng giới thiệu cùng bạn đọc. Sách thuộc bộ sách DI SẢN HỒ CHÍ MINHMời bạn đón đọc. ",70.000,,,,,,,,,,,,, 198.00 gam , 13 x 20.5 cm , 8934974166467 , 03/2020 , Tiếng Việt ,, NXB Trẻ , 156 , Đào Thản , Bìa mềm , Nxb Trẻ 
7,Hồ Chí Minh - Nhà Ngụ Ngôn Kiệt Xuất,https://www.vinabook.com/images/thumbnails/product/240x/347272_p88682mhochi.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nguyễn Thanh Tú 
                                                                                                                                            Nguyễn Thanh Tú
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ngụ ngôn Hồ Chí Minh lấy điểm tựa là ngụ ngôn dân gian và các ngụ ngôn bác học nổi tiếng trên thế giới nên rất sâu sắc. Ví dụ các truyện ""Con rùa"", ""Đồng tâm nhất trí""… Truyện ""Con rùa"" không chỉ hướng sự tố cáo đến giai cấp thống trị mà còn vạch ra tình trạng nô lệ thảm hại của kẻ bị trị; ""Đồng tâm nhất trí"" không chỉ là sự nhất trí chung chung trên lời nói mà là sự đoàn kết trên cơ sở sự thấu hiểu sâu sắc… Dễ nhận thấy trong thế giới ngụ ngôn Hồ Chí Minh có truyện ngụ ngôn (Con rùa, Đồng tâm nhất trí…), kịch ngụ ngôn (Con rồng tre…), thơ ngụ ngôn (Hòn đá, Chơi giăng…), là mẩu chuyện, là lời nói, là hình tượng mang tính ngụ ngôn. Và có nhiều phong cách: Là sự đả kích, lên án, tố cáo; Là những bài học về đường lối cách mạng và kháng chiến; Là những bài học giáo dục tinh tế; Là những bài học đối ngoại, là phương tiện giao đãi bạn bè vui vẻ, ý nhị. Đây chính là những căn cứ để tôi đặt tên cho chuyên luận của mình là: ""Hồ Chí Minh - Nhà ngụ ngôn kiệt xuất"". [Nguyễn Thanh Tú]Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 308.00 gam , 13.5 x 20.5 cm , 9786049763380 , 09/2019 , Tiếng Việt ,, NXB Văn Học , 272 , Nguyễn Thanh Tú , Bìa mềm , Nxb văn học 
8,Stephen Hawking - Một Trí Tuệ Không Giới Hạn,https://www.vinabook.com/images/thumbnails/product/240x/345814_p88494mstephen.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nhiều tác giả     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Một quyển sách phù hợp cho những độc giả yêu thích bộ môn khoa học vũ trụ, hay vẫn luôn dõi theo những tấm gương vượt khó. Cố Giáo sư Stephen Hawking là một tên tuổi đã gắn liền với cả hai điều này. Tuy ông đã ra đi, nhưng các biên tập viên cũng như tác giả của BBC Focus đã sớm hoàn thành việc biên soạn quyển sách này, nói về những khó khăn, trắc trở của ông trong sự nghiệp vật lý; những vật lộn tính toán với thời gian, Lỗ đen và vũ trụ; những thất bại, và cách ông học hỏi từ thất bại; những trăn trở của ông về tương lai loài người trước các nguy cơ. Nói ngắn gọn, nó chứa đựng những nội dung tâm tư cuối cùng mà ông muốn chia sẻ cho ngành Vật lý, cũng như với cả xã hội.Ngoài ra, sách còn nói về sự đấu tranh không ngừng nghỉ của ông để thoát khỏi sự kiềm hãm của bệnh tật, nhằm sống một cuộc đời no đủ hơn phần lớn những con người lành lặn như chúng ta, cũng như trước những toan tính cắt giảm ngành Y tế của các nhà lập pháp có thể sẽ tước đi quyền lợi từ những người cần được nhận hỗ trợ y tế như ông.Bên cạnh đó, trong sách còn chứa cách nhìn nhận của những tên tuổi trong ngành vật lý đương thời về con người, sự nghiệp và những đóng góp của ông cho ngành, đất nước và toàn thể xã hội.Mời bạn đón đọc. ",189.000,,,,,,,,,,,,, 374.00 gam , 21.6 x 28.6 cm , 8935251411331 , 26/08/2019 , Tiếng Việt , Nguyễn Hữu Nhã , Alpha books , 96 , Nhiều tác giả , Bìa mềm , NXB Tri thức 
9,Hồ Chí Minh: Từ Việc Nhỏ - Người Học Trò Nhỏ Nhìn Từ Thế Kỷ XXI,https://www.vinabook.com/images/thumbnails/product/240x/340484_p87871m15.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Phạm Văn Bảy     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cả cuộc đời của Bác là một kho sách dễ hiểu. Tập hợp vô vàn việc nhỏ, câu nói với các giới, các tầng lớp đồng bào mà Người làm, tiếp xúc hằng ngày trong tư cách người lãnh đạo tối cao của đất nước từ những ngày đầu tại Pác Bó",95.000,,,,,,,,,,,,, 440.00 gam , 16 x 24 cm , 9786048952259 , 12/2018 , Tiếng Việt ,, Phương Nam , 376 , Phạm Văn Bảy , Bìa mềm , NXB Hồng Đức 
